frequency,raw,smoothed,error,equalization
20.0000,-7.4000,-7.2002,-7.2002,7.2002
20.1998,-7.3900,-7.1715,-7.1715,7.1715
20.4015,-7.3295,-7.1378,-7.1378,7.1378
20.6053,-7.2616,-7.0999,-7.0999,7.0999
20.8112,-7.1796,-7.0585,-7.0585,7.0585
21.0190,-7.1004,-7.0139,-7.0139,7.0139
21.2290,-7.0204,-6.9664,-6.9664,6.9664
21.4410,-6.9696,-6.9159,-6.9159,6.9159
21.6552,-6.8917,-6.8619,-6.8619,6.8619
21.8715,-6.8095,-6.8040,-6.8040,6.8040
22.0900,-6.7400,-6.7420,-6.7420,6.7420
22.3106,-6.6698,-6.6750,-6.6750,6.6750
22.5335,-6.6020,-6.6044,-6.6044,6.6044
22.7586,-6.5305,-6.5338,-6.5338,6.5338
22.9859,-6.4514,-6.4634,-6.4634,6.4634
23.2155,-6.3912,-6.3936,-6.3936,6.3936
23.4474,-6.3208,-6.3242,-6.3242,6.3242
23.6816,-6.2524,-6.2552,-6.2552,6.2552
23.9182,-6.1905,-6.1866,-6.1866,6.1866
24.1571,-6.1110,-6.1182,-6.1182,6.1182
24.3984,-6.0504,-6.0503,-6.0503,6.0503
24.6421,-5.9822,-5.9827,-5.9827,5.9827
24.8882,-5.9006,-5.9153,-5.9153,5.9153
25.1368,-5.8408,-5.8483,-5.8483,5.8483
25.3879,-5.7706,-5.7816,-5.7816,5.7816
25.6415,-5.7120,-5.7153,-5.7153,5.7153
25.8976,-5.6529,-5.6493,-5.6493,5.6493
26.1563,-5.5810,-5.5833,-5.5833,5.5833
26.4176,-5.5228,-5.5176,-5.5176,5.5176
26.6815,-5.4523,-5.4519,-5.4519,5.4519
26.9480,-5.3927,-5.3865,-5.3865,5.3865
27.2172,-5.3233,-5.3213,-5.3213,5.3213
27.4890,-5.2528,-5.2562,-5.2562,5.2562
27.7636,-5.1817,-5.1915,-5.1915,5.1915
28.0409,-5.1123,-5.1272,-5.1272,5.1272
28.3210,-5.0616,-5.0633,-5.0633,5.0633
28.6039,-5.0033,-4.9997,-4.9997,4.9997
28.8896,-4.9230,-4.9363,-4.9363,4.9363
29.1782,-4.8720,-4.8735,-4.8735,4.8735
29.4697,-4.7928,-4.8113,-4.8113,4.8113
29.7640,-4.7427,-4.7497,-4.7497,4.7497
30.0613,-4.6931,-4.6885,-4.6885,4.6885
30.3616,-4.6243,-4.6277,-4.6277,4.6277
30.6649,-4.5535,-4.5672,-4.5672,4.5672
30.9712,-4.5030,-4.5072,-4.5072,4.5072
31.2806,-4.4625,-4.4476,-4.4476,4.4476
31.5930,-4.3655,-4.3880,-4.3880,4.3880
31.9086,-4.3227,-4.3290,-4.3290,4.3290
32.2273,-4.2720,-4.2705,-4.2705,4.2705
32.5492,-4.2231,-4.2123,-4.2123,4.2123
32.8744,-4.1629,-4.1541,-4.1541,4.1541
33.2027,-4.0842,-4.0960,-4.0960,4.0960
33.5344,-4.0324,-4.0382,-4.0382,4.0382
