frequency,raw,smoothed,error,equalization
20.0000,-1.5300,-1.4210,-1.4210,1.4210
20.1998,-1.5000,-1.4038,-1.4038,1.4038
20.4015,-1.4799,-1.3835,-1.3835,1.3835
20.6053,-1.4604,-1.3603,-1.3603,1.3603
20.8112,-1.4298,-1.3340,-1.3340,1.3340
21.0190,-1.3902,-1.3047,-1.3047,1.3047
21.2290,-1.3502,-1.2725,-1.2725,1.2725
21.4410,-1.2998,-1.2373,-1.2373,1.2373
21.6552,-1.2511,-1.1990,-1.1990,1.1990
21.8715,-1.1896,-1.1575,-1.1575,1.1575
22.0900,-1.1300,-1.1128,-1.1128,1.1128
22.3106,-1.0698,-1.0647,-1.0647,1.0647
22.5335,-1.0020,-1.0140,-1.0140,1.0140
22.7586,-0.9404,-0.9633,-0.9633,0.9633
22.9859,-0.8811,-0.9126,-0.9126,0.9126
23.2155,-0.8310,-0.8624,-0.8624,0.8624
23.4474,-0.7806,-0.8128,-0.8128,0.8128
23.6816,-0.7414,-0.7637,-0.7637,0.7637
23.9182,-0.7003,-0.7152,-0.7152,0.7152
24.1571,-0.6605,-0.6673,-0.6673,0.6673
24.3984,-0.6302,-0.6198,-0.6198,0.6198
24.6421,-0.6009,-0.5724,-0.5724,0.5724
24.8882,-0.5603,-0.5247,-0.5247,0.5247
25.1368,-0.5106,-0.4765,-0.4765,0.4765
25.3879,-0.4505,-0.4276,-0.4276,0.4276
25.6415,-0.3823,-0.3781,-0.3781,0.3781
25.8976,-0.3229,-0.3281,-0.3281,0.3281
26.1563,-0.2609,-0.2777,-0.2777,0.2777
26.4176,-0.2123,-0.2270,-0.2270,0.2270
26.6815,-0.1713,-0.1758,-0.1758,0.1758
26.9480,-0.1222,-0.1242,-0.1242,0.1242
27.2172,-0.0819,-0.0722,-0.0722,0.0722
27.4890,-0.0320,-0.0197,-0.0197,0.0197
27.7636,0.0286,0.0329,0.0329,-0.0329
28.0409,0.0784,0.0852,0.0852,-0.0852
28.3210,0.1284,0.1368,0.1368,-0.1368
28.6039,0.1867,0.1872,0.1872,-0.1872
28.8896,0.2382,0.2363,0.2363,-0.2363
29.1782,0.2976,0.2838,0.2838,-0.2838
29.4697,0.3579,0.3295,0.3295,-0.3295
29.7640,0.4168,0.3735,0.3735,-0.3735
30.0613,0.4669,0.4160,0.4160,-0.4160
30.3616,0.5169,0.4572,0.4572,-0.4572
30.6649,0.5580,0.4972,0.4972,-0.4972
30.9712,0.5882,0.5359,0.5359,-0.5359
31.2806,0.5994,0.5731,0.5731,-0.5731
31.5930,0.6000,0.6093,0.6093,-0.6093
31.9086,0.6000,0.6449,0.6449,-0.6449
32.2273,0.6096,0.6807,0.6807,-0.6807
32.5492,0.6287,0.7176,0.7176,-0.7176
32.8744,0.6776,0.7569,0.7569,-0.7569
33.2027,0.7558,0.7990,0.7990,-0.7990
33.5344,0.8553,0.8436,0.8436,-0.8436
33.8694,0.9539,0.8898,0.8898,-0.8898
34.2077,0.9974,0.9364,0.9364,-0.9364
34.5494,1.0000,0.9831,0.9831,-0.9831
34.8945,0.9907,1.0303,1.0303,-1.0303
35.2430,1.0085,1.0785,1.0785,-1.0785
35.5951,1.0379,1.1277,1.1277,-1.1277
35.9506,1.0967,1.1778,1.1778,-1.1778
36.3097,1.2227,1.2281,1.2281,-1.2281
36.6724,1.3503,1.2771,1.2771,-1.2771
37.0387,1.4635,1.3233,1.3233,-1.3233
37.4087,1.4888,1.3657,1.3657,-1.3657
37.7824,1.4807,1.4051,1.4051,-1.4051
