frequency,raw,smoothed,error,equalization
20.0000,-0.5600,-0.3805,-0.3805,0.3805
20.1998,-0.5101,-0.3583,-0.3583,0.3583
20.4015,-0.4596,-0.3326,-0.3326,0.3326
20.6053,-0.4111,-0.3040,-0.3040,0.3040
20.8112,-0.3597,-0.2729,-0.2729,0.2729
21.0190,-0.3102,-0.2393,-0.2393,0.2393
21.2290,-0.2602,-0.2032,-0.2032,0.2032
21.4410,-0.2097,-0.1642,-0.1642,0.1642
21.6552,-0.1513,-0.1222,-0.1222,0.1222
21.8715,-0.0897,-0.0766,-0.0766,0.0766
22.0900,-0.0400,-0.0273,-0.0273,0.0273
22.3106,0.0202,0.0266,0.0266,-0.0266
22.5335,0.0783,0.0840,0.0840,-0.0840
22.7586,0.1396,0.1422,0.1422,-0.1422
22.9859,0.1891,0.2012,0.2012,-0.2012
23.2155,0.2488,0.2610,0.2610,-0.2610
23.4474,0.3093,0.3217,0.3217,-0.3217
23.6816,0.3679,0.3831,0.3831,-0.3831
23.9182,0.4295,0.4453,0.4453,-0.4453
24.1571,0.4991,0.5082,0.5082,-0.5082
24.3984,0.5695,0.5718,0.5718,-0.5718
24.6421,0.6281,0.6359,0.6359,-0.6359
24.8882,0.6995,0.7006,0.7006,-0.7006
25.1368,0.7691,0.7658,0.7658,-0.7658
25.3879,0.8295,0.8315,0.8315,-0.8315
25.6415,0.8977,0.8977,0.8977,-0.8977
25.8976,0.9571,0.9643,0.9643,-0.9643
26.1563,1.0290,1.0315,1.0315,-1.0315
26.4176,1.0872,1.0991,1.0991,-1.0991
26.6815,1.1577,1.1671,1.1671,-1.1671
26.9480,1.2269,1.2356,1.2356,-1.2356
27.2172,1.2967,1.3046,1.3046,-1.3046
27.4890,1.3672,1.3741,1.3741,-1.3741
27.7636,1.4383,1.4439,1.4439,-1.4439
28.0409,1.5077,1.5139,1.5139,-1.5139
28.3210,1.5874,1.5841,1.5841,-1.5841
28.6039,1.6561,1.6543,1.6543,-1.6543
28.8896,1.7274,1.7243,1.7243,-1.7243
29.1782,1.7972,1.7940,1.7940,-1.7940
29.4697,1.8675,1.8632,1.8632,-1.8632
29.7640,1.9363,1.9320,1.9320,-1.9320
