frequency,raw,smoothed,error,equalization
20.0000,15.0700,15.0647,15.0647,-15.0647
20.1998,15.0700,15.0628,15.0628,-15.0628
20.4015,15.0700,15.0606,15.0606,-15.0606
20.6053,15.0700,15.0583,15.0583,-15.0583
20.8112,15.0700,15.0557,15.0557,-15.0557
21.0190,15.0700,15.0529,15.0529,-15.0529
21.2290,15.0700,15.0499,15.0499,-15.0499
21.4410,15.0698,15.0464,15.0464,-15.0464
21.6552,15.0309,15.0423,15.0423,-15.0423
21.8715,15.0200,15.0380,15.0380,-15.0380
22.0900,15.0200,15.0336,15.0336,-15.0336
22.3106,15.0200,15.0291,15.0291,-15.0291
22.5335,15.0200,15.0242,15.0242,-15.0242
22.7586,15.0200,15.0190,15.0190,-15.0190
22.9859,15.0200,15.0136,15.0136,-15.0136
23.2155,15.0200,15.0078,15.0078,-15.0078
23.4474,15.0200,15.0017,15.0017,-15.0017
23.6816,15.0200,14.9950,14.9950,-14.9950
23.9182,15.0002,14.9877,14.9877,-14.9877
24.1571,14.9704,14.9799,14.9799,-14.9799
24.3984,14.9700,14.9719,14.9719,-14.9719
24.6421,14.9700,14.9633,14.9633,-14.9633
24.8882,14.9700,14.9540,14.9540,-14.9540
25.1368,14.9404,14.9439,14.9439,-14.9439
25.3879,14.9301,14.9333,14.9333,-14.9333
25.6415,14.9300,14.9221,14.9221,-14.9221
25.8976,14.9300,14.9102,14.9102,-14.9102
26.1563,14.9103,14.8975,14.8975,-14.8975
26.4176,14.8814,14.8840,14.8840,-14.8840
26.6815,14.8800,14.8699,14.8699,-14.8699
26.9480,14.8800,14.8551,14.8551,-14.8551
27.2172,14.8324,14.8391,14.8391,-14.8391
27.4890,14.8300,14.8224,14.8224,-14.8224
27.7636,14.8300,14.8046,14.8046,-14.8046
28.0409,14.7913,14.7855,14.7855,-14.7855
28.3210,14.7900,14.7655,14.7655,-14.7655
28.6039,14.7522,14.7442,14.7442,-14.7442
