frequency,raw,smoothed,error,equalization
20.0000,8.7300,8.7123,8.7123,-8.7123
20.1998,8.7400,8.7095,8.7095,-8.7095
20.4015,8.7199,8.7058,8.7058,-8.7058
20.6053,8.7102,8.7020,8.7020,-8.7020
20.8112,8.7199,8.6979,8.6979,-8.6979
21.0190,8.7001,8.6933,8.6933,-8.6933
21.2290,8.7000,8.6886,8.6886,-8.6886
21.4410,8.6701,8.6834,8.6834,-8.6834
21.6552,8.6993,8.6781,8.6781,-8.6781
21.8715,8.6700,8.6719,8.6719,-8.6719
22.0900,8.6700,8.6653,8.6653,-8.6653
22.3106,8.6500,8.6578,8.6578,-8.6578
22.5335,8.6500,8.6501,8.6501,-8.6501
22.7586,8.6401,8.6421,8.6421,-8.6421
22.9859,8.6400,8.6341,8.6341,-8.6341
23.2155,8.6302,8.6257,8.6257,-8.6257
23.4474,8.6300,8.6171,8.6171,-8.6171
23.6816,8.6300,8.6082,8.6082,-8.6082
23.9182,8.5903,8.5987,8.5987,-8.5987
24.1571,8.5900,8.5890,8.5890,-8.5890
24.3984,8.5801,8.5789,8.5789,-8.5789
24.6421,8.5606,8.5687,8.5687,-8.5687
24.8882,8.5600,8.5585,8.5585,-8.5585
25.1368,8.5600,8.5480,8.5480,-8.5480
25.3879,8.5402,8.5370,8.5370,-8.5370
25.6415,8.5303,8.5256,8.5256,-8.5256
25.8976,8.5110,8.5138,8.5138,-8.5138
26.1563,8.5100,8.5019,8.5019,-8.5019
26.4176,8.5100,8.4897,8.4897,-8.4897
26.6815,8.4616,8.4770,8.4770,-8.4770
26.9480,8.4600,8.4644,8.4644,-8.4644
27.2172,8.4600,8.4516,8.4516,-8.4516
27.4890,8.4408,8.4384,8.4384,-8.4384
27.7636,8.4400,8.4248,8.4248,-8.4248
28.0409,8.4206,8.4106,8.4106,-8.4106
28.3210,8.3910,8.3959,8.3959,-8.3959
28.6039,8.3711,8.3808,8.3808,-8.3808
28.8896,8.3700,8.3653,8.3653,-8.3653
29.1782,8.3604,8.3490,8.3490,-8.3490
29.4697,8.3504,8.3317,8.3317,-8.3317
29.7640,8.3216,8.3133,8.3133,-8.3133
30.0613,8.3012,8.2939,8.2939,-8.2939
30.3616,8.3000,8.2733,8.2733,-8.2733
30.6649,8.2810,8.2512,8.2512,-8.2512
30.9712,8.2424,8.2276,8.2276,-8.2276
31.2806,8.2213,8.2029,8.2029,-8.2029
31.5930,8.2105,8.1770,8.1770,-8.1770
31.9086,8.1633,8.1498,8.1498,-8.1498
32.2273,8.1312,8.1215,8.1215,-8.1215
32.5492,8.1019,8.0923,8.0923,-8.0923
32.8744,8.0620,8.0626,8.0626,-8.0626
33.2027,8.0316,8.0325,8.0325,-8.0325
33.5344,8.0014,8.0022,8.0022,-8.0022
33.8694,7.9624,7.9718,7.9718,-7.9718
34.2077,7.9320,7.9414,7.9414,-7.9414
34.5494,7.8924,7.9111,7.9111,-7.9111
34.8945,7.8807,7.8809,7.8809,-7.8809
35.2430,7.8431,7.8506,7.8506,-7.8506
35.5951,7.8121,7.8200,7.8200,-7.8200
35.9506,7.7911,7.7892,7.7892,-7.7892
36.3097,7.7806,7.7576,7.7576,-7.7576
36.6724,7.7337,7.7249,7.7249,-7.7249
37.0387,7.7112,7.6909,7.6909,-7.6909
37.4087,7.6912,7.6553,7.6553,-7.6553
37.7824,7.6529,7.6177,7.6177,-7.6177
38.1598,7.6132,7.5780,7.5780,-7.5780
38.5409,7.5731,7.5362,7.5362,-7.5362
38.9259,7.5232,7.4920,7.4920,-7.4920
39.3147,7.4732,7.4456,7.4456,-7.4456
39.7074,7.4241,7.3972,7.3972,-7.3972
40.1041,7.3745,7.3468,7.3468,-7.3468
40.5046,7.3153,7.2945,7.2945,-7.2945
40.9092,7.2546,7.2407,7.2407,-7.2407
41.3179,7.1855,7.1856,7.1856,-7.1856
41.7306,7.1336,7.1297,7.1297,-7.1297
42.1474,7.0747,7.0731,7.0731,-7.0731
42.5684,7.0145,7.0160,7.0160,-7.0160
42.9936,6.9551,6.9588,6.9588,-6.9588
43.4231,6.8952,6.9016,6.9016,-6.9016
43.8568,6.8359,6.8447,6.8447,-6.8447
44.2949,6.7841,6.7881,6.7881,-6.7881
44.7374,6.7257,6.7318,6.7318,-6.7318
45.1842,6.6661,6.6759,6.6759,-6.6759
45.6356,6.6149,6.6204,6.6204,-6.6204
46.0914,6.5643,6.5653,6.5653,-6.5653
46.5518,6.5062,6.5102,6.5102,-6.5102
47.0168,6.4456,6.4552,6.4552,-6.4552
47.4864,6.3946,6.4003,6.4003,-6.4003
47.9608,6.3541,6.3450,6.3450,-6.3450
48.4398,6.2963,6.2891,6.2891,-6.2891
48.9237,6.2448,6.2323,6.2323,-6.2323
49.4124,6.1949,6.1744,6.1744,-6.1744
49.9059,6.1365,6.1152,6.1152,-6.1152
50.4044,6.0767,6.0544,6.0544,-6.0544
50.9079,6.0162,5.9920,5.9920,-5.9920
51.4164,5.9563,5.9279,5.9279,-5.9279
51.9300,5.8969,5.8618,5.8618,-5.8618
52.4487,5.8194,5.7937,5.7937,-5.7937
52.9726,5.7566,5.7238,5.7238,-5.7238
53.5018,5.6699,5.6520,5.6520,-5.6520
54.0362,5.5983,5.5785,5.5785,-5.5785
54.5759,5.5107,5.5035,5.5035,-5.5035
55.1211,5.4376,5.4274,5.4274,-5.4274
55.6717,5.3598,5.3502,5.3502,-5.3502
56.2278,5.2791,5.2721,5.2721,-5.2721
56.7894,5.1999,5.1933,5.1933,-5.1933
57.3567,5.1102,5.1141,5.1141,-5.1141
57.9296,5.0297,5.0348,5.0348,-5.0348
58.5082,4.9499,4.9555,4.9555,-4.9555
59.0927,4.8781,4.8763,4.8763,-4.8763
59.6829,4.7916,4.7974,4.7974,-4.7974
60.2791,4.7096,4.7191,4.7191,-4.7191
60.8812,4.6390,4.6414,4.6414,-4.6414
61.4893,4.5519,4.5645,4.5645,-4.5645
62.1035,4.4700,4.4887,4.4887,-4.4887
62.7239,4.4074,4.4141,4.4141,-4.4141
63.3504,4.3214,4.3410,4.3410,-4.3410
63.9832,4.2581,4.2695,4.2695,-4.2695
64.6223,4.1810,4.1998,4.1998,-4.1998
65.2678,4.1003,4.1320,4.1320,-4.1320
65.9198,4.0296,4.0664,4.0664,-4.0664
66.5782,3.9683,4.0034,4.0034,-4.0034
67.2433,3.9079,3.9430,3.9430,-3.9430
67.9149,3.8484,3.8854,3.8854,-3.8854
68.5933,3.7971,3.8307,3.8307,-3.8307
69.2785,3.7467,3.7791,3.7791,-3.7791
69.9705,3.6885,3.7305,3.7305,-3.7305
70.6694,3.6543,3.6851,3.6851,-3.6851
71.3753,3.6159,3.6429,3.6429,-3.6429
72.0883,3.5586,3.6037,3.6037,-3.6037
72.8083,3.5242,3.5678,3.5678,-3.5678
73.5356,3.4943,3.5350,3.5350,-3.5350
74.2701,3.4730,3.5052,3.5052,-3.5052
75.0120,3.4444,3.4780,3.4780,-3.4780
75.7613,3.4143,3.4536,3.4536,-3.4536
76.5180,3.4100,3.4317,3.4317,-3.4317
77.2824,3.3931,3.4121,3.4121,-3.4121
78.0543,3.3730,3.3944,3.3944,-3.3944
78.8340,3.3700,3.3787,3.3787,-3.3787
79.6214,3.3530,3.3645,3.3645,-3.3645
80.4168,3.3415,3.3522,3.3522,-3.3522
81.2200,3.3232,3.3413,3.3413,-3.3413
82.0313,3.3116,3.3318,3.3318,-3.3318
82.8507,3.3184,3.3236,3.3236,-3.3236
83.6783,3.3032,3.3166,3.3166,-3.3166
84.5141,3.3000,3.3107,3.3107,-3.3107
85.3583,3.3000,3.3059,3.3059,-3.3059
86.2109,3.2833,3.3020,3.3020,-3.3020
87.0721,3.2717,3.2991,3.2991,-3.2991
87.9418,3.2783,3.2974,3.2974,-3.2974
88.8203,3.2966,3.2966,3.2966,-3.2966
89.7075,3.3000,3.2964,3.2964,-3.2964
90.6035,3.2917,3.2966,3.2966,-3.2966
91.5085,3.2817,3.2972,3.2972,-3.2972
92.4226,3.2966,3.2982,3.2982,-3.2982
93.3458,3.3082,3.2993,3.2993,-3.2993
94.2782,3.3017,3.3001,3.3001,-3.3001
95.2199,3.3082,3.3006,3.3006,-3.3006
96.1711,3.3100,3.3004,3.3004,-3.3004
97.1317,3.3100,3.2992,3.2992,-3.2992
98.1019,3.3100,3.2967,3.2967,-3.2967
99.0818,3.3100,3.2926,3.2926,-3.2926
100.0715,3.3100,3.2865,3.2865,-3.2865
101.0711,3.3018,3.2782,3.2782,-3.2782
102.0807,3.3000,3.2673,3.2673,-3.2673
103.1004,3.3000,3.2535,3.2535,-3.2535
104.1302,3.2837,3.2361,3.2361,-3.2361
105.1703,3.2638,3.2150,3.2150,-3.2150
106.2209,3.2438,3.1899,3.1899,-3.1899
107.2819,3.2156,3.1604,3.1604,-3.1604
108.3535,3.1857,3.1264,3.1264,-3.1264
109.4358,3.1476,3.0876,3.0876,-3.0876
110.5289,3.0996,3.0437,3.0437,-3.0437
111.6330,3.0578,2.9947,2.9947,-2.9947
112.7481,3.0019,2.9404,2.9404,-2.9404
113.8743,2.9420,2.8809,2.8809,-2.8809
115.0118,2.8820,2.8159,2.8159,-2.8159
116.1606,2.8060,2.7455,2.7455,-2.7455
117.3209,2.7338,2.6699,2.6699,-2.6699
118.4928,2.6481,2.5889,2.5889,-2.5889
119.6764,2.5664,2.5028,2.5028,-2.5028
120.8718,2.4707,2.4115,2.4115,-2.4115
122.0792,2.3628,2.3152,2.3152,-2.3152
123.2986,2.2685,2.2142,2.2142,-2.2142
124.5302,2.1630,2.1087,2.1087,-2.1087
125.7741,2.0448,1.9986,1.9986,-1.9986
127.0304,1.9327,1.8844,1.8844,-1.8844
128.2993,1.8075,1.7663,1.7663,-1.7663
129.5808,1.6931,1.6444,1.6444,-1.6444
130.8752,1.5517,1.5190,1.5190,-1.5190
132.1825,1.4175,1.3906,1.3906,-1.3906
133.5028,1.2881,1.2593,1.2593,-1.2593
134.8363,1.1499,1.1254,1.1254,-1.1254
136.1832,1.0106,0.9892,0.9892,-0.9892
137.5435,0.8705,0.8509,0.8509,-0.8509
138.9174,0.7307,0.7109,0.7109,-0.7109
140.3050,0.5829,0.5693,0.5693,-0.5693
141.7065,0.4334,0.4265,0.4265,-0.4265
143.1220,0.2914,0.2827,0.2827,-0.2827
144.5516,0.1434,0.1383,0.1383,-0.1383
145.9955,0.0013,-0.0065,-0.0065,0.0065
147.4538,-0.1465,-0.1516,-0.1516,0.1516
148.9267,-0.3040,-0.2969,-0.2969,0.2969
150.4143,-0.4562,-0.4419,-0.4419,0.4419
151.9167,-0.5982,-0.5864,-0.5864,0.5864
153.4342,-0.7381,-0.7302,-0.7302,0.7302
154.9668,-0.8856,-0.8734,-0.8734,0.8734
156.5147,-1.0272,-1.0155,-1.0155,1.0155
158.0781,-1.1752,-1.1565,-1.1565,1.1565
159.6571,-1.3095,-1.2961,-1.2961,1.2961
