frequency,raw,smoothed,error,equalization
20.0000,5.9300,5.9068,5.9068,-5.9068
20.1998,5.9300,5.9031,5.9031,-5.9031
20.4015,5.9100,5.8987,5.8987,-5.8987
20.6053,5.9100,5.8938,5.8938,-5.8938
20.8112,5.9100,5.8883,5.8883,-5.8883
21.0190,5.9100,5.8820,5.8820,-5.8820
21.2290,5.9100,5.8747,5.8747,-5.8747
21.4410,5.8600,5.8662,5.8662,-5.8662
21.6552,5.8600,5.8571,5.8571,-5.8571
21.8715,5.8600,5.8470,5.8470,-5.8470
22.0900,5.8600,5.8357,5.8357,-5.8357
22.3106,5.8200,5.8226,5.8226,-5.8226
22.5335,5.8200,5.8084,5.8084,-5.8084
22.7586,5.8200,5.7933,5.7933,-5.7933
22.9859,5.7709,5.7770,5.7770,-5.7770
23.2155,5.7700,5.7600,5.7600,-5.7600
23.4474,5.7700,5.7421,5.7421,-5.7421
23.6816,5.7217,5.7231,5.7231,-5.7231
23.9182,5.7200,5.7034,5.7034,-5.7034
24.1571,5.6805,5.6828,5.6828,-5.6828
24.3984,5.6800,5.6614,5.6614,-5.6614
24.6421,5.6413,5.6391,5.6391,-5.6391
24.8882,5.6301,5.6160,5.6160,-5.6160
25.1368,5.6004,5.5921,5.5921,-5.5921
25.3879,5.5802,5.5673,5.5673,-5.5673
25.6415,5.5413,5.5417,5.5417,-5.5417
25.8976,5.5305,5.5155,5.5155,-5.5155
26.1563,5.4906,5.4883,5.4883,-5.4883
26.4176,5.4709,5.4604,5.4604,-5.4604
26.6815,5.4410,5.4318,5.4318,-5.4318
26.9480,5.4018,5.4023,5.4023,-5.4023
27.2172,5.4000,5.3720,5.3720,-5.3720
27.4890,5.3520,5.3406,5.3406,-5.3406
27.7636,5.3109,5.3083,5.3083,-5.3083
28.0409,5.2810,5.2752,5.2752,-5.2752
28.3210,5.2510,5.2415,5.2415,-5.2415
28.6039,5.2217,5.2070,5.2070,-5.2070
28.8896,5.1911,5.1717,5.1717,-5.1717
29.1782,5.1420,5.1355,5.1355,-5.1355
29.4697,5.1014,5.0986,5.0986,-5.0986
29.7640,5.0716,5.0612,5.0612,-5.0612
30.0613,5.0231,5.0232,5.0232,-5.0232
30.3616,4.9825,4.9848,4.9848,-4.9848
30.6649,4.9515,4.9461,4.9461,-4.9461
30.9712,4.9030,4.9073,4.9073,-4.9073
31.2806,4.8719,4.8684,4.8684,-4.8684
31.5930,4.8416,4.8293,4.8293,-4.8293
31.9086,4.7840,4.7900,4.7900,-4.7900
32.2273,4.7512,4.7509,4.7509,-4.7509
32.5492,4.7031,4.7119,4.7119,-4.7119
32.8744,4.6715,4.6734,4.6734,-4.6734
33.2027,4.6321,4.6351,4.6351,-4.6351
