frequency,raw,smoothed,error,equalization
20.0000,-5.3700,-5.3278,-5.3278,5.3278
20.1998,-5.3900,-5.3193,-5.3193,5.3193
20.4015,-5.3599,-5.3091,-5.3091,5.3091
20.6053,-5.3404,-5.2982,-5.2982,5.2982
20.8112,-5.3398,-5.2869,-5.2869,5.2869
21.0190,-5.3101,-5.2750,-5.2750,5.2750
21.2290,-5.3000,-5.2629,-5.2629,5.2629
21.4410,-5.2500,-5.2508,-5.2508,5.2508
21.6552,-5.2402,-5.2390,-5.2390,5.2390
21.8715,-5.1997,-5.2275,-5.2275,5.2275
22.0900,-5.1600,-5.2163,-5.2163,5.2163
22.3106,-5.1599,-5.2058,-5.2058,5.2058
22.5335,-5.1406,-5.1961,-5.1961,5.1961
22.7586,-5.1301,-5.1881,-5.1881,5.1881
22.9859,-5.1595,-5.1818,-5.1818,5.1818
23.2155,-5.1600,-5.1765,-5.1765,5.1765
23.4474,-5.1600,-5.1722,-5.1722,5.1722
23.6816,-5.1986,-5.1685,-5.1685,5.1685
23.9182,-5.2000,-5.1647,-5.1647,5.1647
24.1571,-5.2000,-5.1604,-5.1604,5.1604
24.3984,-5.2000,-5.1554,-5.1554,5.1554
24.6421,-5.1613,-5.1493,-5.1493,5.1493
24.8882,-5.1600,-5.1424,-5.1424,5.1424
25.1368,-5.1600,-5.1343,-5.1343,5.1343
25.3879,-5.1104,-5.1247,-5.1247,5.1247
25.6415,-5.1100,-5.1141,-5.1141,5.1141
25.8976,-5.1100,-5.1026,-5.1026,5.1026
26.1563,-5.1100,-5.0899,-5.0899,5.0899
26.4176,-5.0623,-5.0759,-5.0759,5.0759
26.6815,-5.0600,-5.0611,-5.0611,5.0611
26.9480,-5.0600,-5.0457,-5.0457,5.0457
27.2172,-5.0600,-5.0294,-5.0294,5.0294
27.4890,-5.0216,-5.0120,-5.0120,5.0120
27.7636,-5.0200,-4.9937,-4.9937,4.9937
28.0409,-4.9716,-4.9743,-4.9743,4.9743
28.3210,-4.9700,-4.9543,-4.9543,4.9543
28.6039,-4.9511,-4.9333,-4.9333,4.9333
28.8896,-4.9307,-4.9112,-4.9112,4.9112
29.1782,-4.8916,-4.8881,-4.8881,4.8881
29.4697,-4.8804,-4.8646,-4.8646,4.8646
29.7640,-4.8327,-4.8405,-4.8405,4.8405
30.0613,-4.8206,-4.8163,-4.8163,4.8163
30.3616,-4.7918,-4.7919,-4.7919,4.7919
30.6649,-4.7615,-4.7677,-4.7677,4.7677
30.9712,-4.7412,-4.7440,-4.7440,4.7440
31.2806,-4.7025,-4.7210,-4.7210,4.7210
31.5930,-4.6905,-4.6990,-4.6990,4.6990
31.9086,-4.6527,-4.6780,-4.6780,4.6780
32.2273,-4.6500,-4.6581,-4.6581,4.6581
32.5492,-4.6031,-4.6391,-4.6391,4.6391
32.8744,-4.6000,-4.6212,-4.6212,4.6212
33.2027,-4.6000,-4.6039,-4.6039,4.6039
33.5344,-4.5714,-4.5868,-4.5868,4.5868
33.8694,-4.5512,-4.5699,-4.5699,4.5699
34.2077,-4.5500,-4.5532,-4.5532,4.5532
34.5494,-4.5500,-4.5361,-4.5361,4.5361
34.8945,-4.5500,-4.5185,-4.5185,4.5185
35.2430,-4.5500,-4.4999,-4.4999,4.4999
35.5951,-4.5129,-4.4801,-4.4801,4.4801
35.9506,-4.5006,-4.4592,-4.4592,4.4592
36.3097,-4.4623,-4.4372,-4.4372,4.4372
36.6724,-4.4137,-4.4144,-4.4144,4.4144
37.0387,-4.3818,-4.3910,-4.3910,4.3910
37.4087,-4.3706,-4.3674,-4.3674,4.3674
37.7824,-4.3236,-4.3436,-4.3436,4.3436
38.1598,-4.2924,-4.3200,-4.3200,4.3200
38.5409,-4.2715,-4.2968,-4.2968,4.2968
38.9259,-4.2700,-4.2743,-4.2743,4.2743
39.3147,-4.2326,-4.2523,-4.2523,4.2523
39.7074,-4.2300,-4.2313,-4.2313,4.2313
40.1041,-4.2027,-4.2110,-4.2110,4.2110
40.5046,-4.1818,-4.1914,-4.1914,4.1914
40.9092,-4.1800,-4.1726,-4.1726,4.1726
41.3179,-4.1339,-4.1542,-4.1542,4.1542
41.7306,-4.1300,-4.1363,-4.1363,4.1363
42.1474,-4.1300,-4.1189,-4.1189,4.1189
42.5684,-4.0930,-4.1015,-4.1015,4.1015
42.9936,-4.0900,-4.0842,-4.0842,4.0842
43.4231,-4.0900,-4.0670,-4.0670,4.0670
43.8568,-4.0449,-4.0498,-4.0498,4.0498
44.2949,-4.0400,-4.0328,-4.0328,4.0328
44.7374,-4.0038,-4.0158,-4.0158,4.0158
45.1842,-3.9910,-3.9993,-3.9993,3.9993
45.6356,-3.9810,-3.9833,-3.9833,3.9833
46.0914,-3.9526,-3.9676,-3.9676,3.9676
46.5518,-3.9500,-3.9524,-3.9524,3.9524
47.0168,-3.9228,-3.9374,-3.9374,3.9374
47.4864,-3.9019,-3.9225,-3.9225,3.9225
47.9608,-3.9000,-3.9078,-3.9078,3.9078
48.4398,-3.9000,-3.8929,-3.8929,3.8929
48.9237,-3.9000,-3.8776,-3.8776,3.8776
49.4124,-3.8549,-3.8615,-3.8615,3.8615
49.9059,-3.8500,-3.8449,-3.8449,3.8449
50.4044,-3.8500,-3.8277,-3.8277,3.8277
50.9079,-3.8500,-3.8096,-3.8096,3.8096
51.4164,-3.8142,-3.7906,-3.7906,3.7906
51.9300,-3.8100,-3.7709,-3.7709,3.7709
52.4487,-3.7659,-3.7506,-3.7506,3.7506
52.9726,-3.7333,-3.7302,-3.7302,3.7302
53.5018,-3.6944,-3.7100,-3.7100,3.7100
54.0362,-3.6724,-3.6905,-3.6905,3.6905
54.5759,-3.6347,-3.6718,-3.6718,3.6718
55.1211,-3.6211,-3.6543,-3.6543,3.6543
55.6717,-3.5937,-3.6381,-3.6381,3.6381
56.2278,-3.5811,-3.6233,-3.6233,3.6233
56.7894,-3.5800,-3.6101,-3.6101,3.6101
57.3567,-3.5800,-3.5986,-3.5986,3.5986
57.9296,-3.5800,-3.5886,-3.5886,3.5886
58.5082,-3.5800,-3.5799,-3.5799,3.5799
59.0927,-3.5800,-3.5724,-3.5724,3.5724
59.6829,-3.5800,-3.5658,-3.5658,3.5658
60.2791,-3.5800,-3.5599,-3.5599,3.5599
60.8812,-3.5365,-3.5544,-3.5544,3.5544
61.4893,-3.5300,-3.5498,-3.5498,3.5498
62.1035,-3.5300,-3.5459,-3.5459,3.5459
62.7239,-3.5300,-3.5427,-3.5427,3.5427
63.3504,-3.5300,-3.5402,-3.5402,3.5402
63.9832,-3.5300,-3.5384,-3.5384,3.5384
64.6223,-3.5300,-3.5373,-3.5373,3.5373
65.2678,-3.5300,-3.5370,-3.5370,3.5370
65.9198,-3.5300,-3.5374,-3.5374,3.5374
66.5782,-3.5300,-3.5385,-3.5385,3.5385
67.2433,-3.5300,-3.5404,-3.5404,3.5404
67.9149,-3.5300,-3.5431,-3.5431,3.5431
68.5933,-3.5300,-3.5467,-3.5467,3.5467
69.2785,-3.5300,-3.5509,-3.5509,3.5509
69.9705,-3.5472,-3.5558,-3.5558,3.5558
70.6694,-3.5757,-3.5610,-3.5610,3.5610
71.3753,-3.5800,-3.5659,-3.5659,3.5659
72.0883,-3.5800,-3.5705,-3.5705,3.5705
72.8083,-3.5800,-3.5747,-3.5747,3.5747
73.5356,-3.5800,-3.5785,-3.5785,3.5785
74.2701,-3.5800,-3.5819,-3.5819,3.5819
75.0120,-3.5800,-3.5850,-3.5850,3.5850
75.7613,-3.5971,-3.5878,-3.5878,3.5878
76.5180,-3.6171,-3.5899,-3.5899,3.5899
77.2824,-3.6200,-3.5910,-3.5910,3.5910
78.0543,-3.6115,-3.5913,-3.5913,3.5913
78.8340,-3.6015,-3.5907,-3.5907,3.5907
79.6214,-3.5830,-3.5897,-3.5897,3.5897
80.4168,-3.5800,-3.5885,-3.5885,3.5885
81.2200,-3.5800,-3.5874,-3.5874,3.5874
82.0313,-3.5800,-3.5863,-3.5863,3.5863
82.8507,-3.5800,-3.5852,-3.5852,3.5852
83.6783,-3.5800,-3.5841,-3.5841,3.5841
84.5141,-3.5800,-3.5830,-3.5830,3.5830
85.3583,-3.5800,-3.5819,-3.5819,3.5819
86.2109,-3.5800,-3.5811,-3.5811,3.5811
87.0721,-3.5800,-3.5805,-3.5805,3.5805
87.9418,-3.5800,-3.5801,-3.5801,3.5801
88.8203,-3.5800,-3.5800,-3.5800,3.5800
89.7075,-3.5800,-3.5800,-3.5800,3.5800
90.6035,-3.5800,-3.5800,-3.5800,3.5800
91.5085,-3.5800,-3.5800,-3.5800,3.5800
92.4226,-3.5800,-3.5800,-3.5800,3.5800
93.3458,-3.5800,-3.5800,-3.5800,3.5800
94.2782,-3.5800,-3.5800,-3.5800,3.5800
95.2199,-3.5800,-3.5800,-3.5800,3.5800
96.1711,-3.5800,-3.5800,-3.5800,3.5800
97.1317,-3.5800,-3.5800,-3.5800,3.5800
98.1019,-3.5800,-3.5800,-3.5800,3.5800
99.0818,-3.5800,-3.5800,-3.5800,3.5800
100.0715,-3.5800,-3.5799,-3.5799,3.5799
101.0711,-3.5800,-3.5797,-3.5797,3.5797
102.0807,-3.5800,-3.5792,-3.5792,3.5792
103.1004,-3.5800,-3.5785,-3.5785,3.5785
104.1302,-3.5800,-3.5776,-3.5776,3.5776
105.1703,-3.5800,-3.5764,-3.5764,3.5764
106.2209,-3.5800,-3.5749,-3.5749,3.5749
107.2819,-3.5800,-3.5729,-3.5729,3.5729
108.3535,-3.5800,-3.5706,-3.5706,3.5706
109.4358,-3.5800,-3.5680,-3.5680,3.5680
110.5289,-3.5800,-3.5649,-3.5649,3.5649
111.6330,-3.5639,-3.5613,-3.5613,3.5613
112.7481,-3.5520,-3.5573,-3.5573,3.5573
113.8743,-3.5500,-3.5529,-3.5529,3.5529
115.0118,-3.5500,-3.5482,-3.5482,3.5482
116.1606,-3.5500,-3.5432,-3.5432,3.5432
117.3209,-3.5340,-3.5379,-3.5379,3.5379
118.4928,-3.5300,-3.5325,-3.5325,3.5325
119.6764,-3.5300,-3.5270,-3.5270,3.5270
120.8718,-3.5300,-3.5213,-3.5213,3.5213
122.0792,-3.5300,-3.5154,-3.5154,3.5154
123.2986,-3.5300,-3.5092,-3.5092,3.5092
124.5302,-3.4905,-3.5027,-3.5027,3.5027
125.7741,-3.4800,-3.4965,-3.4965,3.4965
127.0304,-3.4800,-3.4905,-3.4905,3.4905
128.2993,-3.4800,-3.4849,-3.4849,3.4849
129.5808,-3.4800,-3.4795,-3.4795,3.4795
130.8752,-3.4800,-3.4745,-3.4745,3.4745
132.1825,-3.4642,-3.4696,-3.4696,3.4696
133.5028,-3.4600,-3.4650,-3.4650,3.4650
134.8363,-3.4600,-3.4609,-3.4609,3.4609
136.1832,-3.4444,-3.4570,-3.4570,3.4570
137.5435,-3.4400,-3.4535,-3.4535,3.4535
138.9174,-3.4400,-3.4504,-3.4504,3.4504
140.3050,-3.4400,-3.4474,-3.4474,3.4474
141.7065,-3.4400,-3.4444,-3.4444,3.4444
143.1220,-3.4555,-3.4411,-3.4411,3.4411
144.5516,-3.4522,-3.4372,-3.4372,3.4372
145.9955,-3.4422,-3.4326,-3.4326,3.4326
147.4538,-3.4400,-3.4276,-3.4276,3.4276
148.9267,-3.4400,-3.4220,-3.4220,3.4220
150.4143,-3.4400,-3.4158,-3.4158,3.4158
151.9167,-3.4323,-3.4088,-3.4088,3.4088
153.4342,-3.3991,-3.4010,-3.4010,3.4010
154.9668,-3.3900,-3.3927,-3.3927,3.3927
156.5147,-3.3900,-3.3841,-3.3841,3.3841
158.0781,-3.3823,-3.3753,-3.3753,3.3753
159.6571,-3.3494,-3.3663,-3.3663,3.3663
161.2519,-3.3400,-3.3576,-3.3576,3.3576
162.8626,-3.3400,-3.3493,-3.3493,3.3493
164.4894,-3.3400,-3.3411,-3.3411,3.3411
166.1324,-3.3400,-3.3331,-3.3331,3.3331
167.7919,-3.3172,-3.3251,-3.3251,3.3251
169.4679,-3.3024,-3.3173,-3.3173,3.3173
171.1607,-3.3000,-3.3097,-3.3097,3.3097
172.8704,-3.3000,-3.3024,-3.3024,3.3024
174.5972,-3.3000,-3.2948,-3.2948,3.2948
176.3412,-3.3000,-3.2869,-3.2869,3.2869
178.1026,-3.3000,-3.2786,-3.2786,3.2786
179.8816,-3.3000,-3.2698,-3.2698,3.2698
181.6784,-3.2625,-3.2603,-3.2603,3.2603
183.4932,-3.2500,-3.2504,-3.2504,3.2504
185.3261,-3.2500,-3.2402,-3.2402,3.2402
187.1772,-3.2425,-3.2297,-3.2297,3.2297
189.0469,-3.2101,-3.2186,-3.2186,3.2186
190.9352,-3.2000,-3.2073,-3.2073,3.2073
192.8425,-3.2000,-3.1956,-3.1956,3.1956
194.7687,-3.1703,-3.1835,-3.1835,3.1835
196.7142,-3.1600,-3.1713,-3.1713,3.1713
