frequency,raw,smoothed,error,equalization
20.0000,-4.7400,-4.6202,-4.6202,4.6202
20.1998,-4.7300,-4.6059,-4.6059,4.6059
20.4015,-4.6797,-4.5891,-4.5891,4.5891
20.6053,-4.6409,-4.5707,-4.5707,4.5707
20.8112,-4.5898,-4.5509,-4.5509,4.5509
21.0190,-4.5601,-4.5301,-4.5301,4.5301
21.2290,-4.5202,-4.5081,-4.5081,4.5081
21.4410,-4.4899,-4.4847,-4.4847,4.4847
21.6552,-4.4704,-4.4599,-4.4599,4.4599
21.8715,-4.4299,-4.4331,-4.4331,4.4331
22.0900,-4.4200,-4.4041,-4.4041,4.4041
22.3106,-4.3799,-4.3723,-4.3723,4.3723
22.5335,-4.3411,-4.3383,-4.3383,4.3383
22.7586,-4.3301,-4.3040,-4.3040,4.3040
22.9859,-4.2809,-4.2691,-4.2691,4.2691
23.2155,-4.2506,-4.2335,-4.2335,4.2335
23.4474,-4.2105,-4.1970,-4.1970,4.1970
23.6816,-4.1617,-4.1596,-4.1596,4.1596
23.9182,-4.1302,-4.1213,-4.1213,4.1213
24.1571,-4.1004,-4.0818,-4.0818,4.0818
24.3984,-4.0404,-4.0409,-4.0409,4.0409
24.6421,-4.0109,-3.9989,-3.9989,3.9989
24.8882,-3.9604,-3.9554,-3.9554,3.9554
25.1368,-3.9304,-3.9104,-3.9104,3.9104
25.3879,-3.8903,-3.8636,-3.8636,3.8636
25.6415,-3.8416,-3.8147,-3.8147,3.8147
25.8976,-3.7924,-3.7639,-3.7639,3.7639
26.1563,-3.7309,-3.7111,-3.7111,3.7111
26.4176,-3.7014,-3.6564,-3.6564,3.6564
26.6815,-3.6420,-3.5996,-3.5996,3.5996
26.9480,-3.5636,-3.5407,-3.5407,3.5407
27.2172,-3.5124,-3.4803,-3.4803,3.4803
27.4890,-3.4428,-3.4185,-3.4185,3.4185
27.7636,-3.3619,-3.3557,-3.3557,3.3557
28.0409,-3.2826,-3.2926,-3.2926,3.2926
28.3210,-3.2219,-3.2298,-3.2298,3.2298
28.6039,-3.1539,-3.1677,-3.1677,3.1677
28.8896,-3.0730,-3.1069,-3.1069,3.1069
29.1782,-3.0124,-3.0482,-3.0482,3.0482
29.4697,-2.9618,-2.9922,-2.9922,2.9922
29.7640,-2.8937,-2.9392,-2.9392,2.9392
30.0613,-2.8337,-2.8898,-2.8898,2.8898
30.3616,-2.7831,-2.8446,-2.8446,2.8446
30.6649,-2.7515,-2.8037,-2.8037,2.8037
30.9712,-2.7030,-2.7672,-2.7672,2.7672
31.2806,-2.6625,-2.7353,-2.7353,2.7353
31.5930,-2.6600,-2.7081,-2.7081,2.7081
31.9086,-2.6133,-2.6852,-2.6852,2.6852
32.2273,-2.6100,-2.6671,-2.6671,2.6671
32.5492,-2.6100,-2.6531,-2.6531,2.6531
32.8744,-2.6100,-2.6427,-2.6427,2.6427
33.2027,-2.6100,-2.6355,-2.6355,2.6355
33.5344,-2.6100,-2.6311,-2.6311,2.6311
33.8694,-2.6100,-2.6290,-2.6290,2.6290
34.2077,-2.6100,-2.6287,-2.6287,2.6287
34.5494,-2.6100,-2.6301,-2.6301,2.6301
34.8945,-2.6100,-2.6326,-2.6326,2.6326
35.2430,-2.6469,-2.6359,-2.6359,2.6359
35.5951,-2.6593,-2.6389,-2.6389,2.6389
35.9506,-2.6600,-2.6412,-2.6412,2.6412
36.3097,-2.6600,-2.6423,-2.6423,2.6423
36.6724,-2.6600,-2.6419,-2.6419,2.6419
37.0387,-2.6600,-2.6398,-2.6398,2.6398
