frequency,raw,smoothed,error,equalization
20.0000,-3.1100,-3.1276,-3.1276,3.1276
20.1998,-3.1100,-3.1300,-3.1300,3.1300
20.4015,-3.1200,-3.1327,-3.1327,3.1327
20.6053,-3.1200,-3.1353,-3.1353,3.1353
20.8112,-3.1300,-3.1377,-3.1377,3.1377
21.0190,-3.1300,-3.1396,-3.1396,3.1396
21.2290,-3.1400,-3.1406,-3.1406,3.1406
21.4410,-3.1500,-3.1405,-3.1405,3.1405
21.6552,-3.1598,-3.1389,-3.1389,3.1389
21.8715,-3.1700,-3.1353,-3.1353,3.1353
22.0900,-3.1700,-3.1294,-3.1294,3.1294
22.3106,-3.1700,-3.1206,-3.1206,3.1206
22.5335,-3.1603,-3.1085,-3.1085,3.1085
22.7586,-3.1600,-3.0928,-3.0928,3.0928
22.9859,-3.1502,-3.0733,-3.0733,3.0733
23.2155,-3.1108,-3.0498,-3.0498,3.0498
23.4474,-3.0705,-3.0227,-3.0227,3.0227
23.6816,-3.0314,-2.9924,-2.9924,2.9924
23.9182,-2.9903,-2.9591,-2.9591,2.9591
24.1571,-2.9406,-2.9234,-2.9234,2.9234
24.3984,-2.9003,-2.8856,-2.8856,2.8856
24.6421,-2.8419,-2.8457,-2.8457,2.8457
24.8882,-2.8003,-2.8040,-2.8040,2.8040
25.1368,-2.7506,-2.7604,-2.7604,2.7604
25.3879,-2.7103,-2.7147,-2.7147,2.7147
25.6415,-2.6713,-2.6667,-2.6667,2.6667
25.8976,-2.6319,-2.6159,-2.6159,2.6159
26.1563,-2.5906,-2.5621,-2.5621,2.5621
26.4176,-2.5614,-2.5049,-2.5049,2.5049
26.6815,-2.5213,-2.4438,-2.4438,2.4438
26.9480,-2.4913,-2.3784,-2.3784,2.3784
27.2172,-2.4138,-2.3081,-2.3081,2.3081
27.4890,-2.3237,-2.2331,-2.2331,2.2331
27.7636,-2.2321,-2.1536,-2.1536,2.1536
28.0409,-2.1332,-2.0699,-2.0699,2.0699
28.3210,-2.0138,-1.9823,-1.9823,1.9823
28.6039,-1.8967,-1.8917,-1.8917,1.8917
28.8896,-1.7744,-1.7989,-1.7989,1.7989
29.1782,-1.6741,-1.7053,-1.7053,1.7053
29.4697,-1.5928,-1.6118,-1.6118,1.6118
29.7640,-1.5048,-1.5192,-1.5192,1.5192
30.0613,-1.4156,-1.4288,-1.4288,1.4288
30.3616,-1.3161,-1.3415,-1.3415,1.3415
30.6649,-1.2245,-1.2584,-1.2584,1.2584
30.9712,-1.1261,-1.1801,-1.1801,1.1801
31.2806,-1.0263,-1.1073,-1.1073,1.1073
31.5930,-0.9349,-1.0403,-1.0403,1.0403
31.9086,-0.8367,-0.9794,-0.9794,0.9794
32.2273,-0.7916,-0.9248,-0.9248,0.9248
32.5492,-0.7619,-0.8758,-0.8758,0.8758
32.8744,-0.7410,-0.8317,-0.8317,0.8317
33.2027,-0.7400,-0.7919,-0.7919,0.7919
33.5344,-0.7495,-0.7549,-0.7549,0.7549
33.8694,-0.7500,-0.7190,-0.7190,0.7190
34.2077,-0.7313,-0.6828,-0.6828,0.6828
34.5494,-0.7112,-0.6452,-0.6452,0.6452
34.8945,-0.6822,-0.6051,-0.6051,0.6051
35.2430,-0.6431,-0.5616,-0.5616,0.5616
35.5951,-0.5843,-0.5143,-0.5143,0.5143
35.9506,-0.5233,-0.4628,-0.4628,0.4628
36.3097,-0.4823,-0.4075,-0.4075,0.4075
36.6724,-0.4430,-0.3489,-0.3489,0.3489
37.0387,-0.3835,-0.2875,-0.2875,0.2875
37.4087,-0.2575,-0.2240,-0.2240,0.2240
37.7824,-0.1387,-0.1606,-0.1606,0.1606
38.1598,-0.0380,-0.0991,-0.0991,0.0991
38.5409,0.0439,-0.0412,-0.0412,0.0412
38.9259,0.1343,0.0122,0.0122,-0.0122
39.3147,0.1961,0.0598,0.0598,-0.0598
39.7074,0.2643,0.1009,0.1009,-0.1009
40.1041,0.2973,0.1348,0.1348,-0.1348
40.5046,0.2818,0.1615,0.1615,-0.1615
40.9092,0.2615,0.1815,0.1815,-0.1815
41.3179,0.2508,0.1954,0.1954,-0.1954
41.7306,0.2314,0.2039,0.2039,-0.2039
42.1474,0.2208,0.2081,0.2081,-0.2081
42.5684,0.2015,0.2091,0.2091,-0.2091
42.9936,0.1908,0.2084,0.2084,-0.2084
43.4231,0.1900,0.2067,0.2067,-0.2067
43.8568,0.1810,0.2048,0.2048,-0.2048
44.2949,0.1800,0.2033,0.2033,-0.2033
44.7374,0.1800,0.2029,0.2029,-0.2029
45.1842,0.1710,0.2039,0.2039,-0.2039
45.6356,0.1700,0.2066,0.2066,-0.2066
46.0914,0.1700,0.2108,0.2108,-0.2108
46.5518,0.1969,0.2162,0.2162,-0.2162
47.0168,0.2181,0.2225,0.2225,-0.2225
47.4864,0.2381,0.2290,0.2290,-0.2290
47.9608,0.2669,0.2353,0.2353,-0.2353
48.4398,0.2700,0.2409,0.2409,-0.2409
48.9237,0.2700,0.2456,0.2456,-0.2456
49.4124,0.2700,0.2493,0.2493,-0.2493
49.9059,0.2789,0.2519,0.2519,-0.2519
50.4044,0.2800,0.2532,0.2532,-0.2532
50.9079,0.2710,0.2532,0.2532,-0.2532
51.4164,0.2611,0.2518,0.2518,-0.2518
51.9300,0.2600,0.2493,0.2493,-0.2493
52.4487,0.2512,0.2459,0.2459,-0.2459
52.9726,0.2411,0.2417,0.2417,-0.2417
53.5018,0.2400,0.2369,0.2369,-0.2369
54.0362,0.2312,0.2315,0.2315,-0.2315
54.5759,0.2212,0.2257,0.2257,-0.2257
55.1211,0.2200,0.2196,0.2196,-0.2196
55.6717,0.2112,0.2131,0.2131,-0.2131
56.2278,0.2011,0.2060,0.2060,-0.2060
56.7894,0.1912,0.1983,0.1983,-0.1983
57.3567,0.1989,0.1900,0.1900,-0.1900
57.9296,0.2000,0.1808,0.1808,-0.1808
58.5082,0.2088,0.1705,0.1705,-0.1705
59.0927,0.2012,0.1592,0.1592,-0.1592
59.6829,0.1564,0.1470,0.1470,-0.1470
60.2791,0.1412,0.1346,0.1346,-0.1346
60.8812,0.1400,0.1224,0.1224,-0.1224
61.4893,0.1226,0.1103,0.1103,-0.1103
62.1035,0.1025,0.0985,0.0985,-0.0985
62.7239,0.0649,0.0874,0.0874,-0.0874
63.3504,0.0338,0.0773,0.0773,-0.0773
63.9832,0.0041,0.0688,0.0688,-0.0688
64.6223,0.0000,0.0620,0.0620,-0.0620
65.2678,0.0087,0.0571,0.0571,-0.0571
65.9198,0.0186,0.0539,0.0539,-0.0539
66.5782,0.0458,0.0521,0.0521,-0.0521
67.2433,0.0587,0.0509,0.0509,-0.0509
67.9149,0.0686,0.0497,0.0497,-0.0497
68.5933,0.0700,0.0481,0.0481,-0.0481
69.2785,0.0700,0.0460,0.0460,-0.0460
69.9705,0.0700,0.0432,0.0432,-0.0432
70.6694,0.0700,0.0395,0.0395,-0.0395
71.3753,0.0700,0.0346,0.0346,-0.0346
72.0883,0.0614,0.0281,0.0281,-0.0281
72.8083,0.0428,0.0200,0.0200,-0.0200
73.5356,0.0400,0.0105,0.0105,-0.0105
