frequency,raw,smoothed,error,equalization
20.0000,-2.5000,-2.4995,-2.4995,2.4995
20.1998,-2.5000,-2.4988,-2.4988,2.4988
20.4015,-2.5000,-2.4977,-2.4977,2.4977
20.6053,-2.5000,-2.4960,-2.4960,2.4960
20.8112,-2.5000,-2.4937,-2.4937,2.4937
21.0190,-2.5000,-2.4905,-2.4905,2.4905
21.2290,-2.5000,-2.4864,-2.4864,2.4864
21.4410,-2.5000,-2.4811,-2.4811,2.4811
21.6552,-2.5000,-2.4744,-2.4744,2.4744
21.8715,-2.4999,-2.4661,-2.4661,2.4661
22.0900,-2.4900,-2.4558,-2.4558,2.4558
22.3106,-2.4700,-2.4435,-2.4435,2.4435
22.5335,-2.4603,-2.4291,-2.4291,2.4291
22.7586,-2.4401,-2.4126,-2.4126,2.4126
22.9859,-2.4204,-2.3939,-2.3939,2.3939
23.2155,-2.3906,-2.3731,-2.3731,2.3731
23.4474,-2.3702,-2.3502,-2.3502,2.3502
23.6816,-2.3410,-2.3255,-2.3255,2.3255
23.9182,-2.3102,-2.2994,-2.2994,2.2994
24.1571,-2.2804,-2.2723,-2.2723,2.2723
24.3984,-2.2601,-2.2443,-2.2443,2.2443
24.6421,-2.2309,-2.2153,-2.2153,2.2153
24.8882,-2.2101,-2.1850,-2.1850,2.1850
25.1368,-2.1705,-2.1530,-2.1530,2.1530
25.3879,-2.1204,-2.1194,-2.1194,2.1194
25.6415,-2.0716,-2.0844,-2.0844,2.0844
25.8976,-2.0224,-2.0483,-2.0483,2.0483
26.1563,-2.0003,-2.0112,-2.0112,2.0112
26.4176,-1.9905,-1.9736,-1.9736,1.9736
26.6815,-1.9900,-1.9356,-1.9356,1.9356
26.9480,-1.9804,-1.8971,-1.8971,1.8971
27.2172,-1.9229,-1.8579,-1.8579,1.8579
27.4890,-1.8432,-1.8187,-1.8187,1.8187
27.7636,-1.7619,-1.7802,-1.7802,1.7802
28.0409,-1.6923,-1.7432,-1.7432,1.7432
28.3210,-1.6319,-1.7079,-1.7079,1.7079
28.6039,-1.5828,-1.6745,-1.6745,1.6745
28.8896,-1.5222,-1.6430,-1.6430,1.6430
29.1782,-1.5200,-1.6139,-1.6139,1.6139
29.4697,-1.5489,-1.5867,-1.5867,1.5867
29.7640,-1.5784,-1.5610,-1.5610,1.5610
30.0613,-1.5894,-1.5363,-1.5363,1.5363
30.3616,-1.5712,-1.5125,-1.5125,1.5125
30.6649,-1.5510,-1.4893,-1.4893,1.4893
30.9712,-1.5312,-1.4658,-1.4658,1.4658
31.2806,-1.4738,-1.4406,-1.4406,1.4406
31.5930,-1.4038,-1.4128,-1.4128,1.4128
31.9086,-1.3440,-1.3817,-1.3817,1.3817
32.2273,-1.3112,-1.3462,-1.3462,1.3462
32.5492,-1.3006,-1.3046,-1.3046,1.3046
32.8744,-1.2905,-1.2548,-1.2548,1.2548
33.2027,-1.2995,-1.1951,-1.1951,1.1951
33.5344,-1.3095,-1.1237,-1.1237,1.1237
33.8694,-1.3194,-1.0389,-1.0389,1.0389
34.2077,-1.2359,-0.9388,-0.9388,0.9388
34.5494,-1.1079,-0.8234,-0.8234,0.8234
34.8945,-0.9795,-0.6931,-0.6931,0.6931
35.2430,-0.8039,-0.5489,-0.5489,0.5489
35.5951,-0.6043,-0.3925,-0.3925,0.3925
35.9506,-0.4011,-0.2263,-0.2263,0.2263
36.3097,-0.1447,-0.0532,-0.0532,0.0532
36.6724,0.1291,0.1229,0.1229,-0.1229
37.0387,0.3946,0.2977,0.2977,-0.2977
37.4087,0.6362,0.4672,0.4672,-0.4672
37.7824,0.8725,0.6275,0.6275,-0.6275
38.1598,1.0741,0.7753,0.7753,-0.7753
38.5409,1.2378,0.9081,0.9081,-0.9081
38.9259,1.3999,1.0245,1.0245,-1.0245
39.3147,1.4568,1.1234,1.1234,-1.1234
39.7074,1.4967,1.2052,1.2052,-1.2052
40.1041,1.5000,1.2707,1.2707,-1.2707
40.5046,1.4544,1.3214,1.3214,-1.3214
40.9092,1.4038,1.3596,1.3596,-1.3596
41.3179,1.3724,1.3880,1.3880,-1.3880
41.7306,1.3422,1.4090,1.4090,-1.4090
42.1474,1.3400,1.4251,1.4251,-1.4251
42.5684,1.3770,1.4378,1.4378,-1.4378
42.9936,1.4166,1.4477,1.4477,-1.4477
43.4231,1.4657,1.4555,1.4555,-1.4555
43.8568,1.5061,1.4610,1.4610,-1.4610
44.2949,1.5192,1.4646,1.4646,-1.4646
44.7374,1.5200,1.4664,1.4664,-1.4664
45.1842,1.5200,1.4664,1.4664,-1.4664
45.6356,1.5200,1.4642,1.4642,-1.4642
46.0914,1.5200,1.4588,1.4588,-1.4588
46.5518,1.5290,1.4494,1.4494,-1.4494
47.0168,1.5209,1.4353,1.4353,-1.4353
47.4864,1.4746,1.4162,1.4162,-1.4162
47.9608,1.4251,1.3927,1.3927,-1.3927
48.4398,1.3752,1.3652,1.3652,-1.3652
48.9237,1.3158,1.3345,1.3345,-1.3345
49.4124,1.3190,1.3017,1.3017,-1.3017
49.9059,1.3378,1.2667,1.2667,-1.2667
50.4044,1.2867,1.2291,1.2291,-1.2291
50.9079,1.2262,1.1895,1.1895,-1.1895
51.4164,1.1484,1.1483,1.1483,-1.1483
51.9300,1.0781,1.1066,1.1066,-1.1066
52.4487,1.0435,1.0657,1.0657,-1.0657
52.9726,1.0222,1.0259,1.0259,-1.0259
53.5018,0.9666,0.9872,0.9872,-0.9872
54.0362,0.9071,0.9496,0.9496,-0.9496
54.5759,0.8736,0.9136,0.9136,-0.9136
55.1211,0.8433,0.8793,0.8793,-0.8793
55.6717,0.8312,0.8468,0.8468,-0.8468
56.2278,0.7945,0.8163,0.8163,-0.8163
56.7894,0.7462,0.7879,0.7879,-0.7879
57.3567,0.7223,0.7618,0.7618,-0.7618
57.9296,0.7112,0.7375,0.7375,-0.7375
58.5082,0.7275,0.7149,0.7149,-0.7149
59.0927,0.7212,0.6932,0.6932,-0.6932
59.6829,0.6590,0.6724,0.6724,-0.6724
60.2791,0.6236,0.6530,0.6530,-0.6530
60.8812,0.6200,0.6353,0.6353,-0.6353
61.4893,0.6200,0.6188,0.6188,-0.6188
62.1035,0.6113,0.6034,0.6034,-0.6034
62.7239,0.5925,0.5890,0.5890,-0.5890
63.3504,0.5551,0.5757,0.5757,-0.5757
63.9832,0.5068,0.5638,0.5638,-0.5638
64.6223,0.5086,0.5537,0.5537,-0.5537
65.2678,0.5187,0.5452,0.5452,-0.5452
65.9198,0.5200,0.5383,0.5383,-0.5383
66.5782,0.5200,0.5325,0.5325,-0.5325
67.2433,0.5200,0.5274,0.5274,-0.5274
67.9149,0.5200,0.5221,0.5221,-0.5221
68.5933,0.5200,0.5164,0.5164,-0.5164
69.2785,0.5200,0.5106,0.5106,-0.5106
69.9705,0.5200,0.5047,0.5047,-0.5047
70.6694,0.5200,0.4984,0.4984,-0.4984
71.3753,0.5200,0.4913,0.4913,-0.4913
72.0883,0.5200,0.4828,0.4828,-0.4828
72.8083,0.5200,0.4727,0.4727,-0.4727
73.5356,0.5200,0.4610,0.4610,-0.4610
74.2701,0.4689,0.4477,0.4477,-0.4477
75.0120,0.3831,0.4336,0.4336,-0.4336
75.7613,0.3700,0.4199,0.4199,-0.4199
76.5180,0.3785,0.4070,0.4070,-0.4070
77.2824,0.3969,0.3945,0.3945,-0.3945
78.0543,0.4255,0.3824,0.3824,-0.3824
78.8340,0.3704,0.3701,0.3701,-0.3701
79.6214,0.3260,0.3586,0.3586,-0.3586
80.4168,0.3115,0.3484,0.3484,-0.3484
81.2200,0.3100,0.3399,0.3399,-0.3399
82.0313,0.3100,0.3329,0.3329,-0.3329
