frequency,raw,smoothed,error,equalization
20.0000,0.0200,0.0200,0.0200,-0.0200
20.1998,0.0200,0.0200,0.0200,-0.0200
20.4015,0.0200,0.0200,0.0200,-0.0200
20.6053,0.0200,0.0200,0.0200,-0.0200
20.8112,0.0200,0.0197,0.0197,-0.0197
21.0190,0.0200,0.0187,0.0187,-0.0187
21.2290,0.0200,0.0167,0.0167,-0.0167
21.4410,0.0200,0.0133,0.0133,-0.0133
21.6552,0.0200,0.0083,0.0083,-0.0083
21.8715,0.0200,0.0018,0.0018,-0.0018
22.0900,0.0200,-0.0064,-0.0064,0.0064
22.3106,0.0200,-0.0163,-0.0163,0.0163
22.5335,0.0200,-0.0280,-0.0280,0.0280
22.7586,0.0200,-0.0415,-0.0415,0.0415
22.9859,0.0200,-0.0566,-0.0566,0.0566
23.2155,-0.0290,-0.0734,-0.0734,0.0734
23.4474,-0.0893,-0.0913,-0.0913,0.0913
23.6816,-0.1383,-0.1092,-0.1092,0.1092
23.9182,-0.1896,-0.1264,-0.1264,0.1264
24.1571,-0.2098,-0.1423,-0.1423,0.1423
24.3984,-0.2100,-0.1565,-0.1565,0.1565
24.6421,-0.2100,-0.1689,-0.1689,0.1689
24.8882,-0.2100,-0.1797,-0.1797,0.1797
25.1368,-0.2100,-0.1888,-0.1888,0.1888
25.3879,-0.2100,-0.1966,-0.1966,0.1966
25.6415,-0.2100,-0.2034,-0.2034,0.2034
25.8976,-0.2100,-0.2099,-0.2099,0.2099
26.1563,-0.2100,-0.2164,-0.2164,0.2164
26.4176,-0.2100,-0.2233,-0.2233,0.2233
26.6815,-0.2100,-0.2311,-0.2311,0.2311
26.9480,-0.2100,-0.2401,-0.2401,0.2401
27.2172,-0.2100,-0.2506,-0.2506,0.2506
27.4890,-0.2100,-0.2628,-0.2628,0.2628
27.7636,-0.2100,-0.2766,-0.2766,0.2766
28.0409,-0.2197,-0.2923,-0.2923,0.2923
28.3210,-0.2781,-0.3104,-0.3104,0.3104
28.6039,-0.3461,-0.3303,-0.3303,0.3303
28.8896,-0.4078,-0.3513,-0.3513,0.3513
29.1782,-0.4292,-0.3719,-0.3719,0.3719
29.4697,-0.4300,-0.3913,-0.3913,0.3913
29.7640,-0.4300,-0.4089,-0.4089,0.4089
30.0613,-0.4300,-0.4242,-0.4242,0.4242
30.3616,-0.4300,-0.4367,-0.4367,0.4367
