frequency,raw,smoothed,error,equalization
20.0000,-4.4900,-4.5768,-4.5768,4.5768
20.1998,-4.5100,-4.5875,-4.5875,4.5875
20.4015,-4.5401,-4.5997,-4.5997,4.5997
20.6053,-4.5596,-4.6132,-4.6132,4.6132
20.8112,-4.5901,-4.6276,-4.6276,4.6276
21.0190,-4.6099,-4.6430,-4.6430,4.6430
21.2290,-4.6399,-4.6594,-4.6594,4.6594
21.4410,-4.6601,-4.6766,-4.6766,4.6766
21.6552,-4.6893,-4.6948,-4.6948,4.6948
21.8715,-4.7201,-4.7140,-4.7140,4.7140
22.0900,-4.7400,-4.7342,-4.7342,4.7342
22.3106,-4.7601,-4.7555,-4.7555,4.7555
22.5335,-4.7892,-4.7773,-4.7773,4.7773
22.7586,-4.8099,-4.7983,-4.7983,4.7983
22.9859,-4.8296,-4.8183,-4.8183,4.8183
23.2155,-4.8496,-4.8371,-4.8371,4.8371
23.4474,-4.8698,-4.8547,-4.8547,4.8547
23.6816,-4.8893,-4.8709,-4.8709,4.8709
23.9182,-4.9098,-4.8855,-4.8855,4.8855
24.1571,-4.9199,-4.8984,-4.8984,4.8984
24.3984,-4.9299,-4.9094,-4.9094,4.9094
24.6421,-4.9397,-4.9186,-4.9186,4.9186
24.8882,-4.9499,-4.9258,-4.9258,4.9258
25.1368,-4.9599,-4.9309,-4.9309,4.9309
25.3879,-4.9600,-4.9337,-4.9337,4.9337
25.6415,-4.9600,-4.9343,-4.9343,4.9343
25.8976,-4.9600,-4.9325,-4.9325,4.9325
26.1563,-4.9600,-4.9285,-4.9285,4.9285
26.4176,-4.9505,-4.9219,-4.9219,4.9219
26.6815,-4.9403,-4.9130,-4.9130,4.9130
26.9480,-4.9304,-4.9018,-4.9018,4.9018
27.2172,-4.9110,-4.8883,-4.8883,4.8883
27.4890,-4.9004,-4.8725,-4.8725,4.8725
27.7636,-4.8805,-4.8544,-4.8544,4.8544
28.0409,-4.8606,-4.8343,-4.8343,4.8343
28.3210,-4.8310,-4.8121,-4.8121,4.8121
28.6039,-4.8111,-4.7881,-4.7881,4.7881
28.8896,-4.7811,-4.7623,-4.7623,4.7623
29.1782,-4.7512,-4.7349,-4.7349,4.7349
29.4697,-4.7211,-4.7062,-4.7062,4.7062
29.7640,-4.6916,-4.6762,-4.6762,4.6762
30.0613,-4.6525,-4.6452,-4.6452,4.6452
