frequency,raw,smoothed,error,equalization
20.0000,-5.1400,-4.9686,-4.9686,4.9686
20.1998,-5.1000,-4.9422,-4.9422,4.9422
20.4015,-5.0597,-4.9113,-4.9113,4.9113
20.6053,-5.0209,-4.8760,-4.8760,4.8760
20.8112,-4.9797,-4.8366,-4.8366,4.8366
21.0190,-4.9302,-4.7931,-4.7931,4.7931
21.2290,-4.8504,-4.7458,-4.7458,4.7458
21.4410,-4.7696,-4.6948,-4.6948,4.6948
21.6552,-4.6917,-4.6405,-4.6405,4.6405
21.8715,-4.6194,-4.5825,-4.5825,4.5825
22.0900,-4.5300,-4.5207,-4.5207,4.5207
22.3106,-4.4397,-4.4547,-4.4547,4.4547
22.5335,-4.3525,-4.3863,-4.3863,4.3863
22.7586,-4.2606,-4.3190,-4.3190,4.3190
22.9859,-4.1618,-4.2537,-4.2537,4.2537
23.2155,-4.1208,-4.1912,-4.1912,4.1912
23.4474,-4.0805,-4.1315,-4.1315,4.1315
23.6816,-4.0414,-4.0742,-4.0742,4.0742
23.9182,-4.0003,-4.0192,-4.0192,4.0192
24.1571,-3.9605,-3.9661,-3.9661,3.9661
24.3984,-3.9103,-3.9143,-3.9143,3.9143
24.6421,-3.8713,-3.8639,-3.8639,3.8639
24.8882,-3.8204,-3.8144,-3.8144,3.8144
25.1368,-3.7706,-3.7657,-3.7657,3.7657
25.3879,-3.7303,-3.7174,-3.7174,3.7174
25.6415,-3.6816,-3.6690,-3.6690,3.6690
25.8976,-3.6419,-3.6200,-3.6200,3.6200
26.1563,-3.5809,-3.5701,-3.5701,3.5701
26.4176,-3.5228,-3.5194,-3.5194,3.5194
26.6815,-3.4620,-3.4681,-3.4681,3.4681
26.9480,-3.4027,-3.4163,-3.4163,3.4163
27.2172,-3.3619,-3.3644,-3.3644,3.3644
27.4890,-3.3120,-3.3124,-3.3124,3.3124
27.7636,-3.2709,-3.2602,-3.2602,3.2602
28.0409,-3.2313,-3.2080,-3.2080,3.2080
28.3210,-3.1719,-3.1559,-3.1559,3.1559
28.6039,-3.1039,-3.1042,-3.1042,3.1042
28.8896,-3.0422,-3.0534,-3.0534,3.0534
29.1782,-2.9824,-3.0036,-3.0036,3.0036
29.4697,-2.9318,-2.9549,-2.9549,2.9549
29.7640,-2.8732,-2.9073,-2.9073,2.9073
30.0613,-2.8231,-2.8611,-2.8611,2.8611
30.3616,-2.7825,-2.8165,-2.8165,2.8165
30.6649,-2.7420,-2.7734,-2.7734,2.7734
30.9712,-2.7024,-2.7318,-2.7318,2.7318
31.2806,-2.6813,-2.6915,-2.6915,2.6915
31.5930,-2.6611,-2.6522,-2.6522,2.6522
31.9086,-2.6413,-2.6135,-2.6135,2.6135
32.2273,-2.5920,-2.5749,-2.5749,2.5749
32.5492,-2.5338,-2.5364,-2.5364,2.5364
32.8744,-2.4729,-2.4983,-2.4983,2.4983
33.2027,-2.4416,-2.4608,-2.4608,2.4608
33.5344,-2.4305,-2.4236,-2.4236,2.4236
33.8694,-2.4112,-2.3862,-2.3862,2.3862
34.2077,-2.3726,-2.3482,-2.3482,2.3482
34.5494,-2.3230,-2.3099,-2.3099,2.3099
34.8945,-2.2644,-2.2718,-2.2718,2.2718
35.2430,-2.2231,-2.2345,-2.2345,2.2345
35.5951,-2.1829,-2.1981,-2.1981,2.1981
35.9506,-2.1328,-2.1628,-2.1628,2.1628
36.3097,-2.1111,-2.1289,-2.1289,2.1289
36.6724,-2.0822,-2.0959,-2.0959,2.0959
37.0387,-2.0518,-2.0636,-2.0636,2.0636
37.4087,-2.0029,-2.0323,-2.0323,2.0323
37.7824,-1.9536,-2.0025,-2.0025,2.0025
38.1598,-1.9316,-1.9747,-1.9747,1.9747
38.5409,-1.9392,-1.9488,-1.9488,1.9488
38.9259,-1.9494,-1.9241,-1.9241,1.9241
39.3147,-1.9219,-1.9001,-1.9001,1.9001
39.7074,-1.8924,-1.8765,-1.8765,1.8765
40.1041,-1.8536,-1.8530,-1.8530,1.8530
40.5046,-1.8044,-1.8297,-1.8297,1.8297
40.9092,-1.7538,-1.8069,-1.8069,1.8069
41.3179,-1.7592,-1.7854,-1.7854,1.7854
41.7306,-1.7786,-1.7649,-1.7649,1.7649
42.1474,-1.7708,-1.7449,-1.7449,1.7449
42.5684,-1.7423,-1.7250,-1.7250,1.7250
42.9936,-1.7034,-1.7053,-1.7053,1.7053
43.4231,-1.6909,-1.6860,-1.6860,1.6860
43.8568,-1.6810,-1.6673,-1.6673,1.6673
44.2949,-1.6341,-1.6490,-1.6490,1.6490
44.7374,-1.5757,-1.6317,-1.6317,1.6317
45.1842,-1.5520,-1.6159,-1.6159,1.6159
45.6356,-1.5680,-1.6012,-1.6012,1.6012
46.0914,-1.5791,-1.5870,-1.5870,1.5870
46.5518,-1.5890,-1.5726,-1.5726,1.5726
47.0168,-1.5900,-1.5581,-1.5581,1.5581
47.4864,-1.5719,-1.5434,-1.5434,1.5434
47.9608,-1.5521,-1.5288,-1.5288,1.5288
48.4398,-1.5231,-1.5143,-1.5143,1.5143
48.9237,-1.4929,-1.5002,-1.5002,1.5002
49.4124,-1.4900,-1.4866,-1.4866,1.4866
49.9059,-1.4900,-1.4737,-1.4737,1.4737
50.4044,-1.4544,-1.4609,-1.4609,1.4609
50.9079,-1.4142,-1.4484,-1.4484,1.4484
51.4164,-1.4011,-1.4369,-1.4369,1.4369
51.9300,-1.3823,-1.4265,-1.4265,1.4265
52.4487,-1.3888,-1.4176,-1.4176,1.4176
52.9726,-1.3900,-1.4102,-1.4102,1.4102
53.5018,-1.3900,-1.4038,-1.4038,1.4038
54.0362,-1.3900,-1.3979,-1.3979,1.3979
54.5759,-1.3900,-1.3920,-1.3920,1.3920
55.1211,-1.3900,-1.3856,-1.3856,1.3856
55.6717,-1.3900,-1.3785,-1.3785,1.3785
56.2278,-1.3900,-1.3707,-1.3707,1.3707
56.7894,-1.3900,-1.3622,-1.3622,1.3622
57.3567,-1.3900,-1.3527,-1.3527,1.3527
57.9296,-1.3900,-1.3423,-1.3423,1.3423
58.5082,-1.3900,-1.3313,-1.3313,1.3313
59.0927,-1.3723,-1.3197,-1.3197,1.3197
59.6829,-1.3177,-1.3078,-1.3078,1.3078
60.2791,-1.2660,-1.2962,-1.2962,1.2962
60.8812,-1.2078,-1.2856,-1.2856,1.2856
61.4893,-1.2000,-1.2771,-1.2771,1.2771
62.1035,-1.2000,-1.2706,-1.2706,1.2706
62.7239,-1.2000,-1.2662,-1.2662,1.2662
63.3504,-1.2000,-1.2638,-1.2638,1.2638
63.9832,-1.2086,-1.2635,-1.2635,1.2635
64.6223,-1.2790,-1.2652,-1.2652,1.2652
65.2678,-1.3161,-1.2678,-1.2678,1.2678
65.9198,-1.3114,-1.2707,-1.2707,1.2707
66.5782,-1.3014,-1.2740,-1.2740,1.2740
67.2433,-1.2913,-1.2775,-1.2775,1.2775
67.9149,-1.2900,-1.2811,-1.2811,1.2811
68.5933,-1.2900,-1.2844,-1.2844,1.2844
69.2785,-1.2900,-1.2871,-1.2871,1.2871
69.9705,-1.2900,-1.2891,-1.2891,1.2891
70.6694,-1.2900,-1.2911,-1.2911,1.2911
71.3753,-1.2900,-1.2932,-1.2932,1.2932
72.0883,-1.2900,-1.2957,-1.2957,1.2957
72.8083,-1.2900,-1.2986,-1.2986,1.2986
73.5356,-1.2900,-1.3023,-1.3023,1.3023
74.2701,-1.2900,-1.3069,-1.3069,1.3069
75.0120,-1.2900,-1.3124,-1.3124,1.3124
75.7613,-1.2900,-1.3187,-1.3187,1.3187
76.5180,-1.2900,-1.3260,-1.3260,1.3260
77.2824,-1.2900,-1.3347,-1.3347,1.3347
78.0543,-1.3070,-1.3454,-1.3454,1.3454
78.8340,-1.3951,-1.3580,-1.3580,1.3580
79.6214,-1.4270,-1.3712,-1.3712,1.3712
80.4168,-1.4131,-1.3844,-1.3844,1.3844
81.2200,-1.3932,-1.3980,-1.3980,1.3980
82.0313,-1.3900,-1.4124,-1.4124,1.4124
82.8507,-1.3900,-1.4280,-1.4280,1.4280
83.6783,-1.3900,-1.4451,-1.4451,1.4451
84.5141,-1.3984,-1.4641,-1.4641,1.4641
85.3583,-1.4417,-1.4850,-1.4850,1.4850
86.2109,-1.5169,-1.5073,-1.5073,1.5073
87.0721,-1.5715,-1.5298,-1.5298,1.5298
87.9418,-1.5800,-1.5518,-1.5518,1.5518
88.8203,-1.5800,-1.5736,-1.5736,1.5736
89.7075,-1.5800,-1.5958,-1.5958,1.5958
90.6035,-1.5800,-1.6187,-1.6187,1.6187
91.5085,-1.6216,-1.6423,-1.6423,1.6423
92.4226,-1.6632,-1.6659,-1.6659,1.6659
93.3458,-1.7194,-1.6890,-1.6890,1.6890
94.2782,-1.7630,-1.7109,-1.7109,1.7109
95.2199,-1.7700,-1.7312,-1.7312,1.7312
96.1711,-1.7700,-1.7502,-1.7502,1.7502
97.1317,-1.7782,-1.7687,-1.7687,1.7687
98.1019,-1.7882,-1.7872,-1.7872,1.7872
99.0818,-1.7982,-1.8055,-1.8055,1.8055
100.0715,-1.8164,-1.8233,-1.8233,1.8233
101.0711,-1.8364,-1.8402,-1.8402,1.8402
102.0807,-1.8481,-1.8562,-1.8562,1.8562
103.1004,-1.8581,-1.8713,-1.8713,1.8713
104.1302,-1.8763,-1.8856,-1.8856,1.8856
105.1703,-1.8962,-1.8988,-1.8988,1.8988
106.2209,-1.9243,-1.9106,-1.9106,1.9106
107.2819,-1.9625,-1.9207,-1.9207,1.9207
108.3535,-2.0266,-1.9286,-1.9286,1.9286
109.4358,-2.0157,-1.9329,-1.9329,1.9329
110.5289,-1.9534,-1.9336,-1.9336,1.9336
111.6330,-1.9400,-1.9313,-1.9313,1.9313
112.7481,-1.9480,-1.9261,-1.9261,1.9261
113.8743,-1.9580,-1.9181,-1.9181,1.9181
115.0118,-1.9920,-1.9074,-1.9074,1.9074
116.1606,-1.9600,-1.8932,-1.8932,1.8932
117.3209,-1.9019,-1.8755,-1.8755,1.8755
118.4928,-1.8580,-1.8549,-1.8549,1.8549
119.6764,-1.8420,-1.8320,-1.8320,1.8320
120.8718,-1.8400,-1.8066,-1.8066,1.8066
122.0792,-1.8004,-1.7793,-1.7793,1.7793
123.2986,-1.7265,-1.7510,-1.7510,1.7510
124.5302,-1.6784,-1.7229,-1.7229,1.7229
125.7741,-1.7017,-1.6955,-1.6955,1.6955
127.0304,-1.7021,-1.6687,-1.6687,1.6687
128.2993,-1.7000,-1.6422,-1.6422,1.6422
129.5808,-1.6368,-1.6155,-1.6155,1.6155
130.8752,-1.5333,-1.5894,-1.5894,1.5894
