frequency,raw,smoothed,error,equalization
20.0000,7.7200,7.5025,7.5025,-7.5025
20.1998,7.6601,7.4768,7.4768,-7.4768
20.4015,7.5996,7.4472,7.4472,-7.4472
20.6053,7.5413,7.4146,7.4146,-7.4146
20.8112,7.4697,7.3793,7.3793,-7.3793
21.0190,7.4103,7.3418,7.3418,-7.3418
21.2290,7.3503,7.3019,7.3019,-7.3019
21.4410,7.2897,7.2596,7.2596,-7.2596
21.6552,7.2313,7.2147,7.2147,-7.2147
21.8715,7.1696,7.1669,7.1669,-7.1669
22.0900,7.1100,7.1158,7.1158,-7.1158
22.3106,7.0598,7.0609,7.0609,-7.0609
22.5335,7.0017,7.0032,7.0032,-7.0032
22.7586,6.9404,6.9460,6.9460,-6.9460
22.9859,6.8811,6.8891,6.8891,-6.8891
23.2155,6.8212,6.8327,6.8327,-6.8327
23.4474,6.7706,6.7767,6.7767,-6.7767
23.6816,6.7217,6.7209,6.7209,-6.7209
23.9182,6.6605,6.6652,6.6652,-6.6652
24.1571,6.6106,6.6096,6.6096,-6.6096
24.3984,6.5603,6.5539,6.5539,-6.5539
24.6421,6.5019,6.4980,6.4980,-6.4980
24.8882,6.4504,6.4421,6.4421,-6.4421
25.1368,6.3908,6.3860,6.3860,-6.3860
25.3879,6.3305,6.3298,6.3298,-6.3298
25.6415,6.2816,6.2738,6.2738,-6.2738
25.8976,6.2229,6.2176,6.2176,-6.2176
26.1563,6.1609,6.1614,6.1614,-6.1614
26.4176,6.1028,6.1053,6.1053,-6.1053
26.6815,6.0420,6.0492,6.0492,-6.0492
26.9480,5.9827,5.9933,5.9933,-5.9933
27.2172,5.9229,5.9376,5.9376,-5.9376
27.4890,5.8720,5.8823,5.8823,-5.8823
27.7636,5.8212,5.8272,5.8272,-5.8272
28.0409,5.7716,5.7724,5.7724,-5.7724
28.3210,5.7216,5.7178,5.7178,-5.7178
28.6039,5.6728,5.6633,5.6633,-5.6633
28.8896,5.6122,5.6087,5.6087,-5.6087
29.1782,5.5620,5.5543,5.5543,-5.5543
29.4697,5.5021,5.4998,5.4998,-5.4998
29.7640,5.4432,5.4453,5.4453,-5.4453
30.0613,5.3837,5.3910,5.3910,-5.3910
30.3616,5.3331,5.3366,5.3366,-5.3366
30.6649,5.2825,5.2823,5.2823,-5.2823
30.9712,5.2236,5.2277,5.2277,-5.2277
31.2806,5.1731,5.1730,5.1730,-5.1730
31.5930,5.1227,5.1180,5.1180,-5.1180
31.9086,5.0640,5.0627,5.0627,-5.0627
32.2273,5.0120,5.0070,5.0070,-5.0070
32.5492,4.9538,4.9507,4.9507,-4.9507
32.8744,4.9024,4.8937,4.8937,-4.8937
33.2027,4.8526,4.8358,4.8358,-4.8358
33.5344,4.7928,4.7768,4.7768,-4.7768
