frequency,raw,smoothed,error,equalization
20.0000,2.4100,2.5280,2.5280,-2.5280
20.1998,2.4200,2.5460,2.5460,-2.5460
20.4015,2.4503,2.5671,2.5671,-2.5671
20.6053,2.4891,2.5912,2.5912,-2.5912
20.8112,2.5402,2.6179,2.6179,-2.6179
21.0190,2.5699,2.6469,2.6469,-2.6469
21.2290,2.6198,2.6785,2.6785,-2.6785
21.4410,2.6802,2.7128,2.7128,-2.7128
21.6552,2.7191,2.7497,2.7497,-2.7497
21.8715,2.7703,2.7895,2.7895,-2.7895
22.0900,2.8200,2.8327,2.8327,-2.8327
22.3106,2.8702,2.8798,2.8798,-2.8798
22.5335,2.9283,2.9298,2.9298,-2.9298
22.7586,2.9797,2.9805,2.9805,-2.9805
22.9859,3.0389,3.0316,3.0316,-3.0316
23.2155,3.0792,3.0829,3.0829,-3.0829
23.4474,3.1393,3.1343,3.1343,-3.1343
23.6816,3.1883,3.1858,3.1858,-3.1858
23.9182,3.2396,3.2373,3.2373,-3.2373
24.1571,3.2795,3.2889,3.2889,-3.2889
24.3984,3.3396,3.3408,3.3408,-3.3408
24.6421,3.3884,3.3928,3.3928,-3.3928
24.8882,3.4496,3.4449,3.4449,-3.4449
25.1368,3.4895,3.4969,3.4969,-3.4969
25.3879,3.5495,3.5490,3.5490,-3.5490
25.6415,3.6080,3.6010,3.6010,-3.6010
25.8976,3.6481,3.6530,3.6530,-3.6530
26.1563,3.6993,3.7050,3.7050,-3.7050
26.4176,3.7477,3.7569,3.7569,-3.7569
26.6815,3.8080,3.8087,3.8087,-3.8087
26.9480,3.8769,3.8602,3.8602,-3.8602
27.2172,3.9276,3.9111,3.9111,-3.9111
27.4890,3.9684,3.9612,3.9612,-3.9612
27.7636,4.0188,4.0106,4.0106,-4.0106
28.0409,4.0684,4.0593,4.0593,-4.0593
28.3210,4.1184,4.1071,4.1071,-4.1071
28.6039,4.1672,4.1542,4.1542,-4.1542
28.8896,4.2182,4.2003,4.2003,-4.2003
29.1782,4.2584,4.2454,4.2454,-4.2454
29.4697,4.2986,4.2893,4.2893,-4.2893
29.7640,4.3473,4.3321,4.3321,-4.3321
30.0613,4.3875,4.3736,4.3736,-4.3736
30.3616,4.4182,4.4141,4.4141,-4.4141
30.6649,4.4675,4.4537,4.4537,-4.4537
30.9712,4.4982,4.4921,4.4921,-4.4921
31.2806,4.5375,4.5295,4.5295,-4.5295
31.5930,4.5873,4.5659,4.5659,-4.5659
31.9086,4.6180,4.6011,4.6011,-4.6011
32.2273,4.6584,4.6352,4.6352,-4.6352
32.5492,4.6787,4.6682,4.6682,-4.6682
32.8744,4.6990,4.7003,4.7003,-4.7003
33.2027,4.7474,4.7316,4.7316,-4.7316
33.5344,4.7691,4.7621,4.7621,-4.7621
33.8694,4.7982,4.7918,4.7918,-4.7918
34.2077,4.8374,4.8208,4.8208,-4.8208
34.5494,4.8400,4.8490,4.8490,-4.8490
34.8945,4.8864,4.8767,4.8767,-4.8767
35.2430,4.9085,4.9038,4.9038,-4.9038
35.5951,4.9286,4.9302,4.9302,-4.9302
35.9506,4.9678,4.9562,4.9562,-4.9562
36.3097,4.9794,4.9814,4.9814,-4.9814
36.6724,5.0263,5.0060,5.0060,-5.0060
37.0387,5.0300,5.0295,5.0295,-5.0295
37.4087,5.0677,5.0520,5.0520,-5.0520
37.7824,5.0793,5.0732,5.0732,-5.0732
38.1598,5.1168,5.0933,5.0933,-5.0933
38.5409,5.1200,5.1119,5.1119,-5.1119
38.9259,5.1668,5.1295,5.1295,-5.1295
39.3147,5.1700,5.1455,5.1455,-5.1455
39.7074,5.1700,5.1601,5.1601,-5.1601
40.1041,5.2064,5.1735,5.1735,-5.1735
40.5046,5.2100,5.1850,5.1850,-5.1850
40.9092,5.2100,5.1947,5.1947,-5.1947
41.3179,5.2100,5.2029,5.2029,-5.2029
41.7306,5.2100,5.2098,5.2098,-5.2098
42.1474,5.2100,5.2152,5.2152,-5.2152
42.5684,5.2192,5.2194,5.2194,-5.2194
42.9936,5.2475,5.2222,5.2222,-5.2222
43.4231,5.2591,5.2232,5.2232,-5.2232
43.8568,5.2600,5.2224,5.2224,-5.2224
44.2949,5.2600,5.2196,5.2196,-5.2196
44.7374,5.2419,5.2147,5.2147,-5.2147
45.1842,5.2131,5.2080,5.2080,-5.2080
45.6356,5.2100,5.1999,5.1999,-5.1999
46.0914,5.2100,5.1902,5.1902,-5.1902
46.5518,5.2100,5.1787,5.1787,-5.1787
47.0168,5.1738,5.1653,5.1653,-5.1653
47.4864,5.1700,5.1502,5.1502,-5.1502
47.9608,5.1610,5.1334,5.1334,-5.1334
48.4398,5.1242,5.1147,5.1147,-5.1147
48.9237,5.1200,5.0948,5.0948,-5.0948
49.4124,5.0749,5.0734,5.0734,-5.0734
49.9059,5.0700,5.0508,5.0508,-5.0508
50.4044,5.0344,5.0268,5.0268,-5.0268
50.9079,5.0210,5.0015,5.0015,-5.0015
51.4164,4.9842,4.9745,4.9745,-4.9745
51.9300,4.9623,4.9462,4.9462,-4.9462
52.4487,4.9335,4.9164,4.9164,-4.9164
52.9726,4.9033,4.8851,4.8851,-4.8851
53.5018,4.8733,4.8523,4.8523,-4.8523
54.0362,4.8435,4.8179,4.8179,-4.8179
54.5759,4.8047,4.7820,4.7820,-4.7820
55.1211,4.7555,4.7447,4.7447,-4.7447
55.6717,4.7237,4.7063,4.7063,-4.7063
56.2278,4.6845,4.6666,4.6666,-4.6666
56.7894,4.6362,4.6261,4.6261,-4.6261
57.3567,4.5945,4.5850,4.5850,-4.5850
57.9296,4.5549,4.5436,4.5436,-4.5436
58.5082,4.4974,4.5024,4.5024,-4.5024
59.0927,4.4546,4.4618,4.4618,-4.4618
59.6829,4.4064,4.4223,4.4223,-4.4223
60.2791,4.3560,4.3845,4.3845,-4.3845
60.8812,4.3152,4.3488,4.3488,-4.3488
61.4893,4.2753,4.3156,4.3156,-4.3156
62.1035,4.2438,4.2852,4.2852,-4.2852
62.7239,4.1961,4.2577,4.2577,-4.2577
63.3504,4.1900,4.2336,4.2336,-4.2336
63.9832,4.1554,4.2127,4.2127,-4.2127
64.6223,4.1414,4.1950,4.1950,-4.1950
65.2678,4.1400,4.1806,4.1806,-4.1806
65.9198,4.1400,4.1691,4.1691,-4.1691
66.5782,4.1400,4.1601,4.1601,-4.1601
67.2433,4.1400,4.1532,4.1532,-4.1532
67.9149,4.1400,4.1478,4.1478,-4.1478
