frequency,raw,smoothed,error,equalization
20.0000,0.3500,0.4579,0.4579,-0.4579
20.1998,0.3800,0.4723,0.4723,-0.4723
20.4015,0.3904,0.4889,0.4889,-0.4889
20.6053,0.4389,0.5078,0.5078,-0.5078
20.8112,0.4702,0.5284,0.5284,-0.5284
21.0190,0.4999,0.5507,0.5507,-0.5507
21.2290,0.5299,0.5748,0.5748,-0.5748
21.4410,0.5801,0.6008,0.6008,-0.6008
21.6552,0.6093,0.6287,0.6287,-0.6287
21.8715,0.6403,0.6588,0.6588,-0.6588
22.0900,0.6800,0.6913,0.6913,-0.6913
22.3106,0.7301,0.7268,0.7268,-0.7268
22.5335,0.7592,0.7641,0.7641,-0.7641
22.7586,0.8097,0.8017,0.8017,-0.8017
22.9859,0.8395,0.8393,0.8393,-0.8393
23.2155,0.8792,0.8768,0.8768,-0.8768
23.4474,0.9195,0.9142,0.9142,-0.9142
23.6816,0.9490,0.9514,0.9514,-0.9514
23.9182,0.9996,0.9883,0.9883,-0.9883
24.1571,1.0296,1.0248,1.0248,-1.0248
24.3984,1.0598,1.0609,1.0609,-1.0609
24.6421,1.1084,1.0965,1.0965,-1.0965
24.8882,1.1398,1.1315,1.1315,-1.1315
25.1368,1.1696,1.1658,1.1658,-1.1658
25.3879,1.1998,1.1995,1.1995,-1.1995
25.6415,1.2484,1.2326,1.2326,-1.2326
25.8976,1.2786,1.2649,1.2649,-1.2649
26.1563,1.3096,1.2963,1.2963,-1.2963
26.4176,1.3291,1.3267,1.3267,-1.3267
26.6815,1.3687,1.3563,1.3563,-1.3563
26.9480,1.3987,1.3850,1.3850,-1.3850
27.2172,1.4190,1.4125,1.4125,-1.4125
27.4890,1.4584,1.4391,1.4391,-1.4391
27.7636,1.4698,1.4645,1.4645,-1.4645
28.0409,1.5087,1.4889,1.4889,-1.4889
28.3210,1.5294,1.5120,1.5120,-1.5120
28.6039,1.5489,1.5339,1.5339,-1.5339
28.8896,1.5693,1.5547,1.5547,-1.5547
29.1782,1.5892,1.5742,1.5742,-1.5742
29.4697,1.5900,1.5926,1.5926,-1.5926
29.7640,1.6373,1.6098,1.6098,-1.6098
30.0613,1.6400,1.6255,1.6255,-1.6255
30.3616,1.6400,1.6399,1.6399,-1.6399
30.6649,1.6780,1.6532,1.6532,-1.6532
30.9712,1.6800,1.6649,1.6649,-1.6649
31.2806,1.6800,1.6753,1.6753,-1.6753
31.5930,1.7084,1.6846,1.6846,-1.6846
31.9086,1.7193,1.6926,1.6926,-1.6926
32.2273,1.7200,1.6992,1.6992,-1.6992
32.5492,1.7200,1.7046,1.7046,-1.7046
32.8744,1.7200,1.7090,1.7090,-1.7090
33.2027,1.7200,1.7123,1.7123,-1.7123
33.5344,1.7200,1.7147,1.7147,-1.7147
33.8694,1.7200,1.7162,1.7162,-1.7162
34.2077,1.7200,1.7168,1.7168,-1.7168
34.5494,1.7200,1.7166,1.7166,-1.7166
34.8945,1.7200,1.7157,1.7157,-1.7157
35.2430,1.7200,1.7140,1.7140,-1.7140
35.5951,1.7200,1.7114,1.7114,-1.7114
35.9506,1.7200,1.7081,1.7081,-1.7081
36.3097,1.7200,1.7040,1.7040,-1.7040
36.6724,1.7200,1.6988,1.6988,-1.6988
37.0387,1.7200,1.6926,1.6926,-1.6926
37.4087,1.6823,1.6851,1.6851,-1.6851
37.7824,1.6800,1.6768,1.6768,-1.6768
38.1598,1.6800,1.6675,1.6675,-1.6675
38.5409,1.6800,1.6570,1.6570,-1.6570
38.9259,1.6519,1.6452,1.6452,-1.6452
39.3147,1.6406,1.6323,1.6323,-1.6323
39.7074,1.6400,1.6182,1.6182,-1.6182
40.1041,1.6218,1.6028,1.6028,-1.6028
40.5046,1.5927,1.5861,1.5861,-1.5861
40.9092,1.5900,1.5682,1.5682,-1.5682
41.3179,1.5531,1.5491,1.5491,-1.5491
41.7306,1.5500,1.5289,1.5289,-1.5289
42.1474,1.5131,1.5074,1.5074,-1.5074
42.5684,1.5100,1.4846,1.4846,-1.4846
42.9936,1.4642,1.4602,1.4602,-1.4602
43.4231,1.4600,1.4347,1.4347,-1.4347
43.8568,1.4239,1.4075,1.4075,-1.4075
44.2949,1.3924,1.3788,1.3788,-1.3788
44.7374,1.3628,1.3487,1.3487,-1.3487
45.1842,1.3331,1.3170,1.3170,-1.3170
45.6356,1.3030,1.2837,1.2837,-1.2837
46.0914,1.2726,1.2486,1.2486,-1.2486
46.5518,1.2341,1.2114,1.2114,-1.2114
47.0168,1.1938,1.1720,1.1720,-1.1720
47.4864,1.1628,1.1304,1.1304,-1.1304
47.9608,1.1151,1.0861,1.0861,-1.0861
48.4398,1.0652,1.0392,1.0392,-1.0392
48.9237,1.0148,0.9895,0.9895,-0.9895
49.4124,0.9739,0.9369,0.9369,-0.9369
49.9059,0.9254,0.8811,0.8811,-0.8811
50.4044,0.8756,0.8219,0.8219,-0.8219
50.9079,0.8073,0.7590,0.7590,-0.7590
51.4164,0.7374,0.6924,0.6924,-0.6924
51.9300,0.6681,0.6220,0.6220,-0.6220
52.4487,0.5894,0.5476,0.5476,-0.5476
52.9726,0.5177,0.4692,0.4692,-0.4692
53.5018,0.4210,0.3868,0.3868,-0.3868
54.0362,0.3571,0.3003,0.3003,-0.3003
54.5759,0.2530,0.2094,0.2094,-0.2094
55.1211,0.1509,0.1143,0.1143,-0.1143
55.6717,0.0698,0.0151,0.0151,-0.0151
56.2278,-0.0287,-0.0881,-0.0881,0.0881
56.7894,-0.1364,-0.1953,-0.1953,0.1953
57.3567,-0.2564,-0.3063,-0.3063,0.3063
57.9296,-0.3842,-0.4209,-0.4209,0.4209
58.5082,-0.5052,-0.5386,-0.5386,0.5386
59.0927,-0.6172,-0.6594,-0.6594,0.6594
59.6829,-0.7520,-0.7831,-0.7831,0.7831
60.2791,-0.9020,-0.9096,-0.9096,0.9096
60.8812,-1.0332,-1.0383,-1.0383,1.0383
61.4893,-1.1541,-1.1691,-1.1691,1.1691
62.1035,-1.2925,-1.3022,-1.3022,1.3022
62.7239,-1.4240,-1.4374,-1.4374,1.4374
63.3504,-1.5448,-1.5745,-1.5745,1.5745
63.9832,-1.6897,-1.7138,-1.7138,1.7138
64.6223,-1.8308,-1.8550,-1.8550,1.8550
65.2678,-1.9633,-1.9983,-1.9983,1.9983
65.9198,-2.1095,-2.1435,-2.1435,2.1435
66.5782,-2.2505,-2.2907,-2.2907,2.2907
67.2433,-2.4090,-2.4398,-2.4398,2.4398
67.9149,-2.5762,-2.5904,-2.5904,2.5904
68.5933,-2.7287,-2.7425,-2.7425,2.7425
69.2785,-2.8885,-2.8956,-2.8956,2.8956
69.9705,-3.0387,-3.0497,-3.0497,3.0497
70.6694,-3.2141,-3.2045,-3.2045,3.2045
71.3753,-3.3679,-3.3595,-3.3595,3.3595
72.0883,-3.5271,-3.5140,-3.5140,3.5140
72.8083,-3.6788,-3.6675,-3.6675,3.6675
73.5356,-3.8371,-3.8193,-3.8193,3.8193
74.2701,-3.9877,-3.9685,-3.9685,3.9685
75.0120,-4.1381,-4.1137,-4.1137,4.1137
75.7613,-4.2883,-4.2535,-4.2535,4.2535
76.5180,-4.4379,-4.3859,-4.3859,4.3859
77.2824,-4.5956,-4.5090,-4.5090,4.5090
78.0543,-4.7475,-4.6202,-4.6202,4.6202
78.8340,-4.8977,-4.7168,-4.7168,4.7168
79.6214,-5.0135,-4.7962,-4.7962,4.7962
80.4168,-5.1231,-4.8561,-4.8561,4.8561
81.2200,-5.2072,-4.8943,-4.8943,4.8943
82.0313,-5.2789,-4.9089,-4.9089,4.9089
82.8507,-5.2984,-4.8983,-4.8983,4.8983
83.6783,-5.2663,-4.8619,-4.8619,4.8619
84.5141,-5.2013,-4.7997,-4.7997,4.7997
85.3583,-5.0733,-4.7124,-4.7124,4.7124
86.2109,-4.9078,-4.6019,-4.6019,4.6019
87.0721,-4.7223,-4.4708,-4.4708,4.4708
87.9418,-4.4992,-4.3223,-4.3223,4.3223
88.8203,-4.2691,-4.1604,-4.1604,4.1604
89.7075,-4.0228,-3.9894,-3.9894,3.9894
90.6035,-3.7900,-3.8138,-3.8138,3.8138
91.5085,-3.5504,-3.6379,-3.6379,3.6379
92.4226,-3.3276,-3.4663,-3.4663,3.4663
