frequency,raw,smoothed,error,equalization
20.0000,-10.9400,-10.6050,-10.6050,10.6050
20.1998,-10.8501,-10.5614,-10.5614,10.5614
20.4015,-10.7593,-10.5102,-10.5102,10.5102
20.6053,-10.6622,-10.4520,-10.4520,10.4520
20.8112,-10.5695,-10.3878,-10.3878,10.3878
21.0190,-10.4804,-10.3176,-10.3176,10.3176
21.2290,-10.3805,-10.2415,-10.2415,10.2415
21.4410,-10.2695,-10.1592,-10.1592,10.1592
21.6552,-10.1722,-10.0704,-10.0704,10.0704
21.8715,-10.0691,-9.9744,-9.9744,9.9744
22.0900,-9.9400,-9.8702,-9.8702,9.8702
22.3106,-9.7796,-9.7567,-9.7567,9.7567
22.5335,-9.6342,-9.6368,-9.6368,9.6368
22.7586,-9.4710,-9.5163,-9.5163,9.5163
22.9859,-9.3128,-9.3958,-9.3958,9.3958
23.2155,-9.2120,-9.2760,-9.2760,9.2760
23.4474,-9.1111,-9.1568,-9.1568,9.1568
23.6816,-9.0231,-9.0385,-9.0385,9.0385
23.9182,-8.9208,-8.9209,-8.9209,8.9209
24.1571,-8.8212,-8.8041,-8.8041,8.8041
24.3984,-8.7107,-8.6882,-8.6882,8.6882
24.6421,-8.6035,-8.5731,-8.5731,8.5731
24.8882,-8.4908,-8.4584,-8.4584,8.4584
25.1368,-8.3616,-8.3438,-8.3438,8.3438
25.3879,-8.2212,-8.2294,-8.2294,8.2294
25.6415,-8.0846,-8.1157,-8.1157,8.1157
25.8976,-7.9467,-8.0030,-8.0030,8.0030
26.1563,-7.8415,-7.8916,-7.8916,7.8916
26.4176,-7.7637,-7.7814,-7.7814,7.7814
26.6815,-7.6730,-7.6719,-7.6719,7.6719
26.9480,-7.5936,-7.5627,-7.5627,7.5627
27.2172,-7.4757,-7.4534,-7.4534,7.4534
27.4890,-7.3357,-7.3441,-7.3441,7.3441
27.7636,-7.1933,-7.2352,-7.2352,7.2352
28.0409,-7.0739,-7.1272,-7.1272,7.1272
28.3210,-7.0022,-7.0204,-7.0204,7.0204
28.6039,-6.9339,-6.9141,-6.9141,6.9141
28.8896,-6.8626,-6.8074,-6.8074,6.8074
29.1782,-6.7545,-6.6994,-6.6994,6.6994
29.4697,-6.6246,-6.5896,-6.5896,6.5896
29.7640,-6.4874,-6.4785,-6.4785,6.4785
30.0613,-6.3581,-6.3668,-6.3668,6.3668
30.3616,-6.2467,-6.2552,-6.2552,6.2552
30.6649,-6.1260,-6.1438,-6.1438,6.1438
30.9712,-6.0167,-6.0327,-6.0327,6.0327
31.2806,-5.9163,-5.9213,-5.9213,5.9213
31.5930,-5.8249,-5.8093,-5.8093,5.8093
31.9086,-5.7267,-5.6966,-5.6966,5.6966
32.2273,-5.5953,-5.5832,-5.5832,5.5832
32.5492,-5.4588,-5.4699,-5.4699,5.4699
32.8744,-5.3168,-5.3575,-5.3575,5.3575
33.2027,-5.2152,-5.2465,-5.2465,5.2465
33.5344,-5.1338,-5.1367,-5.1367,5.1367
33.8694,-5.0549,-5.0276,-5.0276,5.0276
34.2077,-4.9379,-4.9186,-4.9186,4.9186
34.5494,-4.8079,-4.8096,-4.8096,4.8096
34.8945,-4.6702,-4.7004,-4.7004,4.7004
35.2430,-4.5585,-4.5917,-4.5917,4.5917
35.5951,-4.4571,-4.4843,-4.4843,4.4843
35.9506,-4.3555,-4.3787,-4.3787,4.3787
36.3097,-4.2651,-4.2752,-4.2752,4.2752
36.6724,-4.1767,-4.1736,-4.1736,4.1736
37.0387,-4.0853,-4.0732,-4.0732,4.0732
37.4087,-3.9858,-3.9732,-3.9732,3.9732
37.7824,-3.8873,-3.8734,-3.8734,3.8734
38.1598,-3.7603,-3.7737,-3.7737,3.7737
38.5409,-3.6115,-3.6742,-3.6742,3.6742
38.9259,-3.4501,-3.5756,-3.5756,3.5756
39.3147,-3.4119,-3.4785,-3.4785,3.4785
39.7074,-3.4008,-3.3818,-3.3818,3.3818
40.1041,-3.3636,-3.2840,-3.2840,3.2840
40.5046,-3.2871,-3.1844,-3.1844,3.1844
40.9092,-3.2062,-3.0825,-3.0825,3.0825
41.3179,-3.0618,-2.9781,-2.9781,2.9781
41.7306,-2.8922,-2.8720,-2.8720,2.8720
42.1474,-2.7509,-2.7651,-2.7651,2.7651
42.5684,-2.6290,-2.6580,-2.6580,2.6580
42.9936,-2.5102,-2.5510,-2.5510,2.5510
43.4231,-2.4086,-2.4442,-2.4442,2.4442
43.8568,-2.3098,-2.3374,-2.3374,2.3374
44.2949,-2.2082,-2.2309,-2.2309,2.2309
44.7374,-2.1095,-2.1255,-2.1255,2.1255
45.1842,-2.0102,-2.0224,-2.0224,2.0224
45.6356,-1.9099,-1.9226,-1.9226,1.9226
46.0914,-1.8086,-1.8271,-1.8271,1.8271
46.5518,-1.7013,-1.7366,-1.7366,1.7366
47.0168,-1.5994,-1.6520,-1.6520,1.6520
47.4864,-1.4902,-1.5745,-1.5745,1.5745
