frequency,raw,smoothed,error,equalization
20.0000,-3.4500,-3.4382,-3.4382,3.4382
20.1998,-3.4500,-3.4331,-3.4331,3.4331
20.4015,-3.4501,-3.4270,-3.4270,3.4270
20.6053,-3.4598,-3.4199,-3.4199,3.4199
20.8112,-3.4600,-3.4115,-3.4115,3.4115
21.0190,-3.4600,-3.4016,-3.4016,3.4016
21.2290,-3.4301,-3.3899,-3.3899,3.3899
21.4410,-3.4099,-3.3768,-3.3768,3.3768
21.6552,-3.3807,-3.3623,-3.3623,3.3623
21.8715,-3.3499,-3.3463,-3.3463,3.3463
22.0900,-3.3300,-3.3288,-3.3288,3.3288
22.3106,-3.3099,-3.3097,-3.3097,3.3097
22.5335,-3.2906,-3.2892,-3.2892,3.2892
22.7586,-3.2701,-3.2681,-3.2681,3.2681
22.9859,-3.2504,-3.2467,-3.2467,3.2467
23.2155,-3.2304,-3.2252,-3.2252,3.2252
23.4474,-3.2003,-3.2038,-3.2038,3.2038
23.6816,-3.1807,-3.1828,-3.1828,3.1828
23.9182,-3.1602,-3.1619,-3.1619,3.1619
24.1571,-3.1304,-3.1408,-3.1408,3.1408
24.3984,-3.1101,-3.1198,-3.1198,3.1198
24.6421,-3.0809,-3.0989,-3.0989,3.0989
24.8882,-3.0601,-3.0784,-3.0784,3.0784
25.1368,-3.0501,-3.0587,-3.0587,3.0587
25.3879,-3.0500,-3.0392,-3.0392,3.0392
25.6415,-3.0403,-3.0191,-3.0191,3.0191
25.8976,-3.0400,-2.9979,-2.9979,2.9979
26.1563,-3.0104,-2.9750,-2.9750,2.9750
26.4176,-2.9623,-2.9507,-2.9507,2.9507
26.6815,-2.9116,-2.9257,-2.9257,2.9257
26.9480,-2.8622,-2.9006,-2.9006,2.9006
27.2172,-2.8600,-2.8761,-2.8761,2.8761
27.4890,-2.8792,-2.8521,-2.8521,2.8521
27.7636,-2.8898,-2.8281,-2.8281,2.8281
28.0409,-2.8803,-2.8037,-2.8037,2.8037
28.3210,-2.8026,-2.7786,-2.7786,2.7786
