frequency,raw,smoothed,error,equalization
20.0000,0.4700,0.5568,0.5568,-0.5568
20.1998,0.4900,0.5697,0.5697,-0.5697
20.4015,0.5101,0.5844,0.5844,-0.5844
20.6053,0.5296,0.6006,0.6006,-0.6006
20.8112,0.5501,0.6183,0.6183,-0.6183
21.0190,0.5699,0.6375,0.6375,-0.6375
21.2290,0.6198,0.6583,0.6583,-0.6583
21.4410,0.6602,0.6803,0.6803,-0.6803
21.6552,0.6991,0.7035,0.7035,-0.7035
21.8715,0.7502,0.7283,0.7283,-0.7283
22.0900,0.7800,0.7546,0.7546,-0.7546
22.3106,0.8001,0.7830,0.7830,-0.7830
22.5335,0.8194,0.8131,0.8131,-0.8131
22.7586,0.8498,0.8438,0.8438,-0.8438
22.9859,0.8696,0.8751,0.8751,-0.8751
23.2155,0.8896,0.9072,0.9072,-0.9072
23.4474,0.9197,0.9403,0.9403,-0.9403
23.6816,0.9393,0.9743,0.9743,-0.9743
23.9182,0.9598,1.0094,1.0094,-1.0094
24.1571,0.9995,1.0458,1.0458,-1.0458
24.3984,1.0596,1.0835,1.0835,-1.0835
24.6421,1.1084,1.1221,1.1221,-1.1221
24.8882,1.1596,1.1613,1.1613,-1.1613
25.1368,1.2094,1.2009,1.2009,-1.2009
25.3879,1.2596,1.2405,1.2405,-1.2405
25.6415,1.2987,1.2798,1.2798,-1.2798
25.8976,1.3476,1.3188,1.3188,-1.3188
26.1563,1.3894,1.3571,1.3571,-1.3571
26.4176,1.4186,1.3948,1.3948,-1.3948
26.6815,1.4490,1.4317,1.4317,-1.4317
26.9480,1.4787,1.4681,1.4681,-1.4681
27.2172,1.4990,1.5040,1.5040,-1.5040
27.4890,1.5288,1.5397,1.5397,-1.5397
27.7636,1.5593,1.5754,1.5754,-1.5754
28.0409,1.5890,1.6116,1.6116,-1.6116
28.3210,1.6287,1.6483,1.6483,-1.6483
28.6039,1.6678,1.6860,1.6860,-1.6860
28.8896,1.7085,1.7245,1.7245,-1.7245
29.1782,1.7484,1.7640,1.7640,-1.7640
29.4697,1.7982,1.8044,1.8044,-1.8044
29.7640,1.8379,1.8455,1.8455,-1.8455
30.0613,1.8869,1.8875,1.8875,-1.8875
30.3616,1.9275,1.9303,1.9303,-1.9303
30.6649,1.9680,1.9740,1.9740,-1.9740
30.9712,2.0076,2.0184,2.0184,-2.0184
