frequency,raw,smoothed,error,equalization
20.0000,-11.6300,-11.2993,-11.2993,11.2993
20.1998,-11.5401,-11.2563,-11.2563,11.2563
20.4015,-11.4494,-11.2069,-11.2069,11.2069
20.6053,-11.3718,-11.1521,-11.1521,11.1521
20.8112,-11.2795,-11.0923,-11.0923,11.0923
21.0190,-11.1904,-11.0277,-11.0277,11.0277
21.2290,-11.0706,-10.9582,-10.9582,10.9582
21.4410,-10.9594,-10.8839,-10.8839,10.8839
21.6552,-10.8426,-10.8046,-10.8046,10.8046
21.8715,-10.7292,-10.7198,-10.7198,10.7198
22.0900,-10.6200,-10.6290,-10.6290,10.6290
22.3106,-10.5097,-10.5311,-10.5311,10.5311
22.5335,-10.4128,-10.4284,-10.4284,10.4284
22.7586,-10.3106,-10.3258,-10.3258,10.3258
22.9859,-10.2020,-10.2235,-10.2235,10.2235
23.2155,-10.1118,-10.1219,-10.1219,10.1219
23.4474,-10.0210,-10.0208,-10.0208,10.0208
23.6816,-9.9235,-9.9204,-9.9204,9.9204
23.9182,-9.8307,-9.8204,-9.8204,9.8204
24.1571,-9.7312,-9.7208,-9.7208,9.7208
24.3984,-9.6207,-9.6212,-9.6212,9.6212
24.6421,-9.5232,-9.5219,-9.5219,9.5219
24.8882,-9.4108,-9.4225,-9.4225,9.4225
25.1368,-9.3113,-9.3232,-9.3232,9.3232
25.3879,-9.2207,-9.2241,-9.2241,9.2241
25.6415,-9.1233,-9.1253,-9.1253,9.1253
25.8976,-9.0343,-9.0270,-9.0270,9.0270
26.1563,-8.9315,-8.9291,-8.9291,8.9291
26.4176,-8.8346,-8.8316,-8.8316,8.8316
26.6815,-8.7333,-8.7345,-8.7345,8.7345
26.9480,-8.6344,-8.6376,-8.6376,8.6376
27.2172,-8.5252,-8.5409,-8.5409,8.5409
27.4890,-8.4241,-8.4445,-8.4445,8.4445
27.7636,-8.3126,-8.3484,-8.3484,8.3484
28.0409,-8.2229,-8.2529,-8.2529,8.2529
28.3210,-8.1522,-8.1577,-8.1577,8.1577
28.6039,-8.0839,-8.0627,-8.0627,8.0627
28.8896,-8.0126,-7.9675,-7.9675,7.9675
29.1782,-7.9141,-7.8719,-7.8719,7.8719
29.4697,-7.8039,-7.7761,-7.7761,7.7761
29.7640,-7.6864,-7.6805,-7.6805,7.6805
30.0613,-7.5675,-7.5854,-7.5854,7.5854
30.3616,-7.4661,-7.4911,-7.4911,7.4911
30.6649,-7.3650,-7.3977,-7.3977,7.3977
30.9712,-7.2661,-7.3055,-7.3055,7.3055
31.2806,-7.1850,-7.2146,-7.2146,7.2146
31.5930,-7.0949,-7.1249,-7.1249,7.1249
31.9086,-7.0060,-7.0364,-7.0364,7.0364
32.2273,-6.9329,-6.9493,-6.9493,6.9493
32.5492,-6.8550,-6.8637,-6.8637,6.8637
32.8744,-6.7834,-6.7796,-6.7796,6.7796
33.2027,-6.7042,-6.6970,-6.6970,6.6970
33.5344,-6.6047,-6.6159,-6.6159,6.6159
33.8694,-6.5155,-6.5368,-6.5368,6.5368
34.2077,-6.4353,-6.4595,-6.4595,6.4595
34.5494,-6.3736,-6.3841,-6.3841,6.3841
34.8945,-6.3051,-6.3099,-6.3099,6.3099
35.2430,-6.2169,-6.2367,-6.2367,6.2367
35.5951,-6.1264,-6.1645,-6.1645,6.1645
35.9506,-6.0444,-6.0937,-6.0937,6.0937
36.3097,-5.9834,-6.0245,-6.0245,6.0245
36.6724,-5.9245,-5.9571,-5.9571,5.9571
37.0387,-5.8730,-5.8915,-5.8915,5.8915
37.4087,-5.8417,-5.8275,-5.8275,5.8275
37.7824,-5.8122,-5.7646,-5.7646,5.7646
38.1598,-5.7456,-5.7021,-5.7021,5.7021
38.5409,-5.6477,-5.6399,-5.6399,5.6399
38.9259,-5.5463,-5.5789,-5.5789,5.5789
39.3147,-5.4745,-5.5201,-5.5201,5.5201
39.7074,-5.4057,-5.4638,-5.4638,5.4638
40.1041,-5.3545,-5.4097,-5.4097,5.4097
40.5046,-5.3227,-5.3574,-5.3574,5.3574
40.9092,-5.2831,-5.3068,-5.3068,5.3068
41.3179,-5.2431,-5.2581,-5.2581,5.2581
41.7306,-5.2029,-5.2109,-5.2109,5.2109
42.1474,-5.1447,-5.1645,-5.1645,5.1645
42.5684,-5.0845,-5.1186,-5.1186,5.1186
42.9936,-5.0342,-5.0725,-5.0725,5.0725
43.4231,-5.0391,-5.0259,-5.0259,5.0259
43.8568,-5.0490,-4.9778,-4.9778,4.9778
44.2949,-4.9857,-4.9269,-4.9269,4.9269
44.7374,-4.8895,-4.8729,-4.8729,4.8729
45.1842,-4.8441,-4.8157,-4.8157,4.8157
45.6356,-4.8670,-4.7550,-4.7550,4.7550
46.0914,-4.8517,-4.6893,-4.6893,4.6893
46.5518,-4.7423,-4.6179,-4.6179,4.6179
47.0168,-4.6122,-4.5412,-4.5412,4.5412
47.4864,-4.4548,-4.4594,-4.4594,4.4594
47.9608,-4.3054,-4.3735,-4.3735,4.3735
48.4398,-4.2810,-4.2848,-4.2848,4.2848
48.9237,-4.2619,-4.1930,-4.1930,4.1930
49.4124,-4.1607,-4.0981,-4.0981,4.0981
49.9059,-4.0519,-4.0005,-4.0005,4.0005
50.4044,-3.9333,-3.9006,-3.9006,3.9006
50.9079,-3.8125,-3.7997,-3.7997,3.7997
51.4164,-3.7195,-3.6995,-3.6995,3.6995
51.9300,-3.6304,-3.6015,-3.6015,3.6015
52.4487,-3.4700,-3.5063,-3.5063,3.5063
52.9726,-3.2988,-3.4146,-3.4146,3.4146
53.5018,-3.1999,-3.3273,-3.3273,3.3273
54.0362,-3.1283,-3.2442,-3.2442,3.2442
54.5759,-3.1024,-3.1650,-3.1650,3.1650
55.1211,-3.0376,-3.0898,-3.0898,3.0898
55.6717,-2.8720,-3.0193,-3.0193,3.0193
56.2278,-2.8145,-2.9549,-2.9549,2.9549
56.7894,-2.8713,-2.8961,-2.8961,2.8961
57.3567,-2.8889,-2.8407,-2.8407,2.8407
57.9296,-2.8724,-2.7869,-2.7869,2.7869
58.5082,-2.7824,-2.7338,-2.7338,2.7338
59.0927,-2.6904,-2.6814,-2.6814,2.6814
59.6829,-2.6103,-2.6298,-2.6298,2.6298
60.2791,-2.5384,-2.5788,-2.5788,2.5788
60.8812,-2.4690,-2.5279,-2.5279,2.5279
61.4893,-2.4774,-2.4773,-2.4773,2.4773
62.1035,-2.4800,-2.4265,-2.4265,2.4265
62.7239,-2.4361,-2.3740,-2.3740,2.3740
63.3504,-2.3601,-2.3189,-2.3189,2.3189
63.9832,-2.2636,-2.2616,-2.2616,2.2616
64.6223,-2.1982,-2.2030,-2.2030,2.2030
65.2678,-2.1290,-2.1439,-2.1439,2.1439
65.9198,-2.0682,-2.0842,-2.0842,2.0842
66.5782,-2.0858,-2.0240,-2.0240,2.0240
67.2433,-2.0205,-1.9619,-1.9619,1.9619
67.9149,-1.8466,-1.8979,-1.8979,1.8979
68.5933,-1.8715,-1.8337,-1.8337,1.8337
69.2785,-1.8367,-1.7687,-1.7687,1.7687
69.9705,-1.7185,-1.7035,-1.7035,1.7035
70.6694,-1.6315,-1.6395,-1.6395,1.6395
71.3753,-1.5433,-1.5765,-1.5765,1.5765
72.0883,-1.4615,-1.5147,-1.5147,1.5147
72.8083,-1.3985,-1.4547,-1.4547,1.4547
