frequency,raw,smoothed,error,equalization
20.0000,6.1400,6.1588,6.1588,-6.1588
20.1998,6.1500,6.1586,6.1586,-6.1586
20.4015,6.1601,6.1580,6.1580,-6.1580
20.6053,6.1698,6.1568,6.1568,-6.1568
20.8112,6.1700,6.1548,6.1548,-6.1548
21.0190,6.1700,6.1518,6.1518,-6.1518
21.2290,6.1700,6.1480,6.1480,-6.1480
21.4410,6.1700,6.1433,6.1433,-6.1433
21.6552,6.1602,6.1377,6.1377,-6.1377
21.8715,6.1499,6.1311,6.1311,-6.1311
22.0900,6.1400,6.1235,6.1235,-6.1235
22.3106,6.1299,6.1151,6.1151,-6.1151
22.5335,6.1106,6.1056,6.1056,-6.1056
22.7586,6.1001,6.0956,6.0956,-6.0956
22.9859,6.0804,6.0851,6.0851,-6.0851
23.2155,6.0604,6.0743,6.0743,-6.0743
23.4474,6.0501,6.0635,6.0635,-6.0635
23.6816,6.0403,6.0527,6.0527,-6.0527
23.9182,6.0400,6.0420,6.0420,-6.0420
24.1571,6.0301,6.0314,6.0314,-6.0314
24.3984,6.0201,6.0208,6.0208,-6.0208
24.6421,6.0103,6.0105,6.0105,-6.0105
24.8882,6.0100,6.0003,6.0003,-6.0003
25.1368,6.0001,5.9902,5.9902,-5.9902
25.3879,5.9901,5.9802,5.9802,-5.9802
25.6415,5.9707,5.9703,5.9703,-5.9703
25.8976,5.9605,5.9607,5.9607,-5.9607
26.1563,5.9403,5.9514,5.9514,-5.9514
26.4176,5.9305,5.9428,5.9428,-5.9428
26.6815,5.9203,5.9351,5.9351,-5.9351
26.9480,5.9104,5.9283,5.9283,-5.9283
27.2172,5.9100,5.9228,5.9228,-5.9228
27.4890,5.9004,5.9185,5.9185,-5.9185
27.7636,5.9000,5.9158,5.9158,-5.9158
28.0409,5.8903,5.9148,5.9148,-5.9148
28.3210,5.8900,5.9158,5.9158,-5.9158
28.6039,5.8900,5.9188,5.9188,-5.9188
28.8896,5.8900,5.9239,5.9239,-5.9239
29.1782,5.8996,5.9313,5.9313,-5.9313
29.4697,5.9193,5.9408,5.9408,-5.9408
29.7640,5.9295,5.9521,5.9521,-5.9521
30.0613,5.9394,5.9651,5.9651,-5.9651
30.3616,5.9588,5.9797,5.9797,-5.9797
30.6649,5.9790,5.9956,5.9956,-5.9956
30.9712,5.9988,6.0126,6.0126,-6.0126
31.2806,6.0281,6.0303,6.0303,-6.0303
31.5930,6.0489,6.0484,6.0484,-6.0484
31.9086,6.0687,6.0666,6.0666,-6.0666
32.2273,6.0988,6.0845,6.0845,-6.0845
32.5492,6.1187,6.1018,6.1018,-6.1018
32.8744,6.1390,6.1182,6.1182,-6.1182
33.2027,6.1590,6.1335,6.1335,-6.1335
33.5344,6.1695,6.1476,6.1476,-6.1476
33.8694,6.1794,6.1606,6.1606,-6.1606
34.2077,6.1893,6.1727,6.1727,-6.1727
34.5494,6.1994,6.1841,6.1841,-6.1841
34.8945,6.2000,6.1950,6.1950,-6.1950
35.2430,6.2092,6.2060,6.2060,-6.2060
35.5951,6.2193,6.2174,6.2174,-6.2174
35.9506,6.2200,6.2296,6.2296,-6.2296
36.3097,6.2200,6.2432,6.2432,-6.2432
36.6724,6.2200,6.2588,6.2588,-6.2588
37.0387,6.2294,6.2770,6.2770,-6.2770
37.4087,6.2394,6.2984,6.2984,-6.2984
37.7824,6.2678,6.3232,6.3232,-6.3232
38.1598,6.2976,6.3516,6.3516,-6.3516
38.5409,6.3277,6.3835,6.3835,-6.3835
38.9259,6.3675,6.4190,6.4190,-6.4190
39.3147,6.4074,6.4582,6.4582,-6.4582
39.7074,6.4559,6.5009,6.5009,-6.5009
40.1041,6.5146,6.5469,6.5469,-6.5469
40.5046,6.5747,6.5957,6.5957,-6.5957
40.9092,6.6262,6.6469,6.6469,-6.6469
41.3179,6.6945,6.7000,6.7000,-6.7000
41.7306,6.7557,6.7543,6.7543,-6.7543
42.1474,6.8061,6.8095,6.8095,-6.8095
42.5684,6.8562,6.8651,6.8651,-6.8651
42.9936,6.9149,6.9211,6.9211,-6.9211
43.4231,6.9840,6.9771,6.9771,-6.9771
43.8568,7.0531,7.0327,7.0327,-7.0327
44.2949,7.1059,7.0877,7.0877,-7.0877
44.7374,7.1643,7.1418,7.1418,-7.1418
45.1842,7.2149,7.1950,7.1950,-7.1950
45.6356,7.2651,7.2474,7.2474,-7.2474
46.0914,7.3066,7.2992,7.2992,-7.2992
46.5518,7.3549,7.3505,7.3505,-7.3505
47.0168,7.4053,7.4015,7.4015,-7.4015
47.4864,7.4463,7.4523,7.4523,-7.4523
47.9608,7.4949,7.5030,7.5030,-7.5030
48.4398,7.5448,7.5536,7.5536,-7.5536
48.9237,7.5952,7.6042,7.6042,-7.6042
49.4124,7.6451,7.6547,7.6547,-7.6547
49.9059,7.6946,7.7051,7.7051,-7.7051
50.4044,7.7533,7.7553,7.7553,-7.7553
50.9079,7.8048,7.8051,7.8051,-7.8051
51.4164,7.8637,7.8540,7.8540,-7.8540
51.9300,7.9231,7.9016,7.9016,-7.9016
52.4487,7.9741,7.9475,7.9475,-7.9475
52.9726,8.0245,7.9911,7.9911,-7.9911
53.5018,8.0745,8.0322,8.0322,-8.0322
54.0362,8.1153,8.0702,8.0702,-8.0702
54.5759,8.1553,8.1047,8.1047,-8.1047
55.1211,8.1867,8.1356,8.1356,-8.1356
55.6717,8.2163,8.1625,8.1625,-8.1625
56.2278,8.2466,8.1853,8.1853,-8.1853
56.7894,8.2588,8.2038,8.2038,-8.2038
57.3567,8.2689,8.2179,8.2179,-8.2179
57.9296,8.2788,8.2279,8.2279,-8.2279
58.5082,8.2800,8.2336,8.2336,-8.2336
59.0927,8.2800,8.2354,8.2354,-8.2354
59.6829,8.2713,8.2332,8.2332,-8.2332
60.2791,8.2612,8.2275,8.2275,-8.2275
60.8812,8.2513,8.2184,8.2184,-8.2184
61.4893,8.2413,8.2061,8.2061,-8.2061
62.1035,8.2225,8.1909,8.1909,-8.1909
62.7239,8.2025,8.1729,8.1729,-8.1729
63.3504,8.1825,8.1524,8.1524,-8.1524
63.9832,8.1541,8.1296,8.1296,-8.1296
64.6223,8.1241,8.1049,8.1049,-8.1049
65.2678,8.0939,8.0784,8.0784,-8.0784
65.9198,8.0641,8.0504,8.0504,-8.0504
66.5782,8.0342,8.0211,8.0211,-8.0211
67.2433,7.9953,7.9907,7.9907,-7.9907
67.9149,7.9642,7.9593,7.9593,-7.9593
68.5933,7.9343,7.9273,7.9273,-7.9273
69.2785,7.8954,7.8946,7.8946,-7.8946
69.9705,7.8643,7.8615,7.8615,-7.8615
70.6694,7.8257,7.8280,7.8280,-7.8280
71.3753,7.7944,7.7944,7.7944,-7.7944
72.0883,7.7643,7.7606,7.7606,-7.7606
72.8083,7.7256,7.7265,7.7265,-7.7265
73.5356,7.6943,7.6923,7.6923,-7.6923
74.2701,7.6559,7.6580,7.6580,-7.6580
75.0120,7.6244,7.6235,7.6235,-7.6235
75.7613,7.5943,7.5888,7.5888,-7.5888
76.5180,7.5559,7.5538,7.5538,-7.5538
77.2824,7.5246,7.5185,7.5185,-7.5185
78.0543,7.4860,7.4830,7.4830,-7.4830
