frequency,raw,smoothed,error,equalization
20.0000,4.7600,4.7440,4.7440,-4.7440
20.1998,4.7500,4.7437,4.7437,-4.7437
20.4015,4.7499,4.7435,4.7435,-4.7435
20.6053,4.7402,4.7436,4.7436,-4.7436
20.8112,4.7399,4.7442,4.7442,-4.7442
21.0190,4.7300,4.7454,4.7454,-4.7454
21.2290,4.7300,4.7473,4.7473,-4.7473
21.4410,4.7300,4.7500,4.7500,-4.7500
21.6552,4.7398,4.7537,4.7537,-4.7537
21.8715,4.7401,4.7583,4.7583,-4.7583
22.0900,4.7500,4.7639,4.7639,-4.7639
22.3106,4.7600,4.7707,4.7707,-4.7707
22.5335,4.7600,4.7787,4.7787,-4.7787
22.7586,4.7699,4.7880,4.7880,-4.7880
22.9859,4.7896,4.7986,4.7986,-4.7986
23.2155,4.7998,4.8103,4.8103,-4.8103
23.4474,4.8099,4.8231,4.8231,-4.8231
23.6816,4.8293,4.8368,4.8368,-4.8368
23.9182,4.8399,4.8514,4.8514,-4.8514
24.1571,4.8598,4.8669,4.8669,-4.8669
24.3984,4.8799,4.8832,4.8832,-4.8832
24.6421,4.8897,4.9001,4.9001,-4.9001
24.8882,4.9099,4.9178,4.9178,-4.9178
25.1368,4.9297,4.9360,4.9360,-4.9360
25.3879,4.9498,4.9547,4.9547,-4.9547
25.6415,4.9693,4.9737,4.9737,-4.9737
25.8976,4.9890,4.9930,4.9930,-4.9930
26.1563,5.0097,5.0125,5.0125,-5.0125
26.4176,5.0291,5.0320,5.0320,-5.0320
26.6815,5.0493,5.0516,5.0516,-5.0516
26.9480,5.0787,5.0711,5.0711,-5.0711
27.2172,5.0990,5.0903,5.0903,-5.0903
27.4890,5.1192,5.1090,5.1090,-5.1090
27.7636,5.1395,5.1273,5.1273,-5.1273
28.0409,5.1497,5.1449,5.1449,-5.1449
28.3210,5.1694,5.1619,5.1619,-5.1619
28.6039,5.1889,5.1781,5.1781,-5.1781
28.8896,5.1996,5.1935,5.1935,-5.1935
29.1782,5.2192,5.2080,5.2080,-5.2080
29.4697,5.2296,5.2214,5.2214,-5.2214
29.7640,5.2489,5.2337,5.2337,-5.2337
30.0613,5.2594,5.2449,5.2449,-5.2449
30.3616,5.2694,5.2548,5.2548,-5.2548
30.6649,5.2795,5.2636,5.2636,-5.2636
30.9712,5.2894,5.2710,5.2710,-5.2710
31.2806,5.2994,5.2770,5.2770,-5.2770
31.5930,5.3000,5.2815,5.2815,-5.2815
31.9086,5.3000,5.2844,5.2844,-5.2844
32.2273,5.3000,5.2858,5.2858,-5.2858
32.5492,5.3000,5.2857,5.2857,-5.2857
32.8744,5.3000,5.2841,5.2841,-5.2841
33.2027,5.3000,5.2808,5.2808,-5.2808
33.5344,5.3000,5.2758,5.2758,-5.2758
33.8694,5.2906,5.2692,5.2692,-5.2692
34.2077,5.2807,5.2609,5.2609,-5.2609
34.5494,5.2706,5.2511,5.2511,-5.2511
34.8945,5.2607,5.2399,5.2399,-5.2399
35.2430,5.2415,5.2273,5.2273,-5.2273
35.5951,5.2307,5.2136,5.2136,-5.2136
35.9506,5.2111,5.1990,5.1990,-5.1990
36.3097,5.1911,5.1835,5.1835,-5.1835
36.6724,5.1715,5.1675,5.1675,-5.1675
37.0387,5.1512,5.1511,5.1511,-5.1511
37.4087,5.1312,5.1345,5.1345,-5.1345
37.7824,5.1115,5.1181,5.1181,-5.1181
38.1598,5.0916,5.1019,5.1019,-5.1019
38.5409,5.0715,5.0862,5.0862,-5.0862
38.9259,5.0606,5.0711,5.0711,-5.0711
39.3147,5.0413,5.0565,5.0565,-5.0565
39.7074,5.0308,5.0426,5.0426,-5.0426
40.1041,5.0209,5.0291,5.0291,-5.0291
40.5046,5.0109,5.0160,5.0160,-5.0160
40.9092,5.0008,5.0030,5.0030,-5.0030
41.3179,4.9908,4.9899,4.9899,-4.9899
41.7306,4.9807,4.9763,4.9763,-4.9763
42.1474,4.9708,4.9620,4.9620,-4.9620
42.5684,4.9608,4.9466,4.9466,-4.9466
42.9936,4.9508,4.9299,4.9299,-4.9299
43.4231,4.9409,4.9114,4.9114,-4.9114
43.8568,4.9310,4.8911,4.8911,-4.8911
44.2949,4.9024,4.8686,4.8686,-4.8686
44.7374,4.8819,4.8441,4.8441,-4.8441
45.1842,4.8531,4.8176,4.8176,-4.8176
45.6356,4.8230,4.7895,4.7895,-4.7895
46.0914,4.7834,4.7598,4.7598,-4.7598
46.5518,4.7441,4.7293,4.7293,-4.7293
47.0168,4.7038,4.6982,4.6982,-4.6982
47.4864,4.6546,4.6673,4.6673,-4.6673
47.9608,4.6141,4.6372,4.6372,-4.6372
48.4398,4.5742,4.6086,4.6086,-4.6086
48.9237,4.5429,4.5820,4.5820,-4.5820
49.4124,4.5129,4.5578,4.5578,-4.5578
49.9059,4.4832,4.5366,4.5366,-4.5366
50.4044,4.4622,4.5185,4.5185,-4.5185
