frequency,raw,smoothed,error,equalization
20.0000,-14.6600,-14.2064,-14.2064,14.2064
20.1998,-14.5701,-14.1421,-14.1421,14.1421
20.4015,-14.4693,-14.0675,-14.0675,14.0675
20.6053,-14.3820,-13.9837,-13.9837,13.9837
20.8112,-14.1890,-13.8907,-13.8907,13.8907
21.0190,-14.0108,-13.7896,-13.7896,13.7896
21.2290,-13.8408,-13.6809,-13.6809,13.6809
21.4410,-13.6692,-13.5644,-13.5644,13.5644
21.6552,-13.5135,-13.4396,-13.4396,13.4396
21.8715,-13.3388,-13.3055,-13.3055,13.3055
22.0900,-13.1700,-13.1611,-13.1611,13.1611
22.3106,-13.0095,-13.0049,-13.0049,13.0049
22.5335,-12.8448,-12.8399,-12.8399,12.8399
22.7586,-12.6711,-12.6741,-12.6741,12.6741
22.9859,-12.5030,-12.5082,-12.5082,12.5082
23.2155,-12.3333,-12.3429,-12.3429,12.3429
23.4474,-12.1619,-12.1788,-12.1788,12.1788
23.6816,-12.0056,-12.0159,-12.0159,12.0159
23.9182,-11.8314,-11.8541,-11.8541,11.8541
24.1571,-11.6719,-11.6937,-11.6937,11.6937
24.3984,-11.5111,-11.5348,-11.5348,11.5348
24.6421,-11.3551,-11.3776,-11.3776,11.3776
24.8882,-11.2011,-11.2221,-11.2221,11.2221
25.1368,-11.0420,-11.0684,-11.0684,11.0684
25.3879,-10.8912,-10.9166,-10.9166,10.9166
25.6415,-10.7449,-10.7668,-10.7668,10.7668
25.8976,-10.6067,-10.6190,-10.6190,10.6190
26.1563,-10.4522,-10.4729,-10.4729,10.4729
26.4176,-10.3069,-10.3288,-10.3288,10.3288
26.6815,-10.1646,-10.1865,-10.1865,10.1865
26.9480,-10.0262,-10.0462,-10.0462,10.0462
27.2172,-9.8867,-9.9079,-9.9079,9.9079
27.4890,-9.7457,-9.7715,-9.7715,9.7715
27.7636,-9.6131,-9.6372,-9.6372,9.6372
28.0409,-9.4842,-9.5049,-9.5049,9.5049
28.3210,-9.3542,-9.3747,-9.3747,9.3747
28.6039,-9.2272,-9.2464,-9.2464,9.2464
28.8896,-9.0948,-9.1201,-9.1201,9.1201
29.1782,-8.9653,-8.9958,-8.9958,8.9958
29.4697,-8.8443,-8.8738,-8.8738,8.8738
29.7640,-8.7264,-8.7540,-8.7540,8.7540
30.0613,-8.6168,-8.6364,-8.6364,8.6364
30.3616,-8.4974,-8.5210,-8.5210,8.5210
30.6649,-8.3855,-8.4078,-8.4078,8.4078
30.9712,-8.2767,-8.2968,-8.2968,8.2968
31.2806,-8.1669,-8.1880,-8.1880,8.1880
31.5930,-8.0560,-8.0815,-8.0815,8.0815
31.9086,-7.9474,-7.9773,-7.9773,7.9773
32.2273,-7.8441,-7.8756,-7.8756,7.8756
32.5492,-7.7463,-7.7762,-7.7762,7.7762
32.8744,-7.6449,-7.6792,-7.6792,7.6792
33.2027,-7.5547,-7.5845,-7.5845,7.5845
33.5344,-7.4643,-7.4920,-7.4920,7.4920
33.8694,-7.3755,-7.4018,-7.4018,7.4018
34.2077,-7.2953,-7.3138,-7.3138,7.3138
34.5494,-7.2055,-7.2280,-7.2280,7.2280
34.8945,-7.1258,-7.1443,-7.1443,7.1443
35.2430,-7.0462,-7.0627,-7.0627,7.0627
35.5951,-6.9657,-6.9830,-6.9830,6.9830
35.9506,-6.8844,-6.9052,-6.9052,6.9052
36.3097,-6.8045,-6.8292,-6.8292,6.8292
36.6724,-6.7352,-6.7550,-6.7550,6.7550
37.0387,-6.6547,-6.6824,-6.6824,6.6824
37.4087,-6.5840,-6.6113,-6.6113,6.6113
37.7824,-6.5244,-6.5415,-6.5415,6.5415
38.1598,-6.4648,-6.4727,-6.4727,6.4727
38.5409,-6.3954,-6.4043,-6.4043,6.4043
38.9259,-6.3338,-6.3360,-6.3360,6.3360
39.3147,-6.2739,-6.2673,-6.2673,6.2673
39.7074,-6.2057,-6.1978,-6.1978,6.1978
40.1041,-6.1454,-6.1269,-6.1269,6.1269
40.5046,-6.0853,-6.0543,-6.0543,6.0543
40.9092,-6.0154,-5.9792,-5.9792,5.9792
41.3179,-5.9547,-5.9014,-5.9014,5.9014
41.7306,-5.8757,-5.8204,-5.8204,5.8204
42.1474,-5.7962,-5.7359,-5.7359,5.7359
42.5684,-5.7068,-5.6478,-5.6478,5.6478
42.9936,-5.6085,-5.5563,-5.5563,5.5563
43.4231,-5.5086,-5.4614,-5.4614,5.4614
43.8568,-5.4008,-5.3636,-5.3636,5.3636
44.2949,-5.2890,-5.2632,-5.2632,5.2632
44.7374,-5.1804,-5.1608,-5.1608,5.1608
45.1842,-5.0622,-5.0568,-5.0568,5.0568
45.6356,-4.9509,-4.9519,-4.9519,4.9519
46.0914,-4.8394,-4.8468,-4.8468,4.8468
46.5518,-4.7313,-4.7418,-4.7418,4.7418
47.0168,-4.6113,-4.6376,-4.6376,4.6376
47.4864,-4.5002,-4.5348,-4.5348,4.5348
47.9608,-4.4003,-4.4337,-4.4337,4.4337
48.4398,-4.3005,-4.3347,-4.3347,4.3347
48.9237,-4.1996,-4.2379,-4.2379,4.2379
49.4124,-4.1087,-4.1434,-4.1434,4.1434
49.9059,-4.0197,-4.0512,-4.0512,4.0512
50.4044,-3.9389,-3.9612,-3.9612,3.9612
50.9079,-3.8494,-3.8730,-3.8730,3.8730
51.4164,-3.7684,-3.7866,-3.7866,3.7866
