frequency,raw,smoothed,error,equalization
20.0000,-1.9500,-1.7486,-1.7486,1.7486
20.1998,-1.9200,-1.7103,-1.7103,1.7103
20.4015,-1.8898,-1.6679,-1.6679,1.6679
20.6053,-1.8607,-1.6219,-1.6219,1.6219
20.8112,-1.8297,-1.5720,-1.5720,1.5720
21.0190,-1.7802,-1.5179,-1.5179,1.5179
21.2290,-1.6108,-1.4590,-1.4590,1.4590
21.4410,-1.4392,-1.3971,-1.3971,1.3971
21.6552,-1.2737,-1.3331,-1.3331,1.3331
21.8715,-1.0993,-1.2678,-1.2678,1.2678
22.0900,-1.0000,-1.2020,-1.2020,1.2020
22.3106,-0.9900,-1.1352,-1.1352,1.1352
22.5335,-0.9803,-1.0684,-1.0684,1.0684
22.7586,-0.9701,-1.0048,-1.0048,1.0048
22.9859,-0.9602,-0.9443,-0.9443,0.9443
23.2155,-0.9110,-0.8868,-0.8868,0.8868
23.4474,-0.8507,-0.8326,-0.8326,0.8326
23.6816,-0.7921,-0.7820,-0.7820,0.7820
23.9182,-0.7404,-0.7346,-0.7346,0.7346
24.1571,-0.6807,-0.6896,-0.6896,0.6896
24.3984,-0.6204,-0.6462,-0.6462,0.6462
24.6421,-0.5619,-0.6039,-0.6039,0.6039
24.8882,-0.5004,-0.5620,-0.5620,0.5620
25.1368,-0.4704,-0.5209,-0.5209,0.5209
25.3879,-0.4601,-0.4804,-0.4804,0.4804
25.6415,-0.4503,-0.4404,-0.4404,0.4404
25.8976,-0.4405,-0.4005,-0.4005,0.4005
26.1563,-0.4006,-0.3601,-0.3601,0.3601
26.4176,-0.3523,-0.3189,-0.3189,0.3189
26.6815,-0.2920,-0.2763,-0.2763,0.2763
26.9480,-0.2327,-0.2322,-0.2322,0.2322
27.2172,-0.1919,-0.1869,-0.1869,0.1869
27.4890,-0.1516,-0.1402,-0.1402,0.1402
27.7636,-0.1207,-0.0924,-0.0924,0.0924
28.0409,-0.0813,-0.0431,-0.0431,0.0431
28.3210,-0.0316,0.0076,0.0076,-0.0076
28.6039,0.0172,0.0593,0.0593,-0.0593
28.8896,0.0682,0.1117,0.1117,-0.1117
29.1782,0.1467,0.1642,0.1642,-0.1642
29.4697,0.2464,0.2160,0.2160,-0.2160
29.7640,0.3447,0.2662,0.2662,-0.2662
30.0613,0.4156,0.3139,0.3139,-0.3139
30.3616,0.4388,0.3590,0.3590,-0.3590
30.6649,0.4495,0.4017,0.4017,-0.4017
30.9712,0.4688,0.4425,0.4425,-0.4425
31.2806,0.4981,0.4815,0.4815,-0.4815
31.5930,0.5284,0.5189,0.5189,-0.5189
31.9086,0.5580,0.5548,0.5548,-0.5548
32.2273,0.5888,0.5892,0.5892,-0.5892
32.5492,0.6087,0.6223,0.6223,-0.6223
32.8744,0.6290,0.6547,0.6547,-0.6547
33.2027,0.6679,0.6869,0.6869,-0.6869
33.5344,0.7081,0.7192,0.7192,-0.7192
33.8694,0.7570,0.7517,0.7517,-0.7517
34.2077,0.7880,0.7841,0.7841,-0.7841
34.5494,0.8276,0.8160,0.8160,-0.8160
34.8945,0.8578,0.8468,0.8468,-0.8468
35.2430,0.8877,0.8764,0.8764,-0.8764
35.5951,0.9179,0.9049,0.9049,-0.9049
35.9506,0.9483,0.9323,0.9323,-0.9323
36.3097,0.9877,0.9586,0.9586,-0.9586
36.6724,1.0270,0.9834,0.9834,-0.9834
37.0387,1.0676,1.0061,1.0061,-1.0061
37.4087,1.0700,1.0265,1.0265,-1.0265
37.7824,1.0700,1.0449,1.0449,-1.0449
38.1598,1.0700,1.0618,1.0618,-1.0618
38.5409,1.0608,1.0781,1.0781,-1.0781
38.9259,1.0506,1.0943,1.0943,-1.0943
39.3147,1.0874,1.1112,1.1112,-1.1112
39.7074,1.1359,1.1285,1.1285,-1.1285
40.1041,1.1673,1.1458,1.1458,-1.1458
40.5046,1.1700,1.1628,1.1628,-1.1628
40.9092,1.1700,1.1797,1.1797,-1.1797
41.3179,1.1700,1.1970,1.1970,-1.1970
41.7306,1.1700,1.2152,1.2152,-1.2152
42.1474,1.1884,1.2348,1.2348,-1.2348
42.5684,1.2455,1.2556,1.2556,-1.2556
42.9936,1.2958,1.2768,1.2768,-1.2768
43.4231,1.3274,1.2976,1.2976,-1.2976
43.8568,1.3571,1.3181,1.3181,-1.3181
44.2949,1.3692,1.3381,1.3381,-1.3381
44.7374,1.3700,1.3584,1.3584,-1.3584
45.1842,1.3700,1.3793,1.3793,-1.3793
45.6356,1.3700,1.4009,1.4009,-1.4009
46.0914,1.3883,1.4233,1.4233,-1.4233
46.5518,1.4349,1.4461,1.4461,-1.4461
47.0168,1.4853,1.4687,1.4687,-1.4687
47.4864,1.4719,1.4905,1.4905,-1.4905
47.9608,1.4521,1.5120,1.5120,-1.5120
48.4398,1.5037,1.5346,1.5346,-1.5346
48.9237,1.5642,1.5578,1.5578,-1.5578
49.4124,1.6242,1.5808,1.5808,-1.5808
