frequency,raw,smoothed,error,equalization
20.0000,0.7100,0.6852,0.6852,-0.6852
20.1998,0.6900,0.6820,0.6820,-0.6820
20.4015,0.6900,0.6786,0.6786,-0.6786
20.6053,0.6900,0.6748,0.6748,-0.6748
20.8112,0.6900,0.6704,0.6704,-0.6704
21.0190,0.6900,0.6652,0.6652,-0.6652
21.2290,0.6900,0.6593,0.6593,-0.6593
21.4410,0.6500,0.6526,0.6526,-0.6526
21.6552,0.6500,0.6455,0.6455,-0.6455
21.8715,0.6498,0.6377,0.6377,-0.6377
22.0900,0.6200,0.6288,0.6288,-0.6288
22.3106,0.6299,0.6191,0.6191,-0.6191
22.5335,0.6106,0.6084,0.6084,-0.6084
22.7586,0.6100,0.5969,0.5969,-0.5969
22.9859,0.6002,0.5844,0.5844,-0.5844
23.2155,0.5608,0.5708,0.5708,-0.5708
23.4474,0.5600,0.5561,0.5561,-0.5561
23.6816,0.5600,0.5401,0.5401,-0.5401
23.9182,0.5600,0.5223,0.5223,-0.5223
24.1571,0.5205,0.5021,0.5021,-0.5021
24.3984,0.5101,0.4792,0.4792,-0.4792
24.6421,0.4809,0.4536,0.4536,-0.4536
24.8882,0.4800,0.4248,0.4248,-0.4248
25.1368,0.4405,0.3922,0.3922,-0.3922
25.3879,0.4102,0.3559,0.3559,-0.3559
25.6415,0.3810,0.3157,0.3157,-0.3157
25.8976,0.3324,0.2714,0.2714,-0.2714
26.1563,0.2807,0.2234,0.2234,-0.2234
26.4176,0.2228,0.1717,0.1717,-0.1717
26.6815,0.1620,0.1169,0.1169,-0.1169
26.9480,0.0836,0.0596,0.0596,-0.0596
27.2172,0.0229,0.0004,0.0004,-0.0004
27.4890,-0.0376,-0.0604,-0.0604,0.0604
27.7636,-0.1376,-0.1225,-0.1225,0.1225
28.0409,-0.1981,-0.1849,-0.1849,0.1849
28.3210,-0.2774,-0.2475,-0.2475,0.2475
28.6039,-0.3461,-0.3100,-0.3100,0.3100
28.8896,-0.4078,-0.3722,-0.3722,0.3722
29.1782,-0.4580,-0.4341,-0.4341,0.4341
29.4697,-0.5082,-0.4962,-0.4962,0.4962
29.7640,-0.5573,-0.5590,-0.5590,0.5590
30.0613,-0.5881,-0.6230,-0.6230,0.6230
30.3616,-0.6557,-0.6890,-0.6890,0.6890
30.6649,-0.7075,-0.7573,-0.7573,0.7573
30.9712,-0.7664,-0.8283,-0.8283,0.8283
31.2806,-0.8356,-0.9028,-0.9028,0.9028
31.5930,-0.9156,-0.9812,-0.9812,0.9812
31.9086,-0.9946,-1.0637,-1.0637,1.0637
32.2273,-1.0767,-1.1508,-1.1508,1.1508
32.5492,-1.1831,-1.2430,-1.2430,1.2430
32.8744,-1.3041,-1.3400,-1.3400,1.3400
33.2027,-1.4142,-1.4417,-1.4417,1.4417
33.5344,-1.5153,-1.5479,-1.5479,1.5479
33.8694,-1.6139,-1.6585,-1.6585,1.6585
34.2077,-1.7134,-1.7735,-1.7735,1.7735
34.5494,-1.8421,-1.8929,-1.8929,1.8929
34.8945,-1.9612,-2.0159,-2.0159,2.0159
35.2430,-2.0900,-2.1420,-2.1420,2.1420
35.5951,-2.2114,-2.2706,-2.2706,2.2706
35.9506,-2.3711,-2.4007,-2.4007,2.4007
36.3097,-2.5215,-2.5304,-2.5304,2.5304
36.6724,-2.6503,-2.6574,-2.6574,2.6574
37.0387,-2.8105,-2.7799,-2.7799,2.7799
37.4087,-2.9802,-2.8952,-2.8952,2.8952
37.7824,-3.1198,-3.0002,-3.0002,3.0002
38.1598,-3.2589,-3.0916,-3.0916,3.0916
38.5409,-3.3808,-3.1658,-3.1658,3.1658
38.9259,-3.4930,-3.2191,-3.2191,3.2191
39.3147,-3.5935,-3.2483,-3.2483,3.2483
39.7074,-3.6735,-3.2502,-3.2502,3.2502
40.1041,-3.6982,-3.2220,-3.2220,3.2220
40.5046,-3.6271,-3.1623,-3.1623,3.1623
40.9092,-3.5277,-3.0710,-3.0710,3.0710
41.3179,-3.4094,-2.9487,-2.9487,2.9487
41.7306,-3.2515,-2.7962,-2.7962,2.7962
42.1474,-3.0278,-2.6157,-2.6157,2.6157
42.5684,-2.7418,-2.4102,-2.4102,2.4102
42.9936,-2.4088,-2.1839,-2.1839,2.1839
43.4231,-2.0326,-1.9418,-1.9418,1.9418
43.8568,-1.7114,-1.6898,-1.6898,1.6898
44.2949,-1.3494,-1.4332,-1.4332,1.4332
44.7374,-1.0213,-1.1783,-1.1783,1.1783
45.1842,-0.7475,-0.9307,-0.9307,0.9307
45.6356,-0.4406,-0.6952,-0.6952,0.6952
46.0914,-0.1814,-0.4767,-0.4767,0.4767
46.5518,0.0464,-0.2790,-0.2790,0.2790
47.0168,0.2512,-0.1060,-0.1060,0.1060
47.4864,0.4242,0.0390,0.0390,-0.0390
47.9608,0.5567,0.1536,0.1536,-0.1536
48.4398,0.6506,0.2361,0.2361,-0.2361
48.9237,0.7323,0.2852,0.2852,-0.2852
49.4124,0.7310,0.3001,0.3001,-0.3001
49.9059,0.6854,0.2806,0.2806,-0.2806
50.4044,0.6089,0.2271,0.2271,-0.2271
50.9079,0.5015,0.1405,0.1405,-0.1405
51.4164,0.3737,0.0220,0.0220,-0.0220
51.9300,0.2361,-0.1266,-0.1266,0.1266
52.4487,0.0259,-0.3032,-0.3032,0.3032
52.9726,-0.1957,-0.5044,-0.5044,0.5044
53.5018,-0.4336,-0.7259,-0.7259,0.7259
54.0362,-0.7510,-0.9626,-0.9626,0.9626
54.5759,-1.0456,-1.2078,-1.2078,1.2078
