frequency,raw,smoothed,error,equalization
20.0000,-1.6400,-1.6086,-1.6086,1.6086
20.1998,-1.6300,-1.6026,-1.6026,1.6026
20.4015,-1.6598,-1.5960,-1.5960,1.5960
20.6053,-1.6307,-1.5880,-1.5880,1.5880
20.8112,-1.6099,-1.5794,-1.5794,1.5794
21.0190,-1.6000,-1.5703,-1.5703,1.5703
21.2290,-1.5602,-1.5607,-1.5607,1.5607
21.4410,-1.5599,-1.5508,-1.5508,1.5508
21.6552,-1.5307,-1.5405,-1.5405,1.5405
21.8715,-1.5200,-1.5299,-1.5299,1.5299
22.0900,-1.5200,-1.5186,-1.5186,1.5186
22.3106,-1.4899,-1.5067,-1.5067,1.5067
22.5335,-1.4706,-1.4947,-1.4947,1.4947
22.7586,-1.4700,-1.4836,-1.4836,1.4836
22.9859,-1.4700,-1.4736,-1.4736,1.4736
23.2155,-1.4700,-1.4647,-1.4647,1.4647
23.4474,-1.4700,-1.4569,-1.4569,1.4569
23.6816,-1.4314,-1.4504,-1.4504,1.4504
23.9182,-1.4300,-1.4457,-1.4457,1.4457
24.1571,-1.4300,-1.4429,-1.4429,1.4429
24.3984,-1.4002,-1.4419,-1.4419,1.4419
24.6421,-1.3806,-1.4433,-1.4433,1.4433
24.8882,-1.3999,-1.4474,-1.4474,1.4474
25.1368,-1.4296,-1.4540,-1.4540,1.4540
25.3879,-1.4300,-1.4629,-1.4629,1.4629
25.6415,-1.4300,-1.4739,-1.4739,1.4739
25.8976,-1.4681,-1.4873,-1.4873,1.4873
26.1563,-1.4700,-1.5029,-1.5029,1.5029
26.4176,-1.5177,-1.5209,-1.5209,1.5209
26.6815,-1.5297,-1.5407,-1.5407,1.5407
26.9480,-1.5587,-1.5625,-1.5625,1.5625
27.2172,-1.5695,-1.5860,-1.5860,1.5860
27.4890,-1.6084,-1.6114,-1.6114,1.6114
27.7636,-1.6100,-1.6382,-1.6382,1.6382
28.0409,-1.6584,-1.6670,-1.6670,1.6670
28.3210,-1.6697,-1.6977,-1.6977,1.6977
28.6039,-1.6983,-1.7308,-1.7308,1.7308
28.8896,-1.7289,-1.7663,-1.7663,1.7663
29.1782,-1.7684,-1.8043,-1.8043,1.8043
29.4697,-1.8182,-1.8449,-1.8449,1.8449
29.7640,-1.8484,-1.8882,-1.8882,1.8882
30.0613,-1.8969,-1.9345,-1.9345,1.9345
30.3616,-1.9469,-1.9838,-1.9838,1.9838
30.6649,-1.9880,-2.0361,-2.0361,2.0361
30.9712,-2.0464,-2.0916,-2.0916,2.0916
31.2806,-2.1156,-2.1503,-2.1503,2.1503
31.5930,-2.1956,-2.2117,-2.2117,2.2117
31.9086,-2.2560,-2.2754,-2.2754,2.2754
32.2273,-2.3175,-2.3409,-2.3409,2.3409
32.5492,-2.3762,-2.4079,-2.4079,2.4079
32.8744,-2.4561,-2.4758,-2.4758,2.4758
33.2027,-2.5263,-2.5442,-2.5442,2.5442
33.5344,-2.6157,-2.6128,-2.6128,2.6128
33.8694,-2.6951,-2.6806,-2.6806,2.6806
34.2077,-2.7654,-2.7474,-2.7474,2.7474
34.5494,-2.8639,-2.8127,-2.8127,2.8127
34.8945,-2.9349,-2.8758,-2.8758,2.8758
35.2430,-2.9954,-2.9364,-2.9364,2.9364
35.5951,-3.0557,-2.9941,-2.9941,2.9941
35.9506,-3.0978,-3.0490,-3.0490,3.0490
36.3097,-3.1377,-3.1009,-3.1009,3.1009
36.6724,-3.1493,-3.1498,-3.1498,3.1498
37.0387,-3.2065,-3.1959,-3.1959,3.1959
37.4087,-3.2571,-3.2393,-3.2393,3.2393
37.7824,-3.2878,-3.2798,-3.2798,3.2798
38.1598,-3.3452,-3.3176,-3.3176,3.3176
38.5409,-3.3962,-3.3528,-3.3528,3.3528
