frequency,raw,smoothed,error,equalization
20.0000,-9.9700,-9.6324,-9.6324,9.6324
20.1998,-9.8701,-9.5941,-9.5941,9.5941
20.4015,-9.7693,-9.5503,-9.5503,9.5503
20.6053,-9.6820,-9.5024,-9.5024,9.5024
20.8112,-9.5795,-9.4509,-9.4509,9.4509
21.0190,-9.4805,-9.3963,-9.3963,9.3963
21.2290,-9.4004,-9.3388,-9.3388,9.3388
21.4410,-9.3196,-9.2782,-9.2782,9.2782
21.6552,-9.2320,-9.2139,-9.2139,9.2139
21.8715,-9.1494,-9.1453,-9.1453,9.1453
22.0900,-9.0700,-9.0714,-9.0714,9.0714
22.3106,-8.9798,-8.9912,-8.9912,8.9912
22.5335,-8.9023,-8.9066,-8.9066,8.9066
22.7586,-8.8205,-8.8220,-8.8220,8.8220
22.9859,-8.7316,-8.7374,-8.7374,8.7374
23.2155,-8.6614,-8.6531,-8.6531,8.6531
23.4474,-8.5908,-8.5688,-8.5688,8.5688
23.6816,-8.5224,-8.4843,-8.4843,8.4843
23.9182,-8.4406,-8.3994,-8.3994,8.3994
24.1571,-8.3412,-8.3139,-8.3139,8.3139
24.3984,-8.2307,-8.2282,-8.2282,8.2282
24.6421,-8.1138,-8.1429,-8.1429,8.1429
24.8882,-8.0008,-8.0585,-8.0585,8.0585
25.1368,-7.9210,-7.9757,-7.9757,7.9757
25.3879,-7.8506,-7.8945,-7.8945,7.8945
25.6415,-7.7920,-7.8152,-7.8152,7.8152
25.8976,-7.7329,-7.7375,-7.7375,7.7375
26.1563,-7.6610,-7.6613,-7.6613,7.6613
26.4176,-7.5837,-7.5867,-7.5867,7.5867
26.6815,-7.4930,-7.5141,-7.5141,7.5141
26.9480,-7.4136,-7.4436,-7.4436,7.4436
27.2172,-7.3433,-7.3755,-7.3755,7.3755
27.4890,-7.2824,-7.3095,-7.3095,7.3095
27.7636,-7.2117,-7.2452,-7.2452,7.2452
28.0409,-7.1519,-7.1823,-7.1823,7.1823
28.3210,-7.1016,-7.1204,-7.1204,7.1204
28.6039,-7.0528,-7.0591,-7.0591,7.0591
28.8896,-7.0018,-6.9981,-6.9981,6.9981
29.1782,-6.9424,-6.9373,-6.9373,6.9373
29.4697,-6.8918,-6.8765,-6.8765,6.8765
29.7640,-6.8332,-6.8156,-6.8156,6.8156
30.0613,-6.7737,-6.7543,-6.7543,6.7543
30.3616,-6.7137,-6.6925,-6.6925,6.6925
30.6649,-6.6530,-6.6301,-6.6301,6.6301
30.9712,-6.5842,-6.5668,-6.5668,6.5668
31.2806,-6.5144,-6.5029,-6.5029,6.5029
31.5930,-6.4344,-6.4381,-6.4381,6.4381
31.9086,-6.3647,-6.3728,-6.3728,6.3728
32.2273,-6.2929,-6.3069,-6.3069,6.3069
32.5492,-6.2338,-6.2407,-6.2407,6.2407
32.8744,-6.1634,-6.1738,-6.1738,6.1738
33.2027,-6.1031,-6.1066,-6.1066,6.1066
33.5344,-6.0524,-6.0393,-6.0393,6.0393
33.8694,-5.9936,-5.9723,-5.9723,5.9723
34.2077,-5.9246,-5.9060,-5.9060,5.9060
34.5494,-5.8542,-5.8404,-5.8404,5.8404
34.8945,-5.7851,-5.7758,-5.7758,5.7758
35.2430,-5.7062,-5.7120,-5.7120,5.7120
35.5951,-5.6257,-5.6493,-5.6493,5.6493
35.9506,-5.5444,-5.5878,-5.5878,5.5878
36.3097,-5.4645,-5.5278,-5.5278,5.5278
36.6724,-5.3860,-5.4697,-5.4697,5.4697
37.0387,-5.3235,-5.4136,-5.4136,5.4136
37.4087,-5.3294,-5.3593,-5.3593,5.3593
37.7824,-5.3393,-5.3057,-5.3057,5.3057
38.1598,-5.3124,-5.2522,-5.2522,5.2522
38.5409,-5.2454,-5.1988,-5.1988,5.1988
38.9259,-5.1744,-5.1454,-5.1454,5.1454
39.3147,-5.1045,-5.0921,-5.0921,5.0921
39.7074,-5.0449,-5.0388,-5.0388,5.0388
40.1041,-4.9854,-4.9854,-4.9854,4.9854
40.5046,-4.9435,-4.9320,-4.9320,4.9320
40.9092,-4.8938,-4.8783,-4.8783,4.8783
41.3179,-4.8071,-4.8240,-4.8240,4.8240
41.7306,-4.7072,-4.7694,-4.7694,4.7694
42.1474,-4.6539,-4.7154,-4.7154,4.7154
42.5684,-4.6592,-4.6625,-4.6625,4.6625
42.9936,-4.6692,-4.6102,-4.6102,4.6102
43.4231,-4.5786,-4.5577,-4.5577,4.5577
43.8568,-4.4798,-4.5054,-4.5054,4.5054
44.2949,-4.4333,-4.4542,-4.4542,4.4542
44.7374,-4.4028,-4.4042,-4.4042,4.4042
45.1842,-4.3551,-4.3550,-4.3550,4.3550
45.6356,-4.3049,-4.3064,-4.3064,4.3064
46.0914,-4.2543,-4.2583,-4.2583,4.2583
46.5518,-4.1962,-4.2110,-4.2110,4.2110
47.0168,-4.1447,-4.1646,-4.1646,4.1646
47.4864,-4.1037,-4.1194,-4.1194,4.1194
47.9608,-4.0551,-4.0756,-4.0756,4.0756
48.4398,-4.0052,-4.0335,-4.0335,4.0335
48.9237,-3.9548,-3.9936,-3.9936,3.9936
49.4124,-3.9500,-3.9558,-3.9558,3.9558
49.9059,-3.9500,-3.9196,-3.9196,3.9196
50.4044,-3.8700,-3.8846,-3.8846,3.8846
50.9079,-3.7704,-3.8519,-3.8519,3.8519
51.4164,-3.7511,-3.8224,-3.8224,3.8224
51.9300,-3.7500,-3.7961,-3.7961,3.7961
52.4487,-3.7588,-3.7726,-3.7726,3.7726
52.9726,-3.7600,-3.7515,-3.7515,3.7515
53.5018,-3.7155,-3.7324,-3.7324,3.7324
54.0362,-3.6747,-3.7160,-3.7160,3.7160
54.5759,-3.6612,-3.7026,-3.7026,3.7026
55.1211,-3.6511,-3.6923,-3.6923,3.6923
55.6717,-3.6500,-3.6850,-3.6850,3.6850
56.2278,-3.6500,-3.6807,-3.6807,3.6807
56.7894,-3.6500,-3.6789,-3.6789,3.6789
57.3567,-3.6500,-3.6786,-3.6786,3.6786
57.9296,-3.6500,-3.6789,-3.6789,3.6789
58.5082,-3.6500,-3.6793,-3.6793,3.6793
59.0927,-3.6588,-3.6798,-3.6798,3.6798
59.6829,-3.6774,-3.6802,-3.6802,3.6802
60.2791,-3.7064,-3.6800,-3.6800,3.6800
60.8812,-3.7535,-3.6782,-3.6782,3.6782
61.4893,-3.7513,-3.6732,-3.6732,3.6732
62.1035,-3.7500,-3.6648,-3.6648,3.6648
62.7239,-3.7500,-3.6527,-3.6527,3.6527
63.3504,-3.7151,-3.6369,-3.6369,3.6369
63.9832,-3.6495,-3.6178,-3.6178,3.6178
64.6223,-3.5882,-3.5960,-3.5960,3.5960
65.2678,-3.5539,-3.5718,-3.5718,3.5718
65.9198,-3.5500,-3.5454,-3.5454,3.5454
66.5782,-3.5500,-3.5168,-3.5168,3.5168
67.2433,-3.5239,-3.4859,-3.4859,3.4859
67.9149,-3.4684,-3.4530,-3.4530,3.4530
68.5933,-3.3914,-3.4189,-3.4189,3.4189
69.2785,-3.3540,-3.3848,-3.3848,3.3848
69.9705,-3.3500,-3.3509,-3.3509,3.3509
70.6694,-3.3500,-3.3168,-3.3168,3.3168
71.3753,-3.3244,-3.2820,-3.2820,3.2820
72.0883,-3.2600,-3.2465,-3.2465,3.2465
72.8083,-3.1727,-3.2104,-3.2104,3.2104
73.5356,-3.1514,-3.1743,-3.1743,3.1743
74.2701,-3.1415,-3.1377,-3.1377,3.1377
75.0120,-3.1144,-3.1006,-3.1006,3.1006
75.7613,-3.0672,-3.0632,-3.0632,3.0632
76.5180,-3.0515,-3.0259,-3.0259,3.0259
77.2824,-3.0161,-2.9886,-2.9886,2.9886
78.0543,-2.9505,-2.9511,-2.9511,2.9511
78.8340,-2.9059,-2.9138,-2.9138,2.9138
79.6214,-2.8660,-2.8768,-2.8768,2.8768
80.4168,-2.8431,-2.8401,-2.8401,2.8401
81.2200,-2.8064,-2.8039,-2.8039,2.8039
82.0313,-2.7411,-2.7680,-2.7680,2.7680
82.8507,-2.6626,-2.7331,-2.7331,2.7331
83.6783,-2.6500,-2.6999,-2.6999,2.6999
84.5141,-2.6500,-2.6682,-2.6682,2.6682
85.3583,-2.6500,-2.6375,-2.6375,2.6375
86.2109,-2.6500,-2.6076,-2.6076,2.6076
87.0721,-2.6334,-2.5782,-2.5782,2.5782
87.9418,-2.5470,-2.5495,-2.5495,2.5495
88.8203,-2.4553,-2.5223,-2.5223,2.5223
89.7075,-2.4400,-2.4977,-2.4977,2.4977
90.6035,-2.4400,-2.4759,-2.4759,2.4759
91.5085,-2.4400,-2.4567,-2.4567,2.4567
92.4226,-2.4400,-2.4397,-2.4397,2.4397
93.3458,-2.3988,-2.4242,-2.4242,2.4242
94.2782,-2.3487,-2.4103,-2.4103,2.4103
95.2199,-2.3400,-2.3988,-2.3988,2.3988
96.1711,-2.3400,-2.3902,-2.3902,2.3902
97.1317,-2.3482,-2.3845,-2.3845,2.3845
98.1019,-2.3582,-2.3818,-2.3818,2.3818
99.0818,-2.3682,-2.3819,-2.3819,2.3819
100.0715,-2.3864,-2.3839,-2.3839,2.3839
101.0711,-2.4064,-2.3873,-2.3873,2.3873
102.0807,-2.4100,-2.3918,-2.3918,2.3918
103.1004,-2.3774,-2.3973,-2.3973,2.3973
104.1302,-2.3537,-2.4043,-2.4043,2.4043
105.1703,-2.3662,-2.4131,-2.4131,2.4131
106.2209,-2.3943,-2.4230,-2.4230,2.4230
107.2819,-2.4163,-2.4335,-2.4335,2.4335
108.3535,-2.4443,-2.4440,-2.4440,2.4440
109.4358,-2.4662,-2.4542,-2.4542,2.4542
110.5289,-2.4862,-2.4636,-2.4636,2.4636
111.6330,-2.5061,-2.4716,-2.4716,2.4716
112.7481,-2.5100,-2.4776,-2.4776,2.4776
113.8743,-2.5180,-2.4818,-2.4818,2.4818
115.0118,-2.5200,-2.4839,-2.4839,2.4839
116.1606,-2.5200,-2.4839,-2.4839,2.4839
117.3209,-2.5200,-2.4816,-2.4816,2.4816
118.4928,-2.5120,-2.4771,-2.4771,2.4771
119.6764,-2.5100,-2.4710,-2.4710,2.4710
120.8718,-2.5021,-2.4635,-2.4635,2.4635
122.0792,-2.4921,-2.4548,-2.4548,2.4548
123.2986,-2.4582,-2.4457,-2.4457,2.4457
124.5302,-2.3947,-2.4368,-2.4368,2.4368
125.7741,-2.3721,-2.4296,-2.4296,2.4296
127.0304,-2.3621,-2.4245,-2.4245,2.4245
128.2993,-2.3521,-2.4216,-2.4216,2.4216
129.5808,-2.3500,-2.4212,-2.4212,2.4212
130.8752,-2.3658,-2.4234,-2.4234,2.4234
132.1825,-2.4094,-2.4281,-2.4281,2.4281
133.5028,-2.4278,-2.4350,-2.4350,2.4350
134.8363,-2.4300,-2.4439,-2.4439,2.4439
136.1832,-2.4300,-2.4547,-2.4547,2.4547
137.5435,-2.4691,-2.4675,-2.4675,2.4675
138.9174,-2.5034,-2.4814,-2.4814,2.4814
140.3050,-2.5178,-2.4957,-2.4957,2.4957
141.7065,-2.5200,-2.5098,-2.5098,2.5098
143.1220,-2.5200,-2.5236,-2.5236,2.5236
144.5516,-2.5200,-2.5373,-2.5373,2.5373
145.9955,-2.5278,-2.5515,-2.5515,2.5515
147.4538,-2.5766,-2.5664,-2.5664,2.5664
148.9267,-2.6055,-2.5817,-2.5817,2.5817
150.4143,-2.6177,-2.5973,-2.5973,2.5973
151.9167,-2.6200,-2.6132,-2.6132,2.6132
153.4342,-2.6200,-2.6294,-2.6294,2.6294
154.9668,-2.6200,-2.6461,-2.6461,2.6461
156.5147,-2.6200,-2.6639,-2.6639,2.6639
158.0781,-2.6200,-2.6834,-2.6834,2.6834
159.6571,-2.6430,-2.7046,-2.7046,2.7046
161.2519,-2.6958,-2.7274,-2.7274,2.7274
162.8626,-2.7712,-2.7509,-2.7509,2.7509
164.4894,-2.8205,-2.7739,-2.7739,2.7739
166.1324,-2.8300,-2.7958,-2.7958,2.7958
167.7919,-2.8376,-2.8171,-2.8171,2.8171
169.4679,-2.8476,-2.8381,-2.8381,2.8381
171.1607,-2.8500,-2.8591,-2.8591,2.8591
172.8704,-2.8727,-2.8801,-2.8801,2.8801
174.5972,-2.9329,-2.9007,-2.9007,2.9007
176.3412,-2.9651,-2.9200,-2.9200,2.9200
178.1026,-2.9700,-2.9373,-2.9373,2.9373
179.8816,-2.9700,-2.9527,-2.9527,2.9527
181.6784,-2.9625,-2.9665,-2.9665,2.9665
183.4932,-2.9525,-2.9801,-2.9801,2.9801
185.3261,-2.9500,-2.9943,-2.9943,2.9943
187.1772,-2.9947,-3.0096,-3.0096,3.0096
189.0469,-3.0548,-3.0256,-3.0256,3.0256
190.9352,-3.0849,-3.0417,-3.0417,3.0417
192.8425,-3.0826,-3.0579,-3.0579,3.0579
194.7687,-3.0726,-3.0744,-3.0744,3.0744
196.7142,-3.0552,-3.0917,-3.0917,3.0917
198.6792,-3.0426,-3.1108,-3.1108,3.1108
200.6637,-3.0400,-3.1321,-3.1321,3.1321
202.6681,-3.0992,-3.1562,-3.1562,3.1562
204.6925,-3.1863,-3.1826,-3.1826,3.1826
206.7371,-3.2247,-3.2100,-3.2100,3.2100
208.8022,-3.2300,-3.2377,-3.2377,3.2377
210.8879,-3.2447,-3.2660,-3.2660,3.2660
212.9944,-3.3160,-3.2958,-3.2958,3.2958
215.1219,-3.3547,-3.3266,-3.3266,3.3266
217.2707,-3.3380,-3.3579,-3.3579,3.3579
219.4410,-3.3665,-3.3904,-3.3904,3.3904
221.6329,-3.4164,-3.4241,-3.4241,3.4241
223.8468,-3.4446,-3.4581,-3.4581,3.4581
226.0827,-3.5081,-3.4918,-3.4918,3.4918
228.3410,-3.5590,-3.5243,-3.5243,3.5243
230.6219,-3.5410,-3.5561,-3.5561,3.5561
232.9255,-3.5300,-3.5885,-3.5885,3.5885
235.2521,-3.6239,-3.6219,-3.6219,3.6219
237.6020,-3.6961,-3.6555,-3.6555,3.6555
239.9754,-3.6884,-3.6886,-3.6886,3.6886
242.3724,-3.7088,-3.7221,-3.7221,3.7221
244.7934,-3.7989,-3.7563,-3.7563,3.7563
247.2386,-3.8372,-3.7906,-3.7906,3.7906
249.7082,-3.8185,-3.8250,-3.8250,3.8250
252.2025,-3.7814,-3.8600,-3.8600,3.8600
254.7217,-3.8270,-3.8965,-3.8965,3.8965
257.2661,-3.9212,-3.9345,-3.9345,3.9345
259.8358,-3.9713,-3.9729,-3.9729,3.9729
262.4313,-3.9871,-4.0115,-4.0115,4.0115
265.0527,-4.0537,-4.0508,-4.0508,4.0508
267.7002,-4.0729,-4.0908,-4.0908,4.0908
270.3742,-4.0912,-4.1316,-4.1316,4.1316
273.0749,-4.2201,-4.1731,-4.1731,4.1731
275.8026,-4.2982,-4.2138,-4.2138,4.2138
278.5575,-4.2959,-4.2531,-4.2531,4.2531
281.3400,-4.2830,-4.2915,-4.2915,4.2915
284.1502,-4.3081,-4.3298,-4.3298,4.3298
286.9885,-4.3480,-4.3680,-4.3680,4.3680
289.8552,-4.3530,-4.4060,-4.4060,4.4060
292.7505,-4.4547,-4.4441,-4.4441,4.4441
295.6747,-4.5556,-4.4811,-4.4811,4.4811
298.6281,-4.5452,-4.5155,-4.5155,4.5155
301.6111,-4.5508,-4.5481,-4.5481,4.5481
304.6238,-4.6155,-4.5797,-4.5797,4.5797
307.6666,-4.5777,-4.6107,-4.6107,4.6107
310.7398,-4.5915,-4.6425,-4.6425,4.6425
313.8437,-4.6790,-4.6750,-4.6750,4.6750
316.9786,-4.7857,-4.7066,-4.7066,4.7066
320.1449,-4.8200,-4.7363,-4.7363,4.7363
323.3427,-4.7926,-4.7647,-4.7647,4.7647
326.5725,-4.7800,-4.7929,-4.7929,4.7929
329.8346,-4.7732,-4.8211,-4.8211,4.8211
333.1292,-4.7359,-4.8502,-4.8502,4.8502
336.4568,-4.8018,-4.8808,-4.8808,4.8808
339.8176,-4.9624,-4.9122,-4.9122,4.9122
343.2119,-5.0268,-4.9420,-4.9420,4.9420
346.6402,-5.0097,-4.9698,-4.9698,4.9698
350.1027,-4.9594,-4.9960,-4.9960,4.9960
353.5998,-4.9400,-5.0221,-5.0221,5.0221
357.1318,-5.0684,-5.0494,-5.0494,5.0494
360.6991,-5.1974,-5.0766,-5.0766,5.0766
364.3021,-5.1964,-5.1023,-5.1023,5.1023
367.9410,-5.1666,-5.1270,-5.1270,5.1270
371.6163,-5.1533,-5.1511,-5.1511,5.1511
375.3283,-5.1433,-5.1745,-5.1745,5.1745
379.0774,-5.1400,-5.1976,-5.1976,5.1976
382.8639,-5.1533,-5.2217,-5.2217,5.2217
386.6882,-5.1866,-5.2476,-5.2476,5.2476
390.5508,-5.2532,-5.2747,-5.2747,5.2747
394.4519,-5.2999,-5.3014,-5.3014,5.3014
398.3920,-5.3166,-5.3264,-5.3264,5.3264
402.3714,-5.3332,-5.3498,-5.3498,5.3498
406.3906,-5.4259,-5.3724,-5.3724,5.3724
410.4500,-5.4898,-5.3934,-5.3934,5.3934
414.5498,-5.4671,-5.4111,-5.4111,5.4111
418.6907,-5.4369,-5.4250,-5.4250,5.4250
422.8729,-5.5152,-5.4350,-5.4350,5.4350
427.0969,-5.5862,-5.4394,-5.4394,5.4394
431.3631,-5.5477,-5.4367,-5.4367,5.4367
435.6718,-5.4874,-5.4274,-5.4274,5.4274
440.0237,-5.4505,-5.4124,-5.4124,5.4124
444.4190,-5.4075,-5.3925,-5.3925,5.3925
448.8582,-5.4160,-5.3678,-5.3678,5.3678
453.3417,-5.4753,-5.3372,-5.3372,5.3372
457.8700,-5.4160,-5.3004,-5.3004,5.3004
462.4436,-5.3054,-5.2594,-5.2594,5.2594
467.0628,-5.2313,-5.2159,-5.2159,5.2159
471.7282,-5.1650,-5.1698,-5.1698,5.1698
476.4402,-5.1079,-5.1216,-5.1216,5.1216
481.1993,-5.0579,-5.0728,-5.0728,5.0728
486.0059,-5.0144,-5.0256,-5.0256,5.0256
490.8605,-4.9808,-4.9802,-4.9802,4.9802
495.7636,-4.9509,-4.9361,-4.9361,4.9361
500.7156,-4.8062,-4.8932,-4.8932,4.8932
505.7172,-4.6728,-4.8530,-4.8530,4.8530
510.7687,-4.7606,-4.8172,-4.8172,4.8172
515.8706,-4.8490,-4.7841,-4.7841,4.7841
521.0235,-4.7652,-4.7513,-4.7513,4.7513
526.2279,-4.5965,-4.7195,-4.7195,4.7195
531.4843,-4.5363,-4.6909,-4.6909,4.6909
536.7932,-4.6658,-4.6653,-4.6653,4.6653
542.1551,-4.7902,-4.6390,-4.6390,4.6390
547.5705,-4.7260,-4.6087,-4.6087,4.6087
553.0401,-4.6450,-4.5744,-4.5744,4.5744
558.5643,-4.6050,-4.5363,-4.5363,4.5363
564.1437,-4.5401,-4.4934,-4.4934,4.4934
569.7788,-4.4913,-4.4443,-4.4443,4.4443
