frequency,raw,smoothed,error,equalization
20.0000,-0.0500,0.1238,0.1238,-0.1238
20.1998,-0.0400,0.1490,0.1490,-0.1490
20.4015,0.0104,0.1788,0.1788,-0.1788
20.6053,0.0687,0.2123,0.2123,-0.2123
20.8112,0.1503,0.2491,0.2491,-0.2491
21.0190,0.1998,0.2888,0.2888,-0.2888
21.2290,0.2697,0.3316,0.3316,-0.3316
21.4410,0.3303,0.3775,0.3775,-0.3775
21.6552,0.3985,0.4267,0.4267,-0.4267
21.8715,0.4703,0.4797,0.4797,-0.4797
22.0900,0.5200,0.5367,0.5367,-0.5367
22.3106,0.6002,0.5986,0.5986,-0.5986
22.5335,0.6583,0.6639,0.6639,-0.6639
22.7586,0.7295,0.7298,0.7298,-0.7298
22.9859,0.7988,0.7957,0.7957,-0.7957
23.2155,0.8588,0.8616,0.8616,-0.8616
23.4474,0.9391,0.9275,0.9275,-0.9275
23.6816,0.9883,0.9933,0.9933,-0.9933
23.9182,1.0694,1.0591,1.0591,-1.0591
24.1571,1.1293,1.1247,1.1247,-1.1247
24.3984,1.1896,1.1898,1.1898,-1.1898
24.6421,1.2578,1.2546,1.2546,-1.2546
24.8882,1.3096,1.3187,1.3187,-1.3187
25.1368,1.3890,1.3822,1.3822,-1.3822
25.3879,1.4495,1.4449,1.4449,-1.4449
25.6415,1.5177,1.5066,1.5066,-1.5066
25.8976,1.5867,1.5671,1.5671,-1.5671
26.1563,1.6393,1.6261,1.6261,-1.6261
26.4176,1.7259,1.6837,1.6837,-1.6837
26.6815,1.7784,1.7394,1.7394,-1.7394
26.9480,1.8182,1.7931,1.7931,-1.7931
27.2172,1.8676,1.8450,1.8450,-1.8450
27.4890,1.9180,1.8951,1.8951,-1.8951
27.7636,1.9591,1.9434,1.9434,-1.9434
28.0409,2.0084,1.9899,1.9899,-1.9899
28.3210,2.0584,2.0348,2.0348,-2.0348
28.6039,2.0978,2.0780,2.0780,-2.0780
28.8896,2.1289,2.1196,2.1196,-2.1196
29.1782,2.1684,2.1599,2.1599,-2.1599
29.4697,2.2086,2.1991,2.1991,-2.1991
29.7640,2.2479,2.2373,2.2373,-2.2373
30.0613,2.2875,2.2747,2.2747,-2.2747
30.3616,2.3088,2.3112,2.3112,-2.3112
30.6649,2.3575,2.3470,2.3470,-2.3470
30.9712,2.3882,2.3821,2.3821,-2.3821
31.2806,2.4181,2.4164,2.4164,-2.4164
31.5930,2.4578,2.4500,2.4500,-2.4500
31.9086,2.4973,2.4828,2.4828,-2.4828
32.2273,2.5192,2.5148,2.5148,-2.5148
32.5492,2.5481,2.5461,2.5461,-2.5461
32.8744,2.5880,2.5764,2.5764,-2.5764
33.2027,2.6279,2.6057,2.6057,-2.6057
33.5344,2.6395,2.6339,2.6339,-2.6339
33.8694,2.6870,2.6609,2.6609,-2.6609
34.2077,2.6993,2.6865,2.6865,-2.6865
34.5494,2.7282,2.7109,2.7109,-2.7109
34.8945,2.7485,2.7341,2.7341,-2.7341
35.2430,2.7777,2.7560,2.7560,-2.7560
35.5951,2.7800,2.7764,2.7764,-2.7764
35.9506,2.8272,2.7955,2.7955,-2.7955
36.3097,2.8300,2.8130,2.8130,-2.8130
36.6724,2.8300,2.8291,2.8291,-2.8291
37.0387,2.8676,2.8440,2.8440,-2.8440
37.4087,2.8700,2.8577,2.8577,-2.8577
37.7824,2.8700,2.8703,2.8703,-2.8703
38.1598,2.8976,2.8822,2.8822,-2.8822
38.5409,2.9185,2.8930,2.8930,-2.8930
38.9259,2.9200,2.9027,2.9027,-2.9027
39.3147,2.9200,2.9114,2.9114,-2.9114
39.7074,2.9200,2.9192,2.9192,-2.9192
40.1041,2.9200,2.9264,2.9264,-2.9264
40.5046,2.9291,2.9330,2.9330,-2.9330
40.9092,2.9392,2.9388,2.9388,-2.9388
41.3179,2.9492,2.9436,2.9436,-2.9436
41.7306,2.9686,2.9475,2.9475,-2.9475
42.1474,2.9700,2.9502,2.9502,-2.9502
42.5684,2.9700,2.9519,2.9519,-2.9519
42.9936,2.9700,2.9525,2.9525,-2.9525
43.4231,2.9700,2.9522,2.9522,-2.9522
43.8568,2.9700,2.9508,2.9508,-2.9508
44.2949,2.9700,2.9483,2.9483,-2.9483
44.7374,2.9700,2.9447,2.9447,-2.9447
45.1842,2.9431,2.9398,2.9398,-2.9398
45.6356,2.9220,2.9340,2.9340,-2.9340
46.0914,2.9200,2.9274,2.9274,-2.9274
46.5518,2.9200,2.9200,2.9200,-2.9200
47.0168,2.9200,2.9117,2.9117,-2.9117
47.4864,2.9200,2.9026,2.9026,-2.9026
47.9608,2.9200,2.8924,2.8924,-2.8924
48.4398,2.8931,2.8811,2.8811,-2.8811
48.9237,2.8719,2.8688,2.8688,-2.8688
49.4124,2.8700,2.8557,2.8557,-2.8557
49.9059,2.8700,2.8417,2.8417,-2.8417
50.4044,2.8344,2.8267,2.8267,-2.8267
50.9079,2.8300,2.8110,2.8110,-2.8110
