frequency,raw,smoothed,error,equalization
20.0000,-6.9400,-6.5599,-6.5599,6.5599
20.1998,-6.8301,-6.5148,-6.5148,6.5148
20.4015,-6.7193,-6.4628,-6.4628,6.4628
20.6053,-6.6222,-6.4056,-6.4056,6.4056
20.8112,-6.5095,-6.3436,-6.3436,6.3436
21.0190,-6.4105,-6.2773,-6.2773,6.2773
21.2290,-6.3005,-6.2063,-6.2063,6.2063
21.4410,-6.1895,-6.1307,-6.1307,6.1307
21.6552,-6.0922,-6.0500,-6.0500,6.0500
21.8715,-5.9793,-5.9636,-5.9636,5.9636
22.0900,-5.8800,-5.8710,-5.8710,5.8710
22.3106,-5.7697,-5.7709,-5.7709,5.7709
22.5335,-5.6631,-5.6660,-5.6660,5.6660
22.7586,-5.5507,-5.5616,-5.5616,5.5616
22.9859,-5.4518,-5.4579,-5.4579,5.4579
23.2155,-5.3421,-5.3551,-5.3551,5.3551
23.4474,-5.2411,-5.2534,-5.2534,5.2534
23.6816,-5.1338,-5.1527,-5.1527,5.1527
23.9182,-5.0308,-5.0535,-5.0535,5.0535
24.1571,-4.9312,-4.9557,-4.9557,4.9557
24.3984,-4.8406,-4.8596,-4.8596,4.8596
24.6421,-4.7432,-4.7652,-4.7652,4.7652
24.8882,-4.6507,-4.6726,-4.6726,4.6726
25.1368,-4.5611,-4.5819,-4.5819,4.5819
25.3879,-4.4707,-4.4931,-4.4931,4.4931
25.6415,-4.3829,-4.4062,-4.4062,4.4062
25.8976,-4.3038,-4.3213,-4.3213,4.3213
26.1563,-4.2113,-4.2383,-4.2383,4.2383
26.4176,-4.1337,-4.1573,-4.1573,4.1573
26.6815,-4.0526,-4.0781,-4.0781,4.0781
26.9480,-3.9831,-4.0006,-4.0006,4.0006
27.2172,-3.9038,-3.9248,-3.9248,3.9248
27.4890,-3.8328,-3.8505,-3.8505,3.8505
27.7636,-3.7617,-3.7777,-3.7777,3.7777
28.0409,-3.6923,-3.7061,-3.7061,3.7061
28.3210,-3.6222,-3.6358,-3.6358,3.6358
28.6039,-3.5633,-3.5666,-3.5666,3.5666
28.8896,-3.4926,-3.4983,-3.4983,3.4983
29.1782,-3.4228,-3.4309,-3.4309,3.4309
29.4697,-3.3621,-3.3645,-3.3645,3.3645
29.7640,-3.2937,-3.2988,-3.2988,3.2988
30.0613,-3.2244,-3.2338,-3.2338,3.2338
30.3616,-3.1637,-3.1699,-3.1699,3.1699
30.6649,-3.0935,-3.1068,-3.1068,3.1068
30.9712,-3.0336,-3.0448,-3.0448,3.0448
31.2806,-2.9738,-2.9839,-2.9839,2.9839
31.5930,-2.9038,-2.9241,-2.9241,2.9241
31.9086,-2.8440,-2.8656,-2.8656,2.8656
32.2273,-2.7920,-2.8085,-2.8085,2.8085
32.5492,-2.7338,-2.7527,-2.7527,2.7527
32.8744,-2.6824,-2.6984,-2.6984,2.6984
33.2027,-2.6231,-2.6455,-2.6455,2.6455
33.5344,-2.5724,-2.5942,-2.5942,2.5942
33.8694,-2.5324,-2.5445,-2.5445,2.5445
34.2077,-2.4833,-2.4962,-2.4962,2.4962
34.5494,-2.4330,-2.4496,-2.4496,2.4496
34.8945,-2.3929,-2.4045,-2.4045,2.4045
35.2430,-2.3439,-2.3610,-2.3610,2.3610
35.5951,-2.3029,-2.3192,-2.3192,2.3192
35.9506,-2.2528,-2.2791,-2.2791,2.2791
36.3097,-2.2217,-2.2407,-2.2407,2.2407
36.6724,-2.1830,-2.2040,-2.2040,2.2040
37.0387,-2.1424,-2.1690,-2.1690,2.1690
37.4087,-2.1117,-2.1356,-2.1356,2.1356
37.7824,-2.0822,-2.1038,-2.1038,2.1038
38.1598,-2.0524,-2.0735,-2.0735,2.0735
38.5409,-2.0315,-2.0448,-2.0448,2.0448
38.9259,-2.0019,-2.0173,-2.0173,2.0173
39.3147,-1.9813,-1.9912,-1.9912,1.9912
39.7074,-1.9616,-1.9662,-1.9662,1.9662
40.1041,-1.9418,-1.9423,-1.9423,1.9423
40.5046,-1.9127,-1.9192,-1.9192,1.9192
40.9092,-1.8915,-1.8970,-1.8970,1.8970
41.3179,-1.8624,-1.8756,-1.8756,1.8756
41.7306,-1.8414,-1.8549,-1.8549,1.8549
42.1474,-1.8216,-1.8348,-1.8348,1.8348
42.5684,-1.8108,-1.8153,-1.8153,1.8153
42.9936,-1.7917,-1.7961,-1.7961,1.7961
43.4231,-1.7717,-1.7770,-1.7770,1.7770
43.8568,-1.7520,-1.7581,-1.7581,1.7581
