frequency,raw,smoothed,error,equalization
20.0000,-0.0800,0.1665,0.1665,-0.1665
20.1998,-0.0201,0.1977,0.1977,-0.1977
20.4015,0.0505,0.2338,0.2338,-0.2338
20.6053,0.1184,0.2739,0.2739,-0.2739
20.8112,0.1904,0.3176,0.3176,-0.3176
21.0190,0.2696,0.3648,0.3648,-0.3648
21.2290,0.3397,0.4153,0.4153,-0.4153
21.4410,0.4203,0.4693,0.4693,-0.4693
21.6552,0.4885,0.5272,0.5272,-0.5272
21.8715,0.5706,0.5893,0.5893,-0.5893
22.0900,0.6500,0.6562,0.6562,-0.6562
22.3106,0.7302,0.7285,0.7285,-0.7285
22.5335,0.8077,0.8048,0.8048,-0.8048
22.7586,0.8895,0.8811,0.8811,-0.8811
22.9859,0.9588,0.9573,0.9573,-0.9573
23.2155,1.0384,1.0335,1.0335,-1.0335
23.4474,1.1191,1.1096,1.1096,-1.1096
23.6816,1.1876,1.1853,1.1853,-1.1853
23.9182,1.2594,1.2609,1.2609,-1.2609
24.1571,1.3390,1.3362,1.3362,-1.3362
24.3984,1.4095,1.4113,1.4113,-1.4113
24.6421,1.4875,1.4860,1.4860,-1.4860
24.8882,1.5595,1.5604,1.5604,-1.5604
25.1368,1.6390,1.6344,1.6344,-1.6344
25.3879,1.7094,1.7080,1.7080,-1.7080
25.6415,1.7874,1.7812,1.7812,-1.7812
25.8976,1.8662,1.8538,1.8538,-1.8538
26.1563,1.9390,1.9258,1.9258,-1.9258
26.4176,2.0068,1.9972,1.9972,-1.9972
26.6815,2.0777,2.0680,2.0680,-2.0680
26.9480,2.1469,2.1382,2.1382,-2.1382
27.2172,2.2167,2.2079,2.2079,-2.2079
27.4890,2.2872,2.2770,2.2770,-2.2770
27.7636,2.3486,2.3457,2.3457,-2.3457
28.0409,2.4177,2.4141,2.4141,-2.4141
28.3210,2.4781,2.4821,2.4821,-2.4821
28.6039,2.5461,2.5501,2.5501,-2.5501
28.8896,2.6174,2.6181,2.6181,-2.6181
29.1782,2.6872,2.6862,2.6862,-2.6862
