frequency,raw,smoothed,error,equalization
20.0000,5.6300,5.6774,5.6774,-5.6774
20.1998,5.6400,5.6830,5.6830,-5.6830
20.4015,5.6502,5.6896,5.6896,-5.6896
20.6053,5.6793,5.6970,5.6970,-5.6970
20.8112,5.6800,5.7048,5.7048,-5.7048
21.0190,5.6800,5.7131,5.7131,-5.7131
21.2290,5.7298,5.7220,5.7220,-5.7220
21.4410,5.7300,5.7312,5.7312,-5.7312
21.6552,5.7300,5.7409,5.7409,-5.7409
21.8715,5.7601,5.7512,5.7512,-5.7512
22.0900,5.7700,5.7622,5.7622,-5.7622
22.3106,5.7700,5.7738,5.7738,-5.7738
22.5335,5.7700,5.7861,5.7861,-5.7861
22.7586,5.8197,5.7984,5.7984,-5.7984
22.9859,5.8200,5.8103,5.8103,-5.8103
23.2155,5.8200,5.8221,5.8221,-5.8221
23.4474,5.8200,5.8339,5.8339,-5.8339
23.6816,5.8393,5.8458,5.8458,-5.8458
23.9182,5.8698,5.8580,5.8580,-5.8580
24.1571,5.8700,5.8702,5.8702,-5.8702
24.3984,5.8700,5.8824,5.8824,-5.8824
24.6421,5.8991,5.8949,5.8949,-5.8949
24.8882,5.9099,5.9075,5.9075,-5.9075
25.1368,5.9100,5.9200,5.9200,-5.9200
25.3879,5.9100,5.9326,5.9326,-5.9326
25.6415,5.9584,5.9453,5.9453,-5.9453
25.8976,5.9600,5.9579,5.9579,-5.9579
26.1563,5.9600,5.9705,5.9705,-5.9705
26.4176,6.0077,5.9830,5.9830,-5.9830
26.6815,6.0100,5.9950,5.9950,-5.9950
26.9480,6.0100,6.0064,6.0064,-6.0064
27.2172,6.0100,6.0178,6.0178,-6.0178
27.4890,6.0484,6.0291,6.0291,-6.0291
27.7636,6.0500,6.0399,6.0399,-6.0399
28.0409,6.0500,6.0504,6.0504,-6.0504
28.3210,6.0500,6.0606,6.0606,-6.0606
28.6039,6.0500,6.0706,6.0706,-6.0706
28.8896,6.0982,6.0805,6.0805,-6.0805
29.1782,6.1000,6.0900,6.0900,-6.0900
29.4697,6.1000,6.0991,6.0991,-6.0991
29.7640,6.1000,6.1080,6.1080,-6.1080
