frequency,raw,smoothed,error,equalization
20.0000,-11.1800,-10.9443,-10.9443,10.9443
20.1998,-11.1001,-10.9144,-10.9144,10.9144
20.4015,-11.0294,-10.8782,-10.8782,10.8782
20.6053,-10.9518,-10.8366,-10.8366,10.8366
20.8112,-10.8998,-10.7901,-10.7901,10.7901
21.0190,-10.8602,-10.7388,-10.7388,10.7388
21.2290,-10.8202,-10.6822,-10.6822,10.6822
21.4410,-10.7697,-10.6202,-10.6202,10.6202
21.6552,-10.7015,-10.5523,-10.5523,10.5523
21.8715,-10.6092,-10.4781,-10.4781,10.4781
22.0900,-10.4900,-10.3973,-10.3973,10.3973
22.3106,-10.3396,-10.3092,-10.3092,10.3092
22.5335,-10.1942,-10.2161,-10.2161,10.2161
22.7586,-10.0410,-10.1224,-10.1224,10.1224
22.9859,-9.9123,-10.0291,-10.0291,10.0291
23.2155,-9.8218,-9.9368,-9.9368,9.9368
23.4474,-9.7508,-9.8458,-9.8458,9.8458
23.6816,-9.7017,-9.7567,-9.7567,9.7567
23.9182,-9.6702,-9.6696,-9.6696,9.6696
24.1571,-9.6305,-9.5844,-9.5844,9.5844
24.3984,-9.5704,-9.5011,-9.5011,9.5011
24.6421,-9.4925,-9.4194,-9.4194,9.4194
24.8882,-9.3808,-9.3391,-9.3391,9.3391
25.1368,-9.2516,-9.2602,-9.2602,9.2602
25.3879,-9.1211,-9.1828,-9.1828,9.1828
25.6415,-9.0136,-9.1072,-9.1072,9.1072
25.8976,-8.9338,-9.0335,-9.0335,9.0335
26.1563,-8.8709,-8.9615,-8.9615,8.9615
26.4176,-8.8509,-8.8912,-8.8912,8.8912
26.6815,-8.8210,-8.8219,-8.8219,8.8219
26.9480,-8.8009,-8.7534,-8.7534,8.7534
27.2172,-8.7429,-8.6851,-8.6851,8.6851
27.4890,-8.6632,-8.6169,-8.6169,8.6169
27.7636,-8.5721,-8.5489,-8.5489,8.5489
28.0409,-8.4829,-8.4812,-8.4812,8.4812
28.3210,-8.3929,-8.4136,-8.4136,8.4136
28.6039,-8.3239,-8.3459,-8.3459,8.3459
28.8896,-8.2622,-8.2776,-8.2776,8.2776
29.1782,-8.2024,-8.2084,-8.2084,8.2084
29.4697,-8.1518,-8.1379,-8.1379,8.1379
29.7640,-8.0932,-8.0663,-8.0663,8.0663
30.0613,-8.0244,-7.9937,-7.9937,7.9937
30.3616,-7.9449,-7.9203,-7.9203,7.9203
30.6649,-7.8640,-7.8466,-7.8466,7.8466
30.9712,-7.7849,-7.7727,-7.7727,7.7727
31.2806,-7.7050,-7.6985,-7.6985,7.6985
31.5930,-7.6149,-7.6240,-7.6240,7.6240
31.9086,-7.5354,-7.5493,-7.5493,7.5493
32.2273,-7.4533,-7.4743,-7.4743,7.4743
32.5492,-7.3844,-7.3992,-7.3992,7.3992
32.8744,-7.3134,-7.3243,-7.3243,7.3243
33.2027,-7.2531,-7.2495,-7.2495,7.2495
33.5344,-7.1833,-7.1750,-7.1750,7.1750
33.8694,-7.1142,-7.1009,-7.1009,7.1009
34.2077,-7.0353,-7.0271,-7.0271,7.0271
