frequency,raw,smoothed,error,equalization
20.0000,-5.1700,-4.7997,-4.7997,4.7997
20.1998,-5.0501,-4.7627,-4.7627,4.7627
20.4015,-4.9392,-4.7215,-4.7215,4.7215
20.6053,-4.8324,-4.6782,-4.6782,4.6782
20.8112,-4.7295,-4.6338,-4.6338,4.6338
21.0190,-4.6305,-4.5891,-4.5891,4.5891
21.2290,-4.5404,-4.5446,-4.5446,4.5446
21.4410,-4.4597,-4.5004,-4.5004,4.5004
21.6552,-4.3915,-4.4567,-4.4567,4.4567
21.8715,-4.3297,-4.4132,-4.4132,4.4132
22.0900,-4.2800,-4.3697,-4.3697,4.3697
22.3106,-4.2399,-4.3261,-4.3261,4.3261
22.5335,-4.2108,-4.2844,-4.2844,4.2844
22.7586,-4.1901,-4.2482,-4.2482,4.2482
22.9859,-4.1802,-4.2172,-4.2172,4.2172
23.2155,-4.1604,-4.1904,-4.1904,4.1904
23.4474,-4.1501,-4.1674,-4.1674,4.1674
23.6816,-4.1403,-4.1473,-4.1473,4.1473
23.9182,-4.1202,-4.1292,-4.1292,4.1292
24.1571,-4.1002,-4.1125,-4.1125,4.1125
24.3984,-4.0801,-4.0962,-4.0962,4.0962
24.6421,-4.0703,-4.0797,-4.0797,4.0797
24.8882,-4.0601,-4.0619,-4.0619,4.0619
25.1368,-4.0600,-4.0421,-4.0421,4.0421
25.3879,-4.0600,-4.0195,-4.0195,4.0195
25.6415,-4.0503,-3.9932,-3.9932,3.9932
25.8976,-4.0405,-3.9627,-3.9627,3.9627
26.1563,-4.0301,-3.9276,-3.9276,3.9276
26.4176,-3.9918,-3.8873,-3.8873,3.8873
26.6815,-3.9416,-3.8420,-3.8420,3.8420
26.9480,-3.8827,-3.7919,-3.7919,3.7919
27.2172,-3.8038,-3.7374,-3.7374,3.7374
27.4890,-3.7232,-3.6792,-3.6792,3.6792
27.7636,-3.6321,-3.6182,-3.6182,3.6182
28.0409,-3.5526,-3.5554,-3.5554,3.5554
28.3210,-3.4726,-3.4917,-3.4917,3.4917
28.6039,-3.3944,-3.4282,-3.4282,3.4282
28.8896,-3.3130,-3.3658,-3.3658,3.3658
29.1782,-3.2524,-3.3056,-3.3056,3.3056
29.4697,-3.1921,-3.2482,-3.2482,3.2482
29.7640,-3.1332,-3.1942,-3.1942,3.1942
30.0613,-3.0831,-3.1439,-3.1439,3.1439
30.3616,-3.0425,-3.0977,-3.0977,3.0977
30.6649,-3.0020,-3.0555,-3.0555,3.0555
30.9712,-2.9718,-3.0170,-3.0170,3.0170
31.2806,-2.9419,-2.9819,-2.9819,2.9819
31.5930,-2.9211,-2.9496,-2.9496,2.9496
31.9086,-2.9013,-2.9195,-2.9195,2.9195
32.2273,-2.8808,-2.8909,-2.8909,2.8909
32.5492,-2.8613,-2.8631,-2.8631,2.8631
32.8744,-2.8410,-2.8355,-2.8355,2.8355
33.2027,-2.8210,-2.8076,-2.8076,2.8076
33.5344,-2.8009,-2.7789,-2.7789,2.7789
33.8694,-2.7812,-2.7490,-2.7490,2.7490
34.2077,-2.7613,-2.7173,-2.7173,2.7173
34.5494,-2.7318,-2.6835,-2.6835,2.6835
34.8945,-2.6929,-2.6475,-2.6475,2.6475
35.2430,-2.6439,-2.6094,-2.6094,2.6094
35.5951,-2.5936,-2.5695,-2.5695,2.5695
35.9506,-2.5428,-2.5283,-2.5283,2.5283
36.3097,-2.4928,-2.4860,-2.4860,2.4860
36.6724,-2.4437,-2.4431,-2.4431,2.4431
37.0387,-2.3930,-2.3999,-2.3999,2.3999
37.4087,-2.3429,-2.3567,-2.3567,2.3567
37.7824,-2.2936,-2.3140,-2.3140,2.3140
38.1598,-2.2440,-2.2722,-2.2722,2.2722
38.5409,-2.1938,-2.2316,-2.2316,2.2316
38.9259,-2.1619,-2.1926,-2.1926,2.1926
39.3147,-2.1319,-2.1552,-2.1552,2.1552
39.7074,-2.1024,-2.1194,-2.1194,2.1194
40.1041,-2.0727,-2.0849,-2.0849,2.0849
40.5046,-2.0427,-2.0515,-2.0515,2.0515
40.9092,-2.0123,-2.0192,-2.0192,2.0192
41.3179,-1.9824,-1.9876,-1.9876,1.9876
41.7306,-1.9522,-1.9568,-1.9568,1.9568
42.1474,-1.9223,-1.9265,-1.9265,1.9265
42.5684,-1.9015,-1.8967,-1.8967,1.8967
42.9936,-1.8725,-1.8670,-1.8670,1.8670
43.4231,-1.8426,-1.8375,-1.8375,1.8375
43.8568,-1.8129,-1.8079,-1.8079,1.8079
44.2949,-1.7824,-1.7785,-1.7785,1.7785
44.7374,-1.7528,-1.7491,-1.7491,1.7491
45.1842,-1.7141,-1.7200,-1.7200,1.7200
45.6356,-1.6830,-1.6912,-1.6912,1.6912
46.0914,-1.6526,-1.6629,-1.6629,1.6629
46.5518,-1.6231,-1.6352,-1.6352,1.6352
47.0168,-1.5928,-1.6081,-1.6081,1.6081
47.4864,-1.5719,-1.5816,-1.5816,1.5816
47.9608,-1.5431,-1.5558,-1.5558,1.5558
48.4398,-1.5221,-1.5307,-1.5307,1.5307
48.9237,-1.5019,-1.5061,-1.5061,1.5061
49.4124,-1.4729,-1.4822,-1.4822,1.4822
49.9059,-1.4522,-1.4590,-1.4590,1.4590
50.4044,-1.4322,-1.4363,-1.4363,1.4363
50.9079,-1.4121,-1.4143,-1.4143,1.4143
51.4164,-1.3921,-1.3927,-1.3927,1.3927
51.9300,-1.3723,-1.3717,-1.3717,1.3717
52.4487,-1.3524,-1.3510,-1.3510,1.3510
52.9726,-1.3233,-1.3307,-1.3307,1.3307
53.5018,-1.3022,-1.3109,-1.3109,1.3109
54.0362,-1.2824,-1.2915,-1.2915,1.2915
54.5759,-1.2624,-1.2726,-1.2726,1.2726
55.1211,-1.2422,-1.2542,-1.2542,1.2542
55.6717,-1.2312,-1.2362,-1.2362,1.2362
56.2278,-1.2123,-1.2187,-1.2187,1.2187
56.7894,-1.2012,-1.2015,-1.2015,1.2015
57.3567,-1.1823,-1.1847,-1.1847,1.1847
57.9296,-1.1712,-1.1682,-1.1682,1.1682
58.5082,-1.1525,-1.1520,-1.1520,1.1520
59.0927,-1.1323,-1.1362,-1.1362,1.1362
59.6829,-1.1213,-1.1207,-1.1207,1.1207
60.2791,-1.1024,-1.1056,-1.1056,1.1056
60.8812,-1.0826,-1.0907,-1.0907,1.0907
61.4893,-1.0713,-1.0761,-1.0761,1.0761
62.1035,-1.0525,-1.0619,-1.0619,1.0619
62.7239,-1.0412,-1.0479,-1.0479,1.0479
63.3504,-1.0313,-1.0344,-1.0344,1.0344
63.9832,-1.0214,-1.0211,-1.0211,1.0211
64.6223,-1.0027,-1.0081,-1.0081,1.0081
65.2678,-0.9913,-0.9955,-0.9955,0.9955
65.9198,-0.9814,-0.9833,-0.9833,0.9833
66.5782,-0.9714,-0.9714,-0.9714,0.9714
67.2433,-0.9613,-0.9599,-0.9599,0.9599
67.9149,-0.9428,-0.9487,-0.9487,0.9487
68.5933,-0.9314,-0.9378,-0.9378,0.9378
69.2785,-0.9213,-0.9274,-0.9274,0.9274
69.9705,-0.9114,-0.9174,-0.9174,0.9174
70.6694,-0.9014,-0.9078,-0.9078,0.9078
71.3753,-0.8915,-0.8987,-0.8987,0.8987
72.0883,-0.8814,-0.8900,-0.8900,0.8900
72.8083,-0.8800,-0.8819,-0.8819,0.8819
73.5356,-0.8714,-0.8741,-0.8741,0.8741
74.2701,-0.8615,-0.8668,-0.8668,0.8668
75.0120,-0.8515,-0.8599,-0.8599,0.8599
75.7613,-0.8500,-0.8535,-0.8535,0.8535
76.5180,-0.8415,-0.8474,-0.8474,0.8474
77.2824,-0.8400,-0.8417,-0.8417,0.8417
78.0543,-0.8315,-0.8362,-0.8362,0.8362
78.8340,-0.8300,-0.8310,-0.8310,0.8310
79.6214,-0.8215,-0.8260,-0.8260,0.8260
80.4168,-0.8200,-0.8211,-0.8211,0.8211
81.2200,-0.8200,-0.8162,-0.8162,0.8162
82.0313,-0.8116,-0.8112,-0.8112,0.8112
82.8507,-0.8100,-0.8062,-0.8062,0.8062
83.6783,-0.8016,-0.8009,-0.8009,0.8009
84.5141,-0.8000,-0.7954,-0.7954,0.7954
85.3583,-0.7917,-0.7897,-0.7897,0.7897
86.2109,-0.7900,-0.7837,-0.7837,0.7837
87.0721,-0.7817,-0.7774,-0.7774,0.7774
87.9418,-0.7800,-0.7708,-0.7708,0.7708
88.8203,-0.7717,-0.7639,-0.7639,0.7639
89.7075,-0.7617,-0.7567,-0.7567,0.7567
90.6035,-0.7517,-0.7494,-0.7494,0.7494
91.5085,-0.7417,-0.7420,-0.7420,0.7420
92.4226,-0.7317,-0.7347,-0.7347,0.7347
93.3458,-0.7218,-0.7277,-0.7277,0.7277
94.2782,-0.7117,-0.7209,-0.7209,0.7209
95.2199,-0.7100,-0.7147,-0.7147,0.7147
96.1711,-0.7018,-0.7089,-0.7089,0.7089
97.1317,-0.6918,-0.7037,-0.7037,0.7037
98.1019,-0.6900,-0.6993,-0.6993,0.6993
99.0818,-0.6818,-0.6956,-0.6956,0.6956
100.0715,-0.6800,-0.6929,-0.6929,0.6929
101.0711,-0.6800,-0.6912,-0.6912,0.6912
102.0807,-0.6800,-0.6905,-0.6905,0.6905
103.1004,-0.6800,-0.6907,-0.6907,0.6907
104.1302,-0.6800,-0.6919,-0.6919,0.6919
105.1703,-0.6800,-0.6941,-0.6941,0.6941
106.2209,-0.6881,-0.6973,-0.6973,0.6973
107.2819,-0.6900,-0.7013,-0.7013,0.7013
108.3535,-0.6981,-0.7062,-0.7062,0.7062
109.4358,-0.7000,-0.7120,-0.7120,0.7120
110.5289,-0.7081,-0.7185,-0.7185,0.7185
111.6330,-0.7180,-0.7257,-0.7257,0.7257
112.7481,-0.7280,-0.7335,-0.7335,0.7335
113.8743,-0.7380,-0.7417,-0.7417,0.7417
115.0118,-0.7480,-0.7505,-0.7505,0.7505
116.1606,-0.7580,-0.7597,-0.7597,0.7597
117.3209,-0.7680,-0.7692,-0.7692,0.7692
118.4928,-0.7780,-0.7791,-0.7791,0.7791
119.6764,-0.7880,-0.7892,-0.7892,0.7892
120.8718,-0.7979,-0.7997,-0.7997,0.7997
122.0792,-0.8079,-0.8104,-0.8104,0.8104
123.2986,-0.8179,-0.8215,-0.8215,0.8215
124.5302,-0.8279,-0.8328,-0.8328,0.8328
125.7741,-0.8379,-0.8444,-0.8444,0.8444
127.0304,-0.8479,-0.8562,-0.8562,0.8562
128.2993,-0.8658,-0.8685,-0.8685,0.8685
129.5808,-0.8779,-0.8809,-0.8809,0.8809
130.8752,-0.8879,-0.8936,-0.8936,0.8936
132.1825,-0.9058,-0.9066,-0.9066,0.9066
133.5028,-0.9178,-0.9199,-0.9199,0.9199
134.8363,-0.9357,-0.9333,-0.9333,0.9333
136.1832,-0.9478,-0.9469,-0.9469,0.9469
137.5435,-0.9578,-0.9606,-0.9606,0.9606
138.9174,-0.9756,-0.9745,-0.9745,0.9745
140.3050,-0.9878,-0.9885,-0.9885,0.9885
141.7065,-0.9978,-1.0026,-1.0026,1.0026
143.1220,-1.0155,-1.0169,-1.0169,1.0169
144.5516,-1.0278,-1.0312,-1.0312,1.0312
145.9955,-1.0455,-1.0457,-1.0457,1.0457
147.4538,-1.0578,-1.0603,-1.0603,1.0603
148.9267,-1.0755,-1.0749,-1.0749,1.0749
150.4143,-1.0877,-1.0896,-1.0896,1.0896
151.9167,-1.1055,-1.1044,-1.1044,1.1044
153.4342,-1.1177,-1.1192,-1.1192,1.1192
154.9668,-1.1354,-1.1341,-1.1341,1.1341
156.5147,-1.1477,-1.1492,-1.1492,1.1492
158.0781,-1.1654,-1.1644,-1.1644,1.1644
159.6571,-1.1777,-1.1797,-1.1797,1.1797
161.2519,-1.1953,-1.1952,-1.1952,1.1952
162.8626,-1.2077,-1.2111,-1.2111,1.2111
164.4894,-1.2252,-1.2272,-1.2272,1.2272
166.1324,-1.2376,-1.2438,-1.2438,1.2438
167.7919,-1.2552,-1.2607,-1.2607,1.2607
169.4679,-1.2676,-1.2781,-1.2781,1.2781
171.1607,-1.2852,-1.2959,-1.2959,1.2959
172.8704,-1.3051,-1.3143,-1.3143,1.3143
174.5972,-1.3251,-1.3331,-1.3331,1.3331
176.3412,-1.3451,-1.3524,-1.3524,1.3524
178.1026,-1.3651,-1.3722,-1.3722,1.3722
179.8816,-1.3926,-1.3924,-1.3924,1.3924
181.6784,-1.4150,-1.4129,-1.4129,1.4129
183.4932,-1.4350,-1.4337,-1.4337,1.4337
185.3261,-1.4550,-1.4547,-1.4547,1.4547
187.1772,-1.4749,-1.4759,-1.4759,1.4759
189.0469,-1.4949,-1.4974,-1.4974,1.4974
190.9352,-1.5149,-1.5190,-1.5190,1.5190
192.8425,-1.5349,-1.5408,-1.5408,1.5408
194.7687,-1.5622,-1.5628,-1.5628,1.5628
196.7142,-1.5848,-1.5848,-1.5848,1.5848
198.6792,-1.6048,-1.6068,-1.6068,1.6068
200.6637,-1.6248,-1.6288,-1.6288,1.6288
202.6681,-1.6522,-1.6509,-1.6509,1.6509
204.6925,-1.6747,-1.6728,-1.6728,1.6728
206.7371,-1.6947,-1.6948,-1.6948,1.6948
208.8022,-1.7221,-1.7166,-1.7166,1.7166
210.8879,-1.7447,-1.7381,-1.7381,1.7381
212.9944,-1.7647,-1.7594,-1.7594,1.7594
215.1219,-1.7847,-1.7803,-1.7803,1.7803
217.2707,-1.8046,-1.8010,-1.8010,1.8010
219.4410,-1.8246,-1.8214,-1.8214,1.8214
221.6329,-1.8446,-1.8415,-1.8415,1.8415
223.8468,-1.8646,-1.8613,-1.8613,1.8613
226.0827,-1.8845,-1.8809,-1.8809,1.8809
228.3410,-1.9045,-1.9001,-1.9001,1.9001
230.6219,-1.9245,-1.9191,-1.9191,1.9191
232.9255,-1.9372,-1.9377,-1.9377,1.9377
235.2521,-1.9544,-1.9561,-1.9561,1.9561
237.6020,-1.9744,-1.9744,-1.9744,1.9744
239.9754,-1.9944,-1.9926,-1.9926,1.9926
242.3724,-2.0144,-2.0105,-2.0105,2.0105
244.7934,-2.0343,-2.0283,-2.0283,2.0283
247.2386,-2.0472,-2.0458,-2.0458,2.0458
249.7082,-2.0643,-2.0632,-2.0632,2.0632
252.2025,-2.0843,-2.0805,-2.0805,2.0805
254.7217,-2.0971,-2.0978,-2.0978,2.0978
257.2661,-2.1142,-2.1151,-2.1151,2.1151
259.8358,-2.1342,-2.1324,-2.1324,2.1324
262.4313,-2.1471,-2.1498,-2.1498,2.1498
265.0527,-2.1642,-2.1674,-2.1674,2.1674
267.7002,-2.1841,-2.1851,-2.1851,2.1851
270.3742,-2.1971,-2.2029,-2.2029,2.2029
273.0749,-2.2141,-2.2210,-2.2210,2.2210
275.8026,-2.2341,-2.2394,-2.2394,2.2394
278.5575,-2.2541,-2.2580,-2.2580,2.2580
281.3400,-2.2740,-2.2769,-2.2769,2.2769
284.1502,-2.2940,-2.2959,-2.2959,2.2959
286.9885,-2.3140,-2.3150,-2.3150,2.3150
289.8552,-2.3340,-2.3341,-2.3341,2.3341
292.7505,-2.3540,-2.3532,-2.3532,2.3532
295.6747,-2.3739,-2.3722,-2.3722,2.3722
298.6281,-2.3939,-2.3911,-2.3911,2.3911
301.6111,-2.4139,-2.4097,-2.4097,2.4097
304.6238,-2.4339,-2.4280,-2.4280,2.4280
