frequency,raw,smoothed,error,equalization
20.0000,-16.2000,-15.4909,-15.4909,15.4909
20.1998,-15.9802,-15.4189,-15.4189,15.4189
20.4015,-15.7584,-15.3382,-15.3382,15.3382
20.6053,-15.5449,-15.2528,-15.2528,15.2528
20.8112,-15.3490,-15.1650,-15.1650,15.1650
21.0190,-15.1708,-15.0759,-15.0759,15.0759
21.2290,-15.0008,-14.9858,-14.9858,14.9858
21.4410,-14.8493,-14.8948,-14.8948,14.8948
21.6552,-14.7130,-14.8020,-14.8020,14.8020
21.8715,-14.5792,-14.7065,-14.7065,14.7065
22.0900,-14.4700,-14.6069,-14.6069,14.6069
22.3106,-14.3798,-14.5015,-14.5015,14.5015
22.5335,-14.3023,-14.3929,-14.3929,14.3929
22.7586,-14.2503,-14.2880,-14.2880,14.2880
22.9859,-14.2107,-14.1845,-14.1845,14.1845
23.2155,-14.1610,-14.0806,-14.0806,14.0806
23.4474,-14.1106,-13.9745,-13.9745,13.9745
23.6816,-14.0328,-13.8646,-13.8646,13.8646
23.9182,-13.9209,-13.7499,-13.7499,13.7499
24.1571,-13.7817,-13.6300,-13.6300,13.6300
24.3984,-13.6111,-13.5050,-13.5050,13.5050
24.6421,-13.4357,-13.3755,-13.3755,13.3755
24.8882,-13.2414,-13.2423,-13.2423,13.2423
25.1368,-13.0722,-13.1066,-13.1066,13.1066
25.3879,-12.9014,-12.9693,-12.9693,12.9693
25.6415,-12.7646,-12.8314,-12.8314,12.8314
25.8976,-12.6267,-12.6936,-12.6936,12.6936
26.1563,-12.5018,-12.5565,-12.5565,12.5565
26.4176,-12.3855,-12.4204,-12.4204,12.4204
26.6815,-12.2639,-12.2855,-12.2855,12.2855
26.9480,-12.1453,-12.1519,-12.1519,12.1519
27.2172,-12.0352,-12.0192,-12.0192,12.0192
27.4890,-11.9053,-11.8870,-11.8870,11.8870
27.7636,-11.7828,-11.7548,-11.7548,11.7548
28.0409,-11.6639,-11.6220,-11.6220,11.6220
28.3210,-11.5245,-11.4880,-11.4880,11.4880
28.6039,-11.3972,-11.3526,-11.3526,11.3526
28.8896,-11.2455,-11.2155,-11.2155,11.2155
29.1782,-11.0961,-11.0768,-11.0768,11.0768
29.4697,-10.9453,-10.9367,-10.9367,10.9367
29.7640,-10.7980,-10.7951,-10.7951,10.7951
30.0613,-10.6493,-10.6521,-10.6521,10.6521
30.3616,-10.4992,-10.5081,-10.5081,10.5081
30.6649,-10.3570,-10.3631,-10.3631,10.3631
30.9712,-10.2091,-10.2173,-10.2173,10.2173
31.2806,-10.0781,-10.0709,-10.0709,10.0709
31.5930,-9.9377,-9.9239,-9.9239,9.9239
31.9086,-9.7994,-9.7760,-9.7760,9.7760
32.2273,-9.6557,-9.6272,-9.6272,9.6272
32.5492,-9.5094,-9.4772,-9.4772,9.4772
32.8744,-9.3478,-9.3259,-9.3259,9.3259
33.2027,-9.1789,-9.1733,-9.1733,9.1733
33.5344,-9.0176,-9.0195,-9.0195,9.0195
33.8694,-8.8597,-8.8649,-8.8649,8.8649
34.2077,-8.7192,-8.7094,-8.7094,8.7094
34.5494,-8.5691,-8.5530,-8.5530,8.5530
