frequency,raw,smoothed,error,equalization
20.0000,-0.0800,0.0027,0.0027,-0.0027
20.1998,-0.0600,0.0133,0.0133,-0.0133
20.4015,-0.0497,0.0253,0.0253,-0.0253
20.6053,-0.0109,0.0388,0.0388,-0.0388
20.8112,0.0102,0.0532,0.0532,-0.0532
21.0190,0.0399,0.0686,0.0686,-0.0686
21.2290,0.0798,0.0849,0.0849,-0.0849
21.4410,0.0802,0.1018,0.1018,-0.1018
21.6552,0.1191,0.1199,0.1199,-0.1199
21.8715,0.1303,0.1389,0.1389,-0.1389
22.0900,0.1800,0.1591,0.1591,-0.1591
22.3106,0.1801,0.1805,0.1805,-0.1805
22.5335,0.2189,0.2027,0.2027,-0.2027
22.7586,0.2200,0.2243,0.2243,-0.2243
22.9859,0.2593,0.2454,0.2454,-0.2454
23.2155,0.2698,0.2658,0.2658,-0.2658
23.4474,0.2898,0.2856,0.2856,-0.2856
23.6816,0.3190,0.3048,0.3048,-0.3048
23.9182,0.3200,0.3234,0.3234,-0.3234
24.1571,0.3595,0.3416,0.3416,-0.3416
24.3984,0.3600,0.3591,0.3591,-0.3591
24.6421,0.3794,0.3763,0.3763,-0.3763
24.8882,0.4098,0.3933,0.3933,-0.3933
25.1368,0.4100,0.4100,0.4100,-0.4100
25.3879,0.4100,0.4269,0.4269,-0.4269
25.6415,0.4584,0.4442,0.4442,-0.4442
25.8976,0.4600,0.4616,0.4616,-0.4616
26.1563,0.4600,0.4795,0.4795,-0.4795
26.4176,0.4982,0.4984,0.4984,-0.4984
26.6815,0.5000,0.5181,0.5181,-0.5181
26.9480,0.5000,0.5388,0.5388,-0.5388
27.2172,0.5476,0.5607,0.5607,-0.5607
27.4890,0.5596,0.5834,0.5834,-0.5834
27.7636,0.5991,0.6071,0.6071,-0.6071
28.0409,0.6194,0.6312,0.6312,-0.6312
28.3210,0.6394,0.6557,0.6557,-0.6557
28.6039,0.6778,0.6806,0.6806,-0.6806
28.8896,0.7089,0.7053,0.7053,-0.7053
29.1782,0.7484,0.7299,0.7299,-0.7299
29.4697,0.7789,0.7537,0.7537,-0.7537
29.7640,0.8084,0.7767,0.7767,-0.7767
30.0613,0.8288,0.7987,0.7987,-0.7987
30.3616,0.8300,0.8192,0.8192,-0.8192
30.6649,0.8680,0.8386,0.8386,-0.8386
30.9712,0.8700,0.8568,0.8568,-0.8568
31.2806,0.8700,0.8738,0.8738,-0.8738
31.5930,0.8984,0.8899,0.8899,-0.8899
31.9086,0.9187,0.9048,0.9048,-0.9048
32.2273,0.9200,0.9186,0.9186,-0.9186
32.5492,0.9200,0.9316,0.9316,-0.9316
32.8744,0.9676,0.9443,0.9443,-0.9443
33.2027,0.9700,0.9561,0.9561,-0.9561
33.5344,0.9700,0.9673,0.9673,-0.9673
33.8694,0.9700,0.9782,0.9782,-0.9782
34.2077,1.0074,0.9891,0.9891,-0.9891
34.5494,1.0100,0.9995,0.9995,-0.9995
34.8945,1.0100,1.0097,1.0097,-1.0097
35.2430,1.0100,1.0198,1.0198,-1.0198
35.5951,1.0100,1.0299,1.0299,-1.0299
35.9506,1.0478,1.0404,1.0404,-1.0404
36.3097,1.0594,1.0507,1.0507,-1.0507
36.6724,1.0600,1.0610,1.0610,-1.0610
37.0387,1.0600,1.0714,1.0714,-1.0714
37.4087,1.0600,1.0823,1.0823,-1.0823
37.7824,1.1064,1.0938,1.0938,-1.0938
38.1598,1.1100,1.1053,1.1053,-1.1053
38.5409,1.1100,1.1171,1.1171,-1.1171
38.9259,1.1194,1.1295,1.1295,-1.1295
39.3147,1.1481,1.1424,1.1424,-1.1424
39.7074,1.1500,1.1554,1.1554,-1.1554
40.1041,1.1500,1.1688,1.1688,-1.1688
40.5046,1.1773,1.1826,1.1826,-1.1826
40.9092,1.1985,1.1968,1.1968,-1.1968
41.3179,1.2000,1.2109,1.2109,-1.2109
41.7306,1.2186,1.2250,1.2250,-1.2250
42.1474,1.2477,1.2389,1.2389,-1.2389
42.5684,1.2500,1.2522,1.2522,-1.2522
42.9936,1.2866,1.2651,1.2651,-1.2651
43.4231,1.2900,1.2771,1.2771,-1.2771
43.8568,1.2900,1.2881,1.2881,-1.2881
44.2949,1.3267,1.2984,1.2984,-1.2984
44.7374,1.3391,1.3072,1.3072,-1.3072
45.1842,1.3400,1.3143,1.3143,-1.3143
45.6356,1.3400,1.3197,1.3197,-1.3197
46.0914,1.3400,1.3236,1.3236,-1.3236
46.5518,1.3400,1.3260,1.3260,-1.3260
47.0168,1.3400,1.3271,1.3271,-1.3271
47.4864,1.3400,1.3270,1.3270,-1.3270
47.9608,1.3400,1.3258,1.3258,-1.3258
48.4398,1.3400,1.3235,1.3235,-1.3235
48.9237,1.3400,1.3201,1.3201,-1.3201
49.4124,1.3400,1.3156,1.3156,-1.3156
49.9059,1.2954,1.3103,1.3103,-1.3103
50.4044,1.2900,1.3048,1.3048,-1.3048
50.9079,1.2900,1.2994,1.2994,-1.2994
51.4164,1.2900,1.2940,1.2940,-1.2940
51.9300,1.2900,1.2884,1.2884,-1.2884
52.4487,1.2900,1.2825,1.2825,-1.2825
52.9726,1.2900,1.2762,1.2762,-1.2762
53.5018,1.2722,1.2697,1.2697,-1.2697
54.0362,1.2524,1.2632,1.2632,-1.2632
54.5759,1.2500,1.2569,1.2569,-1.2569
55.1211,1.2500,1.2509,1.2509,-1.2509
55.6717,1.2500,1.2452,1.2452,-1.2452
56.2278,1.2500,1.2396,1.2396,-1.2396
56.7894,1.2500,1.2341,1.2341,-1.2341
57.3567,1.2234,1.2284,1.2284,-1.2284
57.9296,1.2024,1.2231,1.2231,-1.2231
58.5082,1.2000,1.2184,1.2184,-1.2184
59.0927,1.2000,1.2143,1.2143,-1.2143
59.6829,1.2000,1.2110,1.2110,-1.2110
60.2791,1.2000,1.2082,1.2082,-1.2082
60.8812,1.2000,1.2059,1.2059,-1.2059
61.4893,1.2000,1.2040,1.2040,-1.2040
62.1035,1.2000,1.2025,1.2025,-1.2025
62.7239,1.2000,1.2013,1.2013,-1.2013
63.3504,1.2000,1.2006,1.2006,-1.2006
63.9832,1.2000,1.2001,1.2001,-1.2001
64.6223,1.2000,1.2000,1.2000,-1.2000
65.2678,1.2000,1.2000,1.2000,-1.2000
65.9198,1.2000,1.2000,1.2000,-1.2000
66.5782,1.2000,1.2000,1.2000,-1.2000
67.2433,1.2000,1.2000,1.2000,-1.2000
67.9149,1.2000,1.2000,1.2000,-1.2000
68.5933,1.2000,1.2000,1.2000,-1.2000
69.2785,1.2000,1.2000,1.2000,-1.2000
69.9705,1.2000,1.2000,1.2000,-1.2000
70.6694,1.2000,1.1999,1.1999,-1.1999
71.3753,1.2000,1.1997,1.1997,-1.1997
72.0883,1.2000,1.1991,1.1991,-1.1991
72.8083,1.2000,1.1982,1.1982,-1.1982
73.5356,1.2000,1.1969,1.1969,-1.1969
74.2701,1.2000,1.1953,1.1953,-1.1953
75.0120,1.2000,1.1932,1.1932,-1.1932
75.7613,1.2000,1.1909,1.1909,-1.1909
76.5180,1.2000,1.1879,1.1879,-1.1879
77.2824,1.2000,1.1844,1.1844,-1.1844
78.0543,1.2000,1.1802,1.1802,-1.1802
78.8340,1.1830,1.1751,1.1751,-1.1751
79.6214,1.1715,1.1694,1.1694,-1.1694
80.4168,1.1531,1.1631,1.1631,-1.1631
81.2200,1.1500,1.1564,1.1564,-1.1564
82.0313,1.1500,1.1490,1.1490,-1.1490
82.8507,1.1500,1.1410,1.1410,-1.1410
83.6783,1.1500,1.1322,1.1322,-1.1322
