frequency,raw,smoothed,error,equalization
20.0000,-4.8000,-4.7750,-4.7750,4.7750
20.1998,-4.7900,-4.7746,-4.7746,4.7746
20.4015,-4.7799,-4.7742,-4.7742,4.7742
20.6053,-4.7702,-4.7738,-4.7738,4.7738
20.8112,-4.7599,-4.7735,-4.7735,4.7735
21.0190,-4.7500,-4.7731,-4.7731,4.7731
21.2290,-4.7500,-4.7727,-4.7727,4.7727
21.4410,-4.7600,-4.7720,-4.7720,4.7720
21.6552,-4.7698,-4.7708,-4.7708,4.7708
21.8715,-4.7801,-4.7687,-4.7687,4.7687
22.0900,-4.7900,-4.7656,-4.7656,4.7656
22.3106,-4.8000,-4.7614,-4.7614,4.7614
22.5335,-4.8000,-4.7559,-4.7559,4.7559
22.7586,-4.7901,-4.7493,-4.7493,4.7493
22.9859,-4.7802,-4.7419,-4.7419,4.7419
23.2155,-4.7604,-4.7338,-4.7338,4.7338
23.4474,-4.7303,-4.7250,-4.7250,4.7250
23.6816,-4.7010,-4.7160,-4.7160,4.7160
23.9182,-4.6802,-4.7069,-4.7069,4.7069
24.1571,-4.6602,-4.6980,-4.6980,4.6980
24.3984,-4.6501,-4.6894,-4.6894,4.6894
24.6421,-4.6403,-4.6812,-4.6812,4.6812
24.8882,-4.6499,-4.6736,-4.6736,4.6736
25.1368,-4.6599,-4.6665,-4.6665,4.6665
25.3879,-4.6699,-4.6598,-4.6598,4.6598
25.6415,-4.6797,-4.6535,-4.6535,4.6535
25.8976,-4.6800,-4.6472,-4.6472,4.6472
26.1563,-4.6701,-4.6410,-4.6410,4.6410
26.4176,-4.6605,-4.6347,-4.6347,4.6347
26.6815,-4.6407,-4.6283,-4.6283,4.6283
26.9480,-4.6209,-4.6217,-4.6217,4.6217
27.2172,-4.5914,-4.6150,-4.6150,4.6150
27.4890,-4.5804,-4.6086,-4.6086,4.6086
27.7636,-4.5702,-4.6025,-4.6025,4.6025
28.0409,-4.5700,-4.5970,-4.5970,4.5970
28.3210,-4.5797,-4.5920,-4.5920,4.5920
28.6039,-4.5894,-4.5877,-4.5877,4.5877
28.8896,-4.5900,-4.5839,-4.5839,4.5839
29.1782,-4.5900,-4.5807,-4.5807,4.5807
29.4697,-4.5900,-4.5782,-4.5782,4.5782
29.7640,-4.5711,-4.5762,-4.5762,4.5762
30.0613,-4.5606,-4.5750,-4.5750,4.5750
30.3616,-4.5600,-4.5745,-4.5745,4.5745
30.6649,-4.5600,-4.5748,-4.5748,4.5748
30.9712,-4.5600,-4.5757,-4.5757,4.5757
31.2806,-4.5694,-4.5771,-4.5771,4.5771
31.5930,-4.5700,-4.5790,-4.5790,4.5790
31.9086,-4.5793,-4.5811,-4.5811,4.5811
32.2273,-4.5800,-4.5834,-4.5834,4.5834
32.5492,-4.5894,-4.5858,-4.5858,4.5858
32.8744,-4.5900,-4.5881,-4.5881,4.5881
33.2027,-4.5900,-4.5902,-4.5902,4.5902
33.5344,-4.5900,-4.5921,-4.5921,4.5921
33.8694,-4.5994,-4.5938,-4.5938,4.5938
34.2077,-4.6093,-4.5949,-4.5949,4.5949
34.5494,-4.6194,-4.5954,-4.5954,4.5954
34.8945,-4.6200,-4.5952,-4.5952,4.5952
35.2430,-4.6200,-4.5944,-4.5944,4.5944
35.5951,-4.6014,-4.5932,-4.5932,4.5932
35.9506,-4.5906,-4.5919,-4.5919,4.5919
36.3097,-4.5806,-4.5908,-4.5908,4.5908
36.6724,-4.5707,-4.5901,-4.5901,4.5901
37.0387,-4.5700,-4.5900,-4.5900,4.5900
37.4087,-4.5700,-4.5907,-4.5907,4.5907
37.7824,-4.5700,-4.5919,-4.5919,4.5919
38.1598,-4.5700,-4.5939,-4.5939,4.5939
38.5409,-4.5792,-4.5965,-4.5965,4.5965
38.9259,-4.5894,-4.5998,-4.5998,4.5998
39.3147,-4.5994,-4.6037,-4.6037,4.6037
39.7074,-4.6184,-4.6082,-4.6082,4.6082
40.1041,-4.6200,-4.6127,-4.6127,4.6127
40.5046,-4.6291,-4.6169,-4.6169,4.6169
40.9092,-4.6392,-4.6203,-4.6203,4.6203
41.3179,-4.6400,-4.6226,-4.6226,4.6226
41.7306,-4.6400,-4.6236,-4.6236,4.6236
42.1474,-4.6400,-4.6235,-4.6235,4.6235
42.5684,-4.6308,-4.6222,-4.6222,4.6222
42.9936,-4.6300,-4.6198,-4.6198,4.6198
43.4231,-4.6391,-4.6164,-4.6164,4.6164
43.8568,-4.6490,-4.6120,-4.6120,4.6120
44.2949,-4.6500,-4.6064,-4.6064,4.6064
44.7374,-4.6228,-4.5999,-4.5999,4.5999
45.1842,-4.5841,-4.5927,-4.5927,4.5927
45.6356,-4.5530,-4.5853,-4.5853,4.5853
46.0914,-4.5409,-4.5781,-4.5781,4.5781
46.5518,-4.5490,-4.5710,-4.5710,4.5710
47.0168,-4.5500,-4.5635,-4.5635,4.5635
47.4864,-4.5500,-4.5555,-4.5555,4.5555
47.9608,-4.5500,-4.5469,-4.5469,4.5469
48.4398,-4.5500,-4.5376,-4.5376,4.5376
48.9237,-4.5500,-4.5276,-4.5276,4.5276
49.4124,-4.5590,-4.5168,-4.5168,4.5168
49.9059,-4.5511,-4.5050,-4.5050,4.5050
50.4044,-4.5411,-4.4922,-4.4922,4.4922
50.9079,-4.5131,-4.4781,-4.4781,4.4781
51.4164,-4.4742,-4.4629,-4.4629,4.4629
51.9300,-4.4346,-4.4468,-4.4468,4.4468
52.4487,-4.4035,-4.4304,-4.4304,4.4304
52.9726,-4.3822,-4.4141,-4.4141,4.4141
53.5018,-4.3800,-4.3982,-4.3982,4.3982
