frequency,raw,smoothed,error,equalization
20.0000,-7.8600,-7.4923,-7.4923,7.4923
20.1998,-7.7601,-7.4480,-7.4480,7.4480
20.4015,-7.6592,-7.3973,-7.3973,7.3973
20.6053,-7.5524,-7.3416,-7.3416,7.3416
20.8112,-7.4494,-7.2816,-7.2816,7.2816
21.0190,-7.3405,-7.2176,-7.2176,7.2176
21.2290,-7.2405,-7.1496,-7.1496,7.1496
21.4410,-7.1295,-7.0772,-7.0772,7.0772
21.6552,-7.0224,-7.0002,-7.0002,7.0002
21.8715,-6.9093,-6.9180,-6.9180,6.9180
22.0900,-6.8100,-6.8302,-6.8302,6.8302
22.3106,-6.7197,-6.7357,-6.7357,6.7357
22.5335,-6.6325,-6.6368,-6.6368,6.6368
22.7586,-6.5406,-6.5386,-6.5386,6.5386
22.9859,-6.4516,-6.4413,-6.4413,6.4413
23.2155,-6.3520,-6.3450,-6.3450,6.3450
23.4474,-6.2511,-6.2496,-6.2496,6.2496
23.6816,-6.1535,-6.1554,-6.1554,6.1554
23.9182,-6.0409,-6.0622,-6.0622,6.0622
24.1571,-5.9412,-5.9699,-5.9699,5.9699
24.3984,-5.8407,-5.8784,-5.8784,5.8784
24.6421,-5.7528,-5.7872,-5.7872,5.7872
24.8882,-5.6607,-5.6958,-5.6958,5.6958
25.1368,-5.5909,-5.6038,-5.6038,5.6038
25.3879,-5.5206,-5.5107,-5.5107,5.5107
25.6415,-5.4523,-5.4160,-5.4160,5.4160
25.8976,-5.3833,-5.3192,-5.3192,5.3192
26.1563,-5.3012,-5.2201,-5.2201,5.2201
26.4176,-5.2046,-5.1186,-5.1186,5.1186
26.6815,-5.0936,-5.0148,-5.0148,5.0148
26.9480,-4.9753,-4.9093,-4.9093,4.9093
27.2172,-4.8367,-4.8027,-4.8027,4.8027
27.4890,-4.6957,-4.6958,-4.6958,4.6958
27.7636,-4.5533,-4.5895,-4.5895,4.5895
28.0409,-4.4145,-4.4848,-4.4848,4.4848
28.3210,-4.2938,-4.3824,-4.3824,4.3824
28.6039,-4.1861,-4.2829,-4.2829,4.2829
28.8896,-4.0837,-4.1865,-4.1865,4.1865
29.1782,-4.0033,-4.0935,-4.0935,4.0935
29.4697,-3.9325,-4.0036,-4.0036,4.0036
29.7640,-3.8732,-3.9162,-3.9162,3.9162
30.0613,-3.8231,-3.8305,-3.8305,3.8305
30.3616,-3.7731,-3.7455,-3.7455,3.7455
30.6649,-3.7130,-3.6601,-3.6601,3.6601
30.9712,-3.6442,-3.5734,-3.5734,3.5734
31.2806,-3.5650,-3.4845,-3.4845,3.4845
31.5930,-3.4749,-3.3933,-3.3933,3.3933
31.9086,-3.3767,-3.2996,-3.2996,3.2996
32.2273,-3.2645,-3.2041,-3.2041,3.2041
32.5492,-3.1476,-3.1072,-3.1072,3.1072
32.8744,-3.0259,-3.0099,-3.0099,3.0099
33.2027,-2.8968,-2.9132,-2.9132,2.9132
33.5344,-2.7661,-2.8178,-2.8178,2.8178
33.8694,-2.6379,-2.7248,-2.7248,2.7248
34.2077,-2.5272,-2.6350,-2.6350,2.6350
34.5494,-2.4167,-2.5491,-2.5491,2.5491
34.8945,-2.3358,-2.4676,-2.4676,2.4676
35.2430,-2.2839,-2.3906,-2.3906,2.3906
35.5951,-2.2429,-2.3177,-2.3177,2.3177
35.9506,-2.2306,-2.2483,-2.2483,2.2483
36.3097,-2.2017,-2.1812,-2.1812,2.1812
36.6724,-2.1722,-2.1155,-2.1155,2.1155
37.0387,-2.1230,-2.0501,-2.0501,2.0501
37.4087,-2.0446,-1.9845,-1.9845,1.9845
37.7824,-1.9658,-1.9183,-1.9183,1.9183
38.1598,-1.8772,-1.8513,-1.8513,1.8513
38.5409,-1.7961,-1.7833,-1.7833,1.7833
38.9259,-1.7151,-1.7144,-1.7144,1.7144
39.3147,-1.6352,-1.6445,-1.6445,1.6445
39.7074,-1.5657,-1.5737,-1.5737,1.5737
40.1041,-1.4872,-1.5023,-1.5023,1.5023
40.5046,-1.4162,-1.4306,-1.4306,1.4306
40.9092,-1.3362,-1.3591,-1.3591,1.3591
41.3179,-1.2747,-1.2883,-1.2883,1.2883
41.7306,-1.2050,-1.2185,-1.2185,1.2185
42.1474,-1.1354,-1.1498,-1.1498,1.1498
42.5684,-1.0745,-1.0823,-1.0823,1.0823
42.9936,-1.0151,-1.0158,-1.0158,1.0158
43.4231,-0.9460,-0.9503,-0.9503,0.9503
43.8568,-0.8859,-0.8859,-0.8859,0.8859
44.2949,-0.8157,-0.8225,-0.8225,0.8225
44.7374,-0.7466,-0.7604,-0.7604,0.7604
45.1842,-0.6771,-0.6996,-0.6996,0.6996
45.6356,-0.6159,-0.6405,-0.6405,0.6405
46.0914,-0.5551,-0.5830,-0.5830,0.5830
46.5518,-0.5051,-0.5272,-0.5272,0.5272
47.0168,-0.4456,-0.4730,-0.4730,0.4730
47.4864,-0.3946,-0.4205,-0.4205,0.4205
47.9608,-0.3451,-0.3695,-0.3695,0.3695
48.4398,-0.2952,-0.3201,-0.3201,0.3201
48.9237,-0.2539,-0.2723,-0.2723,0.2723
49.4124,-0.2139,-0.2261,-0.2261,0.2261
49.9059,-0.1743,-0.1813,-0.1813,0.1813
50.4044,-0.1344,-0.1378,-0.1378,0.1378
50.9079,-0.0942,-0.0955,-0.0955,0.0955
51.4164,-0.0542,-0.0542,-0.0542,0.0542
51.9300,-0.0058,-0.0138,-0.0138,0.0138
52.4487,0.0353,0.0255,0.0255,-0.0255
52.9726,0.0845,0.0639,0.0639,-0.0639
53.5018,0.1256,0.1013,0.1013,-0.1013
54.0362,0.1565,0.1378,0.1378,-0.1378
