frequency,raw,smoothed,error,equalization
20.0000,-15.0800,-14.6809,-14.6809,14.6809
20.1998,-14.9801,-14.6234,-14.6234,14.6234
20.4015,-14.8793,-14.5571,-14.5571,14.5571
20.6053,-14.7822,-14.4834,-14.4834,14.4834
20.8112,-14.6794,-14.4032,-14.4032,14.4032
21.0190,-14.5705,-14.3165,-14.3165,14.3165
21.2290,-14.4307,-14.2231,-14.2231,14.2231
21.4410,-14.2592,-14.1228,-14.1228,14.1228
21.6552,-14.0839,-14.0154,-14.0154,14.0154
21.8715,-13.8888,-13.9002,-13.9002,13.9002
22.0900,-13.7200,-13.7765,-13.7765,13.7765
22.3106,-13.5596,-13.6432,-13.6432,13.6432
22.5335,-13.4240,-13.5033,-13.5033,13.5033
22.7586,-13.3008,-13.3640,-13.3640,13.3640
22.9859,-13.2116,-13.2264,-13.2264,13.2264
23.2155,-13.1218,-13.0908,-13.0908,13.0908
23.4474,-13.0211,-12.9581,-12.9581,12.9581
23.6816,-12.9042,-12.8287,-12.8287,12.8287
23.9182,-12.7512,-12.7028,-12.7028,12.7028
24.1571,-12.5623,-12.5807,-12.5807,12.5807
24.3984,-12.3713,-12.4626,-12.4626,12.4626
24.6421,-12.1763,-12.3485,-12.3485,12.3485
24.8882,-12.0211,-12.2387,-12.2387,12.2387
25.1368,-11.9311,-12.1330,-12.1330,12.1330
25.3879,-11.8705,-12.0311,-12.0311,12.0311
25.6415,-11.8700,-11.9322,-11.9322,11.9322
25.8976,-11.8700,-11.8351,-11.8351,11.8351
26.1563,-11.8799,-11.7387,-11.7387,11.7387
26.4176,-11.8418,-11.6415,-11.6415,11.6415
26.6815,-11.7336,-11.5425,-11.5425,11.5425
26.9480,-11.5867,-11.4414,-11.4414,11.4414
27.2172,-11.3990,-11.3382,-11.3382,11.3382
27.4890,-11.2077,-11.2334,-11.2334,11.2334
27.7636,-11.0340,-11.1274,-11.1274,11.1274
28.0409,-10.9042,-11.0210,-11.0210,11.0210
28.3210,-10.8226,-10.9144,-10.9144,10.9144
28.6039,-10.7539,-10.8075,-10.8075,10.8075
28.8896,-10.6922,-10.7004,-10.7004,10.7004
29.1782,-10.6228,-10.5929,-10.5929,10.5929
29.4697,-10.5428,-10.4851,-10.4851,10.4851
29.7640,-10.4169,-10.3770,-10.3770,10.3770
30.0613,-10.2881,-10.2689,-10.2689,10.2689
30.3616,-10.1580,-10.1609,-10.1609,10.1609
30.6649,-10.0360,-10.0531,-10.0531,10.0531
30.9712,-9.9361,-9.9451,-9.9451,9.9451
31.2806,-9.8456,-9.8365,-9.8365,9.8365
31.5930,-9.7644,-9.7266,-9.7266,9.7266
31.9086,-9.6760,-9.6149,-9.6149,9.6149
32.2273,-9.5549,-9.5013,-9.5013,9.5013
32.5492,-9.4188,-9.3865,-9.3865,9.3865
32.8744,-9.2673,-9.2712,-9.2712,9.2712
33.2027,-9.1178,-9.1564,-9.1564,9.1564
33.5344,-8.9861,-9.0427,-9.0427,9.0427
33.8694,-8.8767,-8.9304,-8.9304,8.9304
34.2077,-8.7859,-8.8195,-8.8195,8.8195
