frequency,raw,smoothed,error,equalization
20.0000,-5.3500,-5.1582,-5.1582,5.1582
20.1998,-5.3400,-5.1304,-5.1304,5.1304
20.4015,-5.2894,-5.0976,-5.0976,5.0976
20.6053,-5.2118,-5.0607,-5.0607,5.0607
20.8112,-5.1297,-5.0205,-5.0205,5.0205
21.0190,-5.0703,-4.9774,-4.9774,4.9774
21.2290,-5.0003,-4.9311,-4.9311,4.9311
21.4410,-4.9197,-4.8817,-4.8817,4.8817
21.6552,-4.8613,-4.8290,-4.8290,4.8290
21.8715,-4.7894,-4.7724,-4.7724,4.7724
22.0900,-4.7100,-4.7115,-4.7115,4.7115
22.3106,-4.6398,-4.6459,-4.6459,4.6459
22.5335,-4.5623,-4.5767,-4.5767,4.5767
22.7586,-4.5004,-4.5077,-4.5077,4.5077
22.9859,-4.4411,-4.4391,-4.4391,4.4391
23.2155,-4.3714,-4.3709,-4.3709,4.3709
23.4474,-4.2909,-4.3030,-4.3030,4.3030
23.6816,-4.2417,-4.2356,-4.2356,4.2356
23.9182,-4.1606,-4.1686,-4.1686,4.1686
24.1571,-4.0909,-4.1020,-4.1020,4.1020
24.3984,-4.0304,-4.0361,-4.0361,4.0361
24.6421,-3.9622,-3.9706,-3.9706,3.9706
24.8882,-3.9004,-3.9057,-3.9057,3.9057
25.1368,-3.8309,-3.8412,-3.8412,3.8412
25.3879,-3.7705,-3.7772,-3.7772,3.7772
25.6415,-3.7120,-3.7136,-3.7136,3.7136
25.8976,-3.6529,-3.6503,-3.6503,3.6503
26.1563,-3.5810,-3.5874,-3.5874,3.5874
26.4176,-3.5228,-3.5250,-3.5250,3.5250
26.6815,-3.4620,-3.4632,-3.4632,3.4632
26.9480,-3.3931,-3.4018,-3.4018,3.4018
27.2172,-3.3424,-3.3410,-3.3410,3.3410
27.4890,-3.2728,-3.2806,-3.2806,3.2806
27.7636,-3.2114,-3.2208,-3.2208,3.2208
28.0409,-3.1519,-3.1616,-3.1616,3.1616
28.3210,-3.0919,-3.1030,-3.1030,3.1030
28.6039,-3.0333,-3.0452,-3.0452,3.0452
28.8896,-2.9722,-2.9881,-2.9881,2.9881
29.1782,-2.9220,-2.9319,-2.9319,2.9319
29.4697,-2.8718,-2.8765,-2.8765,2.8765
29.7640,-2.8227,-2.8218,-2.8218,2.8218
30.0613,-2.7637,-2.7677,-2.7677,2.7677
30.3616,-2.7037,-2.7144,-2.7144,2.7144
30.6649,-2.6430,-2.6618,-2.6618,2.6618
30.9712,-2.6024,-2.6102,-2.6102,2.6102
31.2806,-2.5531,-2.5593,-2.5593,2.5593
31.5930,-2.5027,-2.5090,-2.5090,2.5090
31.9086,-2.4533,-2.4594,-2.4594,2.4594
32.2273,-2.3925,-2.4103,-2.4103,2.4103
32.5492,-2.3619,-2.3620,-2.3620,2.3620
32.8744,-2.3124,-2.3142,-2.3142,2.3142
33.2027,-2.2531,-2.2669,-2.2669,2.2669
33.5344,-2.2214,-2.2204,-2.2204,2.2204
33.8694,-2.1730,-2.1745,-2.1745,2.1745
34.2077,-2.1139,-2.1292,-2.1292,2.1292
34.5494,-2.0818,-2.0848,-2.0848,2.0848
34.8945,-2.0336,-2.0409,-2.0409,2.0409
35.2430,-1.9931,-1.9977,-1.9977,1.9977
35.5951,-1.9436,-1.9551,-1.9551,1.9551
35.9506,-1.9022,-1.9134,-1.9134,1.9134
36.3097,-1.8528,-1.8725,-1.8725,1.8725
36.6724,-1.8222,-1.8326,-1.8326,1.8326
37.0387,-1.7824,-1.7935,-1.7935,1.7935
37.4087,-1.7423,-1.7553,-1.7553,1.7553
37.7824,-1.7122,-1.7180,-1.7180,1.7180
38.1598,-1.6824,-1.6815,-1.6815,1.6815
38.5409,-1.6431,-1.6459,-1.6459,1.6459
38.9259,-1.5932,-1.6110,-1.6110,1.6110
39.3147,-1.5619,-1.5772,-1.5772,1.5772
39.7074,-1.5324,-1.5445,-1.5445,1.5445
40.1041,-1.5027,-1.5127,-1.5127,1.5127
40.5046,-1.4727,-1.4818,-1.4818,1.4818
40.9092,-1.4423,-1.4517,-1.4517,1.4517
41.3179,-1.4124,-1.4227,-1.4227,1.4227
41.7306,-1.3729,-1.3947,-1.3947,1.3947
42.1474,-1.3608,-1.3678,-1.3678,1.3678
42.5684,-1.3230,-1.3420,-1.3420,1.3420
42.9936,-1.3200,-1.3173,-1.3173,1.3173
43.4231,-1.2743,-1.2934,-1.2934,1.2934
43.8568,-1.2700,-1.2707,-1.2707,1.2707
44.2949,-1.2241,-1.2488,-1.2488,1.2488
44.7374,-1.2200,-1.2283,-1.2283,1.2283
45.1842,-1.1841,-1.2088,-1.2088,1.2088
45.6356,-1.1800,-1.1905,-1.1905,1.1905
46.0914,-1.1800,-1.1732,-1.1732,1.1732
46.5518,-1.1351,-1.1567,-1.1567,1.1567
47.0168,-1.1300,-1.1415,-1.1415,1.1415
47.4864,-1.1300,-1.1274,-1.1274,1.1274
47.9608,-1.0851,-1.1142,-1.1142,1.1142
48.4398,-1.0800,-1.1024,-1.1024,1.1024
48.9237,-1.0800,-1.0920,-1.0920,1.0920
49.4124,-1.0800,-1.0827,-1.0827,1.0827
49.9059,-1.0711,-1.0745,-1.0745,1.0745
50.4044,-1.0433,-1.0673,-1.0673,1.0673
50.9079,-1.0400,-1.0616,-1.0616,1.0616
51.4164,-1.0400,-1.0572,-1.0572,1.0572
51.9300,-1.0400,-1.0545,-1.0545,1.0545
52.4487,-1.0400,-1.0532,-1.0532,1.0532
52.9726,-1.0400,-1.0536,-1.0536,1.0536
53.5018,-1.0400,-1.0557,-1.0557,1.0557
54.0362,-1.0400,-1.0595,-1.0595,1.0595
54.5759,-1.0400,-1.0651,-1.0651,1.0651
55.1211,-1.0400,-1.0726,-1.0726,1.0726
55.6717,-1.0488,-1.0823,-1.0823,1.0823
56.2278,-1.0766,-1.0941,-1.0941,1.0941
56.7894,-1.0800,-1.1078,-1.1078,1.1078
57.3567,-1.0889,-1.1234,-1.1234,1.1234
57.9296,-1.1251,-1.1411,-1.1411,1.1411
58.5082,-1.1300,-1.1603,-1.1603,1.1603
59.0927,-1.1742,-1.1814,-1.1814,1.1814
59.6829,-1.1887,-1.2038,-1.2038,1.2038
60.2791,-1.2164,-1.2275,-1.2275,1.2275
60.8812,-1.2461,-1.2523,-1.2523,1.2523
61.4893,-1.2674,-1.2778,-1.2778,1.2778
62.1035,-1.3050,-1.3039,-1.3039,1.3039
62.7239,-1.3188,-1.3302,-1.3302,1.3302
63.3504,-1.3549,-1.3565,-1.3565,1.3565
63.9832,-1.4032,-1.3825,-1.3825,1.3825
64.6223,-1.4100,-1.4076,-1.4076,1.4076
65.2678,-1.4449,-1.4317,-1.4317,1.4317
65.9198,-1.4759,-1.4545,-1.4545,1.4545
66.5782,-1.4972,-1.4757,-1.4757,1.4757
67.2433,-1.5261,-1.4953,-1.4953,1.4953
67.9149,-1.5472,-1.5129,-1.5129,1.5129
68.5933,-1.5500,-1.5283,-1.5283,1.5283
69.2785,-1.5846,-1.5416,-1.5416,1.5416
69.9705,-1.5900,-1.5522,-1.5522,1.5522
70.6694,-1.5900,-1.5601,-1.5601,1.5601
71.3753,-1.5900,-1.5653,-1.5653,1.5653
72.0883,-1.5900,-1.5680,-1.5680,1.5680
72.8083,-1.5900,-1.5682,-1.5682,1.5682
73.5356,-1.5900,-1.5660,-1.5660,1.5660
74.2701,-1.5900,-1.5613,-1.5613,1.5613
75.0120,-1.5900,-1.5543,-1.5543,1.5543
75.7613,-1.5900,-1.5450,-1.5450,1.5450
76.5180,-1.5559,-1.5334,-1.5334,1.5334
77.2824,-1.5500,-1.5201,-1.5201,1.5201
78.0543,-1.5160,-1.5051,-1.5051,1.5051
78.8340,-1.5015,-1.4892,-1.4892,1.4892
79.6214,-1.4745,-1.4724,-1.4724,1.4724
80.4168,-1.4531,-1.4550,-1.4550,1.4550
81.2200,-1.4332,-1.4373,-1.4373,1.4373
82.0313,-1.4132,-1.4195,-1.4195,1.4195
82.8507,-1.3932,-1.4020,-1.4020,1.4020
83.6783,-1.3648,-1.3850,-1.3850,1.3850
84.5141,-1.3600,-1.3689,-1.3689,1.3689
85.3583,-1.3267,-1.3539,-1.3539,1.3539
86.2109,-1.3200,-1.3404,-1.3404,1.3404
87.0721,-1.3200,-1.3283,-1.3283,1.3283
87.9418,-1.3200,-1.3176,-1.3176,1.3176
88.8203,-1.2785,-1.3084,-1.3084,1.3084
89.7075,-1.2700,-1.3010,-1.3010,1.3010
90.6035,-1.2700,-1.2954,-1.2954,1.2954
91.5085,-1.2700,-1.2915,-1.2915,1.2915
92.4226,-1.2700,-1.2892,-1.2892,1.2892
93.3458,-1.2700,-1.2882,-1.2882,1.2882
94.2782,-1.2700,-1.2885,-1.2885,1.2885
95.2199,-1.2700,-1.2899,-1.2899,1.2899
96.1711,-1.2700,-1.2926,-1.2926,1.2926
97.1317,-1.2865,-1.2963,-1.2963,1.2963
98.1019,-1.3145,-1.3008,-1.3008,1.3008
99.0818,-1.3200,-1.3056,-1.3056,1.3056
100.0715,-1.3200,-1.3107,-1.3107,1.3107
101.0711,-1.3200,-1.3157,-1.3157,1.3157
102.0807,-1.3200,-1.3208,-1.3208,1.3208
103.1004,-1.3200,-1.3262,-1.3262,1.3262
104.1302,-1.3200,-1.3319,-1.3319,1.3319
105.1703,-1.3362,-1.3380,-1.3380,1.3380
106.2209,-1.3400,-1.3444,-1.3444,1.3444
107.2819,-1.3563,-1.3512,-1.3512,1.3512
108.3535,-1.3600,-1.3583,-1.3583,1.3583
109.4358,-1.3600,-1.3657,-1.3657,1.3657
110.5289,-1.3600,-1.3739,-1.3739,1.3739
111.6330,-1.3600,-1.3832,-1.3832,1.3832
112.7481,-1.3600,-1.3938,-1.3938,1.3938
113.8743,-1.4000,-1.4058,-1.4058,1.4058
115.0118,-1.4100,-1.4188,-1.4188,1.4188
116.1606,-1.4100,-1.4330,-1.4330,1.4330
117.3209,-1.4421,-1.4485,-1.4485,1.4485
118.4928,-1.4500,-1.4652,-1.4652,1.4652
119.6764,-1.4580,-1.4831,-1.4831,1.4831
120.8718,-1.4917,-1.5025,-1.5025,1.5025
122.0792,-1.5000,-1.5233,-1.5233,1.5233
123.2986,-1.5397,-1.5455,-1.5455,1.5455
124.5302,-1.5579,-1.5690,-1.5690,1.5690
125.7741,-1.5838,-1.5936,-1.5936,1.5936
127.0304,-1.5979,-1.6192,-1.6192,1.6192
128.2993,-1.6315,-1.6460,-1.6460,1.6460
129.5808,-1.6716,-1.6741,-1.6741,1.6741
130.8752,-1.6879,-1.7031,-1.7031,1.7031
132.1825,-1.7215,-1.7332,-1.7332,1.7332
133.5028,-1.7535,-1.7642,-1.7642,1.7642
134.8363,-1.7757,-1.7960,-1.7960,1.7960
136.1832,-1.8191,-1.8288,-1.8288,1.8288
137.5435,-1.8613,-1.8622,-1.8622,1.8622
138.9174,-1.8934,-1.8962,-1.8962,1.8962
140.3050,-1.9234,-1.9307,-1.9307,1.9307
141.7065,-1.9611,-1.9657,-1.9657,1.9657
143.1220,-2.0010,-2.0010,-2.0010,2.0010
144.5516,-2.0411,-2.0367,-2.0367,2.0367
145.9955,-2.0733,-2.0726,-2.0726,2.0726
147.4538,-2.1033,-2.1089,-2.1089,2.1089
148.9267,-2.1410,-2.1453,-2.1453,2.1453
150.4143,-2.1810,-2.1821,-2.1821,2.1821
151.9167,-2.2209,-2.2190,-2.2190,2.2190
153.4342,-2.2532,-2.2560,-2.2560,2.2560
154.9668,-2.2831,-2.2930,-2.2930,2.2930
156.5147,-2.3283,-2.3303,-2.3303,2.3303
158.0781,-2.3630,-2.3677,-2.3677,2.3677
159.6571,-2.4006,-2.4052,-2.4052,2.4052
161.2519,-2.4482,-2.4428,-2.4428,2.4428
162.8626,-2.4830,-2.4805,-2.4805,2.4805
164.4894,-2.5205,-2.5181,-2.5181,2.5181
166.1324,-2.5604,-2.5557,-2.5557,2.5557
167.7919,-2.6004,-2.5931,-2.5931,2.5931
169.4679,-2.6328,-2.6304,-2.6304,2.6304
171.1607,-2.6628,-2.6675,-2.6675,2.6675
172.8704,-2.7002,-2.7046,-2.7046,2.7046
174.5972,-2.7402,-2.7416,-2.7416,2.7416
176.3412,-2.7802,-2.7785,-2.7785,2.7785
178.1026,-2.8201,-2.8150,-2.8150,2.8150
179.8816,-2.8601,-2.8512,-2.8512,2.8512
181.6784,-2.8925,-2.8869,-2.8869,2.8869
183.4932,-2.9225,-2.9222,-2.9222,2.9222
185.3261,-2.9599,-2.9571,-2.9571,2.9571
187.1772,-2.9998,-2.9915,-2.9915,2.9915
189.0469,-3.0324,-3.0252,-3.0252,3.0252
190.9352,-3.0698,-3.0582,-3.0582,3.0582
192.8425,-3.1023,-3.0904,-3.0904,3.0904
194.7687,-3.1322,-3.1216,-3.1216,3.1216
196.7142,-3.1696,-3.1518,-3.1518,3.1518
198.6792,-3.1948,-3.1807,-3.1807,3.1807
200.6637,-3.2148,-3.2082,-3.2082,3.2082
202.6681,-3.2570,-3.2344,-3.2344,3.2344
204.6925,-3.2700,-3.2588,-3.2588,3.2588
206.7371,-3.3068,-3.2815,-3.2815,3.2815
208.8022,-3.3200,-3.3017,-3.3017,3.3017
210.8879,-3.3494,-3.3196,-3.3196,3.3196
212.9944,-3.3600,-3.3346,-3.3346,3.3346
215.1219,-3.3893,-3.3465,-3.3465,3.3465
217.2707,-3.4073,-3.3547,-3.3547,3.3547
219.4410,-3.4100,-3.3588,-3.3588,3.3588
221.6329,-3.4100,-3.3586,-3.3586,3.3586
223.8468,-3.4100,-3.3540,-3.3540,3.3540
226.0827,-3.4100,-3.3448,-3.3448,3.3448
228.3410,-3.4100,-3.3309,-3.3309,3.3309
230.6219,-3.3737,-3.3125,-3.3125,3.3125
232.9255,-3.3528,-3.2902,-3.2902,3.2902
235.2521,-3.3283,-3.2646,-3.2646,3.2646
237.6020,-3.2839,-3.2364,-3.2364,3.2364
239.9754,-3.2340,-3.2069,-3.2069,3.2069
242.3724,-3.1769,-3.1773,-3.1773,3.1773
244.7934,-3.1241,-3.1492,-3.1492,3.1492
247.2386,-3.0741,-3.1240,-3.1240,3.1240
249.7082,-3.0241,-3.1029,-3.1029,3.1029
