frequency,raw,smoothed,error,equalization
20.0000,-1.3700,-1.2029,-1.2029,1.2029
20.1998,-1.3201,-1.1825,-1.1825,1.1825
20.4015,-1.2796,-1.1590,-1.1590,1.1590
20.6053,-1.2311,-1.1328,-1.1328,1.1328
20.8112,-1.1798,-1.1044,-1.1044,1.1044
21.0190,-1.1402,-1.0738,-1.0738,1.0738
21.2290,-1.0902,-1.0409,-1.0409,1.0409
21.4410,-1.0398,-1.0056,-1.0056,1.0056
21.6552,-0.9911,-0.9678,-0.9678,0.9678
21.8715,-0.9397,-0.9277,-0.9277,0.9277
22.0900,-0.8900,-0.8852,-0.8852,0.8852
22.3106,-0.8399,-0.8402,-0.8402,0.8402
22.5335,-0.7914,-0.7940,-0.7940,0.7940
22.7586,-0.7304,-0.7489,-0.7489,0.7489
22.9859,-0.6809,-0.7052,-0.7052,0.7052
23.2155,-0.6310,-0.6627,-0.6627,0.6627
23.4474,-0.5806,-0.6216,-0.6216,0.6216
23.6816,-0.5317,-0.5823,-0.5823,0.5823
23.9182,-0.4804,-0.5451,-0.5451,0.5451
24.1571,-0.4602,-0.5104,-0.5104,0.5104
24.3984,-0.4600,-0.4782,-0.4782,0.4782
24.6421,-0.4600,-0.4480,-0.4480,0.4480
24.8882,-0.4600,-0.4195,-0.4195,0.4195
25.1368,-0.4304,-0.3924,-0.3924,0.3924
25.3879,-0.3705,-0.3667,-0.3667,0.3667
25.6415,-0.3120,-0.3429,-0.3429,0.3429
25.8976,-0.2529,-0.3214,-0.3214,0.3214
26.1563,-0.2303,-0.3028,-0.3028,0.3028
26.4176,-0.2300,-0.2870,-0.2870,0.2870
26.6815,-0.2300,-0.2737,-0.2737,0.2737
26.9480,-0.2300,-0.2624,-0.2624,0.2624
27.2172,-0.2300,-0.2530,-0.2530,0.2530
27.4890,-0.2300,-0.2452,-0.2452,0.2452
27.7636,-0.2300,-0.2392,-0.2392,0.2392
28.0409,-0.2300,-0.2348,-0.2348,0.2348
