frequency,raw,smoothed,error,equalization
20.0000,-9.8000,-9.4777,-9.4777,9.4777
20.1998,-9.7201,-9.4363,-9.4363,9.4363
20.4015,-9.6395,-9.3886,-9.3886,9.3886
20.6053,-9.5716,-9.3358,-9.3358,9.3358
20.8112,-9.4494,-9.2780,-9.2780,9.2780
21.0190,-9.3405,-9.2159,-9.2159,9.2159
21.2290,-9.2305,-9.1498,-9.1498,9.1498
21.4410,-9.1295,-9.0797,-9.0797,9.0797
21.6552,-9.0322,-9.0053,-9.0053,9.0053
21.8715,-8.9293,-8.9260,-8.9260,8.9260
22.0900,-8.8300,-8.8412,-8.8412,8.8412
22.3106,-8.7397,-8.7500,-8.7500,8.7500
22.5335,-8.6428,-8.6545,-8.6545,8.6545
22.7586,-8.5506,-8.5595,-8.5595,8.5595
22.9859,-8.4518,-8.4652,-8.4652,8.4652
23.2155,-8.3618,-8.3720,-8.3720,8.3720
23.4474,-8.2710,-8.2800,-8.2800,8.2800
23.6816,-8.1831,-8.1890,-8.1890,8.1890
23.9182,-8.0907,-8.0991,-8.0991,8.0991
24.1571,-8.0011,-8.0101,-8.0101,8.0101
24.3984,-7.9106,-7.9223,-7.9223,7.9223
24.6421,-7.8228,-7.8357,-7.8357,7.8357
24.8882,-7.7307,-7.7503,-7.7503,7.7503
25.1368,-7.6510,-7.6664,-7.6664,7.6664
25.3879,-7.5607,-7.5839,-7.5839,7.5839
25.6415,-7.4826,-7.5030,-7.5030,7.5030
25.8976,-7.4038,-7.4237,-7.4237,7.4237
26.1563,-7.3212,-7.3459,-7.3459,7.3459
26.4176,-7.2532,-7.2697,-7.2697,7.2697
26.6815,-7.1726,-7.1950,-7.1950,7.1950
26.9480,-7.1031,-7.1217,-7.1217,7.1217
27.2172,-7.0333,-7.0499,-7.0499,7.0499
27.4890,-6.9628,-6.9793,-6.9793,6.9793
27.7636,-6.9014,-6.9100,-6.9100,6.9100
28.0409,-6.8323,-6.8416,-6.8416,6.8416
28.3210,-6.7719,-6.7742,-6.7742,6.7742
28.6039,-6.7039,-6.7074,-6.7074,6.7074
28.8896,-6.6422,-6.6412,-6.6412,6.6412
29.1782,-6.5728,-6.5754,-6.5754,6.5754
29.4697,-6.5025,-6.5100,-6.5100,6.5100
29.7640,-6.4432,-6.4449,-6.4449,6.4449
30.0613,-6.3744,-6.3799,-6.3799,6.3799
30.3616,-6.3137,-6.3150,-6.3150,6.3150
30.6649,-6.2530,-6.2499,-6.2499,6.2499
30.9712,-6.1842,-6.1846,-6.1846,6.1846
31.2806,-6.1238,-6.1190,-6.1190,6.1190
31.5930,-6.0633,-6.0531,-6.0531,6.0531
31.9086,-5.9947,-5.9867,-5.9867,5.9867
32.2273,-5.9325,-5.9200,-5.9200,5.9200
32.5492,-5.8644,-5.8528,-5.8528,5.8528
32.8744,-5.7934,-5.7851,-5.7851,5.7851
33.2027,-5.7237,-5.7168,-5.7168,5.7168
33.5344,-5.6533,-5.6478,-5.6478,5.6478
33.8694,-5.5842,-5.5781,-5.5781,5.5781
34.2077,-5.5053,-5.5077,-5.5077,5.5077
34.5494,-5.4342,-5.4367,-5.4367,5.4367
34.8945,-5.3651,-5.3651,-5.3651,5.3651
35.2430,-5.3046,-5.2930,-5.2930,5.2930
35.5951,-5.2350,-5.2202,-5.2202,5.2202
35.9506,-5.1639,-5.1467,-5.1467,5.1467
36.3097,-5.0939,-5.0726,-5.0726,5.0726
36.6724,-5.0160,-4.9979,-4.9979,4.9979
37.0387,-4.9253,-4.9227,-4.9227,4.9227
37.4087,-4.8446,-4.8475,-4.8475,4.8475
37.7824,-4.7658,-4.7723,-4.7723,4.7723
38.1598,-4.6864,-4.6975,-4.6975,4.6975
38.5409,-4.6154,-4.6232,-4.6232,4.6232
38.9259,-4.5351,-4.5494,-4.5494,4.5494
39.3147,-4.4645,-4.4765,-4.4765,4.4765
39.7074,-4.3865,-4.4045,-4.4045,4.4045
40.1041,-4.3163,-4.3338,-4.3338,4.3338
40.5046,-4.2462,-4.2644,-4.2644,4.2644
40.9092,-4.1754,-4.1967,-4.1967,4.1967
41.3179,-4.1055,-4.1307,-4.1307,4.1307
41.7306,-4.0443,-4.0666,-4.0666,4.0666
42.1474,-3.9847,-4.0042,-4.0042,4.0042
42.5684,-3.9245,-3.9435,-3.9435,3.9435
42.9936,-3.8651,-3.8847,-3.8847,3.8847
43.4231,-3.8052,-3.8276,-3.8276,3.8276
43.8568,-3.7549,-3.7723,-3.7723,3.7723
44.2949,-3.6949,-3.7189,-3.7189,3.7189
44.7374,-3.6447,-3.6672,-3.6672,3.6672
45.1842,-3.5951,-3.6173,-3.6173,3.6173
45.6356,-3.5540,-3.5691,-3.5691,3.5691
46.0914,-3.5043,-3.5225,-3.5225,3.5225
46.5518,-3.4641,-3.4776,-3.4776,3.4776
47.0168,-3.4147,-3.4340,-3.4340,3.4340
47.4864,-3.3737,-3.3921,-3.3921,3.3921
47.9608,-3.3341,-3.3517,-3.3517,3.3517
48.4398,-3.3031,-3.3129,-3.3129,3.3129
48.9237,-3.2639,-3.2756,-3.2756,3.2756
49.4124,-3.2239,-3.2397,-3.2397,3.2397
49.9059,-3.1843,-3.2055,-3.2055,3.2055
50.4044,-3.1533,-3.1728,-3.1728,3.1728
50.9079,-3.1231,-3.1417,-3.1417,3.1417
51.4164,-3.0932,-3.1122,-3.1122,3.1122
51.9300,-3.0635,-3.0841,-3.0841,3.0841
52.4487,-3.0335,-3.0576,-3.0576,3.0576
52.9726,-3.0122,-3.0326,-3.0326,3.0326
53.5018,-2.9922,-3.0089,-3.0089,3.0089
54.0362,-2.9724,-2.9865,-2.9865,2.9865
54.5759,-2.9524,-2.9650,-2.9650,2.9650
55.1211,-2.9411,-2.9444,-2.9444,2.9444
55.6717,-2.9224,-2.9245,-2.9245,2.9245
56.2278,-2.9023,-2.9049,-2.9049,2.9049
56.7894,-2.8825,-2.8855,-2.8855,2.8855
57.3567,-2.8711,-2.8661,-2.8661,2.8661
57.9296,-2.8524,-2.8465,-2.8465,2.8465
58.5082,-2.8325,-2.8264,-2.8264,2.8264
59.0927,-2.8212,-2.8058,-2.8058,2.8058
59.6829,-2.8026,-2.7844,-2.7844,2.7844
60.2791,-2.7736,-2.7622,-2.7622,2.7622
60.8812,-2.7526,-2.7393,-2.7393,2.7393
61.4893,-2.7326,-2.7157,-2.7157,2.7157
62.1035,-2.7038,-2.6913,-2.6913,2.6913
62.7239,-2.6737,-2.6664,-2.6664,2.6664
63.3504,-2.6438,-2.6412,-2.6412,2.6412
63.9832,-2.6141,-2.6157,-2.6157,2.6157
64.6223,-2.5841,-2.5901,-2.5901,2.5901
65.2678,-2.5539,-2.5646,-2.5646,2.5646
65.9198,-2.5327,-2.5396,-2.5396,2.5396
66.5782,-2.5042,-2.5149,-2.5149,2.5149
67.2433,-2.4826,-2.4908,-2.4908,2.4908
67.9149,-2.4542,-2.4674,-2.4674,2.4674
68.5933,-2.4328,-2.4447,-2.4447,2.4447
69.2785,-2.4127,-2.4228,-2.4228,2.4228
69.9705,-2.3928,-2.4018,-2.4018,2.4018
70.6694,-2.3729,-2.3816,-2.3816,2.3816
71.3753,-2.3529,-2.3622,-2.3622,2.3622
72.0883,-2.3329,-2.3436,-2.3436,2.3436
72.8083,-2.3214,-2.3259,-2.3259,2.3259
73.5356,-2.3029,-2.3089,-2.3089,2.3089
74.2701,-2.2830,-2.2927,-2.2927,2.2927
75.0120,-2.2715,-2.2773,-2.2773,2.2773
75.7613,-2.2529,-2.2627,-2.2627,2.2627
76.5180,-2.2415,-2.2489,-2.2489,2.2489
77.2824,-2.2231,-2.2358,-2.2358,2.2358
78.0543,-2.2115,-2.2236,-2.2236,2.2236
78.8340,-2.2015,-2.2123,-2.2123,2.2123
79.6214,-2.1915,-2.2017,-2.2017,2.2017
80.4168,-2.1815,-2.1919,-2.1919,2.1919
81.2200,-2.1716,-2.1828,-2.1828,2.1828
82.0313,-2.1700,-2.1744,-2.1744,2.1744
82.8507,-2.1616,-2.1666,-2.1666,2.1666
83.6783,-2.1516,-2.1594,-2.1594,2.1594
84.5141,-2.1500,-2.1526,-2.1526,2.1526
85.3583,-2.1417,-2.1463,-2.1463,2.1463
86.2109,-2.1400,-2.1404,-2.1404,2.1404
87.0721,-2.1317,-2.1347,-2.1347,2.1347
87.9418,-2.1300,-2.1294,-2.1294,2.1294
88.8203,-2.1217,-2.1242,-2.1242,2.1242
89.7075,-2.1200,-2.1194,-2.1194,2.1194
90.6035,-2.1117,-2.1148,-2.1148,2.1148
91.5085,-2.1100,-2.1105,-2.1105,2.1105
92.4226,-2.1017,-2.1064,-2.1064,2.1064
93.3458,-2.1000,-2.1028,-2.1028,2.1028
94.2782,-2.0917,-2.0995,-2.0995,2.0995
95.2199,-2.0900,-2.0966,-2.0966,2.0966
96.1711,-2.0900,-2.0941,-2.0941,2.0941
97.1317,-2.0818,-2.0920,-2.0920,2.0920
98.1019,-2.0800,-2.0902,-2.0902,2.0902
99.0818,-2.0800,-2.0888,-2.0888,2.0888
100.0715,-2.0882,-2.0877,-2.0877,2.0877
101.0711,-2.0900,-2.0868,-2.0868,2.0868
102.0807,-2.0819,-2.0860,-2.0860,2.0860
103.1004,-2.0881,-2.0852,-2.0852,2.0852
104.1302,-2.0900,-2.0845,-2.0845,2.0845
105.1703,-2.0900,-2.0837,-2.0837,2.0837
106.2209,-2.0900,-2.0829,-2.0829,2.0829
107.2819,-2.0819,-2.0818,-2.0818,2.0818
108.3535,-2.0800,-2.0808,-2.0808,2.0808
109.4358,-2.0800,-2.0797,-2.0797,2.0797
110.5289,-2.0800,-2.0786,-2.0786,2.0786
111.6330,-2.0800,-2.0773,-2.0773,2.0773
112.7481,-2.0720,-2.0761,-2.0761,2.0761
113.8743,-2.0700,-2.0749,-2.0749,2.0749
115.0118,-2.0700,-2.0739,-2.0739,2.0739
116.1606,-2.0700,-2.0730,-2.0730,2.0730
117.3209,-2.0700,-2.0722,-2.0722,2.0722
118.4928,-2.0700,-2.0716,-2.0716,2.0716
119.6764,-2.0700,-2.0710,-2.0710,2.0710
120.8718,-2.0700,-2.0706,-2.0706,2.0706
122.0792,-2.0700,-2.0701,-2.0701,2.0701
123.2986,-2.0700,-2.0695,-2.0695,2.0695
124.5302,-2.0700,-2.0688,-2.0688,2.0688
125.7741,-2.0700,-2.0680,-2.0680,2.0680
127.0304,-2.0700,-2.0670,-2.0670,2.0670
128.2993,-2.0700,-2.0657,-2.0657,2.0657
129.5808,-2.0700,-2.0641,-2.0641,2.0641
130.8752,-2.0700,-2.0622,-2.0622,2.0622
132.1825,-2.0700,-2.0599,-2.0599,2.0599
133.5028,-2.0622,-2.0572,-2.0572,2.0572
134.8363,-2.0600,-2.0543,-2.0543,2.0543
136.1832,-2.0522,-2.0512,-2.0512,2.0512
137.5435,-2.0500,-2.0479,-2.0479,2.0479
138.9174,-2.0422,-2.0446,-2.0446,2.0446
140.3050,-2.0400,-2.0415,-2.0415,2.0415
141.7065,-2.0322,-2.0384,-2.0384,2.0384
143.1220,-2.0300,-2.0357,-2.0357,2.0357
144.5516,-2.0300,-2.0333,-2.0333,2.0333
145.9955,-2.0222,-2.0313,-2.0313,2.0313
147.4538,-2.0200,-2.0299,-2.0299,2.0299
148.9267,-2.0200,-2.0290,-2.0290,2.0290
150.4143,-2.0200,-2.0287,-2.0287,2.0287
151.9167,-2.0200,-2.0289,-2.0289,2.0289
153.4342,-2.0200,-2.0296,-2.0296,2.0296
154.9668,-2.0277,-2.0307,-2.0307,2.0307
156.5147,-2.0300,-2.0322,-2.0322,2.0322
158.0781,-2.0300,-2.0339,-2.0339,2.0339
159.6571,-2.0377,-2.0357,-2.0357,2.0357
161.2519,-2.0400,-2.0376,-2.0376,2.0376
162.8626,-2.0400,-2.0393,-2.0393,2.0393
164.4894,-2.0476,-2.0408,-2.0408,2.0408
166.1324,-2.0500,-2.0419,-2.0419,2.0419
167.7919,-2.0500,-2.0425,-2.0425,2.0425
169.4679,-2.0500,-2.0424,-2.0424,2.0424
171.1607,-2.0500,-2.0416,-2.0416,2.0416
172.8704,-2.0500,-2.0398,-2.0398,2.0398
174.5972,-2.0500,-2.0371,-2.0371,2.0371
176.3412,-2.0500,-2.0333,-2.0333,2.0333
178.1026,-2.0425,-2.0284,-2.0284,2.0284
179.8816,-2.0400,-2.0223,-2.0223,2.0223
181.6784,-2.0325,-2.0149,-2.0149,2.0149
183.4932,-2.0225,-2.0064,-2.0064,2.0064
185.3261,-2.0125,-1.9967,-1.9967,1.9967
187.1772,-2.0025,-1.9859,-1.9859,1.9859
189.0469,-1.9851,-1.9742,-1.9742,1.9742
190.9352,-1.9726,-1.9615,-1.9615,1.9615
192.8425,-1.9551,-1.9482,-1.9482,1.9482
194.7687,-1.9352,-1.9343,-1.9343,1.9343
196.7142,-1.9226,-1.9201,-1.9201,1.9201
198.6792,-1.9052,-1.9058,-1.9058,1.9058
200.6637,-1.8852,-1.8915,-1.8915,1.8915
202.6681,-1.8726,-1.8776,-1.8776,1.8776
204.6925,-1.8553,-1.8640,-1.8640,1.8640
206.7371,-1.8426,-1.8511,-1.8511,1.8511
208.8022,-1.8253,-1.8388,-1.8388,1.8388
210.8879,-1.8126,-1.8274,-1.8274,1.8274
212.9944,-1.8027,-1.8171,-1.8171,1.8171
215.1219,-1.7927,-1.8079,-1.8079,1.8079
217.2707,-1.7827,-1.7997,-1.7997,1.7997
219.4410,-1.7800,-1.7927,-1.7927,1.7927
221.6329,-1.7727,-1.7868,-1.7868,1.7868
223.8468,-1.7700,-1.7821,-1.7821,1.7821
226.0827,-1.7700,-1.7785,-1.7785,1.7785
228.3410,-1.7627,-1.7759,-1.7759,1.7759
230.6219,-1.7600,-1.7745,-1.7745,1.7745
232.9255,-1.7600,-1.7742,-1.7742,1.7742
235.2521,-1.7672,-1.7751,-1.7751,1.7751
237.6020,-1.7700,-1.7768,-1.7768,1.7768
239.9754,-1.7700,-1.7795,-1.7795,1.7795
242.3724,-1.7700,-1.7831,-1.7831,1.7831
244.7934,-1.7772,-1.7874,-1.7874,1.7874
247.2386,-1.7800,-1.7924,-1.7924,1.7924
249.7082,-1.7872,-1.7979,-1.7979,1.7979
