frequency,raw,smoothed,error,equalization
20.0000,-3.2600,-3.1229,-3.1229,3.1229
20.1998,-3.2200,-3.1071,-3.1071,3.1071
20.4015,-3.1797,-3.0892,-3.0892,3.0892
20.6053,-3.1409,-3.0698,-3.0698,3.0698
20.8112,-3.1098,-3.0492,-3.0492,3.0492
21.0190,-3.0702,-3.0271,-3.0271,3.0271
21.2290,-3.0302,-3.0035,-3.0035,3.0035
21.4410,-2.9898,-2.9785,-2.9785,2.9785
21.6552,-2.9509,-2.9518,-2.9518,2.9518
21.8715,-2.9098,-2.9238,-2.9238,2.9238
22.0900,-2.8800,-2.8943,-2.8943,2.8943
22.3106,-2.8599,-2.8631,-2.8631,2.8631
22.5335,-2.8308,-2.8311,-2.8311,2.8311
22.7586,-2.8101,-2.7998,-2.7998,2.7998
22.9859,-2.7805,-2.7689,-2.7689,2.7689
23.2155,-2.7408,-2.7383,-2.7383,2.7383
23.4474,-2.6906,-2.7080,-2.7080,2.7080
23.6816,-2.6514,-2.6781,-2.6781,2.6781
23.9182,-2.6004,-2.6488,-2.6488,2.6488
24.1571,-2.5901,-2.6203,-2.6203,2.6203
24.3984,-2.5900,-2.5924,-2.5924,2.5924
24.6421,-2.5803,-2.5647,-2.5647,2.5647
24.8882,-2.5800,-2.5373,-2.5373,2.5373
25.1368,-2.5504,-2.5100,-2.5100,2.5100
25.3879,-2.5004,-2.4830,-2.4830,2.4830
25.6415,-2.4613,-2.4570,-2.4570,2.4570
25.8976,-2.4124,-2.4322,-2.4322,2.4322
26.1563,-2.3706,-2.4091,-2.4091,2.4091
26.4176,-2.3414,-2.3875,-2.3875,2.3875
26.6815,-2.3110,-2.3672,-2.3672,2.3672
26.9480,-2.2813,-2.3479,-2.3479,2.3479
27.2172,-2.2800,-2.3296,-2.3296,2.3296
27.4890,-2.2896,-2.3124,-2.3124,2.3124
27.7636,-2.2998,-2.2960,-2.2960,2.2960
28.0409,-2.3000,-2.2804,-2.2804,2.2804
28.3210,-2.3000,-2.2653,-2.2653,2.2653
28.6039,-2.3000,-2.2505,-2.2505,2.2505
28.8896,-2.3000,-2.2357,-2.2357,2.2357
29.1782,-2.2616,-2.2205,-2.2205,2.2205
29.4697,-2.2118,-2.2052,-2.2052,2.2052
29.7640,-2.1532,-2.1902,-2.1902,2.1902
30.0613,-2.1125,-2.1763,-2.1763,2.1763
30.3616,-2.1100,-2.1637,-2.1637,2.1637
30.6649,-2.1100,-2.1522,-2.1522,2.1522
30.9712,-2.1100,-2.1416,-2.1416,2.1416
31.2806,-2.1100,-2.1315,-2.1315,2.1315
31.5930,-2.1100,-2.1219,-2.1219,2.1219
31.9086,-2.1100,-2.1128,-2.1128,2.1128
32.2273,-2.1100,-2.1043,-2.1043,2.1043
32.5492,-2.1100,-2.0964,-2.0964,2.0964
32.8744,-2.1100,-2.0891,-2.0891,2.0891
33.2027,-2.1100,-2.0821,-2.0821,2.0821
33.5344,-2.1100,-2.0749,-2.0749,2.0749
33.8694,-2.1100,-2.0672,-2.0672,2.0672
34.2077,-2.0820,-2.0587,-2.0587,2.0587
34.5494,-2.0330,-2.0499,-2.0499,2.0499
34.8945,-1.9836,-2.0415,-2.0415,2.0415
35.2430,-1.9800,-2.0342,-2.0342,2.0342
35.5951,-1.9893,-2.0282,-2.0282,2.0282
35.9506,-2.0089,-2.0231,-2.0231,2.0231
36.3097,-2.0100,-2.0189,-2.0189,2.0189
36.6724,-2.0100,-2.0153,-2.0153,2.0153
37.0387,-2.0100,-2.0125,-2.0125,2.0125
37.4087,-2.0100,-2.0104,-2.0104,2.0104
37.7824,-2.0100,-2.0091,-2.0091,2.0091
38.1598,-2.0100,-2.0085,-2.0085,2.0085
38.5409,-2.0100,-2.0086,-2.0086,2.0086
38.9259,-2.0100,-2.0091,-2.0091,2.0091
39.3147,-2.0100,-2.0096,-2.0096,2.0096
39.7074,-2.0100,-2.0101,-2.0101,2.0101
40.1041,-2.0100,-2.0109,-2.0109,2.0109
40.5046,-2.0100,-2.0124,-2.0124,2.0124
40.9092,-2.0100,-2.0147,-2.0147,2.0147
41.3179,-2.0100,-2.0179,-2.0179,2.0179
41.7306,-2.0100,-2.0217,-2.0217,2.0217
42.1474,-2.0100,-2.0263,-2.0263,2.0263
42.5684,-2.0100,-2.0318,-2.0318,2.0318
42.9936,-2.0100,-2.0383,-2.0383,2.0383
43.4231,-2.0100,-2.0456,-2.0456,2.0456
43.8568,-2.0100,-2.0532,-2.0532,2.0532
44.2949,-2.0467,-2.0608,-2.0608,2.0608
44.7374,-2.1043,-2.0679,-2.0679,2.0679
45.1842,-2.1280,-2.0736,-2.0736,2.0736
45.6356,-2.1210,-2.0775,-2.0775,2.0775
46.0914,-2.1109,-2.0798,-2.0798,2.0798
46.5518,-2.1100,-2.0806,-2.0806,2.0806
47.0168,-2.1100,-2.0800,-2.0800,2.0800
47.4864,-2.1372,-2.0778,-2.0778,2.0778
47.9608,-2.1579,-2.0735,-2.0735,2.0735
48.4398,-2.0973,-2.0663,-2.0663,2.0663
48.9237,-2.0177,-2.0569,-2.0569,2.0569
49.4124,-2.0100,-2.0466,-2.0466,2.0466
49.9059,-2.0100,-2.0357,-2.0357,2.0357
50.4044,-2.0100,-2.0244,-2.0244,2.0244
50.9079,-2.0100,-2.0130,-2.0130,2.0130
51.4164,-2.0100,-2.0012,-2.0012,2.0012
51.9300,-2.0100,-1.9890,-1.9890,1.9890
52.4487,-2.0100,-1.9758,-1.9758,1.9758
52.9726,-2.0100,-1.9613,-1.9613,1.9613
53.5018,-1.9477,-1.9448,-1.9448,1.9448
54.0362,-1.8871,-1.9272,-1.9272,1.9272
54.5759,-1.8976,-1.9097,-1.9097,1.9097
55.1211,-1.9089,-1.8913,-1.8913,1.8913
55.6717,-1.9100,-1.8707,-1.8707,1.8707
56.2278,-1.9011,-1.8470,-1.8470,1.8470
56.7894,-1.8737,-1.8207,-1.8207,1.8207
57.3567,-1.8434,-1.7923,-1.7923,1.7923
57.9296,-1.8224,-1.7616,-1.7616,1.7616
58.5082,-1.7674,-1.7279,-1.7279,1.7279
59.0927,-1.6981,-1.6920,-1.6920,1.6920
59.6829,-1.6028,-1.6552,-1.6552,1.6552
60.2791,-1.5988,-1.6188,-1.6188,1.6188
60.8812,-1.6784,-1.5823,-1.5823,1.5823
61.4893,-1.5685,-1.5438,-1.5438,1.5438
62.1035,-1.4450,-1.5048,-1.5048,1.5048
62.7239,-1.3949,-1.4670,-1.4670,1.4670
63.3504,-1.4337,-1.4310,-1.4310,1.4310
63.9832,-1.4832,-1.3963,-1.3963,1.3963
64.6223,-1.2915,-1.3618,-1.3618,1.3618
65.2678,-1.1990,-1.3303,-1.3303,1.3303
65.9198,-1.2332,-1.3027,-1.3027,1.3027
66.5782,-1.2744,-1.2782,-1.2782,1.2782
67.2433,-1.2800,-1.2556,-1.2556,1.2556
67.9149,-1.2456,-1.2344,-1.2344,1.2344
68.5933,-1.1800,-1.2151,-1.2151,1.2151
69.2785,-1.1440,-1.1991,-1.1991,1.1991
69.9705,-1.1400,-1.1860,-1.1860,1.1860
70.6694,-1.1400,-1.1759,-1.1759,1.1759
71.3753,-1.1400,-1.1689,-1.1689,1.1689
72.0883,-1.1400,-1.1651,-1.1651,1.1651
72.8083,-1.1400,-1.1640,-1.1640,1.1640
73.5356,-1.1400,-1.1642,-1.1642,1.1642
74.2701,-1.1400,-1.1657,-1.1657,1.1657
75.0120,-1.1400,-1.1692,-1.1692,1.1692
75.7613,-1.1400,-1.1752,-1.1752,1.1752
76.5180,-1.1400,-1.1835,-1.1835,1.1835
77.2824,-1.1485,-1.1940,-1.1940,1.1940
78.0543,-1.1925,-1.2060,-1.2060,1.2060
78.8340,-1.2936,-1.2187,-1.2187,1.2187
79.6214,-1.2845,-1.2306,-1.2306,1.2306
80.4168,-1.2546,-1.2418,-1.2418,1.2418
81.2200,-1.2164,-1.2527,-1.2527,1.2527
82.0313,-1.1848,-1.2642,-1.2642,1.2642
82.8507,-1.2811,-1.2773,-1.2773,1.2773
83.6783,-1.3252,-1.2906,-1.2906,1.2906
84.5141,-1.3384,-1.3035,-1.3035,1.3035
85.3583,-1.3400,-1.3155,-1.3155,1.3155
86.2109,-1.3400,-1.3267,-1.3267,1.3267
87.0721,-1.3400,-1.3371,-1.3371,1.3371
87.9418,-1.3400,-1.3470,-1.3470,1.3470
88.8203,-1.3317,-1.3569,-1.3569,1.3569
89.7075,-1.3300,-1.3675,-1.3675,1.3675
90.6035,-1.3300,-1.3789,-1.3789,1.3789
91.5085,-1.4049,-1.3909,-1.3909,1.3909
92.4226,-1.4697,-1.4022,-1.4022,1.4022
93.3458,-1.4553,-1.4121,-1.4121,1.4121
94.2782,-1.4252,-1.4215,-1.4215,1.4215
95.2199,-1.4282,-1.4313,-1.4313,1.4313
96.1711,-1.4300,-1.4414,-1.4414,1.4414
97.1317,-1.4382,-1.4520,-1.4520,1.4520
98.1019,-1.4400,-1.4637,-1.4637,1.4637
99.0818,-1.4564,-1.4770,-1.4770,1.4770
100.0715,-1.4764,-1.4918,-1.4918,1.4918
101.0711,-1.4964,-1.5078,-1.5078,1.5078
102.0807,-1.5081,-1.5248,-1.5248,1.5248
103.1004,-1.5181,-1.5429,-1.5429,1.5429
104.1302,-1.5363,-1.5625,-1.5625,1.5625
105.1703,-1.5562,-1.5836,-1.5836,1.5836
106.2209,-1.5681,-1.6056,-1.6056,1.6056
107.2819,-1.5537,-1.6283,-1.6283,1.6283
108.3535,-1.6228,-1.6518,-1.6518,1.6518
109.4358,-1.7211,-1.6750,-1.6750,1.6750
110.5289,-1.7642,-1.6965,-1.6965,1.6965
