frequency,raw,smoothed,error,equalization
20.0000,0.3200,0.5309,0.5309,-0.5309
20.1998,0.3799,0.5555,0.5555,-0.5555
20.4015,0.4404,0.5837,0.5837,-0.5837
20.6053,0.4987,0.6146,0.6146,-0.6146
20.8112,0.5603,0.6478,0.6478,-0.6478
21.0190,0.6197,0.6832,0.6832,-0.6832
21.2290,0.6797,0.7207,0.7207,-0.7207
21.4410,0.7303,0.7604,0.7604,-0.7604
21.6552,0.7887,0.8026,0.8026,-0.8026
21.8715,0.8503,0.8475,0.8475,-0.8475
22.0900,0.9000,0.8953,0.8953,-0.8953
22.3106,0.9502,0.9467,0.9467,-0.9467
22.5335,1.0083,1.0005,1.0005,-1.0005
22.7586,1.0597,1.0536,1.0536,-1.0536
22.9859,1.1091,1.1062,1.1062,-1.1062
23.2155,1.1590,1.1583,1.1583,-1.1583
23.4474,1.2193,1.2099,1.2099,-1.2099
23.6816,1.2683,1.2609,1.2609,-1.2609
23.9182,1.3196,1.3115,1.3115,-1.3115
24.1571,1.3694,1.3616,1.3616,-1.3616
24.3984,1.4197,1.4113,1.4113,-1.4113
24.6421,1.4587,1.4606,1.4606,-1.4606
24.8882,1.5096,1.5097,1.5097,-1.5097
25.1368,1.5594,1.5585,1.5585,-1.5585
25.3879,1.6096,1.6072,1.6072,-1.6072
25.6415,1.6584,1.6557,1.6557,-1.6557
25.8976,1.7076,1.7042,1.7042,-1.7042
26.1563,1.7494,1.7526,1.7526,-1.7526
26.4176,1.7977,1.8011,1.8011,-1.8011
26.6815,1.8484,1.8498,1.8498,-1.8498
26.9480,1.8978,1.8987,1.8987,-1.8987
27.2172,1.9476,1.9478,1.9478,-1.9478
27.4890,1.9884,1.9972,1.9972,-1.9972
27.7636,2.0388,2.0470,2.0470,-2.0470
28.0409,2.0884,2.0972,2.0972,-2.0972
28.3210,2.1384,2.1478,2.1478,-2.1478
28.6039,2.1967,2.1988,2.1988,-2.1988
28.8896,2.2482,2.2502,2.2502,-2.2502
29.1782,2.2980,2.3018,2.3018,-2.3018
29.4697,2.3482,2.3539,2.3539,-2.3539
29.7640,2.4068,2.4062,2.4062,-2.4062
30.0613,2.4569,2.4588,2.4588,-2.4588
30.3616,2.5069,2.5118,2.5118,-2.5118
30.6649,2.5670,2.5651,2.5651,-2.5651
30.9712,2.6170,2.6186,2.6186,-2.6186
31.2806,2.6669,2.6724,2.6724,-2.6724
31.5930,2.7267,2.7265,2.7265,-2.7265
31.9086,2.7767,2.7809,2.7809,-2.7809
32.2273,2.8280,2.8355,2.8355,-2.8355
32.5492,2.8862,2.8906,2.8906,-2.8906
32.8744,2.9376,2.9460,2.9460,-2.9460
33.2027,2.9969,3.0019,3.0019,-3.0019
33.5344,3.0572,3.0581,3.0581,-3.0581
33.8694,3.1070,3.1146,3.1146,-3.1146
34.2077,3.1661,3.1715,3.1715,-3.1715
34.5494,3.2264,3.2289,3.2289,-3.2289
34.8945,3.2856,3.2865,3.2865,-3.2865
35.2430,3.3454,3.3444,3.3444,-3.3444
35.5951,3.3964,3.4026,3.4026,-3.4026
35.9506,3.4567,3.4611,3.4611,-3.4611
36.3097,3.5166,3.5199,3.5199,-3.5199
36.6724,3.5755,3.5788,3.5788,-3.5788
37.0387,3.6365,3.6378,3.6378,-3.6378
37.4087,3.6965,3.6969,3.6969,-3.6969
37.7824,3.7556,3.7560,3.7560,-3.7560
38.1598,3.8152,3.8150,3.8150,-3.8150
38.5409,3.8754,3.8739,3.8739,-3.8739
38.9259,3.9362,3.9325,3.9325,-3.9325
39.3147,3.9961,3.9907,3.9907,-3.9907
39.7074,4.0551,4.0485,4.0485,-4.0485
40.1041,4.1146,4.1058,4.1058,-4.1058
40.5046,4.1747,4.1625,4.1625,-4.1625
