frequency,raw,smoothed,error,equalization
20.0000,4.3900,4.3143,4.3143,-4.3143
20.1998,4.3700,4.3047,4.3047,-4.3047
20.4015,4.3499,4.2937,4.2937,-4.2937
20.6053,4.3304,4.2814,4.2814,-4.2814
20.8112,4.3098,4.2677,4.2677,-4.2677
21.0190,4.2801,4.2527,4.2527,-4.2527
21.2290,4.2601,4.2363,4.2363,-4.2363
21.4410,4.2399,4.2183,4.2183,-4.2183
21.6552,4.2107,4.1985,4.1985,-4.1985
21.8715,4.1899,4.1767,4.1767,-4.1767
22.0900,4.1700,4.1524,4.1524,-4.1524
22.3106,4.1399,4.1253,4.1253,-4.1253
22.5335,4.1206,4.0956,4.0956,-4.0956
22.7586,4.0902,4.0642,4.0642,-4.0642
22.9859,4.0605,4.0311,4.0311,-4.0311
23.2155,4.0208,3.9962,3.9962,-3.9962
23.4474,3.9805,3.9596,3.9596,-3.9596
23.6816,3.9414,3.9212,3.9212,-3.9212
23.9182,3.9003,3.8811,3.8811,-3.8811
24.1571,3.8605,3.8395,3.8395,-3.8395
24.3984,3.8103,3.7964,3.7964,-3.7964
24.6421,3.7713,3.7520,3.7520,-3.7520
24.8882,3.7204,3.7064,3.7064,-3.7064
25.1368,3.6706,3.6599,3.6599,-3.6599
25.3879,3.6204,3.6126,3.6126,-3.6126
25.6415,3.5620,3.5646,3.5646,-3.5646
25.8976,3.5124,3.5163,3.5163,-3.5163
26.1563,3.4607,3.4677,3.4677,-3.4677
26.4176,3.4123,3.4189,3.4189,-3.4189
26.6815,3.3616,3.3699,3.3699,-3.3699
26.9480,3.3218,3.3206,3.3206,-3.3206
27.2172,3.2724,3.2710,3.2710,-3.2710
27.4890,3.2316,3.2210,3.2210,-3.2210
27.7636,3.1812,3.1705,3.1705,-3.1705
28.0409,3.1316,3.1194,3.1194,-3.1194
28.3210,3.0816,3.0679,3.0679,-3.0679
28.6039,3.0328,3.0157,3.0157,-3.0157
28.8896,2.9722,2.9629,2.9629,-2.9629
29.1782,2.9220,2.9096,2.9096,-2.9096
29.4697,2.8621,2.8558,2.8558,-2.8558
29.7640,2.8032,2.8016,2.8016,-2.8016
30.0613,2.7437,2.7473,2.7473,-2.7473
30.3616,2.6931,2.6932,2.6932,-2.6932
30.6649,2.6330,2.6393,2.6393,-2.6393
30.9712,2.5736,2.5859,2.5859,-2.5859
31.2806,2.5231,2.5333,2.5333,-2.5333
31.5930,2.4633,2.4817,2.4817,-2.4817
31.9086,2.4133,2.4313,2.4313,-2.4313
32.2273,2.3620,2.3824,2.3824,-2.3824
32.5492,2.3131,2.3349,2.3349,-2.3349
32.8744,2.2624,2.2892,2.2892,-2.2892
33.2027,2.2221,2.2453,2.2453,-2.2453
33.5344,2.1819,2.2032,2.2032,-2.2032
33.8694,2.1424,2.1629,2.1629,-2.1629
34.2077,2.1026,2.1244,2.1244,-2.1244
34.5494,2.0624,2.0880,2.0880,-2.0880
34.8945,2.0322,2.0535,2.0535,-2.0535
35.2430,2.0023,2.0210,2.0210,-2.0210
35.5951,1.9721,1.9904,1.9904,-1.9904
35.9506,1.9417,1.9617,1.9617,-1.9617
36.3097,1.9117,1.9351,1.9351,-1.9351
36.6724,1.8915,1.9105,1.9105,-1.9105
37.0387,1.8618,1.8879,1.8879,-1.8879
37.4087,1.8412,1.8674,1.8674,-1.8674
37.7824,1.8215,1.8492,1.8492,-1.8492
38.1598,1.8108,1.8331,1.8331,-1.8331
38.5409,1.7915,1.8193,1.8193,-1.8193
38.9259,1.7806,1.8079,1.8079,-1.8079
39.3147,1.7706,1.7988,1.7988,-1.7988
39.7074,1.7608,1.7921,1.7921,-1.7921
40.1041,1.7600,1.7880,1.7880,-1.7880
40.5046,1.7600,1.7863,1.7863,-1.7863
40.9092,1.7600,1.7870,1.7870,-1.7870
41.3179,1.7600,1.7900,1.7900,-1.7900
41.7306,1.7693,1.7954,1.7954,-1.7954
42.1474,1.7700,1.8030,1.8030,-1.8030
42.5684,1.7885,1.8128,1.8128,-1.8128
42.9936,1.7992,1.8245,1.8245,-1.8245
