frequency,raw,smoothed,error,equalization
20.0000,4.1500,4.3131,4.3131,-4.3131
20.1998,4.1999,4.3311,4.3311,-4.3311
20.4015,4.2504,4.3517,4.3517,-4.3517
20.6053,4.2989,4.3740,4.3740,-4.3740
20.8112,4.3402,4.3977,4.3977,-4.3977
21.0190,4.3798,4.4226,4.4226,-4.4226
21.2290,4.4198,4.4488,4.4488,-4.4488
21.4410,4.4602,4.4762,4.4762,-4.4762
21.6552,4.4991,4.5050,4.5050,-4.5050
21.8715,4.5403,4.5351,4.5351,-4.5351
22.0900,4.5800,4.5669,4.5669,-4.5669
22.3106,4.6201,4.6004,4.6004,-4.6004
22.5335,4.6492,4.6347,4.6347,-4.6347
22.7586,4.6798,4.6676,4.6676,-4.6676
22.9859,4.7193,4.6993,4.6993,-4.6993
23.2155,4.7494,4.7297,4.7297,-4.7297
23.4474,4.7797,4.7587,4.7587,-4.7587
23.6816,4.7993,4.7864,4.7864,-4.7864
23.9182,4.8298,4.8130,4.8130,-4.8130
24.1571,4.8498,4.8383,4.8383,-4.8383
24.3984,4.8699,4.8626,4.8626,-4.8626
24.6421,4.8894,4.8859,4.8859,-4.8859
24.8882,4.9198,4.9086,4.9086,-4.9086
25.1368,4.9397,4.9304,4.9304,-4.9304
25.3879,4.9598,4.9516,4.9516,-4.9516
25.6415,4.9793,4.9723,4.9723,-4.9723
25.8976,4.9895,4.9925,4.9925,-4.9925
26.1563,5.0097,5.0124,5.0124,-5.0124
26.4176,5.0386,5.0324,5.0324,-5.0324
26.6815,5.0497,5.0521,5.0521,-5.0521
26.9480,5.0691,5.0719,5.0719,-5.0719
27.2172,5.0890,5.0918,5.0918,-5.0918
27.4890,5.1092,5.1117,5.1117,-5.1117
27.7636,5.1295,5.1317,5.1317,-5.1317
28.0409,5.1494,5.1518,5.1518,-5.1518
28.3210,5.1694,5.1721,5.1721,-5.1721
28.6039,5.1889,5.1925,5.1925,-5.1925
28.8896,5.2093,5.2131,5.2131,-5.2131
29.1782,5.2292,5.2339,5.2339,-5.2339
29.4697,5.2589,5.2549,5.2549,-5.2549
29.7640,5.2789,5.2758,5.2758,-5.2758
30.0613,5.2988,5.2969,5.2969,-5.2969
30.3616,5.3188,5.3179,5.3179,-5.3179
30.6649,5.3390,5.3390,5.3390,-5.3390
30.9712,5.3588,5.3601,5.3601,-5.3601
31.2806,5.3787,5.3813,5.3813,-5.3813
31.5930,5.3989,5.4026,5.4026,-5.4026
31.9086,5.4187,5.4240,5.4240,-5.4240
32.2273,5.4488,5.4454,5.4454,-5.4454
