frequency,raw,smoothed,error,equalization
20.0000,8.8100,8.7079,8.7079,-8.7079
20.1998,8.7900,8.6987,8.6987,-8.6987
20.4015,8.7598,8.6888,8.6888,-8.6888
20.6053,8.7307,8.6787,8.6787,-8.6787
20.8112,8.6898,8.6687,8.6687,-8.6687
21.0190,8.6502,8.6592,8.6592,-8.6592
21.2290,8.6102,8.6509,8.6509,-8.6509
21.4410,8.5700,8.6444,8.6444,-8.6444
21.6552,8.5700,8.6402,8.6402,-8.6402
21.8715,8.5901,8.6384,8.6384,-8.6384
22.0900,8.6000,8.6392,8.6392,-8.6392
22.3106,8.6100,8.6430,8.6430,-8.6430
22.5335,8.6197,8.6509,8.6509,-8.6509
22.7586,8.6299,8.6642,8.6642,-8.6642
22.9859,8.6300,8.6834,8.6834,-8.6834
23.2155,8.6300,8.7087,8.7087,-8.7087
23.4474,8.6399,8.7405,8.7405,-8.7405
23.6816,8.6786,8.7790,8.7790,-8.7790
23.9182,8.7197,8.8236,8.8236,-8.8236
24.1571,8.7694,8.8740,8.8740,-8.8740
24.3984,8.8197,8.9295,8.9295,-8.9295
24.6421,8.9072,8.9901,8.9901,-8.9901
24.8882,9.0093,9.0555,9.0555,-9.0555
25.1368,9.1087,9.1246,9.1246,-9.1246
25.3879,9.2092,9.1967,9.1967,-9.1967
25.6415,9.3067,9.2710,9.2710,-9.2710
25.8976,9.3767,9.3465,9.3465,-9.3465
26.1563,9.4490,9.4224,9.4224,-9.4224
26.4176,9.5263,9.4982,9.4982,-9.4982
26.6815,9.5880,9.5731,9.5731,-9.5731
26.9480,9.6282,9.6469,9.6469,-9.6469
27.2172,9.6967,9.7193,9.7193,-9.7193
27.4890,9.7959,9.7898,9.7898,-9.7898
27.7636,9.8879,9.8569,9.8569,-9.8569
28.0409,9.9481,9.9197,9.9197,-9.9197
28.3210,10.0468,9.9774,9.9774,-9.9774
28.6039,10.1161,10.0288,10.0288,-10.0288
28.8896,10.1585,10.0730,10.0730,-10.0730
29.1782,10.1984,10.1094,10.1094,-10.1094
29.4697,10.2675,10.1375,10.1375,-10.1375
29.7640,10.3079,10.1560,10.1560,-10.1560
30.0613,10.3288,10.1642,10.1642,-10.1642
30.3616,10.3394,10.1613,10.1613,-10.1613
30.6649,10.3305,10.1467,10.1467,-10.1467
30.9712,10.2830,10.1200,10.1200,-10.1200
31.2806,10.2050,10.0819,10.0819,-10.0819
31.5930,10.1338,10.0335,10.0335,-10.0335
31.9086,10.0647,9.9758,9.9758,-9.9758
32.2273,9.9833,9.9098,9.9098,-9.9098
32.5492,9.9050,9.8368,9.8368,-9.8368
32.8744,9.8334,9.7576,9.7576,-9.7576
33.2027,9.7352,9.6733,9.6733,-9.6733
33.5344,9.6157,9.5855,9.5855,-9.5855
33.8694,9.5161,9.4956,9.4956,-9.4956
34.2077,9.3885,9.4052,9.4052,-9.4052
34.5494,9.2485,9.3158,9.3158,-9.3158
34.8945,9.1566,9.2292,9.2292,-9.2292
35.2430,9.0669,9.1463,9.1463,-9.1463
35.5951,8.9857,9.0676,9.0676,-9.0676
35.9506,8.9233,8.9938,8.9938,-8.9938
36.3097,8.8445,8.9254,8.9254,-8.9254
36.6724,8.7845,8.8627,8.8627,-8.8627
37.0387,8.7330,8.8061,8.8061,-8.8061
37.4087,8.6829,8.7555,8.7555,-8.7555
37.7824,8.6336,8.7105,8.7105,-8.7105
38.1598,8.6024,8.6705,8.6705,-8.6705
38.5409,8.5723,8.6347,8.6347,-8.6347
38.9259,8.5606,8.6024,8.6024,-8.6024
39.3147,8.5413,8.5725,8.5725,-8.5725
39.7074,8.5308,8.5446,8.5446,-8.5446
40.1041,8.5300,8.5182,8.5182,-8.5182
40.5046,8.5300,8.4928,8.4928,-8.4928
40.9092,8.5208,8.4682,8.4682,-8.4682
41.3179,8.5016,8.4440,8.4440,-8.4440
41.7306,8.4629,8.4202,8.4202,-8.4202
42.1474,8.4047,8.3975,8.3975,-8.3975
42.5684,8.3538,8.3765,8.3765,-8.3765
42.9936,8.2951,8.3579,8.3579,-8.3579
43.4231,8.2534,8.3428,8.3428,-8.3428
43.8568,8.2320,8.3318,8.3318,-8.3318
44.2949,8.2208,8.3253,8.3253,-8.3253
44.7374,8.2291,8.3234,8.3234,-8.3234
45.1842,8.2480,8.3259,8.3259,-8.3259
45.6356,8.2680,8.3325,8.3325,-8.3325
46.0914,8.2883,8.3425,8.3425,-8.3425
46.5518,8.3169,8.3554,8.3554,-8.3554
47.0168,8.3562,8.3702,8.3702,-8.3702
47.4864,8.3963,8.3857,8.3857,-8.3857
47.9608,8.4359,8.4003,8.4003,-8.4003
48.4398,8.4758,8.4124,8.4124,-8.4124
48.9237,8.5071,8.4204,8.4204,-8.4204
49.4124,8.5281,8.4229,8.4229,-8.4229
49.9059,8.5300,8.4188,8.4188,-8.4188
50.4044,8.5211,8.4072,8.4072,-8.4072
50.9079,8.5021,8.3878,8.3878,-8.3878
51.4164,8.4732,8.3601,8.3601,-8.3601
51.9300,8.4346,8.3241,8.3241,-8.3241
52.4487,8.3947,8.2797,8.2797,-8.2797
52.9726,8.3366,8.2269,8.2269,-8.2269
53.5018,8.2588,8.1661,8.1661,-8.1661
54.0362,8.1706,8.0981,8.0981,-8.0981
54.5759,8.0807,8.0238,8.0238,-8.0238
55.1211,7.9898,7.9439,7.9439,-7.9439
55.6717,7.8922,7.8594,7.8594,-7.8594
56.2278,7.8002,7.7710,7.7710,-7.7710
56.7894,7.7024,7.6795,7.6795,-7.6795
57.3567,7.6013,7.5853,7.5853,-7.5853
57.9296,7.4934,7.4894,7.4894,-7.4894
58.5082,7.3924,7.3923,7.3923,-7.3923
59.0927,7.2916,7.2946,7.2946,-7.2946
59.6829,7.1841,7.1970,7.1970,-7.1970
60.2791,7.0908,7.0999,7.0999,-7.0999
60.8812,6.9929,7.0035,7.0035,-7.0035
61.4893,6.8932,6.9079,6.9079,-6.9079
62.1035,6.7925,6.8135,6.8135,-6.8135
62.7239,6.7011,6.7205,6.7205,-6.7205
63.3504,6.6026,6.6288,6.6288,-6.6288
63.9832,6.5122,6.5386,6.5386,-6.5386
64.6223,6.4310,6.4499,6.4499,-6.4499
65.2678,6.3416,6.3625,6.3625,-6.3625
65.9198,6.2609,6.2763,6.2763,-6.2763
66.5782,6.1811,6.1912,6.1912,-6.1912
67.2433,6.1005,6.1069,6.1069,-6.1069
67.9149,6.0212,6.0231,6.0231,-6.0231
68.5933,5.9414,5.9399,5.9399,-5.9399
69.2785,5.8608,5.8569,5.8569,-5.8569
69.9705,5.7814,5.7739,5.7739,-5.7739
70.6694,5.7015,5.6909,5.6909,-5.6909
71.3753,5.6133,5.6075,5.6075,-5.6075
72.0883,5.5315,5.5238,5.5238,-5.5238
72.8083,5.4427,5.4396,5.4396,-5.4396
73.5356,5.3614,5.3549,5.3549,-5.3549
74.2701,5.2734,5.2696,5.2696,-5.2696
75.0120,5.1917,5.1836,5.1836,-5.1836
75.7613,5.1030,5.0970,5.0970,-5.0970
76.5180,5.0133,5.0095,5.0095,-5.0095
77.2824,4.9322,4.9211,4.9211,-4.9211
78.0543,4.8435,4.8317,4.8317,-4.8317
78.8340,4.7534,4.7411,4.7411,-4.7411
79.6214,4.6635,4.6493,4.6493,-4.6493
80.4168,4.5739,4.5561,4.5561,-4.5561
81.2200,4.4844,4.4614,4.4614,-4.4614
82.0313,4.3859,4.3650,4.3650,-4.3650
82.8507,4.2942,4.2666,4.2666,-4.2666
83.6783,4.1959,4.1662,4.1662,-4.1662
84.5141,4.0878,4.0636,4.0636,-4.0636
85.3583,3.9867,3.9589,3.9589,-3.9589
86.2109,3.8780,3.8521,3.8521,-3.8521
87.0721,3.7687,3.7430,3.7430,-3.7430
87.9418,3.6587,3.6319,3.6319,-3.6319
88.8203,3.5487,3.5188,3.5188,-3.5188
89.7075,3.4306,3.4038,3.4038,-3.4038
90.6035,3.3109,3.2870,3.2870,-3.2870
91.5085,3.1819,3.1687,3.1687,-3.1687
92.4226,3.0605,3.0492,3.0492,-3.0492
93.3458,2.9330,2.9288,2.9288,-2.9288
94.2782,2.8109,2.8077,2.8077,-2.8077
95.2199,2.6833,2.6862,2.6862,-2.6862
96.1711,2.5613,2.5646,2.5646,-2.5646
97.1317,2.4328,2.4430,2.4430,-2.4430
98.1019,2.3118,2.3218,2.3218,-2.3218
99.0818,2.1918,2.2010,2.2010,-2.2010
100.0715,2.0716,2.0810,2.0810,-2.0810
101.0711,1.9515,1.9620,1.9620,-1.9620
102.0807,1.8323,1.8441,1.8441,-1.8441
103.1004,1.7123,1.7274,1.7274,-1.7274
104.1302,1.5921,1.6120,1.6120,-1.6120
