frequency,raw,smoothed,error,equalization
20.0000,2.9100,3.0562,3.0562,-3.0562
20.1998,2.9599,3.0729,3.0729,-3.0729
20.4015,3.0003,3.0921,3.0921,-3.0921
20.6053,3.0391,3.1133,3.1133,-3.1133
20.8112,3.0802,3.1362,3.1362,-3.1362
21.0190,3.1099,3.1607,3.1607,-3.1607
21.2290,3.1498,3.1868,3.1868,-3.1868
21.4410,3.1901,3.2145,3.2145,-3.2145
21.6552,3.2193,3.2440,3.2440,-3.2440
21.8715,3.2603,3.2754,3.2754,-3.2754
22.0900,3.3100,3.3091,3.3091,-3.3091
22.3106,3.3501,3.3452,3.3452,-3.3452
22.5335,3.3889,3.3827,3.3827,-3.3827
22.7586,3.4397,3.4196,3.4196,-3.4196
22.9859,3.4793,3.4558,3.4558,-3.4558
23.2155,3.5094,3.4910,3.4910,-3.4910
23.4474,3.5397,3.5254,3.5254,-3.5254
23.6816,3.5690,3.5589,3.5589,-3.5589
23.9182,3.5998,3.5916,3.5916,-3.5916
24.1571,3.6296,3.6234,3.6234,-3.6234
24.3984,3.6598,3.6544,3.6544,-3.6544
24.6421,3.6891,3.6847,3.6847,-3.6847
24.8882,3.7198,3.7142,3.7142,-3.7142
25.1368,3.7496,3.7430,3.7430,-3.7430
25.3879,3.7798,3.7711,3.7711,-3.7711
25.6415,3.8090,3.7986,3.7986,-3.7986
25.8976,3.8290,3.8255,3.8255,-3.8255
26.1563,3.8596,3.8518,3.8518,-3.8518
26.4176,3.8791,3.8775,3.8775,-3.8775
26.6815,3.9090,3.9026,3.9026,-3.9026
26.9480,3.9291,3.9271,3.9271,-3.9271
27.2172,3.9586,3.9509,3.9509,-3.9509
27.4890,3.9888,3.9740,3.9740,-3.9740
27.7636,4.0095,3.9962,3.9962,-3.9962
28.0409,4.0294,4.0175,4.0175,-4.0175
28.3210,4.0494,4.0378,4.0378,-4.0378
28.6039,4.0689,4.0573,4.0573,-4.0573
28.8896,4.0893,4.0759,4.0759,-4.0759
29.1782,4.0996,4.0935,4.0935,-4.0935
29.4697,4.1193,4.1102,4.1102,-4.1102
29.7640,4.1389,4.1259,4.1259,-4.1259
30.0613,4.1494,4.1405,4.1405,-4.1405
30.3616,4.1688,4.1541,4.1541,-4.1541
30.6649,4.1795,4.1665,4.1665,-4.1665
30.9712,4.1894,4.1779,4.1779,-4.1779
31.2806,4.1994,4.1883,4.1883,-4.1883
31.5930,4.2095,4.1979,4.1979,-4.1979
31.9086,4.2193,4.2066,4.2066,-4.2066
32.2273,4.2296,4.2145,4.2145,-4.2145
32.5492,4.2300,4.2215,4.2215,-4.2215
32.8744,4.2395,4.2277,4.2277,-4.2277
33.2027,4.2400,4.2330,4.2330,-4.2330
33.5344,4.2400,4.2372,4.2372,-4.2372
33.8694,4.2400,4.2404,4.2404,-4.2404
34.2077,4.2400,4.2427,4.2427,-4.2427
34.5494,4.2494,4.2439,4.2439,-4.2439
34.8945,4.2593,4.2441,4.2441,-4.2441
35.2430,4.2692,4.2430,4.2430,-4.2430
35.5951,4.2700,4.2404,4.2404,-4.2404
35.9506,4.2700,4.2364,4.2364,-4.2364
36.3097,4.2606,4.2308,4.2308,-4.2308
36.6724,4.2507,4.2237,4.2237,-4.2237
37.0387,4.2312,4.2151,4.2151,-4.2151
37.4087,4.2112,4.2053,4.2053,-4.2053
37.7824,4.2007,4.1942,4.1942,-4.1942
38.1598,4.1816,4.1818,4.1818,-4.1818
38.5409,4.1708,4.1684,4.1684,-4.1684
38.9259,4.1606,4.1538,4.1538,-4.1538
39.3147,4.1506,4.1381,4.1381,-4.1381
39.7074,4.1316,4.1213,4.1213,-4.1213
40.1041,4.1209,4.1036,4.1036,-4.1036
40.5046,4.1018,4.0848,4.0848,-4.0848
40.9092,4.0815,4.0652,4.0652,-4.0652
41.3179,4.0616,4.0446,4.0446,-4.0446
41.7306,4.0322,4.0231,4.0231,-4.0231
42.1474,4.0116,4.0011,4.0011,-4.0011
42.5684,3.9823,3.9785,3.9785,-3.9785
42.9936,3.9617,3.9556,3.9556,-3.9556
43.4231,3.9326,3.9328,3.9328,-3.9328
43.8568,3.9120,3.9103,3.9103,-3.9103
44.2949,3.8824,3.8884,3.8884,-3.8884
44.7374,3.8528,3.8678,3.8678,-3.8678
45.1842,3.8231,3.8489,3.8489,-3.8489
45.6356,3.8020,3.8321,3.8321,-3.8321
46.0914,3.7726,3.8177,3.8177,-3.8177
46.5518,3.7610,3.8062,3.8062,-3.8062
47.0168,3.7509,3.7975,3.7975,-3.7975
47.4864,3.7409,3.7917,3.7917,-3.7917
47.9608,3.7400,3.7884,3.7884,-3.7884
48.4398,3.7400,3.7875,3.7875,-3.7875
48.9237,3.7490,3.7884,3.7884,-3.7884
49.4124,3.7681,3.7905,3.7905,-3.7905
49.9059,3.7968,3.7929,3.7929,-3.7929
50.4044,3.8089,3.7946,3.7946,-3.7946
50.9079,3.8279,3.7946,3.7946,-3.7946
51.4164,3.8479,3.7919,3.7919,-3.7919
51.9300,3.8588,3.7855,3.7855,-3.7855
52.4487,3.8600,3.7744,3.7744,-3.7744
52.9726,3.8511,3.7578,3.7578,-3.7578
53.5018,3.8322,3.7350,3.7350,-3.7350
54.0362,3.8035,3.7057,3.7057,-3.7057
54.5759,3.7647,3.6697,3.6697,-3.6697
55.1211,3.7155,3.6272,3.6272,-3.6272
55.6717,3.6573,3.5785,3.5785,-3.5785
56.2278,3.5968,3.5240,3.5240,-3.5240
56.7894,3.5287,3.4643,3.4643,-3.4643
57.3567,3.4490,3.3999,3.3999,-3.3999
57.9296,3.3697,3.3317,3.3317,-3.3317
58.5082,3.2724,3.2608,3.2608,-3.2608
59.0927,3.1804,3.1884,3.1884,-3.1884
59.6829,3.0916,3.1157,3.1157,-3.1157
60.2791,3.0096,3.0439,3.0439,-3.0439
60.8812,2.9390,2.9740,2.9740,-2.9740
61.4893,2.8779,2.9069,2.9069,-2.9069
62.1035,2.8088,2.8435,2.8435,-2.8435
62.7239,2.7298,2.7848,2.7848,-2.7848
63.3504,2.6501,2.7320,2.7320,-2.7320
63.9832,2.5795,2.6862,2.6862,-2.6862
64.6223,2.5355,2.6486,2.6486,-2.6486
65.2678,2.5039,2.6199,2.6199,-2.6199
65.9198,2.4741,2.6006,2.6006,-2.6006
66.5782,2.4614,2.5912,2.5912,-2.5912
67.2433,2.4513,2.5920,2.5920,-2.5920
67.9149,2.4586,2.6035,2.6035,-2.6035
68.5933,2.4857,2.6258,2.6258,-2.6258
69.2785,2.5246,2.6590,2.6590,-2.6590
69.9705,2.5729,2.7029,2.7029,-2.7029
70.6694,2.6399,2.7572,2.7572,-2.7572
71.3753,2.7182,2.8213,2.8213,-2.8213
72.0883,2.7985,2.8943,2.8943,-2.8943
72.8083,2.8873,2.9755,2.9755,-2.9755
73.5356,2.9857,3.0643,3.0643,-3.0643
74.2701,3.0937,3.1598,3.1598,-3.1598
75.0120,3.2039,3.2611,3.2611,-3.2611
75.7613,3.3226,3.3673,3.3673,-3.3673
76.5180,3.4508,3.4775,3.4775,-3.4775
77.2824,3.5717,3.5907,3.5907,-3.5907
78.0543,3.6920,3.7060,3.7060,-3.7060
78.8340,3.8207,3.8228,3.8228,-3.8228
79.6214,3.9505,3.9403,3.9403,-3.9403
80.4168,4.0715,4.0578,4.0578,-4.0578
81.2200,4.1991,4.1749,4.1749,-4.1749
82.0313,4.3125,4.2908,4.2908,-4.2908
82.8507,4.4311,4.4054,4.4054,-4.4054
83.6783,4.5425,4.5181,4.5181,-4.5181
84.5141,4.6606,4.6288,4.6288,-4.6288
85.3583,4.7717,4.7370,4.7370,-4.7370
86.2109,4.8736,4.8427,4.8427,-4.8427
87.0721,4.9730,4.9456,4.9456,-4.9456
87.9418,5.0813,5.0458,5.0458,-5.0458
88.8203,5.1747,5.1430,5.1430,-5.1430
89.7075,5.2729,5.2373,5.2373,-5.2373
90.6035,5.3644,5.3286,5.3286,-5.3286
91.5085,5.4549,5.4169,5.4169,-5.4169
92.4226,5.5363,5.5022,5.5022,-5.5022
93.3458,5.6241,5.5843,5.5843,-5.5843
94.2782,5.6978,5.6633,5.6633,-5.6633
95.2199,5.7757,5.7393,5.7393,-5.7393
96.1711,5.8476,5.8121,5.8121,-5.8121
97.1317,5.9095,5.8819,5.8819,-5.8819
98.1019,5.9773,5.9487,5.9487,-5.9487
99.0818,6.0473,6.0125,6.0125,-6.0125
100.0715,6.1092,6.0733,6.0733,-6.0733
101.0711,6.1693,6.1311,6.1311,-6.1311
102.0807,6.2207,6.1859,6.1859,-6.1859
103.1004,6.2707,6.2379,6.2379,-6.2379
104.1302,6.3208,6.2871,6.2871,-6.2871
105.1703,6.3624,6.3336,6.3336,-6.3336
106.2209,6.4105,6.3775,6.3775,-6.3775
107.2819,6.4444,6.4191,6.4191,-6.4191
108.3535,6.4824,6.4583,6.4583,-6.4583
109.4358,6.5143,6.4954,6.4954,-6.4954
110.5289,6.5523,6.5305,6.5305,-6.5305
111.6330,6.5841,6.5638,6.5638,-6.5638
112.7481,6.6141,6.5953,6.5953,-6.5953
113.8743,6.6360,6.6253,6.6253,-6.6253
115.0118,6.6640,6.6541,6.6541,-6.6541
116.1606,6.6940,6.6816,6.6816,-6.6816
117.3209,6.7160,6.7079,6.7079,-6.7079
118.4928,6.7440,6.7332,6.7332,-6.7332
119.6764,6.7659,6.7574,6.7574,-6.7574
120.8718,6.7859,6.7806,6.7806,-6.7806
122.0792,6.8138,6.8029,6.8029,-6.8029
123.2986,6.8359,6.8242,6.8242,-6.8242
124.5302,6.8558,6.8444,6.8444,-6.8444
125.7741,6.8759,6.8635,6.8635,-6.8635
127.0304,6.8959,6.8815,6.8815,-6.8815
128.2993,6.9158,6.8984,6.8984,-6.8984
129.5808,6.9279,6.9140,6.9140,-6.9140
130.8752,6.9458,6.9284,6.9284,-6.9284
132.1825,6.9579,6.9416,6.9416,-6.9416
133.5028,6.9678,6.9535,6.9535,-6.9535
134.8363,6.9779,6.9641,6.9641,-6.9641
136.1832,6.9878,6.9734,6.9734,-6.9734
137.5435,6.9978,6.9814,6.9814,-6.9814
138.9174,7.0000,6.9882,6.9882,-6.9882
140.3050,7.0078,6.9938,6.9938,-6.9938
141.7065,7.0100,6.9981,6.9981,-6.9981
143.1220,7.0100,7.0013,7.0013,-7.0013
144.5516,7.0178,7.0035,7.0035,-7.0035
145.9955,7.0200,7.0045,7.0045,-7.0045
147.4538,7.0200,7.0045,7.0045,-7.0045
148.9267,7.0123,7.0036,7.0036,-7.0036
150.4143,7.0100,7.0018,7.0018,-7.0018
151.9167,7.0100,6.9994,6.9994,-6.9994
153.4342,7.0023,6.9965,6.9965,-6.9965
154.9668,7.0000,6.9931,6.9931,-6.9931
156.5147,6.9923,6.9895,6.9895,-6.9895
158.0781,6.9823,6.9856,6.9856,-6.9856
159.6571,6.9800,6.9817,6.9817,-6.9817
161.2519,6.9724,6.9776,6.9776,-6.9776
162.8626,6.9623,6.9734,6.9734,-6.9734
164.4894,6.9600,6.9689,6.9689,-6.9689
166.1324,6.9600,6.9639,6.9639,-6.9639
167.7919,6.9600,6.9581,6.9581,-6.9581
169.4679,6.9600,6.9511,6.9511,-6.9511
171.1607,6.9600,6.9423,6.9423,-6.9423
172.8704,6.9600,6.9313,6.9313,-6.9313
174.5972,6.9600,6.9174,6.9174,-6.9174
176.3412,6.9525,6.8998,6.8998,-6.8998
178.1026,6.9425,6.8778,6.8778,-6.8778
179.8816,6.9249,6.8506,6.8506,-6.8506
181.6784,6.8975,6.8178,6.8178,-6.8178
183.4932,6.8600,6.7793,6.7793,-6.7793
185.3261,6.8201,6.7356,6.7356,-6.7356
187.1772,6.7727,6.6873,6.6873,-6.6873
189.0469,6.7152,6.6356,6.6356,-6.6356
190.9352,6.6553,6.5817,6.5817,-6.5817
192.8425,6.5804,6.5272,6.5272,-6.5272
194.7687,6.4933,6.4738,6.4738,-6.4738
196.7142,6.3885,6.4235,6.4235,-6.4235
198.6792,6.2711,6.3784,6.3784,-6.3784
200.6637,6.1659,6.3408,6.3408,-6.3408
202.6681,6.0808,6.3126,6.3126,-6.3126
204.6925,6.0453,6.2951,6.2951,-6.2951
206.7371,6.0474,6.2888,6.2888,-6.2888
208.8022,6.0794,6.2935,6.2935,-6.2935
210.8879,6.1341,6.3085,6.3085,-6.3085
212.9944,6.2087,6.3324,6.3324,-6.3324
215.1219,6.2960,6.3636,6.3636,-6.3636
217.2707,6.3859,6.4003,6.4003,-6.4003
