frequency,raw,smoothed,error,equalization
20.0000,-8.1100,-7.7066,-7.7066,7.7066
20.1998,-7.9901,-7.6564,-7.6564,7.6564
20.4015,-7.8792,-7.5984,-7.5984,7.5984
20.6053,-7.7724,-7.5341,-7.5341,7.5341
20.8112,-7.6694,-7.4640,-7.4640,7.4640
21.0190,-7.5605,-7.3884,-7.3884,7.3884
21.2290,-7.4406,-7.3070,-7.3070,7.3070
21.4410,-7.3194,-7.2198,-7.2198,7.2198
21.6552,-7.1928,-7.1263,-7.1263,7.1263
21.8715,-7.0591,-7.0259,-7.0259,7.0259
22.0900,-6.9300,-6.9178,-6.9178,6.9178
22.3106,-6.7896,-6.8009,-6.8009,6.8009
22.5335,-6.6637,-6.6777,-6.6777,6.6777
22.7586,-6.5308,-6.5546,-6.5546,6.5546
22.9859,-6.4023,-6.4316,-6.4316,6.4316
23.2155,-6.2921,-6.3093,-6.3093,6.3093
23.4474,-6.1812,-6.1875,-6.1875,6.1875
23.6816,-6.0738,-6.0666,-6.0666,6.0666
23.9182,-5.9510,-5.9465,-5.9465,5.9465
24.1571,-5.8315,-5.8274,-5.8274,5.8274
24.3984,-5.7108,-5.7093,-5.7093,5.7093
24.6421,-5.5841,-5.5924,-5.5924,5.5924
24.8882,-5.4510,-5.4766,-5.4766,5.4766
25.1368,-5.3315,-5.3621,-5.3621,5.3621
25.3879,-5.2110,-5.2487,-5.2487,5.2487
25.6415,-5.1036,-5.1367,-5.1367,5.1367
25.8976,-5.0048,-5.0257,-5.0257,5.0257
26.1563,-4.9015,-4.9154,-4.9154,4.9154
26.4176,-4.8046,-4.8059,-4.8059,4.8059
26.6815,-4.7033,-4.6969,-4.6969,4.6969
26.9480,-4.6044,-4.5882,-4.5882,4.5882
27.2172,-4.4952,-4.4795,-4.4795,4.4795
27.4890,-4.3845,-4.3708,-4.3708,4.3708
27.7636,-4.2726,-4.2619,-4.2619,4.2619
28.0409,-4.1539,-4.1528,-4.1528,4.1528
28.3210,-4.0435,-4.0435,-4.0435,4.0435
28.6039,-3.9361,-3.9340,-3.9340,3.9340
28.8896,-3.8241,-3.8243,-3.8243,3.8243
29.1782,-3.7145,-3.7146,-3.7146,3.7146
29.4697,-3.6039,-3.6051,-3.6051,3.6051
29.7640,-3.4959,-3.4958,-3.4958,3.4958
30.0613,-3.3775,-3.3869,-3.3869,3.3869
30.3616,-3.2667,-3.2784,-3.2784,3.2784
30.6649,-3.1555,-3.1706,-3.1706,3.1706
30.9712,-3.0467,-3.0634,-3.0634,3.0634
31.2806,-2.9369,-2.9570,-2.9570,2.9570
31.5930,-2.8355,-2.8514,-2.8514,2.8514
31.9086,-2.7367,-2.7463,-2.7463,2.7463
32.2273,-2.6437,-2.6418,-2.6418,2.6418
32.5492,-2.5463,-2.5375,-2.5375,2.5375
32.8744,-2.4449,-2.4334,-2.4334,2.4334
33.2027,-2.3358,-2.3292,-2.3292,2.3292
33.5344,-2.2252,-2.2253,-2.2253,2.2253
33.8694,-2.1167,-2.1216,-2.1216,2.1216
34.2077,-2.0166,-2.0182,-2.0182,2.0182
34.5494,-1.9161,-1.9149,-1.9149,1.9149
34.8945,-1.8080,-1.8117,-1.8117,1.8117
35.2430,-1.7077,-1.7086,-1.7086,1.7086
35.5951,-1.6071,-1.6055,-1.6055,1.6055
35.9506,-1.4961,-1.5026,-1.5026,1.5026
36.3097,-1.3862,-1.4000,-1.4000,1.4000
36.6724,-1.2875,-1.2981,-1.2981,1.2981
37.0387,-1.1859,-1.1969,-1.1969,1.1969
37.4087,-1.0952,-1.0963,-1.0963,1.0963
37.7824,-0.9973,-0.9963,-0.9963,0.9963
38.1598,-0.8980,-0.8968,-0.8968,0.8968
38.5409,-0.7884,-0.7980,-0.7980,0.7980
38.9259,-0.6863,-0.6999,-0.6999,0.6999
39.3147,-0.5865,-0.6028,-0.6028,0.6028
39.7074,-0.4881,-0.5066,-0.5066,0.5066
40.1041,-0.3981,-0.4113,-0.4113,0.4113
40.5046,-0.3080,-0.3168,-0.3168,0.3168
40.9092,-0.2169,-0.2232,-0.2232,0.2232
41.3179,-0.1178,-0.1302,-0.1302,0.1302
