frequency,raw,smoothed,error,equalization
20.0000,-21.3400,-20.9537,-20.9537,18.0000
20.1998,-21.2701,-20.8965,-20.8965,18.0000
20.4015,-21.1894,-20.8301,-20.8301,18.0000
20.6053,-21.1118,-20.7552,-20.7552,18.0000
20.8112,-20.9591,-20.6720,-20.6720,18.0000
21.0190,-20.8007,-20.5812,-20.5812,18.0000
21.2290,-20.6308,-20.4833,-20.4833,18.0000
21.4410,-20.4892,-20.3782,-20.3782,18.0000
21.6552,-20.3237,-20.2654,-20.2654,18.0000
21.8715,-20.1689,-20.1442,-20.1442,18.0000
22.0900,-20.0100,-20.0137,-20.0137,18.0000
22.3106,-19.8696,-19.8726,-19.8726,18.0000
22.5335,-19.7340,-19.7236,-19.7236,18.0000
22.7586,-19.5611,-19.5732,-19.5732,18.0000
22.9859,-19.4225,-19.4226,-19.4226,18.0000
23.2155,-19.2729,-19.2721,-19.2721,18.0000
23.4474,-19.1217,-19.1219,-19.1219,18.0000
23.6816,-18.9752,-18.9719,-18.9719,18.0000
23.9182,-18.8212,-18.8217,-18.8217,18.0000
24.1571,-18.6521,-18.6712,-18.6712,18.0000
24.3984,-18.5109,-18.5206,-18.5206,18.0000
24.6421,-18.3744,-18.3695,-18.3695,18.0000
24.8882,-18.2310,-18.2175,-18.2175,18.0000
25.1368,-18.0819,-18.0643,-18.0643,18.0000
25.3879,-17.9312,-17.9102,-17.9102,17.9102
25.6415,-17.7946,-17.7550,-17.7550,17.7550
25.8976,-17.6376,-17.5986,-17.5986,17.5986
26.1563,-17.4625,-17.4410,-17.4410,17.4410
26.4176,-17.3074,-17.2827,-17.2827,17.2827
26.6815,-17.1356,-17.1238,-17.1238,17.1238
26.9480,-16.9580,-16.9647,-16.9647,16.9647
27.2172,-16.7976,-16.8057,-16.8057,16.8057
27.4890,-16.6173,-16.6469,-16.6469,16.6469
27.7636,-16.4538,-16.4891,-16.4891,16.4891
28.0409,-16.3049,-16.3325,-16.3325,16.3325
28.3210,-16.1451,-16.1773,-16.1773,16.1773
28.6039,-15.9983,-16.0236,-16.0236,16.0236
28.8896,-15.8552,-15.8715,-15.8715,15.8715
29.1782,-15.6965,-15.7211,-15.7211,15.7211
29.4697,-15.5550,-15.5725,-15.5725,15.5725
29.7640,-15.4174,-15.4255,-15.4255,15.4255
30.0613,-15.2693,-15.2798,-15.2798,15.2798
30.3616,-15.1192,-15.1355,-15.1355,15.1355
30.6649,-14.9770,-14.9923,-14.9923,14.9923
30.9712,-14.8385,-14.8502,-14.8502,14.8502
31.2806,-14.7175,-14.7088,-14.7088,14.7088
31.5930,-14.5588,-14.5675,-14.5675,14.5675
31.9086,-14.4194,-14.4266,-14.4266,14.4266
32.2273,-14.2949,-14.2856,-14.2856,14.2856
32.5492,-14.1401,-14.1444,-14.1444,14.1444
32.8744,-14.0064,-14.0029,-14.0029,14.0029
33.2027,-13.8768,-13.8609,-13.8609,13.8609
33.5344,-13.7176,-13.7180,-13.7180,13.7180
33.8694,-13.5973,-13.5745,-13.5745,13.5745
34.2077,-13.4592,-13.4299,-13.4299,13.4299
34.5494,-13.2997,-13.2842,-13.2842,13.2842
34.8945,-13.1602,-13.1375,-13.1375,13.1375
35.2430,-13.0023,-12.9897,-12.9897,12.9897
35.5951,-12.8600,-12.8414,-12.8414,12.8414
35.9506,-12.6894,-12.6924,-12.6924,12.6924
36.3097,-12.5479,-12.5432,-12.5432,12.5432
36.6724,-12.3919,-12.3938,-12.3938,12.3938
37.0387,-12.2389,-12.2443,-12.2443,12.2443
37.4087,-12.0792,-12.0952,-12.0952,12.0952
37.7824,-11.9309,-11.9465,-11.9465,11.9465
38.1598,-11.7819,-11.7984,-11.7984,11.7984
38.5409,-11.6407,-11.6510,-11.6510,11.6510
38.9259,-11.4801,-11.5042,-11.5042,11.5042
39.3147,-11.3391,-11.3583,-11.3583,11.3583
39.7074,-11.2198,-11.2130,-11.2130,11.2130
40.1041,-11.0644,-11.0680,-11.0680,11.0680
40.5046,-10.9224,-10.9233,-10.9233,10.9233
40.9092,-10.7808,-10.7789,-10.7789,10.7789
41.3179,-10.6410,-10.6347,-10.6347,10.6347
41.7306,-10.5000,-10.4904,-10.4904,10.4904
42.1474,-10.3609,-10.3461,-10.3461,10.3461
42.5684,-10.2020,-10.2015,-10.2015,10.2015
42.9936,-10.0618,-10.0569,-10.0569,10.0569
43.4231,-9.9129,-9.9123,-9.9123,9.9123
