frequency,raw,smoothed,error,equalization
20.0000,-16.7400,-16.3387,-16.3387,16.3387
20.1998,-16.6301,-16.2901,-16.2901,16.2901
20.4015,-16.5191,-16.2339,-16.2339,16.2339
20.6053,-16.4027,-16.1716,-16.1716,16.1716
20.8112,-16.2893,-16.1039,-16.1039,16.1039
21.0190,-16.1706,-16.0308,-16.0308,16.0308
21.2290,-16.0605,-15.9524,-15.9524,15.9524
21.4410,-15.9494,-15.8682,-15.8682,15.8682
21.6552,-15.8326,-15.7776,-15.7776,15.7776
21.8715,-15.7192,-15.6798,-15.6798,15.6798
22.0900,-15.6000,-15.5739,-15.5739,15.5739
22.3106,-15.4796,-15.4584,-15.4584,15.4584
22.5335,-15.3537,-15.3358,-15.3358,15.3358
22.7586,-15.2308,-15.2117,-15.2117,15.2117
22.9859,-15.1023,-15.0863,-15.0863,15.0863
23.2155,-14.9725,-14.9596,-14.9596,14.9596
23.4474,-14.8415,-14.8315,-14.8315,14.8315
23.6816,-14.7145,-14.7021,-14.7021,14.7021
23.9182,-14.5810,-14.5714,-14.5714,14.5714
24.1571,-14.4516,-14.4394,-14.4394,14.4394
24.3984,-14.3209,-14.3063,-14.3063,14.3063
24.6421,-14.1941,-14.1719,-14.1719,14.1719
24.8882,-14.0510,-14.0361,-14.0361,14.0361
25.1368,-13.9118,-13.8991,-13.8991,13.8991
25.3879,-13.7712,-13.7609,-13.7609,13.7609
25.6415,-13.6346,-13.6216,-13.6216,13.6216
25.8976,-13.4967,-13.4813,-13.4813,13.4813
26.1563,-13.3521,-13.3398,-13.3398,13.3398
26.4176,-13.2069,-13.1973,-13.1973,13.1973
26.6815,-13.0646,-13.0539,-13.0539,13.0539
26.9480,-12.9262,-12.9095,-12.9095,12.9095
27.2172,-12.7771,-12.7643,-12.7643,12.7643
27.4890,-12.6261,-12.6181,-12.6181,12.6181
27.7636,-12.4735,-12.4712,-12.4712,12.4712
28.0409,-12.3249,-12.3237,-12.3237,12.3237
28.3210,-12.1748,-12.1757,-12.1757,12.1757
28.6039,-12.0283,-12.0272,-12.0272,12.0272
28.8896,-11.8852,-11.8784,-11.8784,11.8784
29.1782,-11.7361,-11.7291,-11.7291,11.7291
29.4697,-11.5853,-11.5795,-11.5795,11.5795
29.7640,-11.4380,-11.4298,-11.4298,11.4298
30.0613,-11.2893,-11.2798,-11.2798,11.2798
30.3616,-11.1298,-11.1296,-11.1296,11.1296
30.6649,-10.9776,-10.9795,-10.9795,10.9795
30.9712,-10.8197,-10.8295,-10.8295,10.8295
31.2806,-10.6694,-10.6797,-10.6797,10.6797
31.5930,-10.5182,-10.5299,-10.5299,10.5299
31.9086,-10.3794,-10.3803,-10.3803,10.3803
32.2273,-10.2261,-10.2307,-10.2307,10.2307
32.5492,-10.0794,-10.0811,-10.0811,10.0811
32.8744,-9.9368,-9.9316,-9.9316,9.9316
33.2027,-9.7878,-9.7820,-9.7820,9.7820
33.5344,-9.6371,-9.6324,-9.6324,9.6324
33.8694,-9.4891,-9.4827,-9.4827,9.4827
34.2077,-9.3399,-9.3329,-9.3329,9.3329
34.5494,-9.1891,-9.1830,-9.1830,9.1830
34.8945,-9.0317,-9.0329,-9.0329,9.0329
35.2430,-8.8816,-8.8827,-8.8827,8.8827
35.5951,-8.7307,-8.7324,-8.7324,8.7324
35.9506,-8.5783,-8.5819,-8.5819,8.5819
36.3097,-8.4285,-8.4313,-8.4313,8.4313
36.6724,-8.2812,-8.2805,-8.2805,8.2805
37.0387,-8.1289,-8.1295,-8.1295,8.1295
