frequency,raw,smoothed,error,equalization
20.0000,0.5100,0.6141,0.6141,-0.6141
20.1998,0.5300,0.6272,0.6272,-0.6272
20.4015,0.5603,0.6425,0.6425,-0.6425
20.6053,0.5991,0.6594,0.6594,-0.6594
20.8112,0.6302,0.6776,0.6776,-0.6776
21.0190,0.6599,0.6971,0.6971,-0.6971
21.2290,0.6899,0.7179,0.7179,-0.7179
21.4410,0.7201,0.7401,0.7401,-0.7401
21.6552,0.7493,0.7638,0.7638,-0.7638
21.8715,0.7803,0.7893,0.7893,-0.7893
22.0900,0.8200,0.8167,0.8167,-0.8167
22.3106,0.8501,0.8462,0.8462,-0.8462
22.5335,0.8792,0.8770,0.8770,-0.8770
22.7586,0.9098,0.9075,0.9075,-0.9075
22.9859,0.9395,0.9375,0.9375,-0.9375
23.2155,0.9694,0.9669,0.9669,-0.9669
23.4474,0.9997,0.9956,0.9956,-0.9956
23.6816,1.0290,1.0236,1.0236,-1.0236
23.9182,1.0697,1.0506,1.0506,-1.0506
24.1571,1.0996,1.0764,1.0764,-1.0764
24.3984,1.1199,1.1007,1.1007,-1.1007
24.6421,1.1491,1.1236,1.1236,-1.1236
24.8882,1.1699,1.1449,1.1449,-1.1449
25.1368,1.1897,1.1648,1.1648,-1.1648
25.3879,1.1999,1.1833,1.1833,-1.1833
25.6415,1.2193,1.2005,1.2005,-1.2005
25.8976,1.2295,1.2164,1.2164,-1.2164
26.1563,1.2497,1.2313,1.2313,-1.2313
26.4176,1.2500,1.2450,1.2450,-1.2450
26.6815,1.2597,1.2579,1.2579,-1.2579
26.9480,1.2696,1.2703,1.2703,-1.2703
27.2172,1.2795,1.2823,1.2823,-1.2823
27.4890,1.2896,1.2940,1.2940,-1.2940
27.7636,1.2998,1.3057,1.3057,-1.3057
28.0409,1.3194,1.3174,1.3174,-1.3174
28.3210,1.3297,1.3292,1.3292,-1.3292
28.6039,1.3394,1.3410,1.3410,-1.3410
28.8896,1.3496,1.3529,1.3529,-1.3529
29.1782,1.3596,1.3648,1.3648,-1.3648
29.4697,1.3793,1.3768,1.3768,-1.3768
29.7640,1.3895,1.3886,1.3886,-1.3886
30.0613,1.3994,1.4003,1.4003,-1.4003
30.3616,1.4094,1.4119,1.4119,-1.4119
30.6649,1.4290,1.4234,1.4234,-1.4234
30.9712,1.4394,1.4346,1.4346,-1.4346
31.2806,1.4587,1.4457,1.4457,-1.4457
31.5930,1.4695,1.4565,1.4565,-1.4565
31.9086,1.4793,1.4673,1.4673,-1.4673
32.2273,1.4800,1.4780,1.4780,-1.4780
32.5492,1.4800,1.4888,1.4888,-1.4888
32.8744,1.4895,1.5000,1.5000,-1.5000
33.2027,1.4995,1.5114,1.5114,-1.5114
33.5344,1.5095,1.5231,1.5231,-1.5231
33.8694,1.5194,1.5351,1.5351,-1.5351
34.2077,1.5387,1.5473,1.5473,-1.5473
34.5494,1.5494,1.5597,1.5597,-1.5597
34.8945,1.5685,1.5719,1.5719,-1.5719
35.2430,1.5885,1.5839,1.5839,-1.5839
35.5951,1.6086,1.5952,1.5952,-1.5952
35.9506,1.6289,1.6055,1.6055,-1.6055
36.3097,1.6394,1.6146,1.6146,-1.6146
36.6724,1.6493,1.6221,1.6221,-1.6221
37.0387,1.6500,1.6280,1.6280,-1.6280
37.4087,1.6594,1.6323,1.6323,-1.6323
37.7824,1.6693,1.6350,1.6350,-1.6350
38.1598,1.6700,1.6360,1.6360,-1.6360
38.5409,1.6700,1.6355,1.6355,-1.6355
38.9259,1.6513,1.6336,1.6336,-1.6336
39.3147,1.6406,1.6308,1.6308,-1.6308
39.7074,1.6216,1.6273,1.6273,-1.6273
40.1041,1.6109,1.6238,1.6238,-1.6238
40.5046,1.6009,1.6206,1.6206,-1.6206
40.9092,1.5908,1.6183,1.6183,-1.6183
41.3179,1.5900,1.6173,1.6173,-1.6173
41.7306,1.5900,1.6180,1.6180,-1.6180
42.1474,1.5992,1.6206,1.6206,-1.6206
42.5684,1.6000,1.6253,1.6253,-1.6253
42.9936,1.6092,1.6321,1.6321,-1.6321
43.4231,1.6191,1.6412,1.6412,-1.6412
43.8568,1.6200,1.6524,1.6524,-1.6524
44.2949,1.6200,1.6656,1.6656,-1.6656
44.7374,1.6381,1.6808,1.6808,-1.6808
45.1842,1.6669,1.6976,1.6976,-1.6976
45.6356,1.6970,1.7156,1.7156,-1.7156
46.0914,1.7366,1.7345,1.7345,-1.7345
46.5518,1.7669,1.7541,1.7541,-1.7541
47.0168,1.7972,1.7740,1.7740,-1.7740
47.4864,1.8181,1.7939,1.7939,-1.7939
47.9608,1.8379,1.8137,1.8137,-1.8137
48.4398,1.8579,1.8332,1.8332,-1.8332
48.9237,1.8600,1.8522,1.8522,-1.8522
49.4124,1.8690,1.8709,1.8709,-1.8709
49.9059,1.8700,1.8893,1.8893,-1.8893
50.4044,1.8878,1.9078,1.9078,-1.9078
50.9079,1.8990,1.9264,1.9264,-1.9264
51.4164,1.9358,1.9453,1.9453,-1.9453
51.9300,1.9754,1.9644,1.9644,-1.9644
52.4487,1.9976,1.9836,1.9836,-1.9836
52.9726,2.0178,2.0028,2.0028,-2.0028
53.5018,2.0200,2.0220,2.0220,-2.0220
54.0362,2.0288,2.0415,2.0415,-2.0415
54.5759,2.0476,2.0615,2.0615,-2.0615
55.1211,2.0678,2.0817,2.0817,-2.0817
55.6717,2.0963,2.1020,2.1020,-2.1020
56.2278,2.1266,2.1220,2.1220,-2.1220
56.7894,2.1475,2.1414,2.1414,-2.1414
