frequency,raw,smoothed,error,equalization
20.0000,-4.8500,-4.7985,-4.7985,4.7985
20.1998,-4.8200,-4.7944,-4.7944,4.7944
20.4015,-4.8197,-4.7897,-4.7897,4.7897
20.6053,-4.7809,-4.7844,-4.7844,4.7844
20.8112,-4.7800,-4.7790,-4.7790,4.7790
21.0190,-4.7800,-4.7734,-4.7734,4.7734
21.2290,-4.7800,-4.7672,-4.7672,4.7672
21.4410,-4.7799,-4.7604,-4.7604,4.7604
21.6552,-4.7604,-4.7527,-4.7527,4.7527
21.8715,-4.7400,-4.7442,-4.7442,4.7442
22.0900,-4.7400,-4.7350,-4.7350,4.7350
22.3106,-4.7400,-4.7250,-4.7250,4.7250
22.5335,-4.7400,-4.7142,-4.7142,4.7142
22.7586,-4.7003,-4.7029,-4.7029,4.7029
22.9859,-4.6902,-4.6914,-4.6914,4.6914
23.2155,-4.6900,-4.6798,-4.6798,4.6798
23.4474,-4.6603,-4.6680,-4.6680,4.6680
23.6816,-4.6503,-4.6562,-4.6562,4.6562
23.9182,-4.6500,-4.6448,-4.6448,4.6448
24.1571,-4.6105,-4.6337,-4.6337,4.6337
24.3984,-4.6100,-4.6235,-4.6235,4.6235
24.6421,-4.6100,-4.6141,-4.6141,4.6141
24.8882,-4.6100,-4.6054,-4.6054,4.6054
25.1368,-4.5903,-4.5971,-4.5971,4.5971
25.3879,-4.5602,-4.5893,-4.5893,4.5893
25.6415,-4.5600,-4.5822,-4.5822,4.5822
25.8976,-4.5600,-4.5756,-4.5756,4.5756
26.1563,-4.5600,-4.5693,-4.5693,4.5693
26.4176,-4.5600,-4.5630,-4.5630,4.5630
26.6815,-4.5600,-4.5566,-4.5566,4.5566
26.9480,-4.5600,-4.5498,-4.5498,4.5498
27.2172,-4.5886,-4.5427,-4.5427,4.5427
27.4890,-4.5708,-4.5345,-4.5345,4.5345
27.7636,-4.5602,-4.5256,-4.5256,4.5256
28.0409,-4.5310,-4.5161,-4.5161,4.5161
28.3210,-4.5010,-4.5063,-4.5063,4.5063
28.6039,-4.4811,-4.4967,-4.4967,4.4967
28.8896,-4.4800,-4.4872,-4.4872,4.4872
29.1782,-4.4704,-4.4779,-4.4779,4.4779
29.4697,-4.4411,-4.4687,-4.4687,4.4687
29.7640,-4.4305,-4.4603,-4.4603,4.4603
30.0613,-4.4300,-4.4528,-4.4528,4.4528
30.3616,-4.4300,-4.4463,-4.4463,4.4463
30.6649,-4.4300,-4.4408,-4.4408,4.4408
30.9712,-4.4300,-4.4364,-4.4364,4.4364
31.2806,-4.4300,-4.4329,-4.4329,4.4329
31.5930,-4.4300,-4.4299,-4.4299,4.4299
31.9086,-4.4300,-4.4272,-4.4272,4.4272
32.2273,-4.4300,-4.4245,-4.4245,4.4245
32.5492,-4.4113,-4.4213,-4.4213,4.4213
32.8744,-4.4100,-4.4178,-4.4178,4.4178
33.2027,-4.4195,-4.4137,-4.4137,4.4137
33.5344,-4.4295,-4.4086,-4.4086,4.4086
33.8694,-4.4300,-4.4022,-4.4022,4.4022
34.2077,-4.4300,-4.3943,-4.3943,4.3943
34.5494,-4.4300,-4.3848,-4.3848,4.3848
34.8945,-4.3929,-4.3733,-4.3733,4.3733
35.2430,-4.3900,-4.3601,-4.3601,4.3601
35.5951,-4.3714,-4.3451,-4.3451,4.3451
35.9506,-4.3417,-4.3283,-4.3283,4.3283
36.3097,-4.3117,-4.3100,-4.3100,4.3100
36.6724,-4.3007,-4.2904,-4.2904,4.2904
37.0387,-4.2624,-4.2693,-4.2693,4.2693
37.4087,-4.2600,-4.2470,-4.2470,4.2470
37.7824,-4.2600,-4.2234,-4.2234,4.2234
38.1598,-4.2232,-4.1980,-4.1980,4.1980
38.5409,-4.1831,-4.1713,-4.1713,4.1713
38.9259,-4.1519,-4.1433,-4.1433,4.1433
39.3147,-4.1126,-4.1143,-4.1143,4.1143
39.7074,-4.0916,-4.0843,-4.0843,4.0843
40.1041,-4.0627,-4.0535,-4.0535,4.0535
40.5046,-4.0509,-4.0218,-4.0218,4.0218
40.9092,-4.0038,-3.9894,-3.9894,3.9894
41.3179,-3.9724,-3.9565,-3.9565,3.9565
41.7306,-3.9422,-3.9234,-3.9234,3.9234
42.1474,-3.8939,-3.8902,-3.8902,3.8902
42.5684,-3.8438,-3.8577,-3.8577,3.8577
42.9936,-3.8125,-3.8263,-3.8263,3.8263
43.4231,-3.7552,-3.7964,-3.7964,3.7964
43.8568,-3.7229,-3.7685,-3.7685,3.7685
44.2949,-3.7016,-3.7428,-3.7428,3.7428
44.7374,-3.6638,-3.7195,-3.7195,3.7195
