frequency,raw,smoothed,error,equalization
20.0000,-12.9700,-12.7200,-12.7200,12.7200
20.1998,-12.9101,-12.6914,-12.6914,12.6914
20.4015,-12.8394,-12.6588,-12.6588,12.6588
20.6053,-12.7618,-12.6232,-12.6232,12.6232
20.8112,-12.6796,-12.5850,-12.5850,12.5850
21.0190,-12.6004,-12.5446,-12.5446,12.5446
21.2290,-12.5303,-12.5020,-12.5020,12.5020
21.4410,-12.4598,-12.4565,-12.4565,12.4565
21.6552,-12.4111,-12.4076,-12.4076,12.4076
21.8715,-12.3497,-12.3541,-12.3541,12.3541
22.0900,-12.3000,-12.2950,-12.2950,12.2950
22.3106,-12.2499,-12.2287,-12.2287,12.2287
22.5335,-12.2014,-12.1562,-12.1562,12.1562
22.7586,-12.1503,-12.0804,-12.0804,12.0804
22.9859,-12.0911,-12.0013,-12.0013,12.0013
23.2155,-12.0214,-11.9192,-11.9192,11.9192
23.4474,-11.9409,-11.8346,-11.8346,11.8346
23.6816,-11.8435,-11.7484,-11.7484,11.7484
23.9182,-11.7210,-11.6614,-11.6614,11.6614
24.1571,-11.5916,-11.5747,-11.5747,11.5747
24.3984,-11.4410,-11.4889,-11.4889,11.4889
24.6421,-11.3044,-11.4050,-11.4050,11.4050
24.8882,-11.1610,-11.3233,-11.3233,11.3233
25.1368,-11.0613,-11.2445,-11.2445,11.2445
25.3879,-10.9807,-11.1690,-11.1690,11.1690
25.6415,-10.9607,-11.0971,-11.0971,11.0971
25.8976,-10.9695,-11.0287,-11.0287,11.0287
26.1563,-10.9897,-10.9630,-10.9630,10.9630
26.4176,-11.0186,-10.8994,-10.8994,10.8994
26.6815,-11.0007,-10.8367,-10.8367,10.8367
26.9480,-10.9522,-10.7741,-10.7741,10.7741
27.2172,-10.8357,-10.7109,-10.7109,10.7109
27.4890,-10.6765,-10.6471,-10.6471,10.6471
27.7636,-10.5235,-10.5830,-10.5830,10.5830
28.0409,-10.3845,-10.5192,-10.5192,10.5192
28.3210,-10.3026,-10.4559,-10.4559,10.4559
28.6039,-10.2528,-10.3933,-10.3933,10.3933
28.8896,-10.2500,-10.3312,-10.3312,10.3312
29.1782,-10.2596,-10.2695,-10.2695,10.2695
29.4697,-10.2696,-10.2077,-10.2077,10.2077
29.7640,-10.2511,-10.1457,-10.1457,10.1457
30.0613,-10.2031,-10.0834,-10.0834,10.0834
30.3616,-10.1155,-10.0208,-10.0208,10.0208
30.6649,-10.0055,-9.9581,-9.9581,9.9581
30.9712,-9.8873,-9.8951,-9.8951,9.8951
31.2806,-9.7863,-9.8317,-9.8317,9.8317
31.5930,-9.6949,-9.7674,-9.7674,9.7674
31.9086,-9.6340,-9.7019,-9.7019,9.7019
32.2273,-9.6012,-9.6347,-9.6347,9.6347
32.5492,-9.5625,-9.5655,-9.5655,9.5655
32.8744,-9.5315,-9.4944,-9.4944,9.4944
33.2027,-9.4826,-9.4214,-9.4214,9.4214
33.5344,-9.4324,-9.3470,-9.3470,9.3470
33.8694,-9.3549,-9.2714,-9.2714,9.2714
