frequency,raw,smoothed,error,equalization
20.0000,-1.4700,-1.6181,-1.6181,1.6181
20.1998,-1.4800,-1.6353,-1.6353,1.6353
20.4015,-1.5104,-1.6546,-1.6546,1.6546
20.6053,-1.5589,-1.6755,-1.6755,1.6755
20.8112,-1.6404,-1.6975,-1.6975,1.6975
21.0190,-1.7097,-1.7199,-1.7199,1.7199
21.2290,-1.7896,-1.7420,-1.7420,1.7420
21.4410,-1.8301,-1.7632,-1.7632,1.7632
21.6552,-1.8496,-1.7837,-1.7837,1.7837
21.8715,-1.8600,-1.8036,-1.8036,1.8036
22.0900,-1.8600,-1.8235,-1.8235,1.8235
22.3106,-1.8600,-1.8440,-1.8440,1.8440
22.5335,-1.8600,-1.8646,-1.8646,1.8646
22.7586,-1.8699,-1.8839,-1.8839,1.8839
22.9859,-1.8896,-1.9023,-1.9023,1.9023
23.2155,-1.9194,-1.9198,-1.9198,1.9198
23.4474,-1.9398,-1.9370,-1.9370,1.9370
23.6816,-1.9497,-1.9541,-1.9541,1.9541
23.9182,-1.9599,-1.9718,-1.9718,1.9718
24.1571,-1.9699,-1.9904,-1.9904,1.9904
24.3984,-1.9799,-2.0100,-2.0100,2.0100
24.6421,-1.9994,-2.0301,-2.0301,2.0301
24.8882,-2.0298,-2.0501,-2.0501,2.0501
25.1368,-2.0596,-2.0689,-2.0689,2.0689
25.3879,-2.0898,-2.0856,-2.0856,2.0856
25.6415,-2.1287,-2.0993,-2.0993,2.0993
25.8976,-2.1586,-2.1092,-2.1092,2.1092
26.1563,-2.1994,-2.1148,-2.1148,2.1148
26.4176,-2.2286,-2.1156,-2.1156,2.1156
26.6815,-2.2397,-2.1111,-2.1111,2.1111
26.9480,-2.2400,-2.1011,-2.1011,2.1011
27.2172,-2.2210,-2.0853,-2.0853,2.0853
27.4890,-2.1624,-2.0637,-2.0637,2.0637
27.7636,-2.0917,-2.0371,-2.0371,2.0371
28.0409,-2.0126,-2.0063,-2.0063,2.0063
28.3210,-1.9422,-1.9724,-1.9724,1.9724
28.6039,-1.8928,-1.9364,-1.9364,1.9364
28.8896,-1.8515,-1.8990,-1.8990,1.8990
29.1782,-1.8308,-1.8608,-1.8608,1.8608
29.4697,-1.8107,-1.8219,-1.8219,1.8219
29.7640,-1.7911,-1.7825,-1.7825,1.7825
30.0613,-1.7619,-1.7428,-1.7428,1.7428
30.3616,-1.7225,-1.7031,-1.7031,1.7031
30.6649,-1.6725,-1.6637,-1.6637,1.6637
30.9712,-1.6324,-1.6253,-1.6253,1.6253
31.2806,-1.5925,-1.5880,-1.5880,1.5880
31.5930,-1.5522,-1.5521,-1.5521,1.5521
31.9086,-1.5220,-1.5180,-1.5180,1.5180
32.2273,-1.4720,-1.4858,-1.4858,1.4858
32.5492,-1.4325,-1.4562,-1.4562,1.4562
32.8744,-1.3729,-1.4296,-1.4296,1.4296
33.2027,-1.3321,-1.4069,-1.4069,1.4069
33.5344,-1.2919,-1.3883,-1.3883,1.3883
33.8694,-1.2712,-1.3744,-1.3744,1.3744
34.2077,-1.2607,-1.3650,-1.3650,1.3650
34.5494,-1.2694,-1.3601,-1.3601,1.3601
34.8945,-1.2978,-1.3592,-1.3592,1.3592
35.2430,-1.3277,-1.3616,-1.3616,1.3616
35.5951,-1.3671,-1.3665,-1.3665,1.3665
35.9506,-1.3983,-1.3734,-1.3734,1.3734
36.3097,-1.4189,-1.3817,-1.3817,1.3817
36.6724,-1.4385,-1.3914,-1.3914,1.3914
37.0387,-1.4400,-1.4020,-1.4020,1.4020
37.4087,-1.4306,-1.4135,-1.4135,1.4135
37.7824,-1.4207,-1.4258,-1.4258,1.4258
38.1598,-1.4200,-1.4386,-1.4386,1.4386
38.5409,-1.4200,-1.4516,-1.4516,1.4516
38.9259,-1.4200,-1.4648,-1.4648,1.4648
39.3147,-1.4200,-1.4785,-1.4785,1.4785
39.7074,-1.4292,-1.4932,-1.4932,1.4932
40.1041,-1.4664,-1.5090,-1.5090,1.5090
40.5046,-1.5156,-1.5257,-1.5257,1.5257
40.9092,-1.5754,-1.5422,-1.5422,1.5422
41.3179,-1.6261,-1.5573,-1.5573,1.5573
41.7306,-1.6486,-1.5697,-1.5697,1.5697
42.1474,-1.6408,-1.5787,-1.5787,1.5787
42.5684,-1.6215,-1.5842,-1.5842,1.5842
42.9936,-1.5925,-1.5860,-1.5860,1.5860
43.4231,-1.6083,-1.5838,-1.5838,1.5838
43.8568,-1.6371,-1.5767,-1.5767,1.5767
44.2949,-1.6767,-1.5634,-1.5634,1.5634
44.7374,-1.6800,-1.5429,-1.5429,1.5429
45.1842,-1.6531,-1.5147,-1.5147,1.5147
45.6356,-1.5779,-1.4791,-1.4791,1.4791
46.0914,-1.4877,-1.4371,-1.4371,1.4371
46.5518,-1.4351,-1.3904,-1.3904,1.3904
47.0168,-1.3938,-1.3398,-1.3398,1.3398
47.4864,-1.3628,-1.2860,-1.2860,1.2860
47.9608,-1.2882,-1.2297,-1.2297,1.2297
48.4398,-1.1905,-1.1720,-1.1720,1.1720
48.9237,-1.0896,-1.1145,-1.1145,1.1145
49.4124,-0.9897,-1.0590,-1.0590,1.0590
49.9059,-0.9176,-1.0072,-1.0072,1.0072
50.4044,-0.8567,-0.9603,-0.9603,0.9603
50.9079,-0.7962,-0.9190,-0.9190,0.9190
51.4164,-0.7453,-0.8838,-0.8838,0.8838
51.9300,-0.7135,-0.8546,-0.8546,0.8546
52.4487,-0.7100,-0.8312,-0.8312,0.8312
52.9726,-0.7189,-0.8132,-0.8132,0.8132
53.5018,-0.7645,-0.8000,-0.8000,0.8000
54.0362,-0.7965,-0.7907,-0.7907,0.7907
54.5759,-0.8176,-0.7841,-0.7841,0.7841
55.1211,-0.8289,-0.7794,-0.7794,0.7794
55.6717,-0.8300,-0.7757,-0.7757,0.7757
56.2278,-0.8123,-0.7725,-0.7725,0.7725
56.7894,-0.8012,-0.7698,-0.7698,0.7698
57.3567,-0.7823,-0.7673,-0.7673,0.7673
57.9296,-0.7536,-0.7650,-0.7650,0.7650
58.5082,-0.7325,-0.7627,-0.7627,0.7627
59.0927,-0.7212,-0.7603,-0.7603,0.7603
59.6829,-0.7113,-0.7575,-0.7575,0.7575
60.2791,-0.7100,-0.7537,-0.7537,0.7537
60.8812,-0.7187,-0.7484,-0.7484,0.7484
61.4893,-0.7374,-0.7407,-0.7407,0.7407
62.1035,-0.7575,-0.7296,-0.7296,0.7296
62.7239,-0.7775,-0.7140,-0.7140,0.7140
63.3504,-0.7975,-0.6929,-0.6929,0.6929
63.9832,-0.8086,-0.6656,-0.6656,0.6656
64.6223,-0.8014,-0.6315,-0.6315,0.6315
65.2678,-0.7651,-0.5907,-0.5907,0.5907
65.9198,-0.7255,-0.5434,-0.5434,0.5434
66.5782,-0.6339,-0.4901,-0.4901,0.4901
67.2433,-0.5158,-0.4321,-0.4321,0.4321
67.9149,-0.3882,-0.3711,-0.3711,0.3711
68.5933,-0.2585,-0.3092,-0.3092,0.3092
69.2785,-0.1448,-0.2484,-0.2484,0.2484
69.9705,-0.0356,-0.1909,-0.1909,0.1909
70.6694,0.0314,-0.1384,-0.1384,0.1384
71.3753,0.0741,-0.0925,-0.0925,0.0925
72.0883,0.0886,-0.0543,-0.0543,0.0543
72.8083,0.0900,-0.0241,-0.0241,0.0241
73.5356,0.0900,-0.0023,-0.0023,0.0023
74.2701,0.0900,0.0115,0.0115,-0.0115
75.0120,0.0815,0.0175,0.0175,-0.0175
75.7613,0.0800,0.0165,0.0165,-0.0165
76.5180,0.0629,0.0095,0.0095,-0.0095
77.2824,0.0431,-0.0023,-0.0023,0.0023
78.0543,0.0145,-0.0176,-0.0176,0.0176
