frequency,raw,smoothed,error,equalization
20.0000,-3.5300,-3.5423,-3.5423,3.5423
20.1998,-3.5300,-3.5442,-3.5442,3.5442
20.4015,-3.5400,-3.5465,-3.5465,3.5465
20.6053,-3.5400,-3.5491,-3.5491,3.5491
20.8112,-3.5401,-3.5522,-3.5522,3.5522
21.0190,-3.5500,-3.5558,-3.5558,3.5558
21.2290,-3.5500,-3.5598,-3.5598,3.5598
21.4410,-3.5500,-3.5645,-3.5645,3.5645
21.6552,-3.5598,-3.5699,-3.5699,3.5699
21.8715,-3.5700,-3.5759,-3.5759,3.5759
22.0900,-3.5700,-3.5827,-3.5827,3.5827
22.3106,-3.5800,-3.5903,-3.5903,3.5903
22.5335,-3.5897,-3.5986,-3.5986,3.5986
22.7586,-3.5999,-3.6073,-3.6073,3.6073
22.9859,-3.6098,-3.6164,-3.6164,3.6164
23.2155,-3.6296,-3.6258,-3.6258,3.6258
23.4474,-3.6399,-3.6352,-3.6352,3.6352
23.6816,-3.6497,-3.6447,-3.6447,3.6447
23.9182,-3.6599,-3.6541,-3.6541,3.6541
24.1571,-3.6699,-3.6634,-3.6634,3.6634
24.3984,-3.6799,-3.6726,-3.6726,3.6726
24.6421,-3.6800,-3.6816,-3.6816,3.6816
24.8882,-3.6899,-3.6906,-3.6906,3.6906
25.1368,-3.6999,-3.6995,-3.6995,3.6995
25.3879,-3.7099,-3.7085,-3.7085,3.7085
25.6415,-3.7197,-3.7174,-3.7174,3.7174
25.8976,-3.7200,-3.7263,-3.7263,3.7263
26.1563,-3.7299,-3.7355,-3.7355,3.7355
26.4176,-3.7395,-3.7450,-3.7450,3.7450
26.6815,-3.7497,-3.7547,-3.7547,3.7547
26.9480,-3.7596,-3.7648,-3.7648,3.7648
27.2172,-3.7695,-3.7751,-3.7751,3.7751
27.4890,-3.7796,-3.7857,-3.7857,3.7857
27.7636,-3.7898,-3.7967,-3.7967,3.7967
28.0409,-3.8094,-3.8078,-3.8078,3.8078
28.3210,-3.8197,-3.8190,-3.8190,3.8190
28.6039,-3.8294,-3.8301,-3.8301,3.8301
28.8896,-3.8396,-3.8413,-3.8413,3.8413
29.1782,-3.8592,-3.8524,-3.8524,3.8524
29.4697,-3.8696,-3.8632,-3.8632,3.8632
29.7640,-3.8795,-3.8737,-3.8737,3.8737
30.0613,-3.8894,-3.8839,-3.8839,3.8839
30.3616,-3.8994,-3.8937,-3.8937,3.8937
30.6649,-3.9095,-3.9031,-3.9031,3.9031
30.9712,-3.9194,-3.9121,-3.9121,3.9121
31.2806,-3.9294,-3.9206,-3.9206,3.9206
31.5930,-3.9300,-3.9287,-3.9287,3.9287
31.9086,-3.9393,-3.9365,-3.9365,3.9365
32.2273,-3.9496,-3.9440,-3.9440,3.9440
32.5492,-3.9500,-3.9513,-3.9513,3.9513
32.8744,-3.9595,-3.9584,-3.9584,3.9584
33.2027,-3.9695,-3.9654,-3.9654,3.9654
33.5344,-3.9700,-3.9724,-3.9724,3.9724
33.8694,-3.9794,-3.9794,-3.9794,3.9794
34.2077,-3.9800,-3.9865,-3.9865,3.9865
34.5494,-3.9894,-3.9939,-3.9939,3.9939
34.8945,-3.9993,-4.0015,-4.0015,4.0015
35.2430,-4.0092,-4.0095,-4.0095,4.0095
35.5951,-4.0100,-4.0177,-4.0177,4.0177
35.9506,-4.0194,-4.0264,-4.0264,4.0264
36.3097,-4.0294,-4.0356,-4.0356,4.0356
36.6724,-4.0393,-4.0452,-4.0452,4.0452
37.0387,-4.0494,-4.0554,-4.0554,4.0554
37.4087,-4.0594,-4.0661,-4.0661,4.0661
37.7824,-4.0693,-4.0774,-4.0774,4.0774
38.1598,-4.0792,-4.0892,-4.0892,4.0892
38.5409,-4.0985,-4.1016,-4.1016,4.1016
38.9259,-4.1094,-4.1146,-4.1146,4.1146
39.3147,-4.1194,-4.1280,-4.1280,4.1280
39.7074,-4.1384,-4.1420,-4.1420,4.1420
40.1041,-4.1491,-4.1565,-4.1565,4.1565
40.5046,-4.1682,-4.1714,-4.1714,4.1714
40.9092,-4.1792,-4.1868,-4.1868,4.1868
41.3179,-4.1984,-4.2027,-4.2027,4.2027
41.7306,-4.2186,-4.2191,-4.2191,4.2191
42.1474,-4.2292,-4.2359,-4.2359,4.2359
42.5684,-4.2485,-4.2533,-4.2533,4.2533
42.9936,-4.2683,-4.2712,-4.2712,4.2712
43.4231,-4.2883,-4.2896,-4.2896,4.2896
43.8568,-4.2990,-4.3086,-4.3086,4.3086
44.2949,-4.3184,-4.3282,-4.3282,4.3282
44.7374,-4.3381,-4.3487,-4.3487,4.3487
45.1842,-4.3580,-4.3699,-4.3699,4.3699
45.6356,-4.3780,-4.3920,-4.3920,4.3920
46.0914,-4.4074,-4.4150,-4.4150,4.4150
46.5518,-4.4279,-4.4387,-4.4387,4.4387
47.0168,-4.4481,-4.4634,-4.4634,4.4634
47.4864,-4.4772,-4.4891,-4.4891,4.4891
47.9608,-4.5069,-4.5156,-4.5156,4.5156
48.4398,-4.5369,-4.5429,-4.5429,4.5429
48.9237,-4.5581,-4.5710,-4.5710,4.5710
49.4124,-4.5871,-4.6000,-4.6000,4.6000
49.9059,-4.6257,-4.6299,-4.6299,4.6299
50.4044,-4.6567,-4.6603,-4.6603,4.6603
50.9079,-4.6869,-4.6914,-4.6914,4.6914
51.4164,-4.7168,-4.7231,-4.7231,4.7231
51.9300,-4.7465,-4.7554,-4.7554,4.7554
52.4487,-4.7853,-4.7884,-4.7884,4.7884
52.9726,-4.8167,-4.8217,-4.8217,4.8217
53.5018,-4.8467,-4.8556,-4.8556,4.8556
54.0362,-4.8853,-4.8900,-4.8900,4.8900
54.5759,-4.9164,-4.9250,-4.9250,4.9250
55.1211,-4.9556,-4.9604,-4.9604,4.9604
55.6717,-4.9951,-4.9963,-4.9963,4.9963
56.2278,-5.0266,-5.0325,-5.0325,5.0325
56.7894,-5.0650,-5.0691,-5.0691,5.0691
57.3567,-5.1055,-5.1061,-5.1061,5.1061
57.9296,-5.1364,-5.1433,-5.1433,5.1433
58.5082,-5.1751,-5.1808,-5.1808,5.1808
59.0927,-5.2154,-5.2185,-5.2185,5.2185
59.6829,-5.2549,-5.2562,-5.2562,5.2562
60.2791,-5.2952,-5.2940,-5.2940,5.2940
60.8812,-5.3348,-5.3317,-5.3317,5.3317
61.4893,-5.3747,-5.3693,-5.3693,5.3693
62.1035,-5.4150,-5.4067,-5.4067,5.4067
62.7239,-5.4463,-5.4437,-5.4437,5.4437
63.3504,-5.4849,-5.4804,-5.4804,5.4804
63.9832,-5.5246,-5.5167,-5.5167,5.5167
64.6223,-5.5559,-5.5525,-5.5525,5.5525
65.2678,-5.5949,-5.5878,-5.5878,5.5878
65.9198,-5.6259,-5.6226,-5.6226,5.6226
66.5782,-5.6644,-5.6567,-5.6567,5.6567
67.2433,-5.6961,-5.6900,-5.6900,5.6900
67.9149,-5.7344,-5.7226,-5.7226,5.7226
68.5933,-5.7657,-5.7543,-5.7543,5.7543
69.2785,-5.7960,-5.7849,-5.7849,5.7849
69.9705,-5.8257,-5.8144,-5.8144,5.8144
70.6694,-5.8557,-5.8427,-5.8427,5.8427
71.3753,-5.8856,-5.8698,-5.8698,5.8698
72.0883,-5.9157,-5.8954,-5.8954,5.8954
72.8083,-5.9372,-5.9195,-5.9195,5.9195
73.5356,-5.9657,-5.9420,-5.9420,5.9420
74.2701,-5.9870,-5.9627,-5.9627,5.9627
75.0120,-6.0071,-5.9817,-5.9817,5.9817
75.7613,-6.0186,-5.9988,-5.9988,5.9988
76.5180,-6.0371,-6.0142,-6.0142,6.0142
77.2824,-6.0485,-6.0277,-6.0277,6.0277
78.0543,-6.0585,-6.0394,-6.0394,6.0394
78.8340,-6.0685,-6.0493,-6.0493,6.0493
79.6214,-6.0785,-6.0575,-6.0575,6.0575
80.4168,-6.0800,-6.0640,-6.0640,6.0640
81.2200,-6.0884,-6.0688,-6.0688,6.0688
82.0313,-6.0900,-6.0720,-6.0720,6.0720
82.8507,-6.0900,-6.0736,-6.0736,6.0736
83.6783,-6.0900,-6.0738,-6.0738,6.0738
84.5141,-6.0900,-6.0725,-6.0725,6.0725
85.3583,-6.0817,-6.0698,-6.0698,6.0698
86.2109,-6.0800,-6.0659,-6.0659,6.0659
87.0721,-6.0717,-6.0608,-6.0608,6.0608
87.9418,-6.0700,-6.0546,-6.0546,6.0546
88.8203,-6.0617,-6.0473,-6.0473,6.0473
89.7075,-6.0517,-6.0391,-6.0391,6.0391
90.6035,-6.0417,-6.0300,-6.0300,6.0300
91.5085,-6.0234,-6.0201,-6.0201,6.0201
92.4226,-6.0117,-6.0095,-6.0095,6.0095
93.3458,-6.0018,-5.9985,-5.9985,5.9985
94.2782,-5.9917,-5.9871,-5.9871,5.9871
95.2199,-5.9736,-5.9752,-5.9752,5.9752
96.1711,-5.9618,-5.9630,-5.9630,5.9630
97.1317,-5.9518,-5.9505,-5.9505,5.9505
98.1019,-5.9418,-5.9378,-5.9378,5.9378
99.0818,-5.9318,-5.9248,-5.9248,5.9248
100.0715,-5.9136,-5.9115,-5.9115,5.9115
101.0711,-5.9018,-5.8981,-5.8981,5.8981
102.0807,-5.8837,-5.8845,-5.8845,5.8845
103.1004,-5.8719,-5.8707,-5.8707,5.8707
104.1302,-5.8618,-5.8569,-5.8569,5.8569
105.1703,-5.8438,-5.8428,-5.8428,5.8428
106.2209,-5.8319,-5.8287,-5.8287,5.8287
107.2819,-5.8137,-5.8144,-5.8144,5.8144
108.3535,-5.8019,-5.8001,-5.8001,5.8001
109.4358,-5.7838,-5.7859,-5.7859,5.7859
110.5289,-5.7719,-5.7717,-5.7717,5.7717
111.6330,-5.7539,-5.7577,-5.7577,5.7577
112.7481,-5.7420,-5.7441,-5.7441,5.7441
113.8743,-5.7240,-5.7307,-5.7307,5.7307
115.0118,-5.7120,-5.7178,-5.7178,5.7178
116.1606,-5.7020,-5.7054,-5.7054,5.7054
117.3209,-5.6840,-5.6935,-5.6935,5.6935
118.4928,-5.6720,-5.6822,-5.6822,5.6822
119.6764,-5.6620,-5.6716,-5.6716,5.6716
120.8718,-5.6521,-5.6618,-5.6618,5.6618
122.0792,-5.6421,-5.6527,-5.6527,5.6527
123.2986,-5.6321,-5.6445,-5.6445,5.6445
124.5302,-5.6300,-5.6371,-5.6371,5.6371
125.7741,-5.6221,-5.6305,-5.6305,5.6305
127.0304,-5.6121,-5.6246,-5.6246,5.6246
128.2993,-5.6100,-5.6195,-5.6195,5.6195
129.5808,-5.6100,-5.6151,-5.6151,5.6151
130.8752,-5.6021,-5.6112,-5.6112,5.6112
132.1825,-5.6000,-5.6079,-5.6079,5.6079
133.5028,-5.6000,-5.6050,-5.6050,5.6050
134.8363,-5.6000,-5.6025,-5.6025,5.6025
136.1832,-5.6000,-5.6002,-5.6002,5.6002
137.5435,-5.6000,-5.5980,-5.5980,5.5980
138.9174,-5.6000,-5.5958,-5.5958,5.5958
140.3050,-5.6000,-5.5936,-5.5936,5.5936
141.7065,-5.5922,-5.5913,-5.5913,5.5913
143.1220,-5.5900,-5.5889,-5.5889,5.5889
144.5516,-5.5900,-5.5863,-5.5863,5.5863
145.9955,-5.5900,-5.5837,-5.5837,5.5837
147.4538,-5.5822,-5.5808,-5.5808,5.5808
148.9267,-5.5800,-5.5779,-5.5779,5.5779
150.4143,-5.5723,-5.5748,-5.5748,5.5748
151.9167,-5.5700,-5.5719,-5.5719,5.5719
153.4342,-5.5700,-5.5690,-5.5690,5.5690
154.9668,-5.5623,-5.5662,-5.5662,5.5662
156.5147,-5.5600,-5.5636,-5.5636,5.5636
158.0781,-5.5600,-5.5614,-5.5614,5.5614
159.6571,-5.5523,-5.5594,-5.5594,5.5594
161.2519,-5.5500,-5.5579,-5.5579,5.5579
162.8626,-5.5500,-5.5570,-5.5570,5.5570
164.4894,-5.5500,-5.5565,-5.5565,5.5565
166.1324,-5.5500,-5.5567,-5.5567,5.5567
167.7919,-5.5500,-5.5575,-5.5575,5.5575
169.4679,-5.5500,-5.5591,-5.5591,5.5591
171.1607,-5.5500,-5.5614,-5.5614,5.5614
172.8704,-5.5576,-5.5647,-5.5647,5.5647
174.5972,-5.5600,-5.5687,-5.5687,5.5687
176.3412,-5.5600,-5.5736,-5.5736,5.5736
178.1026,-5.5675,-5.5795,-5.5795,5.5795
179.8816,-5.5775,-5.5863,-5.5863,5.5863
181.6784,-5.5800,-5.5939,-5.5939,5.5939
183.4932,-5.5875,-5.6022,-5.6022,5.6022
185.3261,-5.5975,-5.6111,-5.6111,5.6111
187.1772,-5.6149,-5.6203,-5.6203,5.6203
189.0469,-5.6275,-5.6295,-5.6295,5.6295
190.9352,-5.6374,-5.6381,-5.6381,5.6381
192.8425,-5.6549,-5.6458,-5.6458,5.6458
194.7687,-5.6674,-5.6518,-5.6518,5.6518
196.7142,-5.6774,-5.6556,-5.6556,5.6556
198.6792,-5.6948,-5.6565,-5.6565,5.6565
200.6637,-5.7074,-5.6538,-5.6538,5.6538
202.6681,-5.7100,-5.6470,-5.6470,5.6470
204.6925,-5.7100,-5.6356,-5.6356,5.6356
206.7371,-5.7026,-5.6193,-5.6193,5.6193
208.8022,-5.6853,-5.5980,-5.5980,5.5980
210.8879,-5.6579,-5.5718,-5.5718,5.5718
212.9944,-5.6207,-5.5410,-5.5410,5.5410
215.1219,-5.5733,-5.5061,-5.5061,5.5061
217.2707,-5.5161,-5.4678,-5.4678,5.4678
219.4410,-5.4489,-5.4269,-5.4269,5.4269
221.6329,-5.3790,-5.3845,-5.3845,5.3845
223.8468,-5.3163,-5.3416,-5.3416,5.3416
226.0827,-5.2565,-5.2992,-5.2992,5.2992
228.3410,-5.2037,-5.2581,-5.2581,5.2581
230.6219,-5.1610,-5.2191,-5.2191,5.2191
232.9255,-5.1211,-5.1826,-5.1826,5.1826
235.2521,-5.0883,-5.1492,-5.1492,5.1492
237.6020,-5.0656,-5.1191,-5.1191,5.1191
239.9754,-5.0528,-5.0922,-5.0922,5.0922
242.3724,-5.0356,-5.0684,-5.0684,5.0684
244.7934,-5.0228,-5.0474,-5.0474,5.0474
247.2386,-5.0128,-5.0289,-5.0289,5.0289
249.7082,-5.0028,-5.0122,-5.0122,5.0122
252.2025,-4.9929,-4.9970,-4.9970,4.9970
254.7217,-4.9829,-4.9828,-4.9828,4.9828
257.2661,-4.9729,-4.9691,-4.9691,4.9691
259.8358,-4.9629,-4.9556,-4.9556,4.9556
262.4313,-4.9529,-4.9420,-4.9420,4.9420
