frequency,raw,smoothed,error,equalization
20.0000,-5.1600,-5.0489,-5.0489,5.0489
20.1998,-5.1400,-5.0275,-5.0275,5.0275
20.4015,-5.1199,-5.0030,-5.0030,5.0030
20.6053,-5.1004,-4.9753,-4.9753,4.9753
20.8112,-5.0898,-4.9444,-4.9444,4.9444
21.0190,-5.0601,-4.9100,-4.9100,4.9100
21.2290,-4.9804,-4.8718,-4.8718,4.8718
21.4410,-4.8896,-4.8303,-4.8303,4.8303
21.6552,-4.8117,-4.7861,-4.7861,4.7861
21.8715,-4.7195,-4.7391,-4.7391,4.7391
22.0900,-4.6500,-4.6895,-4.6895,4.6895
22.3106,-4.5999,-4.6373,-4.6373,4.6373
22.5335,-4.5514,-4.5831,-4.5831,4.5831
22.7586,-4.5003,-4.5293,-4.5293,4.5293
22.9859,-4.4509,-4.4762,-4.4762,4.4762
23.2155,-4.4108,-4.4239,-4.4239,4.4239
23.4474,-4.3606,-4.3723,-4.3723,4.3723
23.6816,-4.3117,-4.3220,-4.3220,4.3220
23.9182,-4.2703,-4.2731,-4.2731,4.2731
24.1571,-4.2206,-4.2254,-4.2254,4.2254
24.3984,-4.1803,-4.1788,-4.1788,4.1788
24.6421,-4.1509,-4.1334,-4.1334,4.1334
24.8882,-4.1103,-4.0891,-4.0891,4.0891
25.1368,-4.0508,-4.0459,-4.0459,4.0459
25.3879,-3.9905,-4.0040,-4.0040,4.0040
25.6415,-3.9320,-3.9633,-3.9633,3.9633
25.8976,-3.8633,-3.9238,-3.9238,3.9238
26.1563,-3.8206,-3.8856,-3.8856,3.8856
26.4176,-3.8009,-3.8488,-3.8488,3.8488
26.6815,-3.7710,-3.8128,-3.8128,3.8128
26.9480,-3.7413,-3.7776,-3.7776,3.7776
27.2172,-3.7400,-3.7431,-3.7431,3.7431
27.4890,-3.7496,-3.7092,-3.7092,3.7092
27.7636,-3.7500,-3.6753,-3.6753,3.6753
28.0409,-3.7403,-3.6411,-3.6411,3.6411
28.3210,-3.6626,-3.6060,-3.6060,3.6060
28.6039,-3.5844,-3.5704,-3.5704,3.5704
28.8896,-3.5126,-3.5342,-3.5342,3.5342
29.1782,-3.4524,-3.4975,-3.4975,3.4975
29.4697,-3.4114,-3.4600,-3.4600,3.4600
29.7640,-3.3627,-3.4217,-3.4217,3.4217
30.0613,-3.3319,-3.3834,-3.3834,3.3834
30.3616,-3.3394,-3.3458,-3.3458,3.3458
30.6649,-3.3400,-3.3084,-3.3084,3.3084
30.9712,-3.3494,-3.2708,-3.2708,3.2708
31.2806,-3.3031,-3.2320,-3.2320,3.2320
31.5930,-3.2527,-3.1924,-3.1924,3.1924
31.9086,-3.1940,-3.1523,-3.1523,3.1523
32.2273,-3.1037,-3.1122,-3.1122,3.1122
32.5492,-3.0063,-3.0726,-3.0726,3.0726
32.8744,-2.9049,-3.0342,-3.0342,3.0342
33.2027,-2.9095,-2.9979,-2.9979,2.9979
33.5344,-2.9576,-2.9632,-2.9632,2.9632
33.8694,-3.0070,-2.9291,-2.9291,2.9291
34.2077,-2.9633,-2.8945,-2.8945,2.8945
34.5494,-2.8567,-2.8599,-2.8599,2.8599
34.8945,-2.7573,-2.8264,-2.8264,2.8264
35.2430,-2.7315,-2.7950,-2.7950,2.7950
35.5951,-2.7393,-2.7657,-2.7657,2.7657
35.9506,-2.7494,-2.7379,-2.7379,2.7379
36.3097,-2.7123,-2.7108,-2.7108,2.7108
36.6724,-2.6730,-2.6843,-2.6843,2.6843
37.0387,-2.6418,-2.6584,-2.6584,2.6584
37.4087,-2.6400,-2.6330,-2.6330,2.6330
37.7824,-2.6400,-2.6082,-2.6082,2.6082
38.1598,-2.6124,-2.5838,-2.5838,2.5838
38.5409,-2.5546,-2.5593,-2.5593,2.5593
