frequency,raw,smoothed,error,equalization
20.0000,-2.2000,-2.0659,-2.0659,2.0659
20.1998,-2.1600,-2.0501,-2.0501,2.0501
20.4015,-2.1197,-2.0316,-2.0316,2.0316
20.6053,-2.0809,-2.0110,-2.0110,2.0110
20.8112,-2.0498,-1.9883,-1.9883,1.9883
21.0190,-2.0102,-1.9636,-1.9636,1.9636
21.2290,-1.9702,-1.9368,-1.9368,1.9368
21.4410,-1.9399,-1.9079,-1.9079,1.9079
21.6552,-1.9107,-1.8765,-1.8765,1.8765
21.8715,-1.8797,-1.8426,-1.8426,1.8426
22.0900,-1.8400,-1.8056,-1.8056,1.8056
22.3106,-1.7799,-1.7655,-1.7655,1.7655
22.5335,-1.7314,-1.7234,-1.7234,1.7234
22.7586,-1.6803,-1.6815,-1.6815,1.6815
22.9859,-1.6211,-1.6399,-1.6399,1.6399
23.2155,-1.5808,-1.5992,-1.5992,1.5992
23.4474,-1.5306,-1.5592,-1.5592,1.5592
23.6816,-1.4817,-1.5201,-1.5201,1.5201
23.9182,-1.4403,-1.4818,-1.4818,1.4818
24.1571,-1.4104,-1.4442,-1.4442,1.4442
24.3984,-1.3901,-1.4074,-1.4074,1.4074
24.6421,-1.3706,-1.3714,-1.3714,1.3714
24.8882,-1.3501,-1.3363,-1.3363,1.3363
25.1368,-1.3204,-1.3022,-1.3022,1.3022
25.3879,-1.2902,-1.2688,-1.2688,1.2688
25.6415,-1.2610,-1.2355,-1.2355,1.2355
25.8976,-1.2314,-1.2020,-1.2020,1.2020
26.1563,-1.1807,-1.1680,-1.1680,1.1680
26.4176,-1.1228,-1.1338,-1.1338,1.1338
26.6815,-1.0523,-1.1001,-1.1001,1.1001
26.9480,-0.9927,-1.0677,-1.0677,1.0677
27.2172,-0.9900,-1.0370,-1.0370,1.0370
27.4890,-0.9996,-1.0080,-1.0080,1.0080
27.7636,-1.0098,-0.9802,-0.9802,0.9802
28.0409,-1.0100,-0.9531,-0.9531,0.9531
28.3210,-0.9422,-0.9262,-0.9262,0.9262
28.6039,-0.8739,-0.8998,-0.8998,0.8998
