frequency,raw,smoothed,error,equalization
20.0000,4.8800,4.6085,4.6085,-4.6085
20.1998,4.8001,4.5790,4.5790,-4.5790
20.4015,4.7194,4.5456,4.5456,-4.5456
20.6053,4.6418,4.5095,4.5095,-4.5095
20.8112,4.5596,4.4716,4.4716,-4.4716
21.0190,4.4903,4.4323,4.4323,-4.4323
21.2290,4.4203,4.3919,4.3919,-4.3919
21.4410,4.3497,4.3504,4.3504,-4.3504
21.6552,4.2913,4.3078,4.3078,-4.3078
21.8715,4.2297,4.2642,4.2642,-4.2642
22.0900,4.1800,4.2195,4.2195,-4.2195
22.3106,4.1299,4.1733,4.1733,-4.1733
22.5335,4.0814,4.1276,4.1276,-4.1276
22.7586,4.0403,4.0859,4.0859,-4.0859
22.9859,4.0007,4.0483,4.0483,-4.0483
23.2155,3.9706,4.0149,4.0149,-4.0149
23.4474,3.9403,3.9857,3.9857,-3.9857
23.6816,3.9110,3.9607,3.9607,-3.9607
23.9182,3.8902,3.9402,3.9402,-3.9402
24.1571,3.8702,3.9240,3.9240,-3.9240
24.3984,3.8601,3.9124,3.9124,-3.9124
24.6421,3.8503,3.9052,3.9052,-3.9052
24.8882,3.8500,3.9027,3.9027,-3.9027
25.1368,3.8500,3.9047,3.9047,-3.9047
25.3879,3.8599,3.9115,3.9115,-3.9115
25.6415,3.8697,3.9229,3.9229,-3.9229
25.8976,3.8890,3.9389,3.9389,-3.9389
26.1563,3.9097,3.9597,3.9597,-3.9597
26.4176,3.9291,3.9851,3.9851,-3.9851
26.6815,3.9590,4.0154,4.0154,-4.0154
26.9480,3.9982,4.0504,4.0504,-4.0504
27.2172,4.0381,4.0901,4.0901,-4.0901
27.4890,4.0784,4.1345,4.1345,-4.1345
27.7636,4.1288,4.1835,4.1835,-4.1835
28.0409,4.1881,4.2372,4.2372,-4.2372
28.3210,4.2384,4.2953,4.2953,-4.2953
28.6039,4.3061,4.3579,4.3579,-4.3579
28.8896,4.3774,4.4248,4.4248,-4.4248
29.1782,4.4472,4.4957,4.4957,-4.4957
29.4697,4.5272,4.5707,4.5707,-4.5707
29.7640,4.6057,4.6493,4.6493,-4.6493
30.0613,4.6944,4.7316,4.7316,-4.7316
30.3616,4.7845,4.8171,4.8171,-4.8171
30.6649,4.8755,4.9057,4.9057,-4.9057
30.9712,4.9739,4.9972,4.9972,-4.9972
31.2806,5.0644,5.0911,5.0911,-5.0911
31.5930,5.1645,5.1873,5.1873,-5.1873
31.9086,5.2633,5.2854,5.2854,-5.2854
32.2273,5.3659,5.3852,5.3852,-5.3852
32.5492,5.4731,5.4864,5.4864,-5.4864
32.8744,5.5751,5.5884,5.5884,-5.5884
33.2027,5.6842,5.6910,5.6910,-5.6910
33.5344,5.7948,5.7936,5.7936,-5.7936
33.8694,5.9033,5.8958,5.8958,-5.8958
34.2077,6.0128,5.9969,5.9969,-5.9969
34.5494,6.1233,6.0966,6.0966,-6.0966
34.8945,6.2227,6.1940,6.1940,-6.1940
35.2430,6.3223,6.2887,6.2887,-6.2887
35.5951,6.4229,6.3801,6.3801,-6.3801
35.9506,6.5245,6.4673,6.4673,-6.4673
36.3097,6.6149,6.5498,6.5498,-6.5498
36.6724,6.6940,6.6268,6.6268,-6.6268
37.0387,6.7753,6.6978,6.6978,-6.6978
37.4087,6.8460,6.7620,6.7620,-6.7620
37.7824,6.9149,6.8191,6.8191,-6.8191
38.1598,6.9660,6.8683,6.8683,-6.8683
38.5409,7.0162,6.9093,6.9093,-6.9093
38.9259,7.0481,6.9417,6.9417,-6.9417
39.3147,7.0781,6.9652,6.9652,-6.9652
39.7074,7.0892,6.9794,6.9794,-6.9794
40.1041,7.0991,6.9843,6.9843,-6.9843
40.5046,7.0909,6.9799,6.9799,-6.9799
40.9092,7.0808,6.9662,6.9662,-6.9662
41.3179,7.0524,6.9432,6.9432,-6.9432
41.7306,7.0129,6.9112,6.9112,-6.9112
42.1474,6.9731,6.8705,6.8705,-6.8705
42.5684,6.9145,6.8214,6.8214,-6.8214
42.9936,6.8551,6.7644,6.7644,-6.7644
43.4231,6.7769,6.7000,6.7000,-6.7000
43.8568,6.6978,6.6288,6.6288,-6.6288
44.2949,6.6165,6.5513,6.5513,-6.5513
44.7374,6.5285,6.4681,6.4681,-6.4681
45.1842,6.4302,6.3798,6.3798,-6.3798
45.6356,6.3299,6.2871,6.2871,-6.2871
46.0914,6.2194,6.1906,6.1906,-6.1906
46.5518,6.1203,6.0909,6.0909,-6.0909
47.0168,6.0103,5.9886,5.9886,-5.9886
47.4864,5.9002,5.8842,5.8842,-5.8842
47.9608,5.7823,5.7783,5.7783,-5.7783
48.4398,5.6715,5.6714,5.6714,-5.6714
48.9237,5.5606,5.5640,5.5640,-5.5640
49.4124,5.4507,5.4564,5.4564,-5.4564
49.9059,5.3419,5.3491,5.3491,-5.3491
50.4044,5.2322,5.2423,5.2423,-5.2423
50.9079,5.1215,5.1364,5.1364,-5.1364
51.4164,5.0116,5.0315,5.0315,-5.0315
51.9300,4.9115,4.9280,4.9280,-4.9280
52.4487,4.8030,4.8260,4.8260,-4.8260
52.9726,4.7010,4.7257,4.7257,-4.7257
53.5018,4.6010,4.6273,4.6273,-4.6273
54.0362,4.5106,4.5308,4.5308,-4.5308
54.5759,4.4119,4.4362,4.4362,-4.4362
55.1211,4.3198,4.3436,4.3436,-4.3436
55.6717,4.2310,4.2531,4.2531,-4.2531
56.2278,4.1402,4.1645,4.1645,-4.1645
56.7894,4.0511,4.0780,4.0780,-4.0780
57.3567,3.9690,3.9937,3.9937,-3.9937
57.9296,3.8897,3.9113,3.9113,-3.9113
58.5082,3.8099,3.8309,3.8309,-3.8309
59.0927,3.7293,3.7524,3.7524,-3.7524
59.6829,3.6590,3.6759,3.6759,-3.6759
60.2791,3.5796,3.6010,3.6010,-3.6010
60.8812,3.5090,3.5280,3.5280,-3.5280
61.4893,3.4393,3.4567,3.4567,-3.4567
62.1035,3.3688,3.3871,3.3871,-3.3871
62.7239,3.2986,3.3191,3.3191,-3.3191
63.3504,3.2376,3.2528,3.2528,-3.2528
63.9832,3.1695,3.1879,3.1879,-3.1879
64.6223,3.1082,3.1245,3.1245,-3.1245
65.2678,3.0477,3.0625,3.0625,-3.0625
65.9198,2.9882,3.0020,3.0020,-3.0020
66.5782,2.9283,2.9427,2.9427,-2.9427
67.2433,2.8679,2.8847,2.8847,-2.8847
67.9149,2.8170,2.8280,2.8280,-2.8280
68.5933,2.7585,2.7725,2.7725,-2.7725
69.2785,2.7067,2.7181,2.7181,-2.7181
69.9705,2.6571,2.6647,2.6647,-2.6647
70.6694,2.5986,2.6122,2.6122,-2.6122
71.3753,2.5474,2.5607,2.5607,-2.5607
72.0883,2.4972,2.5101,2.5101,-2.5101
72.8083,2.4556,2.4603,2.4603,-2.4603
73.5356,2.4072,2.4112,2.4112,-2.4112
74.2701,2.3574,2.3626,2.3626,-2.3626
75.0120,2.3073,2.3145,2.3145,-2.3145
75.7613,2.2658,2.2670,2.2670,-2.2670
76.5180,2.2174,2.2198,2.2198,-2.2198
77.2824,2.1676,2.1730,2.1730,-2.1730
78.0543,2.1260,2.1266,2.1266,-2.1266
78.8340,2.0774,2.0804,2.0804,-2.0804
79.6214,2.0360,2.0346,2.0346,-2.0346
80.4168,1.9877,1.9888,1.9888,-1.9888
81.2200,1.9380,1.9433,1.9433,-1.9433
82.0313,1.8964,1.8980,1.8980,-1.8980
82.8507,1.8479,1.8529,1.8529,-1.8529
83.6783,1.8063,1.8080,1.8080,-1.8080
84.5141,1.7581,1.7634,1.7634,-1.7634
85.3583,1.7167,1.7189,1.7189,-1.7189
86.2109,1.6765,1.6746,1.6746,-1.6746
87.0721,1.6285,1.6305,1.6305,-1.6305
87.9418,1.5868,1.5864,1.5864,-1.5864
88.8203,1.5385,1.5425,1.5425,-1.5425
89.7075,1.4969,1.4987,1.4987,-1.4987
90.6035,1.4570,1.4552,1.4552,-1.4552
91.5085,1.4084,1.4117,1.4117,-1.4117
92.4226,1.3668,1.3683,1.3683,-1.3683
93.3458,1.3271,1.3250,1.3250,-1.3250
94.2782,1.2787,1.2817,1.2817,-1.2817
95.2199,1.2372,1.2385,1.2385,-1.2385
96.1711,1.1971,1.1953,1.1953,-1.1953
97.1317,1.1488,1.1521,1.1521,-1.1521
98.1019,1.1073,1.1088,1.1088,-1.1088
99.0818,1.0673,1.0655,1.0655,-1.0655
100.0715,1.0272,1.0220,1.0220,-1.0220
101.0711,0.9789,0.9784,0.9784,-0.9784
102.0807,0.9374,0.9346,0.9346,-0.9346
103.1004,0.8974,0.8906,0.8906,-0.8906
104.1302,0.8492,0.8463,0.8463,-0.8463
105.1703,0.8076,0.8018,0.8018,-0.8018
106.2209,0.7595,0.7569,0.7569,-0.7569
107.2819,0.7175,0.7118,0.7118,-0.7118
108.3535,0.6696,0.6664,0.6664,-0.6664
109.4358,0.6195,0.6207,0.6207,-0.6207
110.5289,0.5777,0.5747,0.5747,-0.5747
111.6330,0.5298,0.5284,0.5284,-0.5284
112.7481,0.4879,0.4819,0.4819,-0.4819
113.8743,0.4400,0.4351,0.4351,-0.4351
115.0118,0.3900,0.3880,0.3880,-0.3880
116.1606,0.3400,0.3408,0.3408,-0.3408
117.3209,0.2979,0.2934,0.2934,-0.2934
118.4928,0.2501,0.2457,0.2457,-0.2457
119.6764,0.2002,0.1978,0.1978,-0.1978
120.8718,0.1503,0.1497,0.1497,-0.1497
122.0792,0.1004,0.1014,0.1014,-0.1014
123.2986,0.0503,0.0530,0.0530,-0.0530
124.5302,0.0084,0.0045,0.0045,-0.0045
125.7741,-0.0397,-0.0441,-0.0441,0.0441
127.0304,-0.0897,-0.0929,-0.0929,0.0929
128.2993,-0.1394,-0.1417,-0.1417,0.1417
129.5808,-0.1895,-0.1906,-0.1906,0.1906
130.8752,-0.2394,-0.2396,-0.2396,0.2396
132.1825,-0.2894,-0.2886,-0.2886,0.2886
133.5028,-0.3392,-0.3375,-0.3375,0.3375
134.8363,-0.3893,-0.3864,-0.3864,0.3864
136.1832,-0.4391,-0.4352,-0.4352,0.4352
137.5435,-0.4891,-0.4839,-0.4839,0.4839
138.9174,-0.5312,-0.5325,-0.5325,0.5325
140.3050,-0.5790,-0.5812,-0.5812,0.5812
141.7065,-0.6289,-0.6299,-0.6299,0.6299
143.1220,-0.6788,-0.6786,-0.6786,0.6786
144.5516,-0.7289,-0.7272,-0.7272,0.7272
145.9955,-0.7788,-0.7759,-0.7759,0.7759
147.4538,-0.8211,-0.8247,-0.8247,0.8247
148.9267,-0.8687,-0.8737,-0.8737,0.8737
150.4143,-0.9187,-0.9229,-0.9229,0.9229
151.9167,-0.9686,-0.9723,-0.9723,0.9723
153.4342,-1.0186,-1.0219,-1.0219,1.0219
154.9668,-1.0685,-1.0717,-1.0717,1.0717
156.5147,-1.1183,-1.1218,-1.1218,1.1218
158.0781,-1.1684,-1.1720,-1.1720,1.1720
159.6571,-1.2183,-1.2223,-1.2223,1.2223
161.2519,-1.2682,-1.2728,-1.2728,1.2728
162.8626,-1.3259,-1.3235,-1.3235,1.3235
164.4894,-1.3781,-1.3742,-1.3742,1.3742
166.1324,-1.4280,-1.4248,-1.4248,1.4248
167.7919,-1.4780,-1.4754,-1.4754,1.4754
169.4679,-1.5280,-1.5259,-1.5259,1.5259
171.1607,-1.5780,-1.5764,-1.5764,1.5764
172.8704,-1.6278,-1.6268,-1.6268,1.6268
174.5972,-1.6778,-1.6772,-1.6772,1.6772
176.3412,-1.7277,-1.7276,-1.7276,1.7276
178.1026,-1.7776,-1.7782,-1.7782,1.7782
179.8816,-1.8277,-1.8289,-1.8289,1.8289
181.6784,-1.8775,-1.8797,-1.8797,1.8797
183.4932,-1.9274,-1.9308,-1.9308,1.9308
185.3261,-1.9774,-1.9824,-1.9824,1.9824
187.1772,-2.0273,-2.0343,-2.0343,2.0343
189.0469,-2.0774,-2.0867,-2.0867,2.0867
190.9352,-2.1272,-2.1397,-2.1397,2.1397
192.8425,-2.1847,-2.1932,-2.1932,2.1932
194.7687,-2.2371,-2.2471,-2.2471,2.2471
196.7142,-2.2944,-2.3015,-2.3015,2.3015
198.6792,-2.3544,-2.3563,-2.3563,2.3563
200.6637,-2.4070,-2.4112,-2.4112,2.4112
202.6681,-2.4644,-2.4663,-2.4663,2.4663
204.6925,-2.5242,-2.5214,-2.5214,2.5214
206.7371,-2.5841,-2.5764,-2.5764,2.5764
208.8022,-2.6368,-2.6311,-2.6311,2.6311
210.8879,-2.6941,-2.6855,-2.6855,2.6855
212.9944,-2.7467,-2.7392,-2.7392,2.7392
215.1219,-2.8040,-2.7923,-2.7923,2.7923
217.2707,-2.8566,-2.8445,-2.8445,2.8445
219.4410,-2.9065,-2.8957,-2.8957,2.8957
221.6329,-2.9564,-2.9460,-2.9460,2.9460
223.8468,-3.0064,-2.9953,-2.9953,2.9953
226.0827,-3.0563,-3.0436,-3.0436,3.0436
228.3410,-3.1063,-3.0906,-3.0906,3.0906
230.6219,-3.1563,-3.1362,-3.1362,3.1362
232.9255,-3.1989,-3.1806,-3.1806,3.1806
235.2521,-3.2389,-3.2235,-3.2235,3.2235
237.6020,-3.2788,-3.2651,-3.2651,3.2651
239.9754,-3.3188,-3.3054,-3.3054,3.3054
242.3724,-3.3588,-3.3442,-3.3442,3.3442
244.7934,-3.3987,-3.3816,-3.3816,3.3816
247.2386,-3.4387,-3.4176,-3.4176,3.4176
249.7082,-3.4715,-3.4521,-3.4521,3.4521
252.2025,-3.5014,-3.4851,-3.4851,3.4851
254.7217,-3.5314,-3.5167,-3.5167,3.5167
257.2661,-3.5614,-3.5471,-3.5471,3.5471
