frequency,raw,smoothed,error,equalization
20.0000,-4.7400,-4.3870,-4.3870,4.3870
20.1998,-4.6401,-4.3450,-4.3450,4.3450
20.4015,-4.5393,-4.2965,-4.2965,4.2965
20.6053,-4.4422,-4.2427,-4.2427,4.2427
20.8112,-4.3395,-4.1844,-4.1844,4.1844
21.0190,-4.2405,-4.1221,-4.1221,4.1221
21.2290,-4.1405,-4.0556,-4.0556,4.0556
21.4410,-4.0495,-3.9849,-3.9849,3.9849
21.6552,-3.9522,-3.9094,-3.9094,3.9094
21.8715,-3.8592,-3.8283,-3.8283,3.8283
22.0900,-3.7500,-3.7407,-3.7407,3.7407
22.3106,-3.6497,-3.6455,-3.6455,3.6455
22.5335,-3.5431,-3.5448,-3.5448,3.5448
22.7586,-3.4307,-3.4438,-3.4438,3.4438
22.9859,-3.3220,-3.3430,-3.3430,3.3430
23.2155,-3.2416,-3.2427,-3.2427,3.2427
23.4474,-3.1510,-3.1427,-3.1427,3.1427
23.6816,-3.0631,-3.0432,-3.0432,3.0432
23.9182,-2.9707,-2.9442,-2.9442,2.9442
24.1571,-2.8613,-2.8458,-2.8458,2.8458
24.3984,-2.7408,-2.7483,-2.7483,2.7483
24.6421,-2.6141,-2.6520,-2.6520,2.6520
24.8882,-2.4909,-2.5572,-2.5572,2.5572
25.1368,-2.4011,-2.4642,-2.4642,2.4642
25.3879,-2.3207,-2.3728,-2.3728,2.3728
25.6415,-2.2523,-2.2828,-2.2828,2.2828
25.8976,-2.1833,-2.1938,-2.1938,2.1938
26.1563,-2.1012,-2.1056,-2.1056,2.1056
26.4176,-2.0332,-2.0183,-2.0183,2.0183
26.6815,-1.9623,-1.9316,-1.9316,1.9316
26.9480,-1.8931,-1.8454,-1.8454,1.8454
27.2172,-1.7948,-1.7594,-1.7594,1.7594
27.4890,-1.6845,-1.6733,-1.6733,1.6733
27.7636,-1.5726,-1.5872,-1.5872,1.5872
28.0409,-1.4636,-1.5013,-1.5013,1.5013
28.3210,-1.3826,-1.4159,-1.4159,1.4159
28.6039,-1.3044,-1.3310,-1.3310,1.3310
28.8896,-1.2230,-1.2467,-1.2467,1.2467
29.1782,-1.1528,-1.1631,-1.1631,1.1631
29.4697,-1.0825,-1.0799,-1.0799,1.0799
29.7640,-1.0137,-0.9971,-0.9971,0.9971
30.0613,-0.9350,-0.9145,-0.9145,0.9145
30.3616,-0.8361,-0.8323,-0.8323,0.8323
30.6649,-0.7350,-0.7508,-0.7508,0.7508
30.9712,-0.6361,-0.6701,-0.6701,0.6701
31.2806,-0.5738,-0.5904,-0.5904,0.5904
31.5930,-0.5133,-0.5114,-0.5114,0.5114
31.9086,-0.4447,-0.4327,-0.4327,0.4327
32.2273,-0.3633,-0.3542,-0.3542,0.3542
32.5492,-0.2757,-0.2759,-0.2759,0.2759
32.8744,-0.1844,-0.1980,-0.1980,0.1980
33.2027,-0.1042,-0.1208,-0.1208,0.1208
33.5344,-0.0238,-0.0446,-0.0446,0.0446
33.8694,0.0458,0.0302,0.0302,-0.0302
34.2077,0.1247,0.1036,0.1036,-0.1036
34.5494,0.1864,0.1755,0.1755,-0.1755
34.8945,0.2549,0.2459,0.2459,-0.2459
35.2430,0.3246,0.3148,0.3148,-0.3148
35.5951,0.3950,0.3820,0.3820,-0.3820
35.9506,0.4661,0.4475,0.4475,-0.4475
36.3097,0.5455,0.5114,0.5114,-0.5114
36.6724,0.6148,0.5738,0.5738,-0.5738
37.0387,0.6859,0.6348,0.6348,-0.6348
37.4087,0.7277,0.6940,0.6940,-0.6940
37.7824,0.7764,0.7515,0.7515,-0.7515
38.1598,0.8168,0.8076,0.8076,-0.8076
38.5409,0.8477,0.8630,0.8630,-0.8630
38.9259,0.8781,0.9180,0.9180,-0.9180
39.3147,0.9361,0.9725,0.9725,-0.9725
39.7074,1.0043,1.0266,1.0266,-1.0266
40.1041,1.0737,1.0801,1.0801,-1.0801
40.5046,1.1620,1.1331,1.1331,-1.1331
40.9092,1.2623,1.1849,1.1849,-1.1849
41.3179,1.2792,1.2347,1.2347,-1.2347
41.7306,1.2800,1.2832,1.2832,-1.2832
42.1474,1.3169,1.3311,1.3311,-1.3311
42.5684,1.4032,1.3784,1.3784,-1.3784
42.9936,1.4832,1.4247,1.4247,-1.4247
43.4231,1.4900,1.4691,1.4691,-1.4691
43.8568,1.4900,1.5119,1.5119,-1.5119
44.2949,1.5451,1.5532,1.5532,-1.5532
44.7374,1.6134,1.5927,1.5927,-1.5927
45.1842,1.6649,1.6302,1.6302,-1.6302
45.6356,1.6790,1.6658,1.6658,-1.6658
46.0914,1.6983,1.7004,1.7004,-1.7004
46.5518,1.7449,1.7345,1.7345,-1.7345
47.0168,1.7953,1.7676,1.7676,-1.7676
47.4864,1.8363,1.7993,1.7993,-1.7993
47.9608,1.8849,1.8292,1.8292,-1.8292
48.4398,1.8900,1.8573,1.8573,-1.8573
48.9237,1.8900,1.8839,1.8839,-1.8839
49.4124,1.8900,1.9091,1.9091,-1.9091
49.9059,1.8900,1.9329,1.9329,-1.9329
50.4044,1.9344,1.9559,1.9559,-1.9559
50.9079,1.9848,1.9783,1.9783,-1.9783
51.4164,2.0347,1.9999,1.9999,-1.9999
51.9300,2.0842,2.0200,2.0200,-2.0200
52.4487,2.0900,2.0384,2.0384,-2.0384
52.9726,2.0900,2.0558,2.0558,-2.0558
53.5018,2.0900,2.0725,2.0725,-2.0725
54.0362,2.0900,2.0890,2.0890,-2.0890
54.5759,2.0900,2.1054,2.1054,-2.1054
55.1211,2.0900,2.1219,2.1219,-2.1219
55.6717,2.0900,2.1384,2.1384,-2.1384
56.2278,2.1166,2.1548,2.1548,-2.1548
56.7894,2.1726,2.1710,2.1710,-2.1710
57.3567,2.1889,2.1864,2.1864,-2.1864
57.9296,2.1900,2.2012,2.2012,-2.2012
58.5082,2.2426,2.2158,2.2158,-2.2158
59.0927,2.2854,2.2295,2.2295,-2.2295
59.6829,2.2900,2.2419,2.2419,-2.2419
60.2791,2.2900,2.2527,2.2527,-2.2527
60.8812,2.2900,2.2621,2.2621,-2.2621
61.4893,2.2900,2.2700,2.2700,-2.2700
62.1035,2.2900,2.2764,2.2764,-2.2764
62.7239,2.2900,2.2811,2.2811,-2.2811
63.3504,2.2900,2.2841,2.2841,-2.2841
63.9832,2.2900,2.2850,2.2850,-2.2850
64.6223,2.2900,2.2839,2.2839,-2.2839
65.2678,2.2900,2.2805,2.2805,-2.2805
65.9198,2.2900,2.2751,2.2751,-2.2751
66.5782,2.2900,2.2680,2.2680,-2.2680
67.2433,2.2900,2.2594,2.2594,-2.2594
67.9149,2.2900,2.2493,2.2493,-2.2493
68.5933,2.2900,2.2378,2.2378,-2.2378
69.2785,2.2813,2.2246,2.2246,-2.2246
69.9705,2.2628,2.2099,2.2099,-2.2099
70.6694,2.2172,2.1934,2.1934,-2.1934
71.3753,2.1503,2.1759,2.1759,-2.1759
72.0883,2.0972,2.1582,2.1582,-2.1582
72.8083,2.0900,2.1409,2.1409,-2.1409
73.5356,2.0900,2.1238,2.1238,-2.1238
74.2701,2.0900,2.1062,2.1062,-2.1062
