frequency,raw,smoothed,error,equalization
20.0000,-30.7700,-30.1359,-30.1359,18.0000
20.1998,-30.5802,-30.0648,-30.0648,18.0000
20.4015,-30.3986,-29.9832,-29.9832,18.0000
20.6053,-30.2142,-29.8936,-29.8936,18.0000
20.8112,-30.0290,-29.7972,-29.7972,18.0000
21.0190,-29.8508,-29.6943,-29.6943,18.0000
21.2290,-29.7007,-29.5847,-29.5847,18.0000
21.4410,-29.5493,-29.4675,-29.4675,18.0000
21.6552,-29.4033,-29.3416,-29.3416,18.0000
21.8715,-29.2489,-29.2059,-29.2059,18.0000
22.0900,-29.0900,-29.0591,-29.0591,18.0000
22.3106,-28.9296,-28.8995,-28.8995,18.0000
22.5335,-28.7745,-28.7307,-28.7307,18.0000
22.7586,-28.6110,-28.5612,-28.5612,18.0000
22.9859,-28.4528,-28.3910,-28.3910,18.0000
23.2155,-28.2539,-28.2199,-28.2199,18.0000
23.4474,-28.0523,-28.0483,-28.0483,18.0000
23.6816,-27.8570,-27.8764,-27.8764,18.0000
23.9182,-27.6417,-27.7044,-27.7044,18.0000
24.1571,-27.4721,-27.5329,-27.5329,18.0000
24.3984,-27.3111,-27.3620,-27.3620,18.0000
24.6421,-27.1647,-27.1920,-27.1920,18.0000
24.8882,-27.0012,-27.0229,-27.0229,18.0000
25.1368,-26.8519,-26.8548,-26.8548,18.0000
25.3879,-26.7012,-26.6875,-26.6875,18.0000
25.6415,-26.5549,-26.5205,-26.5205,18.0000
25.8976,-26.4071,-26.3534,-26.3534,18.0000
26.1563,-26.2226,-26.1856,-26.1856,18.0000
26.4176,-26.0292,-26.0169,-26.0169,18.0000
26.6815,-25.8266,-25.8474,-25.8474,18.0000
26.9480,-25.6289,-25.6771,-25.6771,18.0000
27.2172,-25.4867,-25.5065,-25.5065,18.0000
27.4890,-25.3457,-25.3354,-25.3354,18.0000
27.7636,-25.2033,-25.1639,-25.1639,18.0000
28.0409,-25.0549,-24.9916,-24.9916,18.0000
28.3210,-24.8564,-24.8177,-24.8177,18.0000
28.6039,-24.6705,-24.6424,-24.6424,18.0000
28.8896,-24.4674,-24.4658,-24.4658,18.0000
29.1782,-24.2681,-24.2887,-24.2887,18.0000
29.4697,-24.0768,-24.1120,-24.1120,18.0000
29.7640,-23.8901,-23.9357,-23.9357,18.0000
30.0613,-23.7112,-23.7600,-23.7600,18.0000
30.3616,-23.5780,-23.5845,-23.5845,18.0000
30.6649,-23.4560,-23.4087,-23.4087,18.0000
30.9712,-23.3373,-23.2319,-23.2319,18.0000
31.2806,-23.1050,-23.0534,-23.0534,18.0000
31.5930,-22.8631,-22.8743,-22.8743,18.0000
31.9086,-22.6354,-22.6955,-22.6955,18.0000
32.2273,-22.4570,-22.5176,-22.5176,18.0000
32.5492,-22.3188,-22.3404,-22.3404,18.0000
