frequency,raw,smoothed,error,equalization
20.0000,-16.9600,-16.4735,-16.4735,16.4735
20.1998,-16.8401,-16.4055,-16.4055,16.4055
20.4015,-16.7191,-16.3280,-16.3280,16.3280
20.6053,-16.6027,-16.2424,-16.2424,16.2424
20.8112,-16.4793,-16.1491,-16.1491,16.1491
21.0190,-16.3506,-16.0478,-16.0478,16.0478
21.2290,-16.1410,-15.9380,-15.9380,15.9380
21.4410,-15.9290,-15.8202,-15.8202,15.8202
21.6552,-15.7246,-15.6943,-15.6943,15.6943
21.8715,-15.5088,-15.5601,-15.5601,15.5601
22.0900,-15.3400,-15.4170,-15.4170,15.4170
22.3106,-15.2096,-15.2635,-15.2635,15.2635
22.5335,-15.0837,-15.1021,-15.1021,15.1021
22.7586,-14.9508,-14.9400,-14.9400,14.9400
22.9859,-14.8321,-14.7770,-14.7770,14.7770
23.2155,-14.6535,-14.6126,-14.6126,14.6126
23.4474,-14.4819,-14.4472,-14.4472,14.4472
23.6816,-14.3063,-14.2812,-14.2812,14.2812
23.9182,-14.1314,-14.1148,-14.1148,14.1148
24.1571,-13.9621,-13.9478,-13.9478,13.9478
24.3984,-13.7911,-13.7800,-13.7800,13.7800
24.6421,-13.6351,-13.6111,-13.6111,13.6111
24.8882,-13.4613,-13.4406,-13.4406,13.4406
25.1368,-13.2823,-13.2687,-13.2687,13.2687
25.3879,-13.0916,-13.0963,-13.0963,13.0963
25.6415,-12.9159,-12.9246,-12.9246,12.9246
25.8976,-12.7290,-12.7547,-12.7547,12.7547
26.1563,-12.5525,-12.5870,-12.5870,12.5870
26.4176,-12.3878,-12.4212,-12.4212,12.4212
26.6815,-12.2252,-12.2565,-12.2565,12.2565
26.9480,-12.0671,-12.0922,-12.0922,12.0922
27.2172,-11.8981,-11.9279,-11.9279,11.9279
27.4890,-11.7173,-11.7638,-11.7638,11.7638
27.7636,-11.5440,-11.5999,-11.5999,11.5999
28.0409,-11.3852,-11.4364,-11.4364,11.4364
28.3210,-11.3026,-11.2727,-11.2727,11.2727
28.6039,-11.2150,-11.1071,-11.1071,11.1071
28.8896,-11.1233,-10.9384,-10.9384,10.9384
29.1782,-10.9281,-10.7656,-10.7656,10.7656
29.4697,-10.6693,-10.5896,-10.5896,10.5896
29.7640,-10.4138,-10.4117,-10.4117,10.4117
30.0613,-10.1749,-10.2330,-10.2330,10.2330
30.3616,-10.0098,-10.0544,-10.0544,10.0544
30.6649,-9.8481,-9.8758,-9.8758,9.8758
30.9712,-9.6897,-9.6976,-9.6976,9.6976
31.2806,-9.4832,-9.5198,-9.5198,9.5198
31.5930,-9.2715,-9.3435,-9.3435,9.3435
31.9086,-9.0640,-9.1700,-9.1700,9.1700
32.2273,-8.9253,-9.0007,-9.0007,9.0007
32.5492,-8.8169,-8.8358,-8.8358,8.8358
32.8744,-8.7054,-8.6749,-8.6749,8.6749
33.2027,-8.5294,-8.5168,-8.5168,8.5168
33.5344,-8.3199,-8.3612,-8.3612,8.3612
33.8694,-8.1127,-8.2084,-8.2084,8.2084
34.2077,-7.9692,-8.0589,-8.0589,8.0589
34.5494,-7.8661,-7.9121,-7.9121,7.9121
34.8945,-7.7580,-7.7666,-7.7666,7.7666
35.2430,-7.6392,-7.6216,-7.6216,7.6216
35.5951,-7.5093,-7.4766,-7.4766,7.4766
35.9506,-7.3772,-7.3314,-7.3314,7.3314
36.3097,-7.2190,-7.1857,-7.1857,7.1857
36.6724,-7.0527,-7.0398,-7.0398,7.0398
37.0387,-6.8989,-6.8943,-6.8943,6.8943
37.4087,-6.7769,-6.7492,-6.7492,6.7492
37.7824,-6.6587,-6.6040,-6.6040,6.6040
38.1598,-6.4935,-6.4578,-6.4578,6.4578
38.5409,-6.2676,-6.3109,-6.3109,6.3109
38.9259,-6.0346,-6.1645,-6.1645,6.1645
39.3147,-5.9265,-6.0205,-6.0205,6.0205
39.7074,-5.8557,-5.8786,-5.8786,5.8786
40.1041,-5.7590,-5.7379,-5.7379,5.7379
40.5046,-5.6224,-5.5982,-5.5982,5.5982
40.9092,-5.4715,-5.4602,-5.4602,5.4602
41.3179,-5.3218,-5.3249,-5.3249,5.3249
41.7306,-5.1708,-5.1922,-5.1922,5.1922
42.1474,-5.0216,-5.0617,-5.0617,5.0617
42.5684,-4.8990,-4.9329,-4.9329,4.9329
42.9936,-4.7710,-4.8050,-4.8050,4.8050
43.4231,-4.6412,-4.6783,-4.6783,4.6783
43.8568,-4.5128,-4.5540,-4.5540,4.5540
44.2949,-4.3714,-4.4324,-4.4324,4.4324
44.7374,-4.2333,-4.3135,-4.3135,4.3135
45.1842,-4.1661,-4.1979,-4.1979,4.1979
45.6356,-4.1690,-4.0848,-4.0848,4.0848
46.0914,-4.1243,-3.9723,-3.9723,3.9723
46.5518,-3.9226,-3.8596,-3.8596,3.8596
47.0168,-3.7007,-3.7478,-3.7478,3.7478
47.4864,-3.4622,-3.6381,-3.6381,3.6381
47.9608,-3.2336,-3.5321,-3.5321,3.5321
48.4398,-3.3354,-3.4313,-3.4313,3.4313
48.9237,-3.4765,-3.3336,-3.3336,3.3336
49.4124,-3.3365,-3.2365,-3.2365,3.2365
49.9059,-3.1595,-3.1409,-3.1409,3.1409
50.4044,-3.0333,-3.0475,-3.0475,3.0475
50.9079,-2.9215,-2.9562,-2.9562,2.9562
51.4164,-2.8384,-2.8678,-2.8678,2.8678
51.9300,-2.7681,-2.7833,-2.7833,2.7833
52.4487,-2.6541,-2.7021,-2.7021,2.7021
52.9726,-2.5332,-2.6229,-2.6229,2.6229
53.5018,-2.3865,-2.5452,-2.5452,2.5452
54.0362,-2.2906,-2.4693,-2.4693,2.4693
54.5759,-2.4034,-2.3966,-2.3966,2.3966
55.1211,-2.4735,-2.3269,-2.3269,2.3269
55.6717,-2.3834,-2.2596,-2.2596,2.2596
56.2278,-2.2458,-2.1943,-2.1943,2.1943
56.7894,-2.0898,-2.1313,-2.1313,2.1313
57.3567,-2.0434,-2.0717,-2.0717,2.0717
57.9296,-2.0488,-2.0154,-2.0154,2.0154
58.5082,-1.8660,-1.9618,-1.9618,1.9618
59.0927,-1.6897,-1.9130,-1.9130,1.9130
59.6829,-1.6177,-1.8706,-1.8706,1.8706
60.2791,-1.6628,-1.8349,-1.8349,1.8349
60.8812,-1.7832,-1.8041,-1.8041,1.8041
61.4893,-1.8521,-1.7765,-1.7765,1.7765
62.1035,-1.8513,-1.7516,-1.7516,1.7516
62.7239,-1.7184,-1.7299,-1.7299,1.7299
63.3504,-1.6563,-1.7128,-1.7128,1.7128
63.9832,-1.6500,-1.7006,-1.7006,1.7006
64.6223,-1.6500,-1.6928,-1.6928,1.6928
65.2678,-1.6500,-1.6894,-1.6894,1.6894
65.9198,-1.6500,-1.6900,-1.6900,1.6900
66.5782,-1.6500,-1.6934,-1.6934,1.6934
67.2433,-1.6500,-1.6993,-1.6993,1.6993
67.9149,-1.6500,-1.7071,-1.7071,1.7071
68.5933,-1.6500,-1.7165,-1.7165,1.7165
69.2785,-1.6673,-1.7274,-1.7274,1.7274
69.9705,-1.6957,-1.7389,-1.7389,1.7389
