frequency,raw,smoothed,error,equalization
20.0000,-0.2200,-0.4383,-0.4383,0.4383
20.1998,-0.2899,-0.4625,-0.4625,0.4625
20.4015,-0.3504,-0.4900,-0.4900,0.4900
20.6053,-0.4087,-0.5199,-0.5199,0.5199
20.8112,-0.4703,-0.5516,-0.5516,0.5516
21.0190,-0.5297,-0.5851,-0.5851,0.5851
21.2290,-0.5897,-0.6200,-0.6200,0.6200
21.4410,-0.6403,-0.6566,-0.6566,0.6566
21.6552,-0.6987,-0.6948,-0.6948,0.6948
21.8715,-0.7503,-0.7348,-0.7348,0.7348
22.0900,-0.7900,-0.7769,-0.7769,0.7769
22.3106,-0.8401,-0.8214,-0.8214,0.8214
22.5335,-0.8886,-0.8671,-0.8671,0.8671
22.7586,-0.9297,-0.9109,-0.9109,0.9109
22.9859,-0.9693,-0.9531,-0.9531,0.9531
23.2155,-1.0092,-0.9935,-0.9935,0.9935
23.4474,-1.0495,-1.0321,-1.0321,1.0321
23.6816,-1.0886,-1.0691,-1.0691,1.0691
23.9182,-1.1297,-1.1043,-1.1043,1.1043
24.1571,-1.1596,-1.1377,-1.1377,1.1377
24.3984,-1.1898,-1.1693,-1.1693,1.1693
24.6421,-1.2191,-1.1992,-1.1992,1.1992
24.8882,-1.2498,-1.2272,-1.2272,1.2272
25.1368,-1.2697,-1.2534,-1.2534,1.2534
25.3879,-1.2998,-1.2777,-1.2777,1.2777
25.6415,-1.3193,-1.3000,-1.3000,1.3000
25.8976,-1.3390,-1.3204,-1.3204,1.3204
26.1563,-1.3597,-1.3387,-1.3387,1.3387
26.4176,-1.3791,-1.3549,-1.3549,1.3549
26.6815,-1.3993,-1.3690,-1.3690,1.3690
26.9480,-1.4096,-1.3809,-1.3809,1.3809
27.2172,-1.4195,-1.3905,-1.3905,1.3905
27.4890,-1.4296,-1.3978,-1.3978,1.3978
27.7636,-1.4300,-1.4027,-1.4027,1.4027
28.0409,-1.4300,-1.4054,-1.4054,1.4054
28.3210,-1.4300,-1.4058,-1.4058,1.4058
28.6039,-1.4300,-1.4039,-1.4039,1.4039
28.8896,-1.4204,-1.3998,-1.3998,1.3998
29.1782,-1.4200,-1.3934,-1.3934,1.3934
