frequency,raw,smoothed,error,equalization
20.0000,8.4200,8.4780,8.4780,-8.4780
20.1998,8.4400,8.4821,8.4821,-8.4821
20.4015,8.4601,8.4866,8.4866,-8.4866
20.6053,8.4796,8.4912,8.4912,-8.4912
20.8112,8.5001,8.4955,8.4955,-8.4955
21.0190,8.5199,8.4995,8.4995,-8.4995
21.2290,8.5200,8.5029,8.5029,-8.5029
21.4410,8.5200,8.5059,8.5059,-8.5059
21.6552,8.5200,8.5087,8.5087,-8.5087
21.8715,8.5200,8.5115,8.5115,-8.5115
22.0900,8.5200,8.5146,8.5146,-8.5146
22.3106,8.5200,8.5182,8.5182,-8.5182
22.5335,8.5200,8.5222,8.5222,-8.5222
22.7586,8.5200,8.5263,8.5263,-8.5263
22.9859,8.5200,8.5306,8.5306,-8.5306
23.2155,8.5200,8.5352,8.5352,-8.5352
23.4474,8.5200,8.5403,8.5403,-8.5403
23.6816,8.5200,8.5461,8.5461,-8.5461
23.9182,8.5200,8.5526,8.5526,-8.5526
24.1571,8.5398,8.5598,8.5598,-8.5598
24.3984,8.5599,8.5675,8.5675,-8.5675
24.6421,8.5891,8.5754,8.5754,-8.5754
24.8882,8.6099,8.5829,8.5829,-8.5829
25.1368,8.6199,8.5899,8.5899,-8.5899
25.3879,8.6200,8.5961,8.5961,-8.5961
25.6415,8.6200,8.6016,8.6016,-8.6016
25.8976,8.6200,8.6064,8.6064,-8.6064
26.1563,8.6200,8.6104,8.6104,-8.6104
26.4176,8.6200,8.6137,8.6137,-8.6137
26.6815,8.6200,8.6162,8.6162,-8.6162
26.9480,8.6200,8.6180,8.6180,-8.6180
27.2172,8.6200,8.6192,8.6192,-8.6192
27.4890,8.6200,8.6197,8.6197,-8.6197
27.7636,8.6200,8.6200,8.6200,-8.6200
28.0409,8.6200,8.6199,8.6199,-8.6199
28.3210,8.6200,8.6194,8.6194,-8.6194
28.6039,8.6200,8.6183,8.6183,-8.6183
28.8896,8.6200,8.6165,8.6165,-8.6165
29.1782,8.6200,8.6136,8.6136,-8.6136
29.4697,8.6200,8.6094,8.6094,-8.6094
29.7640,8.6200,8.6038,8.6038,-8.6038
30.0613,8.6200,8.5967,8.5967,-8.5967
30.3616,8.6200,8.5881,8.5881,-8.5881
30.6649,8.6200,8.5779,8.5779,-8.5779
30.9712,8.6200,8.5660,8.5660,-8.5660
31.2806,8.5919,8.5520,8.5520,-8.5520
31.5930,8.5616,8.5362,8.5362,-8.5362
31.9086,8.5320,8.5191,8.5191,-8.5191
32.2273,8.5012,8.5010,8.5010,-8.5010
32.5492,8.4625,8.4826,8.4826,-8.4826
32.8744,8.4315,8.4642,8.4642,-8.4642
33.2027,8.4205,8.4464,8.4464,-8.4464
33.5344,8.4200,8.4293,8.4293,-8.4293
33.8694,8.4200,8.4129,8.4129,-8.4129
34.2077,8.4013,8.3972,8.3972,-8.3972
34.5494,8.3624,8.3820,8.3820,-8.3820
34.8945,8.3322,8.3673,8.3673,-8.3673
35.2430,8.3208,8.3533,8.3533,-8.3533
35.5951,8.3200,8.3398,8.3398,-8.3398
35.9506,8.3200,8.3265,8.3265,-8.3265
36.3097,8.3200,8.3132,8.3132,-8.3132
36.6724,8.3200,8.2997,8.2997,-8.2997
37.0387,8.3200,8.2856,8.2856,-8.2856
37.4087,8.3200,8.2704,8.2704,-8.2704
