frequency,raw,smoothed,error,equalization
20.0000,-0.1100,-0.0109,-0.0109,0.0109
20.1998,-0.0800,-0.0004,-0.0004,0.0004
20.4015,-0.0498,0.0116,0.0116,-0.0116
20.6053,-0.0207,0.0245,0.0245,-0.0245
20.8112,0.0101,0.0380,0.0380,-0.0380
21.0190,0.0299,0.0521,0.0521,-0.0521
21.2290,0.0599,0.0666,0.0666,-0.0666
21.4410,0.0801,0.0816,0.0816,-0.0816
21.6552,0.0996,0.0972,0.0972,-0.0972
21.8715,0.1201,0.1134,0.1134,-0.1134
22.0900,0.1400,0.1303,0.1303,-0.1303
22.3106,0.1601,0.1482,0.1482,-0.1482
22.5335,0.1794,0.1664,0.1664,-0.1664
22.7586,0.1899,0.1837,0.1837,-0.1837
22.9859,0.2096,0.2002,0.2002,-0.2002
23.2155,0.2198,0.2160,0.2160,-0.2160
23.4474,0.2398,0.2313,0.2313,-0.2313
23.6816,0.2497,0.2460,0.2460,-0.2460
23.9182,0.2599,0.2603,0.2603,-0.2603
24.1571,0.2798,0.2744,0.2744,-0.2744
24.3984,0.2899,0.2881,0.2881,-0.2881
24.6421,0.2997,0.3016,0.3016,-0.3016
24.8882,0.3199,0.3149,0.3149,-0.3149
25.1368,0.3299,0.3281,0.3281,-0.3281
25.3879,0.3399,0.3413,0.3413,-0.3413
25.6415,0.3497,0.3545,0.3545,-0.3545
25.8976,0.3690,0.3678,0.3678,-0.3678
26.1563,0.3799,0.3812,0.3812,-0.3812
26.4176,0.3895,0.3948,0.3948,-0.3948
26.6815,0.4093,0.4086,0.4086,-0.4086
26.9480,0.4196,0.4226,0.4226,-0.4226
27.2172,0.4295,0.4369,0.4369,-0.4369
27.4890,0.4492,0.4517,0.4517,-0.4517
27.7636,0.4598,0.4669,0.4669,-0.4669
28.0409,0.4794,0.4826,0.4826,-0.4826
28.3210,0.4897,0.4988,0.4988,-0.4988
28.6039,0.5089,0.5157,0.5157,-0.5157
28.8896,0.5293,0.5332,0.5332,-0.5332
29.1782,0.5396,0.5512,0.5512,-0.5512
29.4697,0.5593,0.5700,0.5700,-0.5700
29.7640,0.5789,0.5896,0.5896,-0.5896
30.0613,0.5988,0.6098,0.6098,-0.6098
30.3616,0.6188,0.6308,0.6308,-0.6308
30.6649,0.6485,0.6525,0.6525,-0.6525
30.9712,0.6688,0.6748,0.6748,-0.6748
31.2806,0.6887,0.6977,0.6977,-0.6977
31.5930,0.7184,0.7212,0.7212,-0.7212
31.9086,0.7387,0.7453,0.7453,-0.7453
32.2273,0.7688,0.7699,0.7699,-0.7699
32.5492,0.7887,0.7950,0.7950,-0.7950
32.8744,0.8185,0.8207,0.8207,-0.8207
33.2027,0.8390,0.8467,0.8467,-0.8467
33.5344,0.8686,0.8733,0.8733,-0.8733
33.8694,0.8982,0.9003,0.9003,-0.9003
34.2077,0.9187,0.9275,0.9275,-0.9275
34.5494,0.9482,0.9552,0.9552,-0.9552
34.8945,0.9778,0.9831,0.9831,-0.9831
35.2430,1.0077,1.0112,1.0112,-1.0112
35.5951,1.0379,1.0394,1.0394,-1.0394
35.9506,1.0683,1.0675,1.0675,-1.0675
36.3097,1.0983,1.0956,1.0956,-1.0956
36.6724,1.1278,1.1233,1.1233,-1.1233
37.0387,1.1582,1.1506,1.1506,-1.1506
37.4087,1.1883,1.1773,1.1773,-1.1773
37.7824,1.2178,1.2032,1.2032,-1.2032
38.1598,1.2384,1.2283,1.2283,-1.2283
38.5409,1.2677,1.2523,1.2523,-1.2523
38.9259,1.2887,1.2751,1.2751,-1.2751
39.3147,1.3087,1.2966,1.2966,-1.2966
39.7074,1.3376,1.3168,1.3168,-1.3168
40.1041,1.3582,1.3355,1.3355,-1.3355
40.5046,1.3691,1.3526,1.3526,-1.3526
40.9092,1.3885,1.3681,1.3681,-1.3681
41.3179,1.3992,1.3820,1.3820,-1.3820
41.7306,1.4186,1.3942,1.3942,-1.3942
42.1474,1.4292,1.4048,1.4048,-1.4048
42.5684,1.4300,1.4136,1.4136,-1.4136
42.9936,1.4392,1.4209,1.4209,-1.4209
43.4231,1.4400,1.4267,1.4267,-1.4267
43.8568,1.4490,1.4311,1.4311,-1.4311
44.2949,1.4500,1.4340,1.4340,-1.4340
44.7374,1.4500,1.4357,1.4357,-1.4357
45.1842,1.4500,1.4362,1.4362,-1.4362
45.6356,1.4500,1.4356,1.4356,-1.4356
46.0914,1.4409,1.4341,1.4341,-1.4341
46.5518,1.4400,1.4318,1.4318,-1.4318
47.0168,1.4309,1.4288,1.4288,-1.4288
47.4864,1.4300,1.4253,1.4253,-1.4253
47.9608,1.4210,1.4215,1.4215,-1.4215
48.4398,1.4200,1.4174,1.4174,-1.4174
48.9237,1.4110,1.4132,1.4132,-1.4132
49.4124,1.4100,1.4088,1.4088,-1.4088
49.9059,1.4011,1.4046,1.4046,-1.4046
50.4044,1.4000,1.4006,1.4006,-1.4006
50.9079,1.3910,1.3968,1.3968,-1.3968
51.4164,1.3900,1.3934,1.3934,-1.3934
51.9300,1.3812,1.3906,1.3906,-1.3906
52.4487,1.3800,1.3883,1.3883,-1.3883
52.9726,1.3800,1.3867,1.3867,-1.3867
53.5018,1.3800,1.3859,1.3859,-1.3859
54.0362,1.3712,1.3860,1.3860,-1.3860
54.5759,1.3700,1.3872,1.3872,-1.3872
55.1211,1.3789,1.3895,1.3895,-1.3895
55.6717,1.3800,1.3929,1.3929,-1.3929
56.2278,1.3800,1.3977,1.3977,-1.3977
56.7894,1.3888,1.4039,1.4039,-1.4039
57.3567,1.3900,1.4116,1.4116,-1.4116
57.9296,1.3988,1.4210,1.4210,-1.4210
58.5082,1.4088,1.4321,1.4321,-1.4321
59.0927,1.4277,1.4451,1.4451,-1.4451
59.6829,1.4387,1.4598,1.4598,-1.4598
60.2791,1.4576,1.4766,1.4766,-1.4766
60.8812,1.4687,1.4954,1.4954,-1.4954
61.4893,1.4874,1.5164,1.5164,-1.5164
62.1035,1.5162,1.5397,1.5397,-1.5397
62.7239,1.5375,1.5653,1.5653,-1.5653
63.3504,1.5662,1.5933,1.5933,-1.5933
